"Date","KSU","Price"
2005-10-28,40,22.16
2005-11-04,40,23.87
2005-11-11,49,23.86
2005-11-18,58,24.63
2005-11-25,49,25.23
2005-12-02,51,25
2005-12-09,43,24.61
2005-12-16,44,24.98
2005-12-23,36,24.76
2005-12-30,34,24.43
2006-01-06,45,25.04
2006-01-13,47,25.42
2006-01-20,58,25.35
2006-01-27,63,25.77
2006-02-03,62,24.5
2006-02-10,59,23.5
2006-02-17,57,24.38
2006-02-24,48,23.66
2006-03-03,41,23.56
2006-03-10,40,22.86
2006-03-17,46,23.78
2006-03-24,42,24.5
2006-03-31,39,24.7
2006-04-07,39,23.99
2006-04-21,41,25.2
2006-04-28,40,24.3
2006-05-05,51,27.44
2006-05-12,41,26.52
2006-05-19,42,25.68
2006-05-26,42,27.69
2006-06-02,36,27.55
2006-06-09,47,25.4
2006-06-16,43,25.96
2006-06-23,47,25.48
2006-06-30,46,27.7
2006-07-07,38,26.16
2006-07-14,42,25.23
2006-07-21,43,23.48
2006-07-28,43,24.3
2006-08-04,46,25.97
2006-08-11,50,25.05
2006-08-18,50,26.67
2006-08-25,57,25.99
2006-09-01,65,26.61
2006-09-08,61,26.15
2006-09-15,65,27.49
2006-09-22,63,26.55
2006-09-29,43,27.31
2006-10-06,53,27.81
2006-10-13,57,28.44
2006-10-20,51,28.77
2006-10-27,48,29.68
2006-11-03,52,27.52
2006-11-10,58,28.61
2006-11-17,55,27.57
2006-11-24,47,27.76
2006-12-01,49,26.69
2006-12-08,54,28.28
2006-12-15,52,28.42
2006-12-22,46,28.13
2006-12-29,46,28.98
2007-01-05,52,28.42
2007-01-12,42,29.72
2007-01-19,44,29.89
2007-01-26,46,29.8
2007-02-02,62,30.57
2007-02-09,63,31.53
2007-02-16,48,34
2007-02-23,52,34.04
2007-03-02,49,31.35
2007-03-09,42,33.44
2007-03-16,43,35.09
2007-03-23,40,36.35
2007-03-30,41,35.58
2007-04-13,47,37.67
2007-04-20,41,39.08
2007-04-27,43,38.59
2007-05-04,49,38.59
2007-05-11,46,38.81
2007-05-18,37,40.1
2007-05-25,37,40.2
2007-06-01,36,42.5
2007-06-08,44,40.84
2007-06-15,61,40.5
2007-06-22,77,38.45
2007-06-29,51,37.54
2007-07-06,41,38.81
2007-07-13,43,39.55
2007-07-20,42,40.28
2007-07-27,44,35.14
2007-08-03,35,33.7
2007-08-10,44,34.31
2007-08-17,58,30.59
2007-08-24,54,31.08
2007-08-31,52,30.39
2007-09-07,64,31.42
2007-09-14,60,30.94
2007-09-21,67,32.59
2007-09-28,62,32.17
2007-10-05,66,34.62
2007-10-12,47,34.76
2007-10-19,49,34.49
2007-10-26,44,37.96
2007-11-02,38,38.2
2007-11-09,47,35.67
2007-11-16,47,33.71
2007-11-23,48,33.08
2007-11-30,52,34.43
2007-12-07,65,36.04
2007-12-14,52,35.5
2007-12-21,46,34.71
2007-12-28,40,34.38
2008-01-04,45,31.06
2008-01-11,49,30.87
2008-01-18,63,30.88
2008-01-25,88,34.2
2008-02-01,100,38.03
2008-02-08,72,37.94
2008-02-15,54,38.3
2008-02-22,47,37.47
2008-02-29,43,35.8
2008-03-07,43,34.56
2008-03-14,44,34.86
2008-03-28,40,39.37
2008-04-04,40,40.13
2008-04-11,50,39.67
2008-04-18,53,43.45
2008-04-25,55,43.66
2008-05-02,50,46.79
2008-05-09,49,45.9
2008-05-16,48,47
2008-05-23,47,46.31
2008-05-30,59,49.96
2008-06-06,73,48.67
2008-06-13,69,47.01
2008-06-20,53,47.52
2008-06-27,47,43.53
2008-07-11,43,43.88
2008-07-18,50,46.48
2008-07-25,51,48
2008-08-01,44,53.3
2008-08-08,46,52.8
2008-08-15,58,50.48
2008-08-22,72,50.53
2008-08-29,62,51.43
2008-09-05,65,46.96
2008-09-12,55,47.22
2008-09-19,55,51.17
2008-09-26,66,47.57
2008-10-03,47,36.17
2008-10-10,55,28.67
2008-10-17,50,30.29
2008-10-24,54,27.01
2008-10-31,51,30.87
2008-11-07,51,28.15
2008-11-14,52,22.74
2008-11-21,47,18.31
2008-11-28,48,21.92
2008-12-05,50,18.81
2008-12-12,55,17.58
2008-12-19,54,19.02
2008-12-26,45,18.47
2009-01-02,45,20.39
2009-01-09,56,21.38
2009-01-16,60,17.79
2009-01-23,57,16.9
2009-01-30,78,18.16
2009-02-06,87,21.46
2009-02-13,79,19.73
2009-02-20,71,18.8
2009-02-27,54,17.69
2009-03-06,55,13.53
2009-03-13,41,14.38
2009-03-20,40,13.52
2009-03-27,44,13.97
2009-04-03,43,14.2
2009-04-17,48,16.85
2009-04-24,49,16.7
2009-05-01,65,15.39
2009-05-08,61,17.01
2009-05-15,57,14.79
2009-05-22,51,15.77
2009-05-29,45,16.49
2009-06-05,54,15.97
2009-06-12,68,17.94
2009-06-19,73,16.6
2009-06-26,54,16.32
2009-07-10,46,15.46
2009-07-17,57,18.36
2009-07-24,43,20.35
2009-07-31,42,20.31
2009-08-07,42,23.18
2009-08-14,57,23.33
2009-08-21,65,24
2009-08-28,66,24.99
2009-09-04,69,26
2009-09-11,57,27.56
2009-09-18,56,28.11
2009-09-25,54,25.91
2009-10-02,70,25.12
2009-10-09,57,27.5
2009-10-16,52,28.66
2009-10-23,51,26.8
2009-10-30,49,24.23
2009-11-06,61,27.93
2009-11-13,50,28.92
2009-11-20,46,28.37
2009-11-27,35,28.36
2009-12-04,39,29.56
2009-12-11,50,29.61
2009-12-18,47,31.68
2010-01-08,50,33.86
2010-01-15,53,32.92
2010-01-22,60,31.01
2010-01-29,74,29.7
2010-02-05,80,30.27
2010-02-12,68,32.39
2010-02-19,61,33.92
2010-02-26,51,34.3
2010-03-05,57,35.45
2010-03-12,44,35.75
2010-03-19,58,35.75
2010-03-26,56,36.2
2010-04-09,42,38.37
2010-04-16,40,38.18
2010-04-23,51,38.28
2010-04-30,56,40.55
2010-05-07,55,35.93
2010-05-14,52,38.85
2010-05-21,41,34.88
2010-05-28,42,38.17
2010-06-04,49,36.75
2010-06-11,62,39.22
2010-06-18,65,41.11
2010-06-25,52,39.29
2010-07-02,43,34.94
2010-07-09,41,37.24
2010-07-16,39,34.72
2010-07-23,41,38.35
2010-07-30,44,36.7
2010-08-06,45,37.75
2010-08-13,52,34.44
2010-08-20,58,33.71
2010-08-27,66,33.77
2010-09-03,77,37.16
2010-09-10,61,38.18
2010-09-17,79,38.56
2010-09-24,69,39.14
2010-10-01,62,37.26
2010-10-08,65,39.47
2010-10-15,70,41.42
2010-10-22,57,42.06
2010-10-29,51,43.82
2010-11-05,52,46.53
2010-11-12,53,44.74
2010-11-19,50,46.9
2010-11-26,47,47.84
2010-12-03,53,49.29
2010-12-10,58,49.98
2010-12-17,51,48.02
2010-12-31,51,47.86
2011-01-07,48,51.25
2011-01-14,53,52.04
2011-01-21,69,47.71
2011-01-28,77,48.87
2011-02-04,71,51.11
2011-02-11,59,54.75
2011-02-18,64,55.47
2011-02-25,50,54.09
2011-03-04,51,53.95
2011-03-11,48,53.03
2011-03-18,52,50.71
2011-03-25,53,54.23
2011-04-01,42,54.47
2011-04-08,48,52.01
2011-04-15,43,52.6
2011-04-29,56,58.11
2011-05-06,54,56.44
2011-05-13,48,54.66
2011-05-20,37,56.8
2011-05-27,42,58.48
2011-06-03,45,56.57
2011-06-10,49,52.37
2011-06-17,56,53.53
2011-06-24,44,55.59
2011-07-01,41,60.61
2011-07-08,36,59.54
2011-07-15,40,57.07
2011-07-22,43,61.74
2011-07-29,41,59.35
2011-08-05,45,52.13
2011-08-12,48,54.47
2011-08-19,58,46
2011-08-26,59,50.68
2011-09-02,62,50.98
2011-09-09,67,49.62
2011-09-16,71,54.71
2011-09-23,62,49.41
2011-09-30,62,49.96
2011-10-07,62,54.55
2011-10-14,62,58.36
2011-10-21,68,59.54
2011-10-28,66,65.03
2011-11-04,52,66.32
2011-11-11,59,67.23
2011-11-18,60,68.02
2011-11-25,51,62.81
2011-12-02,64,67.86
2011-12-09,64,66.38
2011-12-16,56,63.81
2011-12-23,43,67.83
2011-12-30,42,68.01
2012-01-06,68,69.68
2012-01-13,62,72.04
2012-01-20,57,73.39
2012-01-27,65,68.6
2012-02-03,60,70.51
2012-02-10,55,68.42
2012-02-17,55,66.24
2012-02-24,53,69.24
2012-03-02,51,69.75
2012-03-09,49,69.25
2012-03-16,62,74.67
2012-03-23,47,70.45
2012-03-30,56,71.69
2012-04-13,50,72.59
2012-04-20,52,71.41
2012-04-27,53,78.36
2012-05-04,58,75.1
2012-05-11,54,71.66
2012-05-18,45,64.72
2012-05-25,42,66.44
2012-06-01,41,63.26
2012-06-08,51,67.13
2012-06-15,47,68.29
2012-06-22,44,67.7
2012-06-29,41,69.56
2012-07-06,39,69.89
2012-07-13,39,70.09
2012-07-20,46,70.79
2012-07-27,43,74.66
2012-08-03,40,74.13
2012-08-10,41,74.16
2012-08-17,51,77.77
2012-08-24,66,77.7
2012-08-31,71,77.33
2012-09-07,73,79.82
2012-09-14,71,83.63
2012-09-21,65,76
2012-09-28,67,75.78
2012-10-05,70,76.28
2012-10-12,64,75.15
2012-10-19,67,78.43
2012-10-26,62,81.25
2012-11-02,69,81.1
2012-11-09,75,76.91
2012-11-16,71,73.85
2012-11-23,59,77.61
2012-11-30,60,78.15
2012-12-07,69,79.78
2012-12-14,55,81.89
2012-12-21,51,83.82
2012-12-28,43,82.06
2013-01-04,62,88.82
2013-01-11,67,85.54
2013-01-18,62,87.63
2013-01-25,73,94.02
2013-02-01,61,94.34
2013-02-08,58,95.09
2013-02-15,71,97.77
2013-02-22,60,98.78
2013-03-01,60,102.02
2013-03-08,56,105.32
2013-03-15,61,107.98
2013-03-22,54,107.56
2013-04-05,49,104.73
2013-04-12,47,107.77
2013-04-19,51,106.46
2013-04-26,56,106.64
2013-05-03,54,110.15
2013-05-10,51,109.93
2013-05-17,50,117.16
2013-05-24,43,111.37
2013-05-31,47,110.7
2013-06-07,45,110.47
2013-06-14,46,110.6
2013-06-21,44,107.07
2013-06-28,41,105.96
2013-07-05,35,112.59
2013-07-12,35,113.81
2013-07-19,42,118.3
2013-07-26,41,110.13
2013-08-02,39,110.06
2013-08-09,38,108.1
2013-08-16,52,106.52
2013-08-23,64,108.5
2013-08-30,80,105.42
2013-09-06,66,108.05
2013-09-13,69,110.29
2013-09-20,64,111.42
2013-09-27,57,110.11
2013-10-04,65,111.99
2013-10-11,58,113.29
2013-10-18,50,117.35
2013-10-25,62,123.49
2013-11-01,67,122.61
2013-11-08,67,123.32
2013-11-15,60,125.02
2013-11-22,63,121.8
2013-11-29,52,121.02
2013-12-06,60,118.15
2013-12-13,58,117.44
2013-12-20,48,121.73
2013-12-27,41,122.04
2014-01-03,53,119.77
2014-01-10,69,116.38
2014-01-17,66,116.31
2014-01-24,61,99.49
2014-01-31,59,105.59
2014-02-07,58,102.59
2014-02-14,67,95.96
2014-02-21,63,95.58
2014-02-28,56,93.92
2014-03-07,62,98.37
2014-03-14,57,96.6
2014-03-21,50,98.58
2014-03-28,48,99.61
2014-04-04,47,100.73
2014-04-11,48,95.54
2014-04-25,64,99.27
