"Date","MCK","Price"
2007-01-12,52,54.42
2007-01-19,67,55.13
2007-01-26,63,55.94
2007-02-02,74,55.77
2007-02-09,81,55.71
2007-02-16,82,57.22
2007-02-23,74,57.39
2007-03-02,64,54.65
2007-03-09,65,56.07
2007-03-16,60,55.23
2007-03-23,65,57.82
2007-03-30,58,58.54
2007-04-13,74,59.57
2007-04-20,67,60.22
2007-04-27,65,58.24
2007-05-04,64,60
2007-05-11,62,59.68
2007-05-18,60,61.92
2007-05-25,60,62.36
2007-06-01,65,63.71
2007-06-08,63,61.88
2007-06-15,80,60.76
2007-06-22,58,58.1
2007-06-29,55,59.64
2007-07-06,52,59.62
2007-07-13,69,60.5
2007-07-20,84,58.36
2007-07-27,63,55.95
2007-08-03,60,58.56
2007-08-10,74,56.05
2007-08-17,72,58.39
2007-08-24,66,59.24
2007-08-31,63,57.21
2007-09-07,65,54.88
2007-09-14,67,54.19
2007-09-21,64,55.78
2007-09-28,57,58.79
2007-10-05,61,59.7
2007-10-12,50,59.1
2007-10-19,51,57.38
2007-10-26,69,58.46
2007-11-02,64,64.4
2007-11-09,72,63.83
2007-11-16,67,66.83
2007-11-23,73,67
2007-11-30,72,66.73
2007-12-07,62,66.37
2007-12-14,63,63.21
2007-12-21,48,65.94
2007-12-28,48,65.94
2008-01-04,60,63.25
2008-01-11,50,67.8
2008-01-18,70,64.8
2008-01-25,57,60.4
2008-02-01,59,61.41
2008-02-08,52,57.68
2008-02-15,61,58.56
2008-02-22,65,59.89
2008-02-29,66,58.76
2008-03-07,66,57.4
2008-03-14,57,52.89
2008-03-28,66,51.66
2008-04-04,74,54.3
2008-04-11,53,52.38
2008-04-18,69,54.53
2008-04-25,71,54.5
2008-05-02,64,54.3
2008-05-09,69,57.37
2008-05-16,61,58.57
2008-05-23,60,57.22
2008-05-30,59,57.65
2008-06-06,71,57.02
2008-06-13,60,56.01
2008-06-20,56,57.09
2008-06-27,64,56.71
2008-07-11,57,54.56
2008-07-18,57,53.61
2008-07-25,61,56.32
2008-08-01,43,55.99
2008-08-08,65,57.02
2008-08-15,58,57.31
2008-08-22,54,58.44
2008-08-29,60,57.78
2008-09-05,56,56.92
2008-09-12,58,57.49
2008-09-19,74,57.03
2008-09-26,62,55.31
2008-10-03,69,48.86
2008-10-10,66,39.04
2008-10-17,63,44.83
2008-10-24,67,39.23
2008-10-31,79,36.79
2008-11-07,62,38.25
2008-11-14,57,35.26
2008-11-21,55,30.41
2008-11-28,61,34.94
2008-12-05,50,33.59
2008-12-12,65,36.53
2008-12-19,51,37.89
2008-12-26,48,37.37
2009-01-02,49,39.02
2009-01-09,52,40.21
2009-01-16,64,41.21
2009-01-23,73,39.64
2009-01-30,71,44.2
2009-02-06,61,45.68
2009-02-13,70,45.38
2009-02-20,72,45
2009-02-27,71,41.02
2009-03-06,65,39.38
2009-03-13,74,35.9
2009-03-20,62,35.03
2009-03-27,69,36.48
2009-04-03,60,33.89
2009-04-17,48,36.29
2009-04-24,56,35.85
2009-05-01,50,37.93
2009-05-08,58,41.3
2009-05-15,63,38.46
2009-05-22,62,40.89
2009-05-29,54,41.15
2009-06-05,56,41.62
2009-06-12,53,42.98
2009-06-19,59,44.61
2009-06-26,53,44.67
2009-07-10,51,43.23
2009-07-17,56,45.65
2009-07-24,56,46.71
2009-07-31,65,51.15
2009-08-07,62,53.11
2009-08-14,69,55
2009-08-21,66,56.24
2009-08-28,60,56.22
2009-09-04,65,56.13
2009-09-11,61,57.56
2009-09-18,55,58.46
2009-09-25,58,57.79
2009-10-02,51,57.7
2009-10-09,60,60.49
2009-10-16,54,61.07
2009-10-23,51,60.31
2009-10-30,60,58.73
2009-11-06,55,62.58
2009-11-13,59,64.24
2009-11-20,60,63.12
2009-11-27,59,62.75
2009-12-04,52,60.94
2009-12-11,56,62.24
2009-12-18,51,63.31
2010-01-08,64,60.77
2010-01-15,55,61.92
2010-01-22,49,60.57
2010-01-29,52,58.82
2010-02-05,58,58.28
2010-02-12,59,58.99
2010-02-19,64,60.75
2010-02-26,54,59.15
2010-03-05,53,62.08
2010-03-12,55,61.08
2010-03-19,55,64.07
2010-03-26,61,63.62
2010-04-09,68,66.56
2010-04-16,57,64.19
2010-04-23,59,68.03
2010-04-30,62,64.81
2010-05-07,53,63.73
2010-05-14,68,67.72
2010-05-21,57,68.33
2010-05-28,48,70
2010-06-04,50,68.56
2010-06-11,57,69.67
2010-06-18,44,70.09
2010-06-25,49,68.16
2010-07-02,46,67.16
2010-07-09,46,67.43
2010-07-16,47,68
2010-07-23,52,65.63
2010-07-30,52,62.82
2010-08-06,56,62.81
2010-08-13,51,60.65
2010-08-20,58,61.67
2010-08-27,56,60.36
2010-09-03,60,59.95
2010-09-10,54,59.35
2010-09-17,66,62.35
2010-09-24,62,61.91
2010-10-01,63,60.7
2010-10-08,61,60.78
2010-10-15,52,62.38
2010-10-22,64,61.08
2010-10-29,57,65.98
2010-11-05,61,66.3
2010-11-12,59,65.09
2010-11-19,65,66
2010-11-26,56,64.51
2010-12-03,51,67.01
2010-12-10,56,68.09
2010-12-17,48,68.81
2010-12-31,48,70.38
2011-01-07,47,74
2011-01-14,72,74.17
2011-01-21,59,73.21
2011-01-28,53,74.15
2011-02-04,54,77.74
2011-02-11,55,78.77
2011-02-18,58,80.64
2011-02-25,52,79.21
2011-03-04,54,80.48
2011-03-11,59,77.81
2011-03-18,49,77.92
2011-03-25,55,79.59
2011-04-01,58,79.77
2011-04-08,56,78.5
2011-04-15,50,80.61
2011-04-29,51,83.01
2011-05-06,58,82.74
2011-05-13,58,84.24
2011-05-20,53,85.07
2011-05-27,55,85.04
2011-06-03,43,84.28
2011-06-10,52,83.25
2011-06-17,42,82.41
2011-06-24,47,81.55
2011-07-01,50,84.08
2011-07-08,55,84.54
2011-07-15,49,82.48
2011-07-22,49,82.31
2011-07-29,56,81.12
2011-08-05,53,75.31
2011-08-12,54,79.02
2011-08-19,49,73.85
2011-08-26,47,76.53
2011-09-02,47,77.5
2011-09-09,46,74.08
2011-09-16,46,76.63
2011-09-23,52,73.36
2011-09-30,48,72.7
2011-10-07,45,70.38
2011-10-14,50,73.45
2011-10-21,49,75.87
2011-10-28,53,84.41
2011-11-04,47,80.62
2011-11-11,55,82.77
2011-11-18,53,80.01
2011-11-25,51,76.34
2011-12-02,54,80.49
2011-12-09,57,79.74
2011-12-16,49,77.7
2011-12-23,45,78.73
2011-12-30,49,77.91
2012-01-06,53,78.67
2012-01-13,63,77.24
2012-01-20,55,76.51
2012-01-27,47,79.31
2012-02-03,58,80.8
2012-02-10,63,81.34
2012-02-17,56,82.57
2012-02-24,66,82
2012-03-02,65,82.17
2012-03-09,59,86.4
2012-03-16,59,87.56
2012-03-23,59,86.38
2012-03-30,58,87.77
2012-04-13,49,90.48
2012-04-20,52,91
2012-04-27,52,91.05
2012-05-04,51,89.58
2012-05-11,53,90.15
2012-05-18,48,87.45
2012-05-25,49,87.69
2012-06-01,53,86.7
2012-06-08,52,88.42
2012-06-15,42,91
2012-06-22,42,91.67
2012-06-29,42,93.75
2012-07-06,44,93.52
2012-07-13,43,94.88
2012-07-20,52,95.34
2012-07-27,50,91.74
2012-08-03,45,87.43
2012-08-10,52,89.06
2012-08-17,50,86.42
2012-08-24,47,87.19
2012-08-31,48,87.11
2012-09-07,47,88.5
2012-09-14,50,87.4
2012-09-21,53,86.72
2012-09-28,53,86.03
2012-10-05,47,89.47
2012-10-12,48,89.28
2012-10-19,49,90.2
2012-10-26,52,92.58
2012-11-02,47,93.3
2012-11-09,50,92.94
2012-11-16,59,92.06
2012-11-23,54,94.11
2012-11-30,52,94.47
2012-12-07,54,95.3
2012-12-14,49,98.25
2012-12-21,46,98
2012-12-28,46,95.89
2013-01-04,47,99.94
2013-01-11,54,101.08
2013-01-18,59,103.98
2013-01-25,53,106.62
2013-02-01,49,103.19
2013-02-08,54,103.8
2013-02-15,51,103.42
2013-02-22,52,103.66
2013-03-01,49,107.46
2013-03-08,53,109.32
2013-03-15,45,110.48
2013-03-22,52,107.89
2013-04-05,47,106.83
2013-04-12,52,108.36
2013-04-19,49,106.25
2013-04-26,44,104.18
2013-05-03,44,108.14
2013-05-10,51,115.29
2013-05-17,55,116.89
2013-05-24,46,117.31
2013-05-31,45,113.86
2013-06-07,47,113.96
2013-06-14,46,114.29
2013-06-21,44,110.97
2013-06-28,47,114.5
2013-07-05,37,115.73
2013-07-12,45,118.64
2013-07-19,43,118.65
2013-07-26,42,124.85
2013-08-02,46,123.42
2013-08-09,40,124.21
2013-08-16,45,121.82
2013-08-23,47,122.95
2013-08-30,52,121.41
2013-09-06,46,123.57
2013-09-13,42,128.7
2013-09-20,47,131.27
2013-09-27,49,129.29
2013-10-04,49,131.87
2013-10-11,47,138.31
2013-10-18,52,141.45
2013-10-25,50,154.99
2013-11-01,48,159.44
2013-11-08,51,158.56
2013-11-15,51,160.15
2013-11-22,47,163.61
2013-11-29,49,165.89
2013-12-06,56,162.81
2013-12-13,50,157.39
2013-12-20,50,161.5
2013-12-27,38,160.98
2014-01-03,47,160.71
2014-01-10,56,175.44
2014-01-17,55,168.12
2014-01-24,55,173.72
2014-01-31,56,174.41
2014-02-07,51,174.99
2014-02-14,54,175.6
2014-02-21,48,176.35
2014-02-28,44,177.05
2014-03-07,57,182.4
2014-03-14,58,180.81
2014-03-21,52,180.85
2014-03-28,52,175.42
2014-04-04,49,170.87
2014-04-11,47,164.68
2014-04-25,44,167.85
