"Date","Delta.Air.Lines","Price"
2010-03-12,10,12.83
2010-03-19,9,12.57
2010-03-26,9,14.5
2010-04-09,10,14.58
2010-04-16,10,13.87
2010-04-23,12,13.01
2010-04-30,9,12.08
2010-05-07,9,11.7
2010-05-14,10,13.74
2010-05-21,8,13.34
2010-05-28,10,13.58
2010-06-04,10,13.58
2010-06-11,10,13.45
2010-06-18,10,13.71
2010-06-25,10,12
2010-07-02,9,11.03
2010-07-09,9,11.65
2010-07-16,10,11.72
2010-07-23,11,11.45
2010-07-30,10,11.88
2010-08-06,12,11.81
2010-08-13,11,11.55
2010-08-20,11,10.53
2010-08-27,9,10.46
2010-09-03,11,11.05
2010-09-10,10,10.54
2010-09-17,8,11.18
2010-09-24,9,11.7
2010-10-01,9,12.01
2010-10-08,8,11.4
2010-10-15,7,11.38
2010-10-22,9,13.18
2010-10-29,9,13.89
2010-11-05,8,14.26
2010-11-12,9,13.46
2010-11-19,8,13.76
2010-11-26,9,14.23
2010-12-03,8,13.63
2010-12-10,7,13.02
2010-12-17,9,12.46
2010-12-31,11,12.6
2011-01-07,9,13
2011-01-14,10,12.75
2011-01-21,10,11.54
2011-01-28,8,11.83
2011-02-04,8,11.4
2011-02-11,9,11.9
2011-02-18,9,11.5
2011-02-25,7,11.12
2011-03-04,8,9.91
2011-03-11,11,11.23
2011-03-18,9,10.24
2011-03-25,9,9.8
2011-04-01,8,9.82
2011-04-08,8,9.04
2011-04-15,9,9.25
2011-04-29,9,10.38
2011-05-06,9,11.21
2011-05-13,8,10.65
2011-05-20,9,11.51
2011-05-27,10,10
2011-06-03,8,9.62
2011-06-10,10,9.22
2011-06-17,10,9.58
2011-06-24,9,9.43
2011-07-01,10,9.29
2011-07-08,9,9.35
2011-07-15,9,8.41
2011-07-22,10,8.1
2011-07-29,10,7.89
2011-08-05,9,6.97
2011-08-12,10,6.97
2011-08-19,8,7.21
2011-08-26,10,7.12
2011-09-02,8,7.27
2011-09-09,7,7.18
2011-09-16,8,8.4
2011-09-23,7,8.17
2011-09-30,7,7.5
2011-10-07,6,7.8
2011-10-14,6,8.57
2011-10-21,8,8.66
2011-10-28,8,8.51
2011-11-04,7,8.35
2011-11-11,7,7.95
2011-11-18,7,7.36
2011-11-25,5,7.12
2011-12-02,6,8.41
2011-12-09,7,8.5
2011-12-16,6,9.02
2011-12-23,6,8.33
2011-12-30,7,8.09
2012-01-06,7,8.32
2012-01-13,7,8.85
2012-01-20,5,9.41
2012-01-27,6,10.39
2012-02-03,6,11.3
2012-02-10,6,10.89
2012-02-17,6,10.83
2012-02-24,6,9.53
2012-03-02,6,9.77
2012-03-09,7,9.37
2012-03-16,6,9.21
2012-03-23,5,9.62
2012-03-30,6,9.92
2012-04-13,6,10.13
2012-04-20,6,10.75
2012-04-27,6,10.82
2012-05-04,6,11
2012-05-11,6,11.37
2012-05-18,6,10.14
2012-05-25,7,11.37
2012-06-01,5,11.51
2012-06-08,7,10.38
2012-06-15,9,10.26
2012-06-22,7,11.04
2012-06-29,9,10.95
2012-07-06,5,11
2012-07-13,7,10.82
2012-07-20,6,9.94
2012-07-27,7,9.42
2012-08-03,6,9.29
2012-08-10,6,9.06
2012-08-17,6,9.13
2012-08-24,6,9.11
2012-08-31,5,8.65
2012-09-07,5,9.28
2012-09-14,5,9.27
2012-09-21,5,9.07
2012-09-28,5,9.16
2012-10-05,6,10.28
2012-10-12,6,10.02
2012-10-19,5,10
2012-10-26,5,9.64
2012-11-02,5,9.7
2012-11-09,5,10.19
2012-11-16,6,9.33
2012-11-23,4,9.84
2012-11-30,4,10
2012-12-07,4,10.11
2012-12-14,5,11.22
2012-12-21,5,11.86
2012-12-28,5,11.5
2013-01-04,4,12.98
2013-01-11,5,13.35
2013-01-18,5,13.61
2013-01-25,4,14.17
2013-02-01,5,13.82
2013-02-08,4,14.62
2013-02-15,4,14.45
2013-02-22,5,13.75
2013-03-01,5,14.82
2013-03-08,5,16.24
2013-03-15,5,16
2013-03-22,5,16.71
2013-04-05,5,14.39
2013-04-12,6,15.48
2013-04-19,5,15.26
2013-04-26,5,16.81
2013-05-03,5,17.96
2013-05-10,4,18.13
2013-05-17,5,18.54
2013-05-24,5,18.93
2013-05-31,5,18.01
2013-06-07,5,18.38
2013-06-14,5,18.85
2013-06-21,5,18.28
2013-06-28,6,18.71
2013-07-05,4,19
2013-07-12,6,19.29
2013-07-19,5,20.29
2013-07-26,4,21.9
2013-08-02,5,21.95
2013-08-09,5,20.57
2013-08-16,5,19.83
2013-08-23,5,20.12
2013-08-30,4,19.73
2013-09-06,5,19.89
2013-09-13,4,22.47
2013-09-20,4,23.3
2013-09-27,4,23.57
2013-10-04,5,25.19
2013-10-11,5,24.4
2013-10-18,5,25.01
2013-10-25,5,26.31
2013-11-01,4,26.7
2013-11-08,5,26.89
2013-11-15,4,28.12
2013-11-22,4,28.6
2013-11-29,5,28.98
2013-12-06,5,28.23
2013-12-13,5,28.37
2013-12-20,5,27.55
2013-12-27,5,27.03
2014-01-03,5,29.23
2014-01-10,6,31.47
2014-01-17,5,31.07
2014-01-24,5,31.11
2014-01-31,5,30.61
2014-02-07,4,31.65
2014-02-14,4,31.34
2014-02-21,5,31.76
2014-02-28,4,33.21
2014-03-07,5,35.36
2014-03-14,5,34.12
2014-03-21,5,32.73
2014-03-28,4,33.53
2014-04-04,5,34.61
2014-04-11,5,32.52
2014-04-25,5,36.07
