"Date","TDC","Price"
2011-05-06,50,53.8
2011-05-13,50,53.31
2011-05-20,49,55.68
2011-05-27,52,55.37
2011-06-03,48,53.73
2011-06-10,52,52.98
2011-06-17,52,56.12
2011-06-24,51,57.43
2011-07-01,54,60.91
2011-07-08,52,61.17
2011-07-15,50,57.77
2011-07-22,46,57.27
2011-07-29,47,54.96
2011-08-05,49,53.76
2011-08-12,55,55.15
2011-08-19,50,43.35
2011-08-26,49,48.67
2011-09-02,51,49.03
2011-09-09,48,48.09
2011-09-16,52,52.55
2011-09-23,52,53.38
2011-09-30,52,53.53
2011-10-07,51,53.72
2011-10-14,48,59.31
2011-10-21,49,55.5
2011-10-28,52,62.18
2011-11-04,50,56.9
2011-11-11,54,56.38
2011-11-18,51,52.77
2011-11-25,51,49.48
2011-12-02,55,53.74
2011-12-09,51,52.77
2011-12-16,54,49.28
2011-12-23,49,48.97
2011-12-30,53,48.51
2012-01-06,57,47.37
2012-01-13,55,48.8
2012-01-20,52,52.53
2012-01-27,48,53.37
2012-02-03,48,56.84
2012-02-10,47,62.06
2012-02-17,47,62.63
2012-02-24,47,65.48
2012-03-02,48,66.59
2012-03-09,52,66.41
2012-03-16,48,68.24
2012-03-23,51,68.62
2012-03-30,50,68.15
2012-04-13,47,69.02
2012-04-20,49,68.9
2012-04-27,48,70.88
2012-05-04,44,73.14
2012-05-11,49,71.14
2012-05-18,46,65.38
2012-05-25,44,70.54
2012-06-01,50,64.64
2012-06-08,49,68.66
2012-06-15,50,72.11
2012-06-22,52,71.38
2012-06-29,50,72.01
2012-07-06,53,65.01
2012-07-13,46,65.59
2012-07-20,43,66.97
2012-07-27,41,68.26
2012-08-03,48,72.7
2012-08-10,48,75.7
2012-08-17,46,76.09
2012-08-24,51,75.47
2012-08-31,49,76.38
2012-09-07,50,80.2
2012-09-14,51,75.24
2012-09-21,50,77.04
2012-09-28,52,75.41
2012-10-05,52,75.67
2012-10-12,48,74.59
2012-10-19,44,72.29
2012-10-26,48,67.7
2012-11-02,48,63.08
2012-11-09,46,63.33
2012-11-16,43,62.44
2012-11-23,45,62.28
2012-11-30,43,59.48
2012-12-07,48,58.19
2012-12-14,47,59.43
2012-12-21,46,62.4
2012-12-28,46,60.69
2013-01-04,47,62.83
2013-01-11,49,65.34
2013-01-18,48,65.61
2013-01-25,46,69.34
2013-02-01,48,66.42
2013-02-08,48,62.75
2013-02-15,46,62.59
2013-02-22,45,63.19
2013-03-01,45,58.56
2013-03-08,45,59.03
2013-03-15,47,57.73
2013-03-22,46,57.13
2013-04-05,49,53.35
2013-04-12,48,55.2
2013-04-19,43,50.35
2013-04-26,42,52.09
2013-05-03,46,50.65
2013-05-10,41,55.25
2013-05-17,43,57.34
2013-05-24,44,54.4
2013-05-31,45,55.75
2013-06-07,41,56.9
2013-06-14,44,56.08
2013-06-21,44,50.7
2013-06-28,45,50.23
2013-07-05,47,51.69
2013-07-12,42,55.91
2013-07-19,40,58.08
2013-07-26,41,58.25
2013-08-02,43,63.37
2013-08-09,42,63.76
2013-08-16,44,61.69
2013-08-23,43,60.94
2013-08-30,44,58.56
2013-09-06,42,56.92
2013-09-13,44,59.31
2013-09-20,45,60.73
2013-09-27,44,56.51
2013-10-04,45,54.12
2013-10-11,44,52.95
2013-10-18,45,42.64
2013-10-25,45,44.47
2013-11-01,48,44
2013-11-08,46,43.5
2013-11-15,45,45.59
2013-11-22,43,45.29
2013-11-29,44,45.64
2013-12-06,46,41.88
2013-12-13,43,40.99
2013-12-20,45,44.78
2013-12-27,40,44.76
2014-01-03,44,45.36
2014-01-10,46,44.31
2014-01-17,44,47.24
2014-01-24,46,43.78
2014-01-31,43,41.12
2014-02-07,41,40.95
2014-02-14,43,43.31
2014-02-21,42,45.58
2014-02-28,42,45.92
2014-03-07,45,46.84
2014-03-14,44,44.69
2014-03-21,44,47.79
2014-03-28,42,48.1
2014-04-04,41,47.79
2014-04-11,43,44.71
2014-04-25,39,44.84
