"Date","GGP","Price"
2009-08-07,20,2.45
2009-08-14,22,2.92
2009-08-21,18,2.95
2009-08-28,17,2.69
2009-09-04,22,2.6
2009-09-11,20,3.48
2009-09-18,17,4.2
2009-09-25,20,3.77
2009-10-02,17,4.38
2009-10-09,16,5.15
2009-10-16,23,5.06
2009-10-23,16,5.19
2009-10-30,16,4.08
2009-11-06,15,3.99
2009-11-13,19,4.13
2009-11-20,18,6.58
2009-11-27,18,6.27
2009-12-04,20,9.8
2009-12-11,19,10.67
2009-12-18,16,9.4
2010-01-08,19,12.35
2010-01-15,19,10.98
2010-01-22,19,10.3
2010-01-29,17,9.3
2010-02-05,20,9
2010-02-12,20,9.4
2010-02-19,30,12.74
2010-02-26,24,13.11
2010-03-05,23,14.01
2010-03-12,28,14.75
2010-03-19,26,16.75
2010-03-26,25,16.49
2010-04-09,25,16.73
2010-04-16,27,15.38
2010-04-23,30,15.5
2010-04-30,24,15.7
2010-05-07,31,14.07
2010-05-14,22,14.5
2010-05-21,23,13.12
2010-05-28,23,14.02
2010-06-04,19,13.68
2010-06-11,21,13.65
2010-06-18,22,14.63
2010-06-25,23,14.24
2010-07-02,22,12.75
2010-07-09,16,13.75
2010-07-16,18,13.23
2010-07-23,20,13.76
2010-07-30,19,13.92
2010-08-06,20,14.23
2010-08-13,19,13.5
2010-08-20,21,13.96
2010-08-27,21,13.93
2010-09-03,18,14.74
2010-09-10,21,14.66
2010-09-17,22,15.08
2010-09-24,18,15.54
2010-10-01,20,15.58
2010-10-08,19,15.8
2010-10-15,17,16.12
2010-10-22,18,16.99
2010-10-29,23,16.8
2010-11-05,16,17.75
2010-11-12,29,15.4
2010-11-19,24,15.1
2010-11-26,19,16.28
2010-12-03,17,15.94
2010-12-10,16,15.14
2010-12-17,16,15.6
2010-12-31,16,15.48
2011-01-07,18,15.02
2011-01-14,18,15.1
2011-01-21,15,14.35
2011-01-28,19,14.57
2011-02-04,17,14.96
2011-02-11,17,15.45
2011-02-18,23,15.76
2011-02-25,17,15.58
2011-03-04,18,15.13
2011-03-11,17,14.88
2011-03-18,17,15.2
2011-03-25,18,15.14
2011-04-01,17,15.47
2011-04-08,19,15.01
2011-04-15,20,15.44
2011-04-29,21,16.7
2011-05-06,19,15.92
2011-05-13,17,16.12
2011-05-20,21,16.04
2011-05-27,19,16.3
2011-06-03,17,16.23
2011-06-10,20,15.54
2011-06-17,18,16.36
2011-06-24,16,16.11
2011-07-01,21,16.72
2011-07-08,16,17.27
2011-07-15,18,16.44
2011-07-22,17,17.38
2011-07-29,16,16.81
2011-08-05,17,13.8
2011-08-12,19,13.86
2011-08-19,17,13.13
2011-08-26,19,13.04
2011-09-02,14,12.71
2011-09-09,15,12.06
2011-09-16,16,12.71
2011-09-23,17,12.33
2011-09-30,19,12.1
2011-10-07,16,11.85
2011-10-14,15,12.78
2011-10-21,16,13.48
2011-10-28,18,14.76
2011-11-04,16,14.55
2011-11-11,15,14.46
2011-11-18,14,13.7
2011-11-25,18,12.99
2011-12-02,16,13.92
2011-12-09,13,14.12
2011-12-16,13,14.52
2011-12-23,13,15
2011-12-30,12,15.02
2012-01-06,12,14.81
2012-01-13,14,14.75
2012-01-20,16,15.61
2012-01-27,16,15.96
2012-02-03,14,16.55
2012-02-10,17,16.4
2012-02-17,14,16.79
2012-02-24,15,16.73
2012-03-02,18,16.5
2012-03-09,14,16.36
2012-03-16,18,16.91
2012-03-23,14,16.63
2012-03-30,18,16.99
2012-04-13,17,16.7
2012-04-20,16,17.31
2012-04-27,16,18.05
2012-05-04,17,17.9
2012-05-11,18,18
2012-05-18,22,16.29
2012-05-25,20,16.81
2012-06-01,17,16.15
2012-06-08,18,17.13
2012-06-15,18,17.1
2012-06-22,16,17.3
2012-06-29,15,18.09
2012-07-06,17,18.49
2012-07-13,15,18.07
2012-07-20,18,17.23
2012-07-27,19,18.1
2012-08-03,15,18.79
2012-08-10,15,18.7
2012-08-17,18,18.55
2012-08-24,21,19.76
2012-08-31,17,20.58
2012-09-07,18,20.99
2012-09-14,20,20.07
2012-09-21,17,19.45
2012-09-28,15,19.48
2012-10-05,15,19.35
2012-10-12,15,19.32
2012-10-19,14,19.47
2012-10-26,15,19.14
2012-11-02,11,19.34
2012-11-09,11,18.88
2012-11-16,15,18.67
2012-11-23,11,19.02
2012-11-30,13,19.37
2012-12-07,12,20.2
2012-12-14,16,19.95
2012-12-21,12,19.65
2012-12-28,9,19.68
2013-01-04,12,19.27
2013-01-11,13,19.13
2013-01-18,12,19.39
2013-01-25,12,19.68
2013-02-01,11,19.98
2013-02-08,13,20.14
2013-02-15,12,19.96
2013-02-22,12,19.66
2013-03-01,13,19.7
2013-03-08,13,19.75
2013-03-15,13,19.88
2013-03-22,14,19.95
2013-04-05,13,20.48
2013-04-12,13,21.2
2013-04-19,16,21.53
2013-04-26,16,21.77
2013-05-03,14,22.96
2013-05-10,17,22.71
2013-05-17,18,22.97
2013-05-24,14,21.54
2013-05-31,15,20.53
2013-06-07,16,20.78
2013-06-14,21,20.88
2013-06-21,14,19.5
2013-06-28,16,19.87
2013-07-05,16,20.04
2013-07-12,17,21.03
2013-07-19,15,21.4
2013-07-26,14,21.63
2013-08-02,16,20.69
2013-08-09,16,20.82
2013-08-16,14,19.57
2013-08-23,13,19.41
2013-08-30,16,19.18
2013-09-06,13,19.12
2013-09-13,14,19.49
2013-09-20,13,20.01
2013-09-27,14,19.38
2013-10-04,13,19.85
2013-10-11,13,20.07
2013-10-18,12,21.04
2013-10-25,13,21.34
2013-11-01,13,21.56
2013-11-08,12,20.47
2013-11-15,13,20.79
2013-11-22,13,20.67
2013-11-29,12,20.75
2013-12-06,12,21.14
2013-12-13,14,20.4
2013-12-20,10,20.4
2013-12-27,9,20.16
2014-01-03,8,20.21
2014-01-10,15,20.53
2014-01-17,14,20.41
2014-01-24,12,19.61
2014-01-31,12,20.14
2014-02-07,13,20.61
2014-02-14,14,21.92
2014-02-21,13,22.26
2014-02-28,13,22.02
2014-03-07,13,22.13
2014-03-14,15,22.2
2014-03-21,14,21.73
2014-03-28,18,21.88
2014-04-04,19,22.19
2014-04-11,14,22.07
2014-04-25,16,22.68
