"Date","buy.TE","Price"
2009-05-01,58,11.27
2009-05-08,41,12.2
2009-05-15,46,11.09
2009-05-22,47,10.91
2009-05-29,25,11.22
2009-06-05,50,11.51
2009-06-12,49,12.04
2009-06-19,49,11.96
2009-06-26,45,11.73
2009-07-10,42,11.27
2009-07-17,57,12.09
2009-07-24,51,12.92
2009-07-31,45,13.49
2009-08-07,47,13.33
2009-08-14,58,13.05
2009-08-21,67,13.59
2009-08-28,49,13.43
2009-09-04,45,13.28
2009-09-11,53,13.2
2009-09-18,50,14.07
2009-09-25,40,14.07
2009-10-02,49,13.59
2009-10-09,42,14.32
2009-10-16,60,14.4
2009-10-23,64,14.24
2009-10-30,38,14.34
2009-11-06,45,14.64
2009-11-13,35,14.65
2009-11-20,61,14.54
2009-11-27,42,14.53
2009-12-04,30,15.34
2009-12-11,68,15.88
2009-12-18,36,16.2
2010-01-08,63,16.21
2010-01-15,46,16.32
2010-01-22,45,15.57
2010-01-29,38,15.57
2010-02-05,51,14.93
2010-02-12,43,14.9
2010-02-19,45,15.64
2010-02-26,56,15.33
2010-03-05,57,15.79
2010-03-12,52,15.86
2010-03-19,48,15.9
2010-03-26,54,15.75
2010-04-09,61,16.21
2010-04-16,37,16.34
2010-04-23,32,17
2010-04-30,49,16.93
2010-05-07,61,15.48
2010-05-14,50,16.02
2010-05-21,30,15.04
2010-05-28,47,15.55
2010-06-04,58,14.97
2010-06-11,47,15.65
2010-06-18,51,16.19
2010-06-25,45,15.6
2010-07-02,52,15.11
2010-07-09,52,16.15
2010-07-16,52,16.09
2010-07-23,63,16.66
2010-07-30,55,16.34
2010-08-06,64,17.17
2010-08-13,43,16.14
2010-08-20,57,16.41
2010-08-27,53,17.09
2010-09-03,52,17.45
2010-09-10,63,17.05
2010-09-17,51,16.96
2010-09-24,46,17.48
2010-10-01,41,17.5
2010-10-08,68,17.62
2010-10-15,48,17.53
2010-10-22,57,17.75
2010-10-29,51,17.59
2010-11-05,44,17.59
2010-11-12,52,16.97
2010-11-19,68,16.95
2010-11-26,62,16.88
2010-12-03,52,17.02
2010-12-10,64,16.98
2010-12-17,46,17.49
2010-12-31,62,17.8
2011-01-07,74,18.09
2011-01-14,69,18.2
2011-01-21,53,18.14
2011-01-28,67,18.25
2011-02-04,52,18.25
2011-02-11,73,17.79
2011-02-18,64,17.8
2011-02-25,52,17.92
2011-03-04,59,18.07
2011-03-11,63,18.14
2011-03-18,54,17.74
2011-03-25,60,18.25
2011-04-01,58,18.86
2011-04-08,46,18.97
2011-04-15,50,18.86
2011-04-29,69,19.27
2011-05-06,64,19.27
2011-05-13,57,19.15
2011-05-20,58,19.11
2011-05-27,57,19.06
2011-06-03,43,18.56
2011-06-10,62,18.44
2011-06-17,63,18.61
2011-06-24,54,18.5
2011-07-01,56,19.16
2011-07-08,52,19.17
2011-07-15,73,18.68
2011-07-22,53,19.25
2011-07-29,60,18.53
2011-08-05,55,17.18
2011-08-12,49,16.91
2011-08-19,59,17.15
2011-08-26,57,17.75
2011-09-02,51,17.71
2011-09-09,59,17.51
2011-09-16,58,18.49
2011-09-23,52,17.04
2011-09-30,45,17.13
2011-10-07,55,17.09
2011-10-14,68,17.86
2011-10-21,52,18.07
2011-10-28,57,18.81
2011-11-04,55,19.01
2011-11-11,68,18.82
2011-11-18,60,18.28
2011-11-25,81,17.51
2011-12-02,62,18.42
2011-12-09,61,18.46
2011-12-16,70,18.33
2011-12-23,76,19.09
2011-12-30,73,19.14
2012-01-06,81,18.94
2012-01-13,59,18.6
2012-01-20,70,18.3
2012-01-27,77,18.36
2012-02-03,60,18.28
2012-02-10,65,17.65
2012-02-17,57,18.1
2012-02-24,76,18.11
2012-03-02,61,17.94
2012-03-09,67,17.78
2012-03-16,72,17.75
2012-03-23,57,17.53
2012-03-30,56,17.55
2012-04-13,53,17.18
2012-04-20,48,17.85
2012-04-27,61,17.94
2012-05-04,52,17.85
2012-05-11,61,17.81
2012-05-18,47,17.23
2012-05-25,61,17.35
2012-06-01,67,17.2
2012-06-08,51,17.74
2012-06-15,55,18.13
2012-06-22,49,17.83
2012-06-29,70,18.06
2012-07-06,54,18.17
2012-07-13,58,18.29
2012-07-20,62,18.24
2012-07-27,52,18.22
2012-08-03,60,17.98
2012-08-10,68,17.94
2012-08-17,39,17.88
2012-08-24,65,17.61
2012-08-31,62,17.36
2012-09-07,70,17.54
2012-09-14,70,17.46
2012-09-21,55,17.51
2012-09-28,57,17.74
2012-10-05,73,17.55
2012-10-12,61,17.52
2012-10-19,70,17.89
2012-10-26,55,17.61
2012-11-02,50,17.82
2012-11-09,67,16.92
2012-11-16,62,16.51
2012-11-23,69,16.21
2012-11-30,69,16.81
2012-12-07,61,16.84
2012-12-14,52,16.6
2012-12-21,61,17.03
2012-12-28,68,16.56
2013-01-04,59,17.18
2013-01-11,65,17.14
2013-01-18,61,17.02
2013-01-25,56,17.19
2013-02-01,56,17.77
2013-02-08,66,17.05
2013-02-15,59,16.9
2013-02-22,61,17.12
2013-03-01,71,17.35
2013-03-08,54,17.32
2013-03-15,51,17.44
2013-03-22,50,17.35
2013-04-05,56,18.16
2013-04-12,54,18.45
2013-04-19,47,18.47
2013-04-26,56,18.83
2013-05-03,49,18.94
2013-05-10,54,18.63
2013-05-17,51,18.98
2013-05-24,55,18.29
2013-05-31,56,17.61
2013-06-07,50,17.5
2013-06-14,51,17.33
2013-06-21,43,16.76
2013-06-28,46,17.19
2013-07-05,46,16.71
2013-07-12,43,17.56
2013-07-19,52,17.83
2013-07-26,64,17.66
2013-08-02,50,17.78
2013-08-09,53,17.91
2013-08-16,63,16.71
2013-08-23,58,16.8
2013-08-30,53,16.53
2013-09-06,54,16.59
2013-09-13,52,16.35
2013-09-20,61,16.71
2013-09-27,58,16.51
2013-10-04,59,16.5
2013-10-11,49,16.99
2013-10-18,56,17.17
2013-10-25,56,17.61
2013-11-01,51,17.34
2013-11-08,63,17.07
2013-11-15,60,17.42
2013-11-22,70,17.16
2013-11-29,55,17.04
2013-12-06,53,17.34
2013-12-13,56,16.81
2013-12-20,58,17.04
2013-12-27,48,17.14
2014-01-03,56,16.96
2014-01-10,53,17.14
2014-01-17,48,16.91
2014-01-24,57,16.69
2014-01-31,50,16.38
2014-02-07,53,16.31
2014-02-14,45,16.65
2014-02-21,39,16.7
2014-02-28,53,16.78
2014-03-07,56,16.34
2014-03-14,43,16.93
2014-03-21,50,16.69
2014-03-28,55,16.97
2014-04-04,40,17.14
2014-04-11,53,17.22
2014-04-25,45,18.38
