"Date","XLNX","Price"
2010-01-22,40,23.84
2010-01-29,34,23.58
2010-02-05,35,23.62
2010-02-12,24,24.56
2010-02-19,29,25.71
2010-02-26,28,25.83
2010-03-05,30,26.71
2010-03-12,31,26.61
2010-03-19,26,26.6
2010-03-26,23,25.4
2010-04-09,24,26.38
2010-04-16,31,27.49
2010-04-23,54,27.3
2010-04-30,47,25.79
2010-05-07,27,24.44
2010-05-14,19,24.05
2010-05-21,19,24.34
2010-05-28,21,24.45
2010-06-04,29,24.96
2010-06-11,21,25.07
2010-06-18,21,26.8
2010-06-25,24,25.9
2010-07-02,20,25.33
2010-07-09,20,27.62
2010-07-16,29,27.59
2010-07-23,32,29.2
2010-07-30,26,27.92
2010-08-06,25,27.91
2010-08-13,26,25.04
2010-08-20,32,25.45
2010-08-27,19,24.93
2010-09-03,17,25.39
2010-09-10,22,24.67
2010-09-17,39,26.45
2010-09-24,36,26.54
2010-10-01,45,26.35
2010-10-08,28,26.08
2010-10-15,34,26.48
2010-10-22,41,25.2
2010-10-29,45,26.8
2010-11-05,43,27.73
2010-11-12,29,26.64
2010-11-19,29,27.18
2010-11-26,31,27.52
2010-12-03,31,28.87
2010-12-10,40,28.65
2010-12-17,41,28.21
2010-12-31,17,28.98
2011-01-07,27,29.97
2011-01-14,39,31.69
2011-01-21,44,31.28
2011-01-28,51,32.19
2011-02-04,48,33.62
2011-02-11,36,33.78
2011-02-18,33,33.92
2011-02-25,26,33.79
2011-03-04,29,34.96
2011-03-11,21,32.33
2011-03-18,43,31.77
2011-03-25,45,32.97
2011-04-01,34,32.15
2011-04-08,33,31.65
2011-04-15,38,31.46
2011-04-29,39,34.86
2011-05-06,19,35.73
2011-05-13,32,35.95
2011-05-20,23,35.77
2011-05-27,22,34.92
2011-06-03,34,33.73
2011-06-10,25,33.56
2011-06-17,29,32.95
2011-06-24,23,34.64
2011-07-01,29,37.06
2011-07-08,25,36.24
2011-07-15,24,33.48
2011-07-22,21,33.66
2011-07-29,20,32.1
2011-08-05,21,29.93
2011-08-12,17,30.11
2011-08-19,18,28.36
2011-08-26,24,30.24
2011-09-02,37,29.8
2011-09-09,23,30.01
2011-09-16,32,31.74
2011-09-23,38,28.92
2011-09-30,28,27.44
2011-10-07,28,28.78
2011-10-14,37,30.59
2011-10-21,31,30.22
2011-10-28,38,33.19
2011-11-04,37,32.85
2011-11-11,41,32.85
2011-11-18,34,31.47
2011-11-25,21,30.07
2011-12-02,36,33.11
2011-12-09,33,32.64
2011-12-16,24,31.21
2011-12-23,21,32.35
2011-12-30,13,32.06
2012-01-06,20,32.17
2012-01-13,27,32.99
2012-01-20,42,35.77
2012-01-27,34,35.99
2012-02-03,38,36.92
2012-02-10,48,36.33
2012-02-17,29,37.28
2012-02-24,19,37.23
2012-03-02,29,36.48
2012-03-09,28,36.44
2012-03-16,37,37.27
2012-03-23,23,36.07
2012-03-30,29,36.48
2012-04-13,29,35.2
2012-04-20,23,34.4
2012-04-27,50,36.5
2012-05-04,34,34.06
2012-05-11,31,33.24
2012-05-18,33,31.31
2012-05-25,36,31.98
2012-06-01,31,31
2012-06-08,32,32.84
2012-06-15,29,32.55
2012-06-22,31,32.66
2012-06-29,33,33.57
2012-07-06,19,32.44
2012-07-13,23,31.45
2012-07-20,26,31.14
2012-07-27,16,32.9
2012-08-03,13,33.36
2012-08-10,15,33.71
2012-08-17,19,33.96
2012-08-24,19,33.9
2012-08-31,18,33.91
2012-09-07,19,34.87
2012-09-14,24,35.23
2012-09-21,23,34.95
2012-09-28,27,33.41
2012-10-05,31,34.06
2012-10-12,23,32.68
2012-10-19,29,33.06
2012-10-26,27,32.83
2012-11-02,32,33.19
2012-11-09,33,33.59
2012-11-16,16,32.56
2012-11-23,34,34.19
2012-11-30,28,34.65
2012-12-07,40,34.86
2012-12-14,40,35.37
2012-12-21,26,36.1
2012-12-28,20,35.31
2013-01-04,29,36.5
2013-01-11,25,35.8
2013-01-18,33,37.17
2013-01-25,42,36.85
2013-02-01,39,37.16
2013-02-08,31,37.51
2013-02-15,42,38.12
2013-02-22,34,37.96
2013-03-01,37,36.65
2013-03-08,32,38.37
2013-03-15,23,38.45
2013-03-22,36,37.97
2013-04-05,33,36.36
2013-04-12,31,37.08
2013-04-19,34,35.51
2013-04-26,32,37.44
2013-05-03,30,38.16
2013-05-10,27,38.56
2013-05-17,30,39.22
2013-05-24,27,39.4
2013-05-31,29,40.65
2013-06-07,31,40.6
2013-06-14,28,38.88
2013-06-21,28,38.98
2013-06-28,28,39.61
2013-07-05,22,40.49
2013-07-12,22,42.98
2013-07-19,45,45.86
2013-07-26,30,46.18
2013-08-02,22,46.51
2013-08-09,24,45.3
2013-08-16,20,44.56
2013-08-23,24,44.19
2013-08-30,24,43.42
2013-09-06,47,46.18
2013-09-13,25,47.27
2013-09-20,19,47.12
2013-09-27,29,46.54
2013-10-04,39,46.65
2013-10-11,39,47.28
2013-10-18,38,45.5
2013-10-25,34,44.64
2013-11-01,41,45.28
2013-11-08,45,44.63
2013-11-15,36,43.66
2013-11-22,42,43.98
2013-11-29,27,44.43
2013-12-06,34,44.35
2013-12-13,41,43.32
2013-12-20,34,44.71
2013-12-27,22,45.29
2014-01-03,27,45.62
2014-01-10,39,45.76
2014-01-17,38,47.22
2014-01-24,56,46.86
2014-01-31,44,46.42
2014-02-07,40,46.1
2014-02-14,41,49.89
2014-02-21,41,50.81
2014-02-28,35,52.2
2014-03-07,33,53.03
2014-03-14,37,51.9
2014-03-21,33,54.5
2014-03-28,35,53.84
2014-04-04,39,53.13
2014-04-11,31,51.35
2014-04-25,40,47.8
