"Date","SNA","Price"
2007-01-05,64,46.97
2007-01-12,66,47.72
2007-01-19,66,47.74
2007-01-26,64,47.67
2007-02-02,60,50.51
2007-02-09,62,49.71
2007-02-16,70,49.9
2007-02-23,63,50.81
2007-03-02,58,49.11
2007-03-09,65,49.12
2007-03-16,63,47.77
2007-03-23,63,49.78
2007-03-30,66,48.1
2007-04-13,63,47.76
2007-04-20,67,48.11
2007-04-27,61,55.32
2007-05-04,67,55.08
2007-05-11,68,54.95
2007-05-18,67,52.5
2007-05-25,67,52.63
2007-06-01,68,54.22
2007-06-08,67,53.33
2007-06-15,70,53.11
2007-06-22,67,51.58
2007-06-29,70,50.51
2007-07-06,67,51.6
2007-07-13,69,51
2007-07-20,74,50.06
2007-07-27,65,52.07
2007-08-03,73,52.44
2007-08-10,69,50.5
2007-08-17,69,47.92
2007-08-24,66,50.05
2007-08-31,72,48.98
2007-09-07,66,47.29
2007-09-14,68,46.49
2007-09-21,69,49.13
2007-09-28,62,49.54
2007-10-05,63,49.92
2007-10-12,65,47.93
2007-10-19,65,45.98
2007-10-26,81,49.97
2007-11-02,63,50.18
2007-11-09,66,47.54
2007-11-16,67,47.14
2007-11-23,61,47.07
2007-11-30,63,48.88
2007-12-07,60,48.84
2007-12-14,60,46.47
2007-12-21,65,47.46
2007-12-28,59,48.13
2008-01-04,56,44.96
2008-01-11,62,42.15
2008-01-18,65,39.78
2008-01-25,53,41.78
2008-02-01,66,51.23
2008-02-08,62,48.98
2008-02-15,68,50.52
2008-02-22,65,50.95
2008-02-29,63,49.92
2008-03-07,61,48.4
2008-03-14,66,47.37
2008-03-28,58,48.99
2008-04-04,61,54.08
2008-04-11,57,50.57
2008-04-18,61,55.01
2008-04-25,61,59.8
2008-05-02,62,58.99
2008-05-09,62,58.46
2008-05-16,68,60.78
2008-05-23,65,59.57
2008-05-30,63,61.92
2008-06-06,61,60.38
2008-06-13,64,58.8
2008-06-20,65,54.74
2008-06-27,66,51.74
2008-07-11,58,50.96
2008-07-18,66,51.28
2008-07-25,64,56.28
2008-08-01,68,55.87
2008-08-08,63,59.34
2008-08-15,63,59.31
2008-08-22,63,57.44
2008-08-29,60,57.02
2008-09-05,60,58
2008-09-12,63,57.57
2008-09-19,60,58.44
2008-09-26,62,54.99
2008-10-03,61,48.53
2008-10-10,58,40.3
2008-10-17,61,38.9
2008-10-24,63,34.72
2008-10-31,68,36.95
2008-11-07,60,35.21
2008-11-14,60,32.33
2008-11-21,57,30.37
2008-11-28,54,36.05
2008-12-05,57,36
2008-12-12,58,37.07
2008-12-19,58,38.43
2008-12-26,55,37.47
2009-01-02,45,41.1
2009-01-09,53,38.83
2009-01-16,57,35.81
2009-01-23,56,32.22
2009-01-30,56,30.18
2009-02-06,61,31.62
2009-02-13,55,28.46
2009-02-20,62,25.53
2009-02-27,59,23.59
2009-03-06,60,21.52
2009-03-13,59,24.24
2009-03-20,59,25.26
2009-03-27,61,27.16
2009-04-03,59,28.15
2009-04-17,57,29.71
2009-04-24,60,34.7
2009-05-01,56,34.05
2009-05-08,53,32.99
2009-05-15,60,29.12
2009-05-22,58,30.23
2009-05-29,54,31.15
2009-06-05,58,32.82
2009-06-12,59,32.15
2009-06-19,63,29.79
2009-06-26,59,29.28
2009-07-10,62,27.18
2009-07-17,67,29.42
2009-07-24,60,33.32
2009-07-31,64,35.63
2009-08-07,62,38.63
2009-08-14,64,37.18
2009-08-21,62,38.02
2009-08-28,61,38.17
2009-09-04,63,37.19
2009-09-11,61,36.15
2009-09-18,59,36.78
2009-09-25,59,35.1
2009-10-02,55,33.48
2009-10-09,55,36.28
2009-10-16,59,36.94
2009-10-23,56,37.76
2009-10-30,60,36.53
2009-11-06,59,37.99
2009-11-13,54,38.14
2009-11-20,55,36.83
2009-11-27,52,36.44
2009-12-04,58,38.55
2009-12-11,52,39.17
2009-12-18,48,40.04
2010-01-08,50,44.71
2010-01-15,51,43.4
2010-01-22,58,43.21
2010-01-29,54,40.88
2010-02-05,55,40.31
2010-02-12,56,41.61
2010-02-19,52,42.9
2010-02-26,55,42.22
2010-03-05,57,43.45
2010-03-12,52,43.31
2010-03-19,52,42.88
2010-03-26,55,42.8
2010-04-09,55,44.9
2010-04-16,55,44.94
2010-04-23,48,49.22
2010-04-30,54,48.18
2010-05-07,56,43.5
2010-05-14,56,45.72
2010-05-21,58,43.02
2010-05-28,48,44.2
2010-06-04,58,42.36
2010-06-11,55,43.01
2010-06-18,55,43.77
2010-06-25,56,42.14
2010-07-02,51,40.36
2010-07-09,51,42.86
2010-07-16,55,41.56
2010-07-23,51,45.44
2010-07-30,50,44.67
2010-08-06,54,44.15
2010-08-13,53,41.78
2010-08-20,55,40.93
2010-08-27,51,41.22
2010-09-03,51,44.5
2010-09-10,56,44.51
2010-09-17,52,45.56
2010-09-24,49,46.9
2010-10-01,58,46.64
2010-10-08,55,47.35
2010-10-15,54,48.51
2010-10-22,52,50
2010-10-29,57,51
2010-11-05,55,52.96
2010-11-12,55,51.86
2010-11-19,55,52.89
2010-11-26,54,52.86
2010-12-03,50,55.53
2010-12-10,53,55.79
2010-12-17,51,57.21
2010-12-31,50,56.58
2011-01-07,50,55.03
2011-01-14,53,57
2011-01-21,52,55.78
2011-01-28,54,56.16
2011-02-04,53,58.4
2011-02-11,54,59.01
2011-02-18,56,61.28
2011-02-25,53,56.87
2011-03-04,56,57.86
2011-03-11,56,57.98
2011-03-18,61,57.66
2011-03-25,53,59.25
2011-04-01,52,61.08
2011-04-08,52,60.06
2011-04-15,55,60.36
2011-04-29,55,61.77
2011-05-06,54,59.99
2011-05-13,54,59.82
2011-05-20,54,60.63
2011-05-27,54,60.05
2011-06-03,50,57.07
2011-06-10,54,55.54
2011-06-17,51,57.47
2011-06-24,54,60.06
2011-07-01,52,63.63
2011-07-08,52,63.6
2011-07-15,55,61.61
2011-07-22,52,60.62
2011-07-29,53,56.86
2011-08-05,52,52.07
2011-08-12,45,50.07
2011-08-19,51,45.92
2011-08-26,48,49.57
2011-09-02,52,50.35
2011-09-09,47,49.15
2011-09-16,52,51.8
2011-09-23,53,45.01
2011-09-30,49,44.4
2011-10-07,50,45.54
2011-10-14,51,49.3
2011-10-21,53,51.63
2011-10-28,52,54.84
2011-11-04,52,54.96
2011-11-11,52,55.36
2011-11-18,48,52.15
2011-11-25,47,48.05
2011-12-02,47,51.58
2011-12-09,46,51.41
2011-12-16,49,49.59
2011-12-23,47,51.9
2011-12-30,43,50.62
2012-01-06,46,52.01
2012-01-13,49,53.03
2012-01-20,47,54.41
2012-01-27,50,56.76
2012-02-03,46,59.59
2012-02-10,47,60.98
2012-02-17,49,62.16
2012-02-24,44,60.73
2012-03-02,50,60.33
2012-03-09,49,60.45
2012-03-16,50,61.51
2012-03-23,47,60.58
2012-03-30,47,60.97
2012-04-13,44,59.27
2012-04-20,45,61.65
2012-04-27,43,63.55
2012-05-04,43,62.35
2012-05-11,44,61.33
2012-05-18,44,58.1
2012-05-25,43,60.12
2012-06-01,42,58.57
2012-06-08,45,62.66
2012-06-15,47,63.19
2012-06-22,45,62.1
2012-06-29,44,62.25
2012-07-06,39,61.66
2012-07-13,44,61.21
2012-07-20,43,67.65
2012-07-27,44,70.2
2012-08-03,41,67.45
2012-08-10,40,68.64
2012-08-17,42,70.31
2012-08-24,47,69.96
2012-08-31,43,69.42
2012-09-07,44,73.23
2012-09-14,45,73.43
2012-09-21,47,71.98
2012-09-28,46,71.87
2012-10-05,46,72.77
2012-10-12,42,71.28
2012-10-19,43,75.85
2012-10-26,43,76.51
2012-11-02,43,78.75
2012-11-09,42,77.17
2012-11-16,41,74.76
2012-11-23,42,77.83
2012-11-30,43,79.44
2012-12-07,38,78.06
2012-12-14,41,77.89
2012-12-21,41,78.22
2012-12-28,34,77.34
2013-01-04,39,79.97
2013-01-11,43,79.6
2013-01-18,43,81.04
2013-01-25,43,81.72
2013-02-01,41,82.08
2013-02-08,43,79.14
2013-02-15,40,79.43
2013-02-22,42,78.81
2013-03-01,40,79.66
2013-03-08,41,81.97
2013-03-15,42,81.23
2013-03-22,43,81.59
2013-04-05,41,81.6
2013-04-12,43,84.87
2013-04-19,43,81.17
2013-04-26,41,84.51
2013-05-03,40,87.25
2013-05-10,40,89.34
2013-05-17,41,91.67
2013-05-24,41,90.23
2013-05-31,41,91.09
2013-06-07,41,91.82
2013-06-14,40,91.05
2013-06-21,44,88.07
2013-06-28,44,89.38
2013-07-05,41,92.07
2013-07-12,43,93.26
2013-07-19,41,95.44
2013-07-26,42,94.09
2013-08-02,41,95.8
2013-08-09,40,96.47
2013-08-16,40,98.39
2013-08-23,44,95.67
2013-08-30,41,93.6
2013-09-06,41,95.89
2013-09-13,44,99.52
2013-09-20,40,100.84
2013-09-27,42,99.72
2013-10-04,43,99.59
2013-10-11,41,98.93
2013-10-18,43,101.59
2013-10-25,40,102.09
2013-11-01,42,103.8
2013-11-08,39,104.96
2013-11-15,39,107.04
2013-11-22,41,106.24
2013-11-29,39,106.15
2013-12-06,42,105.96
2013-12-13,39,103.79
2013-12-20,40,106.89
2013-12-27,35,108.27
2014-01-03,37,108.76
2014-01-10,42,107.53
2014-01-17,42,107.67
2014-01-24,42,100.01
2014-01-31,41,100.15
2014-02-07,41,108.66
2014-02-14,45,109.57
2014-02-21,41,108.77
2014-02-28,42,112.17
2014-03-07,43,114.18
2014-03-14,44,111.06
2014-03-21,42,112.48
2014-03-28,41,112.2
2014-04-04,42,111.8
2014-04-11,41,109.36
2014-04-25,41,115.47
