"Date","CI","Price"
2006-06-16,54,93.45
2006-06-23,55,94.15
2006-06-30,56,98.51
2006-07-07,52,99.6
2006-07-14,50,101.04
2006-07-21,53,102.22
2006-07-28,51,91.65
2006-08-04,55,105.04
2006-08-11,49,105.94
2006-08-18,55,111.7
2006-08-25,53,110
2006-09-01,53,113.42
2006-09-08,54,112.52
2006-09-15,59,115.26
2006-09-22,57,117.11
2006-09-29,56,116.32
2006-10-06,59,117.73
2006-10-13,61,117.86
2006-10-20,55,119.9
2006-10-27,56,118.2
2006-11-03,54,120.68
2006-11-10,57,119.15
2006-11-17,58,121.49
2006-11-24,58,124.69
2006-12-01,56,125.39
2006-12-08,55,128.01
2006-12-15,57,129.65
2006-12-22,55,130.35
2006-12-29,55,131.57
2007-01-05,53,128.39
2007-01-12,56,130.77
2007-01-19,57,129.94
2007-01-26,55,129.95
2007-02-02,57,133.95
2007-02-09,56,137.99
2007-02-16,59,143.92
2007-02-23,59,143.89
2007-03-02,58,141.01
2007-03-09,60,139.95
2007-03-16,61,142.33
2007-03-23,61,146.41
2007-03-30,60,142.66
2007-04-13,56,148.93
2007-04-20,61,152.27
2007-04-27,61,154.43
2007-05-04,59,160.9
2007-05-11,65,163.5
2007-05-18,61,166.67
2007-05-25,64,165.09
2007-06-01,64,168.5
2007-06-08,59,54.9
2007-06-15,60,54.46
2007-06-22,60,52.98
2007-06-29,60,52.22
2007-07-06,61,54.28
2007-07-13,60,53.89
2007-07-20,59,52.37
2007-07-27,57,50.19
2007-08-03,59,47.87
2007-08-10,58,47.4
2007-08-17,57,47.65
2007-08-24,59,50.66
2007-08-31,63,51.68
2007-09-07,63,51.9
2007-09-14,60,54.34
2007-09-21,65,52.87
2007-09-28,65,53.29
2007-10-05,66,52.77
2007-10-12,66,52.87
2007-10-19,67,51.45
2007-10-26,65,52.07
2007-11-02,66,49.93
2007-11-09,67,49.28
2007-11-16,69,49.41
2007-11-23,80,49.03
2007-11-30,77,53.61
2007-12-07,74,55.7
2007-12-14,68,53.72
2007-12-21,64,54.4
2007-12-28,64,54.6
2008-01-04,65,53.21
2008-01-11,69,55.05
2008-01-18,66,51.87
2008-01-25,67,48.57
2008-02-01,67,49.79
2008-02-08,68,47.58
2008-02-15,67,48.47
2008-02-22,68,47.37
2008-02-29,72,44.58
2008-03-07,68,42.89
2008-03-14,68,39.94
2008-03-28,67,41.11
2008-04-04,65,43.42
2008-04-11,70,41.85
2008-04-18,72,42.7
2008-04-25,68,43.49
2008-05-02,63,42.43
2008-05-09,66,41.28
2008-05-16,68,40.46
2008-05-23,70,40.59
2008-05-30,72,40.6
2008-06-06,72,41.55
2008-06-13,77,40.65
2008-06-20,73,36.19
2008-06-27,71,35.7
2008-07-11,67,33.81
2008-07-18,70,34.97
2008-07-25,71,37.1
2008-08-01,65,35.61
2008-08-08,66,42.18
2008-08-15,65,43.15
2008-08-22,68,42.26
2008-08-29,73,41.88
2008-09-05,69,39.82
2008-09-12,69,40.66
2008-09-19,72,36.85
2008-09-26,72,36.53
2008-10-03,75,33.4
2008-10-10,72,22.26
2008-10-17,77,25.22
2008-10-24,73,23.83
2008-10-31,78,16.3
2008-11-07,73,15.85
2008-11-14,73,12.95
2008-11-21,75,8.82
2008-11-28,69,12.11
2008-12-05,71,14.14
2008-12-12,73,15.54
2008-12-19,71,16.18
2008-12-26,67,15.88
2009-01-02,71,17.79
2009-01-09,74,16.71
2009-01-16,73,15.27
2009-01-23,75,15.52
2009-01-30,76,17.36
2009-02-06,75,21.73
2009-02-13,75,21.3
2009-02-20,75,18.67
2009-02-27,75,15.76
2009-03-06,78,13.44
2009-03-13,76,17.24
2009-03-20,79,17.26
2009-03-27,79,17.9
2009-04-03,77,18.34
2009-04-17,73,21.41
2009-04-24,78,19.58
2009-05-01,80,19.49
2009-05-08,83,23.68
2009-05-15,82,21.66
2009-05-22,79,19.93
2009-05-29,82,22.17
2009-06-05,79,22.84
2009-06-12,77,20.89
2009-06-19,79,25.24
2009-06-26,78,24.67
2009-07-10,76,23.98
2009-07-17,73,24.87
2009-07-24,72,26.2
2009-07-31,76,28.4
2009-08-07,74,27.65
2009-08-14,71,28.82
2009-08-21,72,29.87
2009-08-28,79,29.67
2009-09-04,82,29.9
2009-09-11,79,31.33
2009-09-18,79,31.84
2009-09-25,80,28.31
2009-10-02,79,27.82
2009-10-09,79,29.52
2009-10-16,82,28.37
2009-10-23,81,28.5
2009-10-30,79,27.84
2009-11-06,82,30.88
2009-11-13,78,30.59
2009-11-20,79,30.03
2009-11-27,84,32.64
2009-12-04,83,32.16
2009-12-11,82,35.56
2009-12-18,77,35.8
2010-01-08,81,37.97
2010-01-15,83,36.84
2010-01-22,82,36.72
2010-01-29,82,33.77
2010-02-05,84,33.36
2010-02-12,85,32.76
2010-02-19,85,32.8
2010-02-26,84,34.26
2010-03-05,83,34.77
2010-03-12,85,34.54
2010-03-19,81,37.08
2010-03-26,80,35.9
2010-04-09,84,36.63
2010-04-16,84,34.49
2010-04-23,82,33.99
2010-04-30,83,32.06
2010-05-07,89,31.39
2010-05-14,92,33.43
2010-05-21,88,32.65
2010-05-28,88,33.47
2010-06-04,91,34.07
2010-06-11,85,34.49
2010-06-18,86,35.21
2010-06-25,87,33.29
2010-07-02,82,29.77
2010-07-09,76,31.29
2010-07-16,78,30.34
2010-07-23,78,31.01
2010-07-30,80,30.76
2010-08-06,79,34.39
2010-08-13,76,33.38
2010-08-20,78,32.41
2010-08-27,82,32.52
2010-09-03,82,33.76
2010-09-10,88,34.64
2010-09-17,85,34.47
2010-09-24,84,36.01
2010-10-01,84,36.03
2010-10-08,84,35.42
2010-10-15,83,35.87
2010-10-22,87,36.17
2010-10-29,85,35.16
2010-11-05,88,37.36
2010-11-12,89,37.36
2010-11-19,87,37.45
2010-11-26,90,36.21
2010-12-03,92,37.98
2010-12-10,93,37.65
2010-12-17,92,36.7
2010-12-31,87,36.66
2011-01-07,91,39.41
2011-01-14,90,40.03
2011-01-21,92,40.97
2011-01-28,91,41.26
2011-02-04,89,42.83
2011-02-11,92,42.92
2011-02-18,91,43.13
2011-02-25,89,41.99
2011-03-04,89,43.82
2011-03-11,85,43.57
2011-03-18,86,41.61
2011-03-25,87,42.6
2011-04-01,88,44.56
2011-04-08,85,43.13
2011-04-15,87,44.48
2011-04-29,83,46.83
2011-05-06,83,46.88
2011-05-13,87,48.69
2011-05-20,86,49.14
2011-05-27,87,49.47
2011-06-03,84,49.61
2011-06-10,88,49.09
2011-06-17,85,48.89
2011-06-24,84,48.42
2011-07-01,83,52.2
2011-07-08,82,51.85
2011-07-15,83,51.66
2011-07-22,84,52.62
2011-07-29,84,49.77
2011-08-05,81,45.19
2011-08-12,81,43.79
2011-08-19,75,41.65
2011-08-26,80,44.86
2011-09-02,85,44.84
2011-09-09,86,42.88
2011-09-16,88,46.4
2011-09-23,88,42.26
2011-09-30,87,41.94
2011-10-07,85,41.98
2011-10-14,83,44.7
2011-10-21,88,44.7
2011-10-28,86,46.63
2011-11-04,88,42.99
2011-11-11,91,43.77
2011-11-18,90,42.09
2011-11-25,94,40.92
2011-12-02,97,43.07
2011-12-09,94,42.61
2011-12-16,94,42.38
2011-12-23,86,43.13
2011-12-30,89,42
2012-01-06,96,43.61
2012-01-13,97,45.61
2012-01-20,94,46.14
2012-01-27,100,45.18
2012-02-03,98,43.55
2012-02-10,91,43.54
2012-02-17,91,44.93
2012-02-24,92,45.09
2012-03-02,92,44.2
2012-03-09,91,45.18
2012-03-16,90,46.82
2012-03-23,90,45.84
2012-03-30,86,49.25
2012-04-13,88,48.31
2012-04-20,89,48.02
2012-04-27,84,46.87
2012-05-04,86,45.26
2012-05-11,85,45.11
2012-05-18,84,42.91
2012-05-25,88,44.5
2012-06-01,88,42.58
2012-06-08,85,44.87
2012-06-15,83,45.29
2012-06-22,81,45.15
2012-06-29,80,44
2012-07-06,78,42.54
2012-07-13,79,43.63
2012-07-20,79,41.68
2012-07-27,79,41.39
2012-08-03,77,42.08
2012-08-10,76,43.82
2012-08-17,74,44.3
2012-08-24,84,44.5
2012-08-31,83,45.77
2012-09-07,86,46.13
2012-09-14,88,47.8
2012-09-21,87,47.1
2012-09-28,88,47.17
2012-10-05,86,48.85
2012-10-12,85,49.71
2012-10-19,81,49.66
2012-10-26,82,49.7
2012-11-02,86,53.09
2012-11-09,92,51.65
2012-11-16,92,50.47
2012-11-23,91,52.76
2012-11-30,92,52.27
2012-12-07,86,52.9
2012-12-14,83,53.02
2012-12-21,83,53.79
2012-12-28,77,52.85
2013-01-04,82,54.75
2013-01-11,84,55.6
2013-01-18,87,56.33
2013-01-25,85,58.48
2013-02-01,84,58.88
2013-02-08,84,61.93
2013-02-15,83,61.08
2013-02-22,83,58.71
2013-03-01,87,58.26
2013-03-08,89,59.66
2013-03-15,91,62.63
2013-03-22,88,61.75
2013-04-05,95,64.54
2013-04-12,89,66.72
2013-04-19,80,65.15
2013-04-26,85,65.81
2013-05-03,82,67.13
2013-05-10,83,68.82
2013-05-17,83,67.9
2013-05-24,82,67.23
2013-05-31,82,67.9
2013-06-07,82,68.45
2013-06-14,80,68.16
2013-06-21,78,71.04
2013-06-28,77,72.49
2013-07-05,79,73.94
2013-07-12,79,76.03
2013-07-19,79,77.84
2013-07-26,79,77.57
2013-08-02,76,77.3
2013-08-09,77,78.44
2013-08-16,75,77.36
2013-08-23,80,79.33
2013-08-30,82,78.69
2013-09-06,81,80.83
2013-09-13,82,83.65
2013-09-20,81,78.59
2013-09-27,84,77.65
2013-10-04,83,79.23
2013-10-11,84,79.6
2013-10-18,83,74.95
2013-10-25,85,73.9
2013-11-01,92,78.38
2013-11-08,94,80.68
2013-11-15,94,83.64
2013-11-22,99,86.62
2013-11-29,95,87.45
2013-12-06,88,86.5
2013-12-13,87,83.25
2013-12-20,89,85.25
2013-12-27,83,86.53
2014-01-03,84,86.4
2014-01-10,89,89.21
2014-01-17,89,89.46
2014-01-24,87,86.7
2014-01-31,87,86.31
2014-02-07,86,77.47
2014-02-14,85,77.71
2014-02-21,86,77.34
2014-02-28,85,79.59
2014-03-07,83,79.05
2014-03-14,81,76.55
2014-03-21,85,82.04
2014-03-28,87,79.41
2014-04-04,84,81.8
2014-04-11,87,77.11
2014-04-25,81,78.95
