"Date","MHK","Price"
2006-12-15,2,76.02
2006-12-22,2,74.27
2006-12-29,1,74.86
2007-01-05,2,76.05
2007-01-12,2,79.25
2007-01-19,1,78.38
2007-01-26,2,78.52
2007-02-02,2,86.89
2007-02-09,1,82.88
2007-02-16,1,93.89
2007-02-23,2,92.95
2007-03-02,2,87
2007-03-09,2,86.86
2007-03-16,2,83.12
2007-03-23,2,85.49
2007-03-30,2,82.05
2007-04-13,2,85.35
2007-04-20,2,92.64
2007-04-27,2,92.02
2007-05-04,2,92.98
2007-05-11,2,94.64
2007-05-18,2,95.15
2007-05-25,2,96.81
2007-06-01,1,103.05
2007-06-08,1,99.38
2007-06-15,2,101.68
2007-06-22,1,98.98
2007-06-29,2,100.79
2007-07-06,2,103
2007-07-13,2,101.81
2007-07-20,1,97.42
2007-07-27,1,92.57
2007-08-03,2,87.5
2007-08-10,2,87.4
2007-08-17,2,86.33
2007-08-24,2,87.64
2007-08-31,2,87.31
2007-09-07,2,85.72
2007-09-14,1,83.56
2007-09-21,2,84.16
2007-09-28,1,81.3
2007-10-05,1,84.43
2007-10-12,2,82.34
2007-10-19,2,81.76
2007-10-26,1,86.1
2007-11-02,2,83.42
2007-11-09,3,80.13
2007-11-16,2,78.8
2007-11-23,2,79
2007-11-30,2,80.44
2007-12-07,2,79.85
2007-12-14,2,75.51
2007-12-21,2,75.26
2007-12-28,2,74.75
2008-01-04,2,71.37
2008-01-11,2,70.01
2008-01-18,2,66.14
2008-01-25,2,72.86
2008-02-01,2,83.05
2008-02-08,2,77.86
2008-02-15,3,72.07
2008-02-22,2,74.68
2008-02-29,2,71.41
2008-03-07,2,69.75
2008-03-14,2,69.14
2008-03-28,1,71.49
2008-04-04,2,76.08
2008-04-11,1,73.49
2008-04-18,2,78.18
2008-04-25,2,76.95
2008-05-02,1,78.35
2008-05-09,2,75.55
2008-05-16,1,77.61
2008-05-23,2,73.06
2008-05-30,2,75.08
2008-06-06,1,72.1
2008-06-13,1,70.16
2008-06-20,1,68.08
2008-06-27,1,64.81
2008-07-11,2,59.07
2008-07-18,2,64.85
2008-07-25,2,61.89
2008-08-01,2,59.13
2008-08-08,2,66.49
2008-08-15,1,72.96
2008-08-22,2,69.09
2008-08-29,2,69.05
2008-09-05,1,70.46
2008-09-12,1,69.9
2008-09-19,2,74.34
2008-09-26,2,69.9
2008-10-03,2,58.68
2008-10-10,1,49
2008-10-17,2,48.29
2008-10-24,2,44.18
2008-10-31,2,48.38
2008-11-07,2,39.13
2008-11-14,2,32.27
2008-11-21,2,26.09
2008-11-28,2,30.74
2008-12-05,2,36.53
2008-12-12,2,35.73
2008-12-19,2,42.6
2008-12-26,2,41.17
2009-01-02,2,44.1
2009-01-09,2,40.59
2009-01-16,2,37.39
2009-01-23,1,34.39
2009-01-30,2,32.11
2009-02-06,2,36.91
2009-02-13,3,33.27
2009-02-20,2,28.37
2009-02-27,2,22.59
2009-03-06,2,18.24
2009-03-13,2,20.81
2009-03-20,2,23.79
2009-03-27,2,32.58
2009-04-03,2,34.25
2009-04-17,2,36.79
2009-04-24,2,49
2009-05-01,2,46.29
2009-05-08,1,45.46
2009-05-15,2,39.77
2009-05-22,1,37.53
2009-05-29,1,38.27
2009-06-05,1,40.75
2009-06-12,2,40.6
2009-06-19,2,37.52
2009-06-26,1,35.44
2009-07-10,1,32.2
2009-07-17,1,37.78
2009-07-24,1,43.12
2009-07-31,1,51.58
2009-08-07,2,52.54
2009-08-14,1,47.4
2009-08-21,2,47.45
2009-08-28,2,50.83
2009-09-04,2,48.17
2009-09-11,1,48.94
2009-09-18,2,52.19
2009-09-25,2,47.54
2009-10-02,2,43.77
2009-10-09,1,45.57
2009-10-16,2,49.21
2009-10-23,2,48.02
2009-10-30,2,42.83
2009-11-06,2,44.21
2009-11-13,1,44.38
2009-11-20,1,41
2009-11-27,2,41.57
2009-12-04,1,43.3
2009-12-11,1,46.14
2009-12-18,2,46.97
2010-01-08,1,49.64
2010-01-15,1,46.79
2010-01-22,1,45.01
2010-01-29,1,41.41
2010-02-05,2,44.43
2010-02-12,1,44.54
2010-02-19,2,46.78
2010-02-26,2,51.58
2010-03-05,1,53.88
2010-03-12,2,53.93
2010-03-19,2,53.03
2010-03-26,2,53.13
2010-04-09,2,55.12
2010-04-16,2,57.2
2010-04-23,2,63.18
2010-04-30,2,63.74
2010-05-07,1,55.02
2010-05-14,2,61.23
2010-05-21,1,55.39
2010-05-28,1,56.16
2010-06-04,2,51
2010-06-11,2,50.14
2010-06-18,2,52.33
2010-06-25,1,49.94
2010-07-02,1,44.19
2010-07-09,1,46.02
2010-07-16,1,43.8
2010-07-23,2,49.5
2010-07-30,1,48.93
2010-08-06,2,51.89
2010-08-13,1,45.26
2010-08-20,2,44.74
2010-08-27,2,46.58
2010-09-03,2,48.84
2010-09-10,2,48.13
2010-09-17,2,48.95
2010-09-24,2,51.92
2010-10-01,2,54
2010-10-08,3,54.42
2010-10-15,9,55.05
2010-10-22,8,57.46
2010-10-29,4,57.34
2010-11-05,3,57.08
2010-11-12,4,53.04
2010-11-19,2,53.23
2010-11-26,2,52.95
2010-12-03,2,56.02
2010-12-10,2,58
2010-12-17,2,59.92
2010-12-31,2,56.76
2011-01-07,2,57.08
2011-01-14,2,58.37
2011-01-21,2,57.25
2011-01-28,2,55.56
2011-02-04,2,56.27
2011-02-11,2,59.54
2011-02-18,2,59.3
2011-02-25,2,58.45
2011-03-04,2,56.84
2011-03-11,2,57.91
2011-03-18,3,57.43
2011-03-25,2,59.69
2011-04-01,2,62.5
2011-04-08,1,60.68
2011-04-15,2,59.84
2011-04-29,1,60.04
2011-05-06,2,67.48
2011-05-13,2,67.5
2011-05-20,1,65.29
2011-05-27,2,65.91
2011-06-03,1,62.89
2011-06-10,2,59.04
2011-06-17,1,58.03
2011-06-24,1,59.96
2011-07-01,2,61.6
2011-07-08,1,56.32
2011-07-15,1,56.16
2011-07-22,1,55.21
2011-07-29,1,52.03
2011-08-05,2,47.92
2011-08-12,2,46.05
2011-08-19,2,42.43
2011-08-26,2,46.03
2011-09-02,4,48.01
2011-09-09,2,43.21
2011-09-16,11,45.51
2011-09-23,5,41.26
2011-09-30,3,42.91
2011-10-07,4,46.69
2011-10-14,9,50
2011-10-21,8,53.81
2011-10-28,3,54.15
2011-11-04,9,53.29
2011-11-11,14,54.52
2011-11-18,12,52.63
2011-11-25,8,49.77
2011-12-02,7,54.89
2011-12-09,6,57.01
2011-12-16,5,54.39
2011-12-23,7,60.45
2011-12-30,3,59.85
2012-01-06,5,59.5
2012-01-13,4,62.52
2012-01-20,24,63.3
2012-01-27,43,63.45
2012-02-03,7,66.59
2012-02-10,100,65.45
2012-02-17,3,66.79
2012-02-24,3,62.41
2012-03-02,4,62.28
2012-03-09,5,63.19
2012-03-16,3,65.77
2012-03-23,2,65.06
2012-03-30,2,66.51
2012-04-13,2,62.66
2012-04-20,2,63.38
2012-04-27,2,68.05
2012-05-04,2,73.52
2012-05-11,2,74.57
2012-05-18,1,67.52
2012-05-25,1,69.66
2012-06-01,2,64.45
2012-06-08,1,68.45
2012-06-15,2,67.91
2012-06-22,2,64.46
2012-06-29,1,69.83
2012-07-06,1,69.91
2012-07-13,1,69.85
2012-07-20,1,72.55
2012-07-27,2,71.55
2012-08-03,2,69.84
2012-08-10,1,71.93
2012-08-17,1,75.05
2012-08-24,2,72.83
2012-08-31,2,72.05
2012-09-07,2,74.23
2012-09-14,2,78.92
2012-09-21,2,82.59
2012-09-28,2,80.02
2012-10-05,2,81.97
2012-10-12,2,78.22
2012-10-19,1,81.46
2012-10-26,2,80.27
2012-11-02,2,86.76
2012-11-09,2,84.53
2012-11-16,2,81.27
2012-11-23,2,87.1
2012-11-30,2,85.99
2012-12-07,2,82.84
2012-12-14,2,81.5
2012-12-21,2,91.29
2012-12-28,1,89.44
2013-01-04,2,93.52
2013-01-11,2,94.23
2013-01-18,2,96.3
2013-01-25,2,102.47
2013-02-01,2,102.42
2013-02-08,2,103.11
2013-02-15,2,107.8
2013-02-22,2,106.74
2013-03-01,2,106.43
2013-03-08,2,112.3
2013-03-15,2,113.62
2013-03-22,2,110.41
2013-04-05,1,112.04
2013-04-12,2,116.27
2013-04-19,2,111.46
2013-04-26,1,113.36
2013-05-03,1,115.5
2013-05-10,1,118.04
2013-05-17,2,117.9
2013-05-24,1,114.23
2013-05-31,1,111.17
2013-06-07,1,111.64
2013-06-14,2,111.08
2013-06-21,1,108.95
2013-06-28,2,112.49
2013-07-05,1,111.58
2013-07-12,1,117.03
2013-07-19,1,117.76
2013-07-26,2,114.42
2013-08-02,1,129.97
2013-08-09,1,128
2013-08-16,1,121.96
2013-08-23,1,123.05
2013-08-30,1,117.49
2013-09-06,1,121.38
2013-09-13,1,127.69
2013-09-20,1,130.45
2013-09-27,2,130.09
2013-10-04,2,130.7
2013-10-11,1,129.95
2013-10-18,1,124.28
2013-10-25,2,131.78
2013-11-01,2,137.56
2013-11-08,2,134.3
2013-11-15,2,144.68
2013-11-22,1,142.32
2013-11-29,1,140.02
2013-12-06,2,138.95
2013-12-13,1,139.64
2013-12-20,1,141.44
2013-12-27,1,146.75
2014-01-03,1,149.45
2014-01-10,2,148.23
2014-01-17,2,146.76
2014-01-24,1,141.36
2014-01-31,2,142.18
2014-02-07,1,147.61
2014-02-14,2,147.1
2014-02-21,1,143.41
2014-02-28,2,141.53
2014-03-07,1,144.68
2014-03-14,2,139.4
2014-03-21,1,138.59
2014-03-28,1,134.73
2014-04-04,2,136.01
2014-04-11,2,131.03
2014-04-25,1,133.2
