"Date","FIS","Price"
2005-09-02,26,33.92
2005-09-09,30,33.8
2005-09-16,29,39.93
2005-09-23,30,40.12
2005-09-30,26,40.02
2005-10-07,27,39.1
2005-10-14,29,37.97
2005-10-21,40,37.39
2005-10-28,34,36.9
2005-11-04,34,38.37
2005-11-11,31,39
2005-11-18,36,41.29
2005-11-25,51,40.47
2005-12-02,61,40.77
2005-12-09,62,40.02
2005-12-16,68,39.94
2005-12-23,60,40.68
2005-12-30,60,40.56
2006-01-06,68,42.47
2006-01-13,73,43.27
2006-01-20,72,43.15
2006-01-27,75,43.77
2006-02-03,66,38.95
2006-02-10,54,37.22
2006-02-17,63,39.23
2006-02-24,55,38.6
2006-03-03,50,40.16
2006-03-10,56,39.8
2006-03-17,55,40.11
2006-03-24,44,40.06
2006-03-31,34,40.55
2006-04-07,31,39.1
2006-04-21,26,39.07
2006-04-28,24,38
2006-05-05,25,38.8
2006-05-12,27,37.17
2006-05-19,29,37.14
2006-05-26,23,37.46
2006-06-02,23,37.7
2006-06-09,26,36.5
2006-06-16,25,37.35
2006-06-23,23,35.95
2006-06-30,24,35.4
2006-07-07,23,35.25
2006-07-14,19,33.74
2006-07-21,27,34.55
2006-07-28,22,36.18
2006-08-04,22,35.84
2006-08-11,28,35.33
2006-08-18,23,36.74
2006-08-25,27,35.35
2006-09-01,28,37.14
2006-09-08,25,37.5
2006-09-15,29,36.6
2006-09-22,26,36.7
2006-09-29,27,37
2006-10-06,27,37.86
2006-10-13,30,39.21
2006-10-20,29,39.4
2006-10-27,36,40.83
2006-11-03,34,41.59
2006-11-10,38,41.32
2006-11-17,42,41.88
2006-11-24,51,41.22
2006-12-01,57,39.74
2006-12-08,47,40.35
2006-12-15,52,40.85
2006-12-22,62,40.25
2006-12-29,52,40.09
2007-01-05,70,40.34
2007-01-12,60,41.29
2007-01-19,63,41.6
2007-01-26,58,42
2007-02-02,57,43.03
2007-02-09,81,45.4
2007-02-16,68,47.55
2007-02-23,59,47.04
2007-03-02,61,45.36
2007-03-09,50,45.3
2007-03-16,68,43.58
2007-03-23,48,43.89
2007-03-30,38,45.46
2007-04-13,30,47.81
2007-04-20,24,48.85
2007-04-27,29,51.13
2007-05-04,23,50.89
2007-05-11,27,50.6
2007-05-18,24,50.88
2007-05-25,24,50.13
2007-06-01,27,53.91
2007-06-08,27,52.24
2007-06-15,24,54.01
2007-06-22,28,53.8
2007-06-29,25,54.28
2007-07-06,26,56.3
2007-07-13,26,56.94
2007-07-20,27,56.24
2007-07-27,26,50.51
2007-08-03,24,49.38
2007-08-10,26,49.55
2007-08-17,30,48.06
2007-08-24,28,48.21
2007-08-31,29,47.4
2007-09-07,32,44.92
2007-09-14,31,46.29
2007-09-21,31,45.12
2007-09-28,29,44.37
2007-10-05,31,46.19
2007-10-12,31,47.86
2007-10-19,31,46.75
2007-10-26,35,45.55
2007-11-02,36,43.68
2007-11-09,39,41.78
2007-11-16,40,42.97
2007-11-23,48,42.89
2007-11-30,60,43.22
2007-12-07,60,44.9
2007-12-14,58,43.51
2007-12-21,56,42.27
2007-12-28,49,42.01
2008-01-04,72,39.87
2008-01-11,63,37.21
2008-01-18,67,38.45
2008-01-25,70,40.17
2008-02-01,53,43.48
2008-02-08,54,41.59
2008-02-15,51,42.04
2008-02-22,56,41.52
2008-02-29,56,41.49
2008-03-07,58,39
2008-03-14,65,37.67
2008-03-28,37,37.85
2008-04-04,32,38.15
2008-04-11,30,35.23
2008-04-18,30,38.07
2008-04-25,30,36.38
2008-05-02,24,37.49
2008-05-09,25,37
2008-05-16,28,39.22
2008-05-23,27,38.12
2008-05-30,26,40.28
2008-06-06,27,40.11
2008-06-13,23,39.99
2008-06-20,25,38.5
2008-06-27,26,36.97
2008-07-11,27,20.8
2008-07-18,26,20.84
2008-07-25,25,19.56
2008-08-01,25,19.13
2008-08-08,26,23.21
2008-08-15,27,23.09
2008-08-22,24,22.33
2008-08-29,27,21.85
2008-09-05,26,20.86
2008-09-12,26,21.83
2008-09-19,28,20.36
2008-09-26,29,19.74
2008-10-03,29,17.04
2008-10-10,33,15.14
2008-10-17,32,15.56
2008-10-24,34,13.37
2008-10-31,35,15.09
2008-11-07,31,16.16
2008-11-14,35,15.85
2008-11-21,41,13.8
2008-11-28,48,17.18
2008-12-05,56,17.05
2008-12-12,56,16.48
2008-12-19,53,16.95
2008-12-26,51,16.09
2009-01-02,68,17.05
2009-01-09,67,16.82
2009-01-16,70,16.44
2009-01-23,65,15.79
2009-01-30,76,15.91
2009-02-06,73,17.55
2009-02-13,76,18.29
2009-02-20,69,17.63
2009-02-27,68,17.5
2009-03-06,57,16.39
2009-03-13,70,17.11
2009-03-20,53,17.55
2009-03-27,41,17.8
2009-04-03,29,17.84
2009-04-17,26,19.72
2009-04-24,25,19.05
2009-05-01,23,17.76
2009-05-08,24,18.86
2009-05-15,25,18.33
2009-05-22,24,18.61
2009-05-29,23,19.26
2009-06-05,25,20.2
2009-06-12,21,20.1
2009-06-19,23,19.76
2009-06-26,24,19.96
2009-07-10,22,19.48
2009-07-17,22,20.62
2009-07-24,20,21.41
2009-07-31,21,23.42
2009-08-07,23,24.45
2009-08-14,24,24.24
2009-08-21,23,24.85
2009-08-28,25,24.72
2009-09-04,25,24.18
2009-09-11,25,24.82
2009-09-18,24,24.93
2009-09-25,27,25.4
2009-10-02,29,23.99
2009-10-09,29,24.35
2009-10-16,30,24.43
2009-10-23,33,22.82
2009-10-30,31,21.76
2009-11-06,29,22.46
2009-11-13,36,22.59
2009-11-20,40,22.73
2009-11-27,48,22.53
2009-12-04,51,23.46
2009-12-11,50,23.73
2009-12-18,54,23.53
2010-01-08,74,24.05
2010-01-15,70,23.99
2010-01-22,65,23.96
2010-01-29,61,23.56
2010-02-05,54,23.04
2010-02-12,45,22.36
2010-02-19,58,22.68
2010-02-26,50,22.54
2010-03-05,47,23.48
2010-03-12,61,23.19
2010-03-19,48,23.63
2010-03-26,35,23.66
2010-04-09,27,24.52
2010-04-16,26,25.19
2010-04-23,25,25.76
2010-04-30,24,26.29
2010-05-07,28,28.76
2010-05-14,26,29.69
2010-05-21,26,26.17
2010-05-28,24,27.52
2010-06-04,25,27.14
2010-06-11,23,27.21
2010-06-18,23,27.48
2010-06-25,22,27.54
2010-07-02,23,26.41
2010-07-09,23,27.7
2010-07-16,24,27.52
2010-07-23,25,28.1
2010-07-30,25,28.67
2010-08-06,24,27.7
2010-08-13,26,26.5
2010-08-20,26,26.49
2010-08-27,24,26.59
2010-09-03,24,27.5
2010-09-10,25,27.37
2010-09-17,26,27.4
2010-09-24,24,27.54
2010-10-01,27,26.99
2010-10-08,25,26.8
2010-10-15,28,28.07
2010-10-22,32,28.6
2010-10-29,34,27.1
2010-11-05,30,27.95
2010-11-12,33,27.2
2010-11-19,38,27.38
2010-11-26,51,27.29
2010-12-03,54,28.48
2010-12-10,51,28.25
2010-12-17,56,27.44
2010-12-31,57,27.39
2011-01-07,79,28.49
2011-01-14,65,30.12
2011-01-21,68,30.01
2011-01-28,67,30.28
2011-02-04,69,30.96
2011-02-11,72,31.89
2011-02-18,66,32.14
2011-02-25,57,32.03
2011-03-04,66,31.53
2011-03-11,51,31.23
2011-03-18,55,30.9
2011-03-25,38,32.04
2011-04-01,31,33.23
2011-04-08,30,32.82
2011-04-15,28,33.26
2011-04-29,23,33.11
2011-05-06,25,32.49
2011-05-13,25,32.23
2011-05-20,27,31.96
2011-05-27,23,31.86
2011-06-03,24,31.21
2011-06-10,23,31.57
2011-06-17,23,30.99
2011-06-24,26,30.07
2011-07-01,24,31.02
2011-07-08,23,30.96
2011-07-15,23,29.63
2011-07-22,25,30.48
2011-07-29,24,30.02
2011-08-05,22,28.94
2011-08-12,24,28.08
2011-08-19,24,26.66
2011-08-26,25,27.37
2011-09-02,23,26.82
2011-09-09,24,25.37
2011-09-16,25,26.51
2011-09-23,26,24.1
2011-09-30,24,24.32
2011-10-07,24,24.79
2011-10-14,27,26.1
2011-10-21,32,25.78
2011-10-28,32,27.08
2011-11-04,26,25.23
2011-11-11,30,25.78
2011-11-18,35,23.68
2011-11-25,43,22.58
2011-12-02,49,24.91
2011-12-09,53,25.72
2011-12-16,47,25.42
2011-12-23,47,26.6
2011-12-30,47,26.59
2012-01-06,62,26.43
2012-01-13,58,26.94
2012-01-20,57,27.84
2012-01-27,59,28.55
2012-02-03,52,29.4
2012-02-10,53,28.65
2012-02-17,55,30.7
2012-02-24,54,31.07
2012-03-02,48,31.19
2012-03-09,52,31.68
2012-03-16,56,33
2012-03-23,37,32.96
2012-03-30,30,33.12
2012-04-13,26,32.48
2012-04-20,28,33.07
2012-04-27,24,33.89
2012-05-04,24,32.93
2012-05-11,24,32.74
2012-05-18,24,31.37
2012-05-25,23,32.82
2012-06-01,25,31.37
2012-06-08,23,32.39
2012-06-15,23,33.02
2012-06-22,23,33.28
2012-06-29,24,34.08
2012-07-06,21,34.29
2012-07-13,23,34.32
2012-07-20,22,32.13
2012-07-27,21,32.32
2012-08-03,22,31.47
2012-08-10,22,31.06
2012-08-17,23,31.17
2012-08-24,25,31.96
2012-08-31,23,31.5
2012-09-07,25,32.68
2012-09-14,26,31.7
2012-09-21,24,32.64
2012-09-28,25,31.22
2012-10-05,26,31.5
2012-10-12,23,31.88
2012-10-19,26,32.41
2012-10-26,29,32.62
2012-11-02,28,33.52
2012-11-09,32,34.52
2012-11-16,34,35
2012-11-23,38,35.78
2012-11-30,48,36.1
2012-12-07,47,36.16
2012-12-14,53,35.48
2012-12-21,47,34.89
2012-12-28,38,34.26
2013-01-04,61,35.98
2013-01-11,55,37
2013-01-18,54,37.06
2013-01-25,57,37.2
2013-02-01,52,37.66
2013-02-08,59,37.62
2013-02-15,61,36.49
2013-02-22,55,37
2013-03-01,61,37.66
2013-03-08,46,37.91
2013-03-15,57,38.3
2013-03-22,44,38.57
2013-04-05,27,39.05
2013-04-12,26,40.75
2013-04-19,24,40.81
2013-04-26,24,40.79
2013-05-03,22,42.72
2013-05-10,22,43.79
2013-05-17,23,45.08
2013-05-24,22,45.16
2013-05-31,22,44.9
2013-06-07,22,44.53
2013-06-14,23,43.64
2013-06-21,22,42.64
2013-06-28,22,42.84
2013-07-05,22,43.63
2013-07-12,21,45.06
2013-07-19,21,44.37
2013-07-26,21,44.35
2013-08-02,23,45.33
2013-08-09,21,46.95
2013-08-16,22,46.11
2013-08-23,24,45.71
2013-08-30,24,44.46
2013-09-06,22,45.11
2013-09-13,23,45.96
2013-09-20,24,46.85
2013-09-27,24,46.54
2013-10-04,24,46.55
2013-10-11,25,46.17
2013-10-18,25,47.36
2013-10-25,29,47.44
2013-11-01,29,48.55
2013-11-08,27,48.32
2013-11-15,32,50.94
2013-11-22,36,50.98
2013-11-29,47,50.68
2013-12-06,48,50.88
2013-12-13,47,50.78
2013-12-20,54,52.66
2013-12-27,41,52.75
2014-01-03,50,53.15
2014-01-10,53,53
2014-01-17,57,52.74
2014-01-24,52,50.84
2014-01-31,49,50.7
2014-02-07,42,53.71
2014-02-14,51,53.86
2014-02-21,44,54.34
2014-02-28,39,55.61
2014-03-07,45,55.47
2014-03-14,48,52.75
2014-03-21,36,54.17
2014-03-28,28,52.89
2014-04-04,26,53.17
2014-04-11,25,51.28
2014-04-25,22,51.8
