"Date","sell.T","Price"
2008-09-19,51,30.43
2008-09-26,58,30
2008-10-03,61,28.12
2008-10-10,40,22.42
2008-10-17,35,25.29
2008-10-24,59,24.68
2008-10-31,29,26.77
2008-11-07,56,27
2008-11-14,46,27.65
2008-11-21,57,25.19
2008-11-28,42,28.56
2008-12-05,47,28.15
2008-12-12,48,28.18
2008-12-19,44,28.12
2008-12-26,41,27.94
2009-01-02,58,29.42
2009-01-09,48,26.68
2009-01-16,32,25.23
2009-01-23,69,26.12
2009-01-30,48,24.62
2009-02-06,51,26.08
2009-02-13,58,24.19
2009-02-20,46,23.58
2009-02-27,29,23.77
2009-03-06,45,22.58
2009-03-13,55,24.27
2009-03-20,59,25.33
2009-03-27,49,26
2009-04-03,45,26.83
2009-04-17,57,25.95
2009-04-24,69,25.16
2009-05-01,43,26.01
2009-05-08,55,25.25
2009-05-15,61,24.88
2009-05-22,38,23.68
2009-05-29,59,24.79
2009-06-05,41,24.56
2009-06-12,49,25.01
2009-06-19,56,24.04
2009-06-26,61,24.82
2009-07-10,63,23.44
2009-07-17,72,23.98
2009-07-24,67,25.45
2009-07-31,62,26.23
2009-08-07,66,25.62
2009-08-14,79,25.45
2009-08-21,61,26
2009-08-28,50,26.21
2009-09-04,57,25.51
2009-09-11,45,26.66
2009-09-18,53,27.05
2009-09-25,59,26.96
2009-10-02,55,26.52
2009-10-09,55,25.66
2009-10-16,43,25.7
2009-10-23,62,25.73
2009-10-30,51,25.67
2009-11-06,60,25.93
2009-11-13,54,26.25
2009-11-20,49,26.02
2009-11-27,54,26.99
2009-12-04,54,27.6
2009-12-11,59,28.01
2009-12-18,69,27.32
2010-01-08,49,27.1
2010-01-15,57,25.79
2010-01-22,67,25.39
2010-01-29,41,25.36
2010-02-05,48,25.24
2010-02-12,49,25.07
2010-02-19,57,25.1
2010-02-26,67,24.81
2010-03-05,54,24.99
2010-03-12,68,25.62
2010-03-19,42,26.24
2010-03-26,57,26.24
2010-04-09,60,26.44
2010-04-16,39,25.93
2010-04-23,54,26.25
2010-04-30,47,26.06
2010-05-07,57,25.1
2010-05-14,70,25.4
2010-05-21,61,24.85
2010-05-28,66,24.3
2010-06-04,39,24.17
2010-06-11,57,25.29
2010-06-18,43,25.43
2010-06-25,60,24.79
2010-07-02,50,24.29
2010-07-09,52,24.83
2010-07-16,58,24.69
2010-07-23,54,25.54
2010-07-30,46,25.94
2010-08-06,65,26.54
2010-08-13,72,26.72
2010-08-20,55,26.45
2010-08-27,65,26.94
2010-09-03,67,27.44
2010-09-10,60,27.83
2010-09-17,58,28.17
2010-09-24,82,28.58
2010-10-01,48,28.81
2010-10-08,55,28.22
2010-10-15,52,28.33
2010-10-22,67,28.29
2010-10-29,73,28.52
2010-11-05,57,29.27
2010-11-12,52,28.46
2010-11-19,69,28.32
2010-11-26,53,27.93
2010-12-03,63,28.49
2010-12-10,66,28.89
2010-12-17,73,29.21
2010-12-31,70,29.38
2011-01-07,53,28.85
2011-01-14,56,28.43
2011-01-21,58,28.33
2011-01-28,62,27.49
2011-02-04,60,27.97
2011-02-11,71,28.47
2011-02-18,59,28.57
2011-02-25,93,28.13
2011-03-04,68,27.92
2011-03-11,64,28.46
2011-03-18,60,27.94
2011-03-25,55,28.85
2011-04-01,74,30.62
2011-04-08,69,30.71
2011-04-15,58,30.65
2011-04-29,79,31.12
2011-05-06,61,31.26
2011-05-13,64,31.41
2011-05-20,85,31.32
2011-05-27,62,31.29
2011-06-03,67,30.65
2011-06-10,62,30.34
2011-06-17,65,30.77
2011-06-24,56,30.44
2011-07-01,54,31.68
2011-07-08,72,31.14
2011-07-15,78,30.31
2011-07-22,67,30.32
2011-07-29,75,29.26
2011-08-05,85,28.93
2011-08-12,77,28.22
2011-08-19,92,27.99
2011-08-26,62,29.04
2011-09-02,58,28.05
2011-09-09,64,27.54
2011-09-16,62,28.94
2011-09-23,61,27.85
2011-09-30,58,28.52
2011-10-07,62,28.44
2011-10-14,69,29.17
2011-10-21,70,29.13
2011-10-28,77,29.74
2011-11-04,61,29.16
2011-11-11,58,29.42
2011-11-18,52,28.64
2011-11-25,64,27.41
2011-12-02,73,28.96
2011-12-09,83,29.03
2011-12-16,64,28.85
2011-12-23,76,29.87
2011-12-30,70,30.24
2012-01-06,68,29.68
2012-01-13,79,30.07
2012-01-20,56,30.51
2012-01-27,69,29.16
2012-02-03,71,29.95
2012-02-10,75,29.84
2012-02-17,69,30.01
2012-02-24,81,30.34
2012-03-02,83,30.87
2012-03-09,65,31.18
2012-03-16,71,31.59
2012-03-23,76,31.52
2012-03-30,69,31.23
2012-04-13,70,30.54
2012-04-20,72,30.86
2012-04-27,69,32.67
2012-05-04,78,32.86
2012-05-11,74,33.59
2012-05-18,76,33.66
2012-05-25,87,33.69
2012-06-01,73,33.9
2012-06-08,82,34.55
2012-06-15,78,35.71
2012-06-22,78,35.17
2012-06-29,69,35.66
2012-07-06,74,35.44
2012-07-13,68,35.35
2012-07-20,86,35.29
2012-07-27,97,37.14
2012-08-03,74,37.58
2012-08-10,83,37.49
2012-08-17,76,37.17
2012-08-24,81,36.95
2012-08-31,78,36.64
2012-09-07,87,37.3
2012-09-14,93,37.26
2012-09-21,93,38.08
2012-09-28,91,37.7
2012-10-05,81,37.86
2012-10-12,75,35.63
2012-10-19,74,35.32
2012-10-26,91,34.63
2012-11-02,79,34.93
2012-11-09,64,33.54
2012-11-16,91,33.14
2012-11-23,71,34.36
2012-11-30,81,34.13
2012-12-07,91,33.74
2012-12-14,88,34.01
2012-12-21,98,33.67
2012-12-28,70,33.32
2013-01-04,87,35.23
2013-01-11,76,34.27
2013-01-18,58,33.44
2013-01-25,69,34.02
2013-02-01,77,35.51
2013-02-08,84,35.27
2013-02-15,78,35.36
2013-02-22,85,35.68
2013-03-01,75,36.01
2013-03-08,79,36.68
2013-03-15,100,36.43
2013-03-22,71,36.43
2013-04-05,85,38.02
2013-04-12,86,38.59
2013-04-19,82,38.28
2013-04-26,90,37.04
2013-05-03,77,37.34
2013-05-10,84,37.36
2013-05-17,77,37.44
2013-05-24,93,36.75
2013-05-31,73,34.99
2013-06-07,74,35.45
2013-06-14,80,35.91
2013-06-21,74,34.47
2013-06-28,85,35.4
2013-07-05,79,35.83
2013-07-12,78,35.81
2013-07-19,95,35.81
2013-07-26,88,35.6
2013-08-02,78,35.77
2013-08-09,78,34.8
2013-08-16,100,34.18
2013-08-23,88,34.29
2013-08-30,72,33.83
2013-09-06,81,33.41
2013-09-13,99,34.32
2013-09-20,94,34.31
2013-09-27,88,33.98
2013-10-04,81,33.75
2013-10-11,84,34.2
2013-10-18,73,34.61
2013-10-25,81,35.19
2013-11-01,84,36.24
2013-11-08,78,35.17
2013-11-15,95,35.43
2013-11-22,68,35.42
2013-11-29,70,35.21
2013-12-06,74,34.53
2013-12-13,80,33.85
2013-12-20,71,34.3
2013-12-27,80,35.18
2014-01-03,82,34.8
2014-01-10,77,33.62
2014-01-17,84,33.7
2014-01-24,87,33.42
2014-01-31,71,33.32
2014-02-07,76,32.3
2014-02-14,74,33.15
2014-02-21,67,32.8
2014-02-28,96,31.93
2014-03-07,78,32.54
2014-03-14,81,32.49
2014-03-21,79,34.3
2014-03-28,78,35.07
2014-04-04,87,35.55
2014-04-11,79,35.2
2014-04-25,81,34.49
