"Date","Consolidated.Edison","Price"
2011-09-23,12,56.74
2011-09-30,12,57.02
2011-10-07,11,56.11
2011-10-14,13,57.55
2011-10-21,12,59.76
2011-10-28,12,58.04
2011-11-04,21,58.56
2011-11-11,7,59.64
2011-11-18,13,58.14
2011-11-25,11,57.16
2011-12-02,11,58.61
2011-12-09,12,59.24
2011-12-16,10,59.78
2011-12-23,8,61.98
2011-12-30,7,62.03
2012-01-06,10,59.1
2012-01-13,11,59.18
2012-01-20,15,58.76
2012-01-27,6,58.89
2012-02-03,10,58.82
2012-02-10,9,59.13
2012-02-17,9,57.87
2012-02-24,6,58.84
2012-03-02,12,58.31
2012-03-09,8,58.39
2012-03-16,10,57.62
2012-03-23,13,57.13
2012-03-30,17,58.42
2012-04-13,10,57.75
2012-04-20,10,58.61
2012-04-27,10,59.31
2012-05-04,15,59.38
2012-05-11,11,59.81
2012-05-18,7,58.67
2012-05-25,7,59.61
2012-06-01,13,60.29
2012-06-08,11,62.24
2012-06-15,8,63.1
2012-06-22,9,61.5
2012-06-29,7,62.19
2012-07-06,18,62.14
2012-07-13,11,63.42
2012-07-20,14,63.77
2012-07-27,11,64.9
2012-08-03,11,64.66
2012-08-10,7,63.87
2012-08-17,14,61.68
2012-08-24,12,61.42
2012-08-31,11,60.62
2012-09-07,8,60.63
2012-09-14,13,59.81
2012-09-21,11,59.1
2012-09-28,6,59.89
2012-10-05,8,60.22
2012-10-12,7,59.83
2012-10-19,12,60.47
2012-10-26,9,59.97
2012-11-02,76,59.2
2012-11-09,18,55.74
2012-11-16,12,54.98
2012-11-23,11,54.1
2012-11-30,10,55.79
2012-12-07,11,56.03
2012-12-14,6,56.12
2012-12-21,7,56.05
2012-12-28,5,54.93
2013-01-04,7,56.9
2013-01-11,8,55.91
2013-01-18,11,55.78
2013-01-25,8,56.51
2013-02-01,11,57.05
2013-02-08,6,57.15
2013-02-15,10,56.58
2013-02-22,9,58.48
2013-03-01,9,59.02
2013-03-08,8,58.95
2013-03-15,6,59.17
2013-03-22,12,59.09
2013-04-05,6,61.31
2013-04-12,9,61.91
2013-04-19,7,62.48
2013-04-26,7,62.84
2013-05-03,8,63.66
2013-05-10,8,61.57
2013-05-17,10,60.79
2013-05-24,10,58.66
2013-05-31,9,57.07
2013-06-07,9,57.43
2013-06-14,10,57.82
2013-06-21,10,56.39
2013-06-28,9,58.31
2013-07-05,7,57.16
2013-07-12,7,59.2
2013-07-19,6,60.48
2013-07-26,9,59.93
2013-08-02,11,60.37
2013-08-09,8,60.3
2013-08-16,7,56.64
2013-08-23,7,56.59
2013-08-30,12,56.23
2013-09-06,10,55.59
2013-09-13,6,54.88
2013-09-20,6,55.97
2013-09-27,9,55.15
2013-10-04,10,54.51
2013-10-11,9,56.26
2013-10-18,9,56.86
2013-10-25,6,58.59
2013-11-01,7,58.41
2013-11-08,12,57.27
2013-11-15,12,58.07
2013-11-22,9,55.92
2013-11-29,6,55.21
2013-12-06,8,55.85
2013-12-13,7,54.33
2013-12-20,9,54.77
2013-12-27,10,55.05
2014-01-03,11,53.45
2014-01-10,8,54.33
2014-01-17,6,53.96
2014-01-24,7,53.65
2014-01-31,9,54.41
2014-02-07,7,54.02
2014-02-14,7,55.16
2014-02-21,10,55.29
2014-02-28,9,56.05
2014-03-07,6,55.44
2014-03-14,12,54.66
2014-03-21,10,52.46
2014-03-28,7,53.17
2014-04-04,8,54.36
2014-04-11,7,55.6
2014-04-25,13,57.74
