"Date","M.T.Bank.Corp.","Price"
2009-01-02,75,57.32
2009-01-09,73,48.1
2009-01-16,73,39.93
2009-01-23,74,37.38
2009-01-30,73,38.91
2009-02-06,74,41.1
2009-02-13,73,36.91
2009-02-20,75,35.1
2009-02-27,75,36.6
2009-03-06,76,31.85
2009-03-13,77,39.34
2009-03-20,75,40.27
2009-03-27,78,47.74
2009-04-03,76,47.31
2009-04-17,74,59.97
2009-04-24,74,53.56
2009-05-01,74,49.39
2009-05-08,73,55.09
2009-05-15,75,46.16
2009-05-22,72,46.73
2009-05-29,73,50.3
2009-06-05,75,48.44
2009-06-12,74,48.86
2009-06-19,73,46.8
2009-06-26,72,49.15
2009-07-10,74,51.36
2009-07-17,72,54.44
2009-07-24,73,57.52
2009-07-31,74,58.32
2009-08-07,72,61.19
2009-08-14,74,60.02
2009-08-21,77,60.44
2009-08-28,75,61.64
2009-09-04,74,58.46
2009-09-11,76,59.33
2009-09-18,75,66.04
2009-09-25,76,62.47
2009-10-02,76,60.14
2009-10-09,76,66.02
2009-10-16,74,66.53
2009-10-23,74,68.77
2009-10-30,75,62.85
2009-11-06,75,62.83
2009-11-13,77,62.5
2009-11-20,77,65.85
2009-11-27,75,63.85
2009-12-04,77,63.44
2009-12-11,77,64.44
2009-12-18,77,64.87
2010-01-08,73,73.84
2010-01-15,73,73.16
2010-01-22,74,75.59
2010-01-29,70,73.75
2010-02-05,73,72.67
2010-02-12,73,72.07
2010-02-19,72,76.6
2010-02-26,72,77.43
2010-03-05,73,78.55
2010-03-12,74,80
2010-03-19,76,83.28
2010-03-26,75,80.81
2010-04-09,74,85.34
2010-04-16,72,84.25
2010-04-23,74,88.49
2010-04-30,75,87.35
2010-05-07,74,84.07
2010-05-14,74,87.25
2010-05-21,75,84
2010-05-28,74,79.24
2010-06-04,74,75.36
2010-06-11,74,78.39
2010-06-18,72,90.71
2010-06-25,71,88.37
2010-07-02,72,84.89
2010-07-09,73,90.23
2010-07-16,72,85.73
2010-07-23,74,89.56
2010-07-30,75,87.34
2010-08-06,76,86.88
2010-08-13,73,85.35
2010-08-20,73,89.76
2010-08-27,78,87.78
2010-09-03,81,88.93
2010-09-10,82,86.57
2010-09-17,81,86.7
2010-09-24,82,90.62
2010-10-01,82,81.91
2010-10-08,80,76.84
2010-10-15,81,75.22
2010-10-22,81,74.44
2010-10-29,84,74.75
2010-11-05,81,82.7
2010-11-12,83,80.98
2010-11-19,84,77.8
2010-11-26,84,76.45
2010-12-03,85,80.86
2010-12-10,85,85.02
2010-12-17,86,82.75
2010-12-31,95,87.05
2011-01-07,82,86.82
2011-01-14,82,86.38
2011-01-21,81,86.77
2011-01-28,84,86.35
2011-02-04,83,87.49
2011-02-11,89,89.86
2011-02-18,88,91.01
2011-02-25,87,88.56
2011-03-04,85,88.01
2011-03-11,84,87.7
2011-03-18,83,87.57
2011-03-25,88,87.54
2011-04-01,87,89.69
2011-04-08,90,87.7
2011-04-15,87,85.35
2011-04-29,85,88.37
2011-05-06,85,86.43
2011-05-13,90,86.39
2011-05-20,91,88.04
2011-05-27,91,87.62
2011-06-03,88,85.79
2011-06-10,87,84.41
2011-06-17,85,88.02
2011-06-24,84,85.32
2011-07-01,84,89.03
2011-07-08,83,87.56
2011-07-15,83,85.56
2011-07-22,82,89.08
2011-07-29,81,86.24
2011-08-05,85,78.65
2011-08-12,83,73.04
2011-08-19,85,69.86
2011-08-26,86,74.39
2011-09-02,91,72.29
2011-09-09,90,70.5
2011-09-16,93,74.15
2011-09-23,93,69.01
2011-09-30,90,69.9
2011-10-07,90,70.82
2011-10-14,89,75.72
2011-10-21,91,74.94
2011-10-28,94,78.3
2011-11-04,93,72.1
2011-11-11,95,73.91
2011-11-18,97,71.76
2011-11-25,97,67.7
2011-12-02,98,73.88
2011-12-09,98,73.01
2011-12-16,95,72.75
2011-12-23,93,76.89
2011-12-30,93,76.34
2012-01-06,94,79.45
2012-01-13,92,82.34
2012-01-20,93,81.72
2012-01-27,92,80.11
2012-02-03,91,82.45
2012-02-10,96,79.8
2012-02-17,89,82.92
2012-02-24,91,81.77
2012-03-02,92,80.59
2012-03-09,95,81.35
2012-03-16,97,85.69
2012-03-23,94,85.86
2012-03-30,96,86.88
2012-04-13,94,84.43
2012-04-20,91,87.39
2012-04-27,90,87.38
2012-05-04,95,85.56
2012-05-11,94,84.8
2012-05-18,92,80.71
2012-05-25,92,81.82
2012-06-01,91,78.57
2012-06-08,87,79.93
2012-06-15,89,81.04
2012-06-22,87,80.96
2012-06-29,87,82.57
2012-07-06,88,83.88
2012-07-13,84,83.98
2012-07-20,86,84.97
2012-07-27,89,86.45
2012-08-03,89,87.42
2012-08-10,100,86.66
2012-08-17,88,87.28
2012-08-24,89,85.87
2012-08-31,90,86.9
2012-09-07,91,90.74
2012-09-14,88,94.8
2012-09-21,93,94.99
2012-09-28,90,95.16
2012-10-05,88,98.51
2012-10-12,88,96.32
2012-10-19,88,103.7
2012-10-26,93,103.44
2012-11-02,88,103.55
2012-11-09,89,99.09
2012-11-16,90,97.1
2012-11-23,91,99.67
2012-11-30,90,97.73
2012-12-07,89,97.64
2012-12-14,91,97.91
2012-12-21,89,99.86
2012-12-28,87,97.55
2013-01-04,89,102.8
2013-01-11,86,103.24
2013-01-18,87,103.29
2013-01-25,87,103.99
2013-02-01,88,103.92
2013-02-08,87,104.39
2013-02-15,84,104.83
2013-02-22,84,104.73
2013-03-01,87,102.66
2013-03-08,85,103.96
2013-03-15,87,104.35
2013-03-22,88,103.12
2013-04-05,88,101.2
2013-04-12,91,100.24
2013-04-19,88,98.75
2013-04-26,88,99.82
2013-05-03,89,100.77
2013-05-10,90,103.52
2013-05-17,89,105.94
2013-05-24,87,104.71
2013-05-31,86,104.9
2013-06-07,89,103.74
2013-06-14,88,102.51
2013-06-21,85,106.25
2013-06-28,84,111.75
2013-07-05,84,116.4
2013-07-12,84,117.78
2013-07-19,86,118.23
2013-07-26,86,117.25
2013-08-02,85,119.12
2013-08-09,84,117.67
2013-08-16,88,116.77
2013-08-23,84,118.26
2013-08-30,89,113.34
2013-09-06,85,114.98
2013-09-13,91,111.93
2013-09-20,94,111.53
2013-09-27,92,112.08
2013-10-04,92,112.83
2013-10-11,88,114.45
2013-10-18,90,114.8
2013-10-25,90,112.55
2013-11-01,91,111.9
2013-11-08,89,113.87
2013-11-15,95,113.23
2013-11-22,95,116.12
2013-11-29,94,115.36
2013-12-06,95,114.3
2013-12-13,94,113.75
2013-12-20,93,114.34
2013-12-27,92,116.07
2014-01-03,90,115.21
2014-01-10,88,116
2014-01-17,90,111.99
2014-01-24,87,111.27
2014-01-31,90,111.51
2014-02-07,89,113
2014-02-14,90,114.06
2014-02-21,91,113.51
2014-02-28,90,116.59
2014-03-07,89,119.38
2014-03-14,93,117.43
2014-03-21,91,121.13
2014-03-28,93,120.44
2014-04-04,92,120.55
2014-04-11,93,118.22
2014-04-25,92,122.24
