"Date","buy.DE","Price"
2009-03-13,53,29.65
2009-03-20,49,30.72
2009-03-27,54,35.07
2009-04-03,54,37.3
2009-04-17,58,39.44
2009-04-24,55,40.52
2009-05-01,51,42.88
2009-05-08,55,44.91
2009-05-15,54,41.91
2009-05-22,56,41.9
2009-05-29,52,43.47
2009-06-05,59,46.47
2009-06-12,56,44.77
2009-06-19,54,40.06
2009-06-26,51,41.78
2009-07-10,62,35.31
2009-07-17,63,38.38
2009-07-24,62,42.36
2009-07-31,61,43.74
2009-08-07,60,46.31
2009-08-14,60,44.53
2009-08-21,58,44.8
2009-08-28,57,44.43
2009-09-04,56,42.18
2009-09-11,57,43
2009-09-18,55,45.07
2009-09-25,59,43.94
2009-10-02,58,41.13
2009-10-09,62,42.97
2009-10-16,57,44.04
2009-10-23,59,48.08
2009-10-30,60,45.55
2009-11-06,61,47.16
2009-11-13,61,47.58
2009-11-20,59,50.83
2009-11-27,86,52.36
2009-12-04,73,54.24
2009-12-11,66,52.44
2009-12-18,71,54.83
2010-01-08,60,57.63
2010-01-15,62,56.33
2010-01-22,54,53.02
2010-01-29,60,49.95
2010-02-05,58,49.82
2010-02-12,58,53.11
2010-02-19,59,57.28
2010-02-26,63,57.3
2010-03-05,54,59.54
2010-03-12,59,58.64
2010-03-19,55,58.99
2010-03-26,58,60.56
2010-04-09,57,61.68
2010-04-16,55,60.51
2010-04-23,56,61.79
2010-04-30,59,59.82
2010-05-07,62,56.38
2010-05-14,61,58.36
2010-05-21,62,58.73
2010-05-28,57,57.68
2010-06-04,64,56.88
2010-06-11,60,58.86
2010-06-18,60,59.26
2010-06-25,62,59.74
2010-07-02,57,54.5
2010-07-09,62,58.01
2010-07-16,65,59.73
2010-07-23,60,64.5
2010-07-30,66,66.68
2010-08-06,65,68.04
2010-08-13,62,64.85
2010-08-20,62,65.13
2010-08-27,58,64.63
2010-09-03,63,68.63
2010-09-10,64,67.81
2010-09-17,61,72.45
2010-09-24,60,72.64
2010-10-01,64,68.57
2010-10-08,62,75.35
2010-10-15,62,76.16
2010-10-22,58,77.25
2010-10-29,60,76.8
2010-11-05,62,79.1
2010-11-12,65,76.86
2010-11-19,67,77.98
2010-11-26,83,76
2010-12-03,69,78.31
2010-12-10,73,82.14
2010-12-17,70,81.55
2010-12-31,75,83.05
2011-01-07,67,84.34
2011-01-14,68,89.52
2011-01-21,63,89.24
2011-01-28,59,88.91
2011-02-04,64,93.21
2011-02-11,67,95.42
2011-02-18,67,95
2011-02-25,62,90.49
2011-03-04,66,92.35
2011-03-11,60,87.79
2011-03-18,61,90.1
2011-03-25,67,94.24
2011-04-01,65,98.6
2011-04-08,63,95.93
2011-04-15,57,93.76
2011-04-29,60,97.5
2011-05-06,71,91.53
2011-05-13,67,87.72
2011-05-20,65,84.75
2011-05-27,65,85.74
2011-06-03,67,82.2
2011-06-10,62,81.8
2011-06-17,67,78.53
2011-06-24,62,79.98
2011-07-01,68,84.54
2011-07-08,68,86.11
2011-07-15,72,81.69
2011-07-22,70,81.24
2011-07-29,68,78.51
2011-08-05,67,72.66
2011-08-12,67,74.97
2011-08-19,72,69.01
2011-08-26,74,76.03
2011-09-02,70,78.03
2011-09-09,71,75.26
2011-09-16,67,78.02
2011-09-23,67,67.47
2011-09-30,69,64.57
2011-10-07,71,65.7
2011-10-14,68,71.39
2011-10-21,71,72.23
2011-10-28,68,78.67
2011-11-04,70,75.39
2011-11-11,75,75.79
2011-11-18,88,74.27
2011-11-25,100,73.64
2011-12-02,83,77.69
2011-12-09,80,78.34
2011-12-16,83,73.65
2011-12-23,88,78.69
2011-12-30,86,77.35
2012-01-06,84,82.3
2012-01-13,79,84.66
2012-01-20,74,87.04
2012-01-27,79,87.99
2012-02-03,72,88.4
2012-02-10,73,87.55
2012-02-17,71,83.87
2012-02-24,71,83.27
2012-03-02,71,82.28
2012-03-09,71,80.17
2012-03-16,68,83.22
2012-03-23,69,80.84
2012-03-30,63,80.9
2012-04-13,58,79.47
2012-04-20,60,80.91
2012-04-27,59,82.89
2012-05-04,68,80.69
2012-05-11,64,79.07
2012-05-18,61,73.19
2012-05-25,62,75.14
2012-06-01,60,71.52
2012-06-08,62,74.31
2012-06-15,63,75.35
2012-06-22,59,75.53
2012-06-29,64,80.87
2012-07-06,64,80.7
2012-07-13,65,77.48
2012-07-20,68,75.88
2012-07-27,69,78.1
2012-08-03,67,77.51
2012-08-10,64,79.37
2012-08-17,65,76.94
2012-08-24,69,76.67
2012-08-31,66,75.11
2012-09-07,63,78.22
2012-09-14,66,82
2012-09-21,66,82.7
2012-09-28,64,82.47
2012-10-05,64,82.78
2012-10-12,65,82.44
2012-10-19,64,84.99
2012-10-26,64,85.47
2012-11-02,62,85.6
2012-11-09,67,84.29
2012-11-16,84,85.25
2012-11-23,94,83.97
2012-11-30,76,84.05
2012-12-07,75,85.43
2012-12-14,81,85.93
2012-12-21,78,86.19
2012-12-28,81,84.55
2013-01-04,72,88.67
2013-01-11,70,89.62
2013-01-18,63,90.96
2013-01-25,66,93.47
2013-02-01,63,94.65
2013-02-08,59,92.81
2013-02-15,59,89.75
2013-02-22,56,87.13
2013-03-01,63,87.89
2013-03-08,60,90.88
2013-03-15,63,92.24
2013-03-22,61,87.72
2013-04-05,60,85.68
2013-04-12,63,86.14
2013-04-19,57,83.46
2013-04-26,59,85.49
2013-05-03,64,90.54
2013-05-10,61,92.3
2013-05-17,60,86.97
2013-05-24,61,86.29
2013-05-31,58,87.11
2013-06-07,59,86.81
2013-06-14,62,84.88
2013-06-21,56,82.47
2013-06-28,61,81.25
2013-07-05,62,81.44
2013-07-12,65,83.94
2013-07-19,65,84.05
2013-07-26,65,82.81
2013-08-02,62,83.4
2013-08-09,63,81.74
2013-08-16,59,84.11
2013-08-23,61,83.5
2013-08-30,62,83.64
2013-09-06,58,82.61
2013-09-13,61,82.49
2013-09-20,57,83.82
2013-09-27,60,82.37
2013-10-04,56,82.55
2013-10-11,59,82.31
2013-10-18,61,84.19
2013-10-25,59,83.55
2013-11-01,62,81.64
2013-11-08,63,81.5
2013-11-15,78,82.83
2013-11-22,72,84.77
2013-11-29,90,84.24
2013-12-06,73,85.32
2013-12-13,76,87.18
2013-12-20,74,90.08
2013-12-27,78,90.7
2014-01-03,67,90.66
2014-01-10,63,89.76
2014-01-17,63,89.35
2014-01-24,60,85.55
2014-01-31,60,85.96
2014-02-07,55,86.56
2014-02-14,56,85.84
2014-02-21,59,84.69
2014-02-28,60,85.93
2014-03-07,55,88.8
2014-03-14,55,87.2
2014-03-21,56,89.84
2014-03-28,58,88.75
2014-04-04,58,91.83
2014-04-11,54,92.01
2014-04-25,56,93.14
