"Date","ISRG","Price"
2009-02-06,14,114.62
2009-02-13,8,112.09
2009-02-20,7,106.01
2009-02-27,11,90.96
2009-03-06,12,95.89
2009-03-13,14,103.03
2009-03-20,9,93.68
2009-03-27,11,96.42
2009-04-03,7,96.73
2009-04-17,19,130.35
2009-04-24,21,150.24
2009-05-01,10,142.8
2009-05-08,15,158.77
2009-05-15,11,149.92
2009-05-22,6,142.2
2009-05-29,6,149.68
2009-06-05,12,156.01
2009-06-12,12,166.51
2009-06-19,8,161.15
2009-06-26,12,159.72
2009-07-10,9,142.6
2009-07-17,6,155.54
2009-07-24,33,222.53
2009-07-31,15,227.32
2009-08-07,10,230.1
2009-08-14,11,223.8
2009-08-21,5,230.74
2009-08-28,8,224.9
2009-09-04,9,227.41
2009-09-11,11,240.4
2009-09-18,8,247.92
2009-09-25,9,257.5
2009-10-02,9,252.14
2009-10-09,8,253.99
2009-10-16,9,255.43
2009-10-23,18,262.96
2009-10-30,9,246.35
2009-11-06,8,256
2009-11-13,5,274.52
2009-11-20,6,276.44
2009-11-27,7,280.11
2009-12-04,5,292
2009-12-11,5,292.29
2009-12-18,7,289.17
2010-01-08,9,308.96
2010-01-15,7,308.58
2010-01-22,13,340.35
2010-01-29,10,328.06
2010-02-05,7,325.41
2010-02-12,8,331.82
2010-02-19,10,346.52
2010-02-26,6,347.14
2010-03-05,9,358.4
2010-03-12,7,358.9
2010-03-19,8,349.18
2010-03-26,8,342
2010-04-09,8,350.62
2010-04-16,19,360.39
2010-04-23,10,364.98
2010-04-30,7,360.56
2010-05-07,11,324.32
2010-05-14,10,340.12
2010-05-21,6,321.08
2010-05-28,8,322.77
2010-06-04,8,324.67
2010-06-11,10,337.11
2010-06-18,6,349.9
2010-06-25,5,337.42
2010-07-02,5,309.9
2010-07-09,3,318.89
2010-07-16,9,324.61
2010-07-23,12,334.37
2010-07-30,9,328.37
2010-08-06,7,332.16
2010-08-13,5,315.7
2010-08-20,7,293.5
2010-08-27,10,273.07
2010-09-03,7,281.18
2010-09-10,3,280.03
2010-09-17,9,295.77
2010-09-24,8,305.58
2010-10-01,8,289.61
2010-10-08,9,289.82
2010-10-15,8,279.81
2010-10-22,13,265.84
2010-10-29,6,262.95
2010-11-05,8,278.27
2010-11-12,4,267.68
2010-11-19,8,247.5
2010-11-26,6,254.84
2010-12-03,8,271.32
2010-12-10,4,260.07
2010-12-17,4,265.76
2010-12-31,6,257.75
2011-01-07,9,267.4
2011-01-14,10,288.28
2011-01-21,21,326.58
2011-01-28,14,327.93
2011-02-04,6,331.26
2011-02-11,8,345.27
2011-02-18,9,340.92
2011-02-25,6,334.93
2011-03-04,7,332.04
2011-03-11,4,325.43
2011-03-18,5,316.9
2011-03-25,5,329.82
2011-04-01,9,344.84
2011-04-08,9,367.67
2011-04-15,8,360.36
2011-04-29,6,349.7
2011-05-06,6,348.38
2011-05-13,4,356
2011-05-20,5,348.26
2011-05-27,7,344.26
2011-06-03,6,342.24
2011-06-10,4,338.23
2011-06-17,5,344.46
2011-06-24,5,347.4
2011-07-01,5,378.65
2011-07-08,8,368.7
2011-07-15,5,358.79
2011-07-22,13,405.1
2011-07-29,8,400.55
2011-08-05,7,358.57
2011-08-12,7,346.83
2011-08-19,5,329.49
2011-08-26,6,356.93
2011-09-02,6,370.63
2011-09-09,6,369.22
2011-09-16,6,390.54
2011-09-23,7,375.01
2011-09-30,5,364.28
2011-10-07,5,364.45
2011-10-14,4,393.38
2011-10-21,14,415.63
2011-10-28,6,436.53
2011-11-04,4,432.23
2011-11-11,4,439.99
2011-11-18,6,423.06
2011-11-25,3,413.26
2011-12-02,4,433.85
2011-12-09,2,440.4
2011-12-16,5,432.12
2011-12-23,4,457.66
2011-12-30,5,463.01
2012-01-06,6,460.46
2012-01-13,6,459.44
2012-01-20,11,445.68
2012-01-27,8,459
2012-02-03,9,492.01
2012-02-10,7,490.83
2012-02-17,8,505.99
2012-02-24,5,512.76
2012-03-02,7,516.91
2012-03-09,5,523.83
2012-03-16,6,529.74
2012-03-23,8,533.4
2012-03-30,4,541.75
2012-04-13,4,546.56
2012-04-20,18,576.57
2012-04-27,10,585.82
2012-05-04,8,565.16
2012-05-11,6,558.95
2012-05-18,9,511.24
2012-05-25,6,526.55
2012-06-01,4,503.01
2012-06-08,6,536.7
2012-06-15,5,531.66
2012-06-22,7,550.12
2012-06-29,5,553.79
2012-07-06,4,551.47
2012-07-13,7,540.04
2012-07-20,12,498.5
2012-07-27,9,498.94
2012-08-03,7,492.85
2012-08-10,4,498.58
2012-08-17,7,511.73
2012-08-24,6,505.52
2012-08-31,5,491.79
2012-09-07,6,500.74
2012-09-14,6,501.65
2012-09-21,6,517.76
2012-09-28,6,495.63
2012-10-05,5,511.31
2012-10-12,4,494.58
2012-10-19,14,538.35
2012-10-26,5,535.84
2012-11-02,5,541.47
2012-11-09,5,529.6
2012-11-16,7,533.92
2012-11-23,4,537.5
2012-11-30,5,529
2012-12-07,5,518.29
2012-12-14,4,533.11
2012-12-21,13,496.79
2012-12-28,6,479.5
2013-01-04,5,500.28
2013-01-11,7,506
2013-01-18,7,508.33
2013-01-25,14,577.82
2013-02-01,8,583.67
2013-02-08,6,578.75
2013-02-15,5,569.21
2013-02-22,6,574.05
2013-03-01,12,553.4
2013-03-08,8,514.63
2013-03-15,12,459.44
2013-03-22,18,489.39
2013-04-05,8,489.97
2013-04-12,7,512.05
2013-04-19,11,484.75
2013-04-26,8,486.76
2013-05-03,6,503.82
2013-05-10,7,499.57
2013-05-17,7,484
2013-05-24,10,501.53
2013-05-31,7,497.53
2013-06-07,6,513.49
2013-06-14,5,498.31
2013-06-21,6,502.88
2013-06-28,7,506.13
2013-07-05,4,504.01
2013-07-12,23,429.04
2013-07-19,20,392.67
2013-07-26,12,382.29
2013-08-02,9,393.65
2013-08-09,6,391.87
2013-08-16,7,378.33
2013-08-23,6,390.09
2013-08-30,4,386.52
2013-09-06,3,384.69
2013-09-13,5,375
2013-09-20,5,374.69
2013-09-27,7,367.46
2013-10-04,7,364.28
2013-10-11,8,390.18
2013-10-18,13,376.52
2013-10-25,6,369.13
2013-11-01,4,372.03
2013-11-08,4,389.83
2013-11-15,4,394.44
2013-11-22,5,389.71
2013-11-29,4,376.9
2013-12-06,6,377.38
2013-12-13,3,362.94
2013-12-20,6,364.35
2013-12-27,4,379.99
2014-01-03,5,373.46
2014-01-10,7,420.15
2014-01-17,10,430.14
2014-01-24,11,410.76
2014-01-31,5,407.58
2014-02-07,5,417.68
2014-02-14,6,438.83
2014-02-21,5,435.19
2014-02-28,5,444.83
2014-03-07,6,443.98
2014-03-14,5,423.07
2014-03-21,5,428.89
2014-03-28,5,434.99
2014-04-04,17,505.52
2014-04-11,14,439.63
2014-04-25,15,366.37
