"Date","PLL","Price"
2007-07-27,13,41.24
2007-08-03,13,38.62
2007-08-10,13,37.49
2007-08-17,12,35.73
2007-08-24,11,37.55
2007-08-31,13,38.13
2007-09-07,10,37.11
2007-09-14,12,36.65
2007-09-21,12,38.2
2007-09-28,11,38.9
2007-10-05,10,42.73
2007-10-12,13,40.8
2007-10-19,12,38.45
2007-10-26,12,41.46
2007-11-02,13,39.27
2007-11-09,13,37.69
2007-11-16,12,36.49
2007-11-23,13,37.49
2007-11-30,15,38.25
2007-12-07,14,39.82
2007-12-14,13,40.65
2007-12-21,13,41.55
2007-12-28,12,40.59
2008-01-04,11,38.76
2008-01-11,13,37
2008-01-18,12,35.42
2008-01-25,12,35.01
2008-02-01,12,37.91
2008-02-08,11,37.95
2008-02-15,11,38.98
2008-02-22,13,39.6
2008-02-29,14,39.37
2008-03-07,13,38.22
2008-03-14,13,35.83
2008-03-28,12,38.25
2008-04-04,12,35.37
2008-04-11,14,36.51
2008-04-18,13,37.37
2008-04-25,12,36.84
2008-05-02,11,35.18
2008-05-09,12,35.59
2008-05-16,12,37.75
2008-05-23,11,37.82
2008-05-30,12,40.81
2008-06-06,11,39.4
2008-06-13,13,42.38
2008-06-20,13,41.78
2008-06-27,12,39.48
2008-07-11,12,39.57
2008-07-18,11,41.09
2008-07-25,13,40.79
2008-08-01,12,39.84
2008-08-08,11,41.24
2008-08-15,9,42.19
2008-08-22,11,40.59
2008-08-29,11,40.61
2008-09-05,9,38.57
2008-09-12,11,37.74
2008-09-19,11,34.93
2008-09-26,11,35.38
2008-10-03,11,32.19
2008-10-10,10,29.46
2008-10-17,10,26.99
2008-10-24,11,22.99
2008-10-31,11,26.41
2008-11-07,11,24.58
2008-11-14,10,24.43
2008-11-21,12,23.63
2008-11-28,13,27.51
2008-12-05,11,26.4
2008-12-12,11,26.75
2008-12-19,11,26.36
2008-12-26,11,26.82
2009-01-02,11,28.9
2009-01-09,10,27.55
2009-01-16,11,27.19
2009-01-23,11,26.32
2009-01-30,11,26.07
2009-02-06,11,28.14
2009-02-13,11,27.36
2009-02-20,11,25.28
2009-02-27,10,23.77
2009-03-06,12,21.72
2009-03-13,11,19.37
2009-03-20,11,20.02
2009-03-27,10,21.25
2009-04-03,10,22.75
2009-04-17,11,24.77
2009-04-24,10,25.6
2009-05-01,10,26.11
2009-05-08,10,27.65
2009-05-15,12,25.27
2009-05-22,11,24.28
2009-05-29,11,25.68
2009-06-05,10,26.6
2009-06-12,10,27.14
2009-06-19,10,26.09
2009-06-26,10,26.78
2009-07-10,9,26.33
2009-07-17,10,28.04
2009-07-24,9,30.1
2009-07-31,10,30.08
2009-08-07,10,31.17
2009-08-14,9,29.68
2009-08-21,9,30.59
2009-08-28,9,30.26
2009-09-04,10,30.24
2009-09-11,10,32.34
2009-09-18,10,34.18
2009-09-25,9,32.65
2009-10-02,10,30.83
2009-10-09,10,32.45
2009-10-16,10,33.32
2009-10-23,10,32.88
2009-10-30,10,31.74
2009-11-06,10,33.23
2009-11-13,10,34.44
2009-11-20,10,32.25
2009-11-27,10,32.13
2009-12-04,10,32.23
2009-12-11,10,34.63
2009-12-18,11,35.65
2010-01-08,10,37.47
2010-01-15,11,37.5
2010-01-22,10,35.96
2010-01-29,10,34.47
2010-02-05,11,33.92
2010-02-12,11,34.82
2010-02-19,10,37.07
2010-02-26,11,39.47
2010-03-05,12,41.32
2010-03-12,11,38.87
2010-03-19,11,38.66
2010-03-26,10,39.85
2010-04-09,10,39.94
2010-04-16,13,39
2010-04-23,14,40.26
2010-04-30,11,38.99
2010-05-07,10,35.18
2010-05-14,11,36.4
2010-05-21,11,33.84
2010-05-28,11,34.05
2010-06-04,10,33.34
2010-06-11,10,36.81
2010-06-18,11,37.25
2010-06-25,9,36.41
2010-07-02,11,33.54
2010-07-09,10,35.69
2010-07-16,11,36.01
2010-07-23,11,38.42
2010-07-30,11,38.24
2010-08-06,11,38.43
2010-08-13,11,35.46
2010-08-20,10,35.56
2010-08-27,9,35.15
2010-09-03,10,37.18
2010-09-10,10,37.55
2010-09-17,10,40.45
2010-09-24,10,41.76
2010-10-01,10,41.97
2010-10-08,8,43.25
2010-10-15,10,43.48
2010-10-22,9,43.43
2010-10-29,10,42.67
2010-11-05,10,44.69
2010-11-12,10,43.7
2010-11-19,10,45.13
2010-11-26,10,46.02
2010-12-03,10,47.6
2010-12-10,10,50
2010-12-17,10,50
2010-12-31,10,49.58
2011-01-07,15,50
2011-01-14,12,50.37
2011-01-21,12,48.84
2011-01-28,12,48.66
2011-02-04,13,54.18
2011-02-11,12,55.13
2011-02-18,13,55.85
2011-02-25,14,54.76
2011-03-04,14,55.27
2011-03-11,14,57.02
2011-03-18,14,56.63
2011-03-25,18,56.59
2011-04-01,13,57.98
2011-04-08,12,58.73
2011-04-15,11,57.28
2011-04-29,11,58.44
2011-05-06,11,54.99
2011-05-13,12,55.37
2011-05-20,12,54.86
2011-05-27,12,55.06
2011-06-03,12,53.56
2011-06-10,13,52.85
2011-06-17,22,53.59
2011-06-24,19,54.17
2011-07-01,18,57.79
2011-07-08,18,57.17
2011-07-15,18,54.49
2011-07-22,19,55.05
2011-07-29,19,49.58
2011-08-05,19,44.54
2011-08-12,19,48.19
2011-08-19,19,44.08
2011-08-26,22,49.01
2011-09-02,24,48.11
2011-09-09,17,42.47
2011-09-16,14,44.85
2011-09-23,12,42.2
2011-09-30,13,42.4
2011-10-07,12,46.04
2011-10-14,13,49
2011-10-21,21,49.79
2011-10-28,16,52.57
2011-11-04,17,52.18
2011-11-11,13,52.56
2011-11-18,12,52.33
2011-11-25,13,49.92
2011-12-02,13,53.54
2011-12-09,13,56.66
2011-12-16,13,56.6
2011-12-23,14,57.56
2011-12-30,15,57.15
2012-01-06,33,56.18
2012-01-13,22,59.86
2012-01-20,23,60.02
2012-01-27,21,59.06
2012-02-03,21,62.19
2012-02-10,20,63.27
2012-02-17,19,63.66
2012-02-24,21,63.41
2012-03-02,22,62.98
2012-03-09,21,59.3
2012-03-16,27,60.02
2012-03-23,52,59.31
2012-03-30,19,59.63
2012-04-13,16,59.12
2012-04-20,15,59.48
2012-04-27,13,60.41
2012-05-04,14,57.46
2012-05-11,16,58.44
2012-05-18,15,55.08
2012-05-25,17,56.95
2012-06-01,19,54.39
2012-06-08,40,52.98
2012-06-15,30,53.89
2012-06-22,29,52.63
2012-06-29,30,54.81
2012-07-06,31,53.51
2012-07-13,30,52.84
2012-07-20,31,52.04
2012-07-27,33,53.47
2012-08-03,33,54.31
2012-08-10,33,55.16
2012-08-17,32,55.78
2012-08-24,35,55.09
2012-08-31,72,55.51
2012-09-07,34,57.18
2012-09-14,25,64.08
2012-09-21,22,65.02
2012-09-28,20,63.49
2012-10-05,19,64.61
2012-10-12,20,63.36
2012-10-19,21,63.28
2012-10-26,51,62.31
2012-11-02,25,63.95
2012-11-09,19,59.13
2012-11-16,18,59.27
2012-11-23,18,61.56
2012-11-30,17,59.48
2012-12-07,17,60.46
2012-12-14,18,60.24
2012-12-21,18,60.68
2012-12-28,20,59.67
2013-01-04,24,62.65
2013-01-11,48,64.29
2013-01-18,35,67.4
2013-01-25,41,67.99
2013-02-01,38,68.51
2013-02-08,37,68.23
2013-02-15,34,68.51
2013-02-22,34,67.7
2013-03-01,38,67.61
2013-03-08,36,69
2013-03-15,39,68.59
2013-03-22,57,68.62
2013-04-05,29,66.81
2013-04-12,25,67.05
2013-04-19,23,63.5
2013-04-26,22,65.65
2013-05-03,22,68.08
2013-05-10,23,68.73
2013-05-17,21,71.37
2013-05-24,22,70.98
2013-05-31,25,68.2
2013-06-07,34,67.89
2013-06-14,71,68.28
2013-06-21,51,65.94
2013-06-28,47,66.43
2013-07-05,45,67.74
2013-07-12,48,70.62
2013-07-19,49,70.78
2013-07-26,48,70.37
2013-08-02,48,71.41
2013-08-09,48,71.56
2013-08-16,54,70.38
2013-08-23,55,70.9
2013-08-30,100,69.14
2013-09-06,47,71.47
2013-09-13,33,73.3
2013-09-20,30,77.23
2013-09-27,27,77.5
2013-10-04,27,77.5
2013-10-11,28,77.11
2013-10-18,29,78.6
2013-10-25,71,80.27
2013-11-01,37,81.47
2013-11-08,26,81.87
2013-11-15,25,82.36
2013-11-22,22,82.75
2013-11-29,23,83.7
2013-12-06,24,83.87
2013-12-13,24,81.65
2013-12-20,23,85
2013-12-27,28,84.99
2014-01-03,36,84.01
2014-01-10,69,84.52
2014-01-17,51,83.5
2014-01-24,49,79.44
2014-01-31,50,80.1
2014-02-07,49,82.38
2014-02-14,50,85.7
2014-02-21,54,85.42
2014-02-28,51,86
2014-03-07,57,87.31
2014-03-14,62,86.17
2014-03-21,94,89.13
2014-03-28,42,88.54
2014-04-04,34,89.07
2014-04-11,30,85.95
2014-04-25,31,83
