"Date","sell.HP","Price"
2011-01-14,18,50.76
2011-01-21,15,50.63
2011-01-28,16,56.37
2011-02-04,19,59.1
2011-02-11,12,59.24
2011-02-18,12,62.15
2011-02-25,17,64.78
2011-03-04,13,64.06
2011-03-11,17,61.65
2011-03-18,11,61.18
2011-03-25,16,65.43
2011-04-01,12,68.94
2011-04-08,17,68.94
2011-04-15,10,67.84
2011-04-29,12,66.34
2011-05-06,12,57.67
2011-05-13,14,59.03
2011-05-20,13,60.31
2011-05-27,12,62.57
2011-06-03,12,63.33
2011-06-10,11,60.54
2011-06-17,16,58.35
2011-06-24,12,60.68
2011-07-01,16,67.47
2011-07-08,15,68.45
2011-07-15,15,70.05
2011-07-22,18,72.56
2011-07-29,15,69.05
2011-08-05,20,56.84
2011-08-12,13,58.9
2011-08-19,52,49.34
2011-08-26,100,53.81
2011-09-02,44,54.71
2011-09-09,29,52.79
2011-09-16,21,53.5
2011-09-23,22,44.61
2011-09-30,14,40.6
2011-10-07,19,41.97
2011-10-14,14,48.52
2011-10-21,18,48.06
2011-10-28,17,56.89
2011-11-04,15,54.8
2011-11-11,16,55.34
2011-11-18,19,54.5
2011-11-25,17,50.7
2011-12-02,16,58.31
2011-12-09,16,60.58
2011-12-16,19,55.78
2011-12-23,16,59
2011-12-30,19,58.36
2012-01-06,17,63.62
2012-01-13,19,58.51
2012-01-20,15,59.54
2012-01-27,14,60.57
2012-02-03,15,61.62
2012-02-10,16,59.27
2012-02-17,12,63.28
2012-02-24,18,62.72
2012-03-02,13,60.77
2012-03-09,18,60.85
2012-03-16,12,59.32
2012-03-23,13,55.52
2012-03-30,10,53.95
2012-04-13,13,52.22
2012-04-20,11,51.5
2012-04-27,15,50.99
2012-05-04,16,47.47
2012-05-11,14,45.94
2012-05-18,15,43.47
2012-05-25,17,46.25
2012-06-01,15,44.32
2012-06-08,18,46.09
2012-06-15,12,44.52
2012-06-22,15,41.83
2012-06-29,15,43.48
2012-07-06,12,44
2012-07-13,16,43.19
2012-07-20,13,45.59
2012-07-27,13,48.59
2012-08-03,18,46.99
2012-08-10,17,49.92
2012-08-17,17,49.31
2012-08-24,18,46.87
2012-08-31,17,45.64
2012-09-07,16,48
2012-09-14,16,51.49
2012-09-21,20,49.15
2012-09-28,14,47.61
2012-10-05,15,47.05
2012-10-12,15,49.6
2012-10-19,16,50.17
2012-10-26,24,48.09
2012-11-02,18,47.65
2012-11-09,15,45.92
2012-11-16,15,49.92
2012-11-23,20,51.59
2012-11-30,17,52.2
2012-12-07,17,55.46
2012-12-14,18,53.67
2012-12-21,17,56.43
2012-12-28,17,54.56
2013-01-04,17,57.66
2013-01-11,18,58.54
2013-01-18,18,61
2013-01-25,17,62.2
2013-02-01,17,64.73
2013-02-08,17,64.39
2013-02-15,14,67.83
2013-02-22,13,65.54
2013-03-01,16,66.1
2013-03-08,14,64.28
2013-03-15,15,66.26
2013-03-22,15,60.57
2013-04-05,17,60.92
2013-04-12,12,61.35
2013-04-19,14,57.28
2013-04-26,16,57.99
2013-05-03,15,61.75
2013-05-10,13,62.46
2013-05-17,19,65.39
2013-05-24,15,63.02
2013-05-31,18,61.74
2013-06-07,16,64.12
2013-06-14,14,60.82
2013-06-21,15,61.69
2013-06-28,15,62.45
2013-07-05,14,65.48
2013-07-12,14,65.48
2013-07-19,16,67.39
2013-07-26,14,64.73
2013-08-02,20,65.59
2013-08-09,16,67.91
2013-08-16,18,64.76
2013-08-23,15,64.67
2013-08-30,15,63.04
2013-09-06,15,64.36
2013-09-13,14,68.99
2013-09-20,14,70.32
2013-09-27,16,69.07
2013-10-04,13,73.7
2013-10-11,15,73.98
2013-10-18,15,76.76
2013-10-25,15,76.57
2013-11-01,17,77.43
2013-11-08,15,78.02
2013-11-15,12,79.27
2013-11-22,15,78.97
2013-11-29,16,77
2013-12-06,15,79.83
2013-12-13,14,79.52
2013-12-20,14,82.03
2013-12-27,15,83.96
2014-01-03,14,83.05
2014-01-10,18,85.55
2014-01-17,15,85.65
2014-01-24,19,86.01
2014-01-31,16,88.04
2014-02-07,11,87.17
2014-02-14,13,90.59
2014-02-21,14,94.34
2014-02-28,14,98.75
2014-03-07,15,100.5
2014-03-14,14,97.95
2014-03-21,12,106.64
2014-03-28,12,107.7
2014-04-04,15,107.29
2014-04-11,15,105.91
2014-04-25,13,107
