"Date","UPS","Price"
2011-09-16,60,66.59
2011-09-23,58,62
2011-09-30,58,63.15
2011-10-07,56,66.26
2011-10-14,60,68.96
2011-10-21,60,70.06
2011-10-28,60,71.49
2011-11-04,55,69.99
2011-11-11,60,70.78
2011-11-18,61,69.14
2011-11-25,55,66.46
2011-12-02,71,71.07
2011-12-09,68,72.45
2011-12-16,75,71.76
2011-12-23,82,73.47
2011-12-30,58,73.19
2012-01-06,58,73.48
2012-01-13,61,74.16
2012-01-20,58,75.42
2012-01-27,55,76.04
2012-02-03,55,76.7
2012-02-10,57,76.69
2012-02-17,66,76.76
2012-02-24,55,76.5
2012-03-02,53,76.54
2012-03-09,55,77.16
2012-03-16,55,78.41
2012-03-23,55,79.71
2012-03-30,52,80.72
2012-04-13,50,79.56
2012-04-20,52,80.27
2012-04-27,52,78.44
2012-05-04,51,77.73
2012-05-11,54,76.43
2012-05-18,53,74.03
2012-05-25,56,74.94
2012-06-01,53,73.25
2012-06-08,55,76.63
2012-06-15,55,77.53
2012-06-22,55,77.71
2012-06-29,55,78.76
2012-07-06,53,79.37
2012-07-13,57,79.44
2012-07-20,55,78.45
2012-07-27,57,76
2012-08-03,56,75.76
2012-08-10,57,76.3
2012-08-17,57,76.49
2012-08-24,57,75.72
2012-08-31,59,73.81
2012-09-07,56,72.6
2012-09-14,58,73.68
2012-09-21,58,71.88
2012-09-28,58,71.57
2012-10-05,57,73.1
2012-10-12,57,72.11
2012-10-19,56,72.3
2012-10-26,55,73.02
2012-11-02,54,73.48
2012-11-09,56,72.25
2012-11-16,59,70.02
2012-11-23,53,71.98
2012-11-30,68,73.11
2012-12-07,67,73.17
2012-12-14,67,72.85
2012-12-21,83,74.84
2012-12-28,59,72.83
2013-01-04,63,76.57
2013-01-11,63,77.92
2013-01-18,58,80.25
2013-01-25,57,82.45
2013-02-01,56,79.97
2013-02-08,56,82.38
2013-02-15,58,83.48
2013-02-22,55,82.94
2013-03-01,55,82.87
2013-03-08,57,84.44
2013-03-15,58,85.47
2013-03-22,55,84.76
2013-04-05,55,83.54
2013-04-12,57,84.14
2013-04-19,56,82.99
2013-04-26,54,85.71
2013-05-03,54,86.09
2013-05-10,56,88.34
2013-05-17,56,88.7
2013-05-24,56,86.83
2013-05-31,54,85.9
2013-06-07,58,86.37
2013-06-14,57,85.91
2013-06-21,58,85.41
2013-06-28,60,86.48
2013-07-05,60,87.54
2013-07-12,74,86.12
2013-07-19,77,88.08
2013-07-26,68,86.99
2013-08-02,68,87.92
2013-08-09,66,87.81
2013-08-16,73,86.05
2013-08-23,67,87.17
2013-08-30,64,85.58
2013-09-06,59,86.76
2013-09-13,59,88.66
2013-09-20,58,91.55
2013-09-27,59,91.25
2013-10-04,59,91
2013-10-11,60,90.77
2013-10-18,60,93
2013-10-25,62,95.61
2013-11-01,60,98.22
2013-11-08,66,99.62
2013-11-15,68,100.94
2013-11-22,65,101.98
2013-11-29,61,102.38
2013-12-06,79,102.43
2013-12-13,83,101.38
2013-12-20,95,103.33
2013-12-27,77,104.72
2014-01-03,69,103.09
2014-01-10,73,102.52
2014-01-17,63,99.91
2014-01-24,63,96.33
2014-01-31,61,95.23
2014-02-07,58,95.37
2014-02-14,64,97.24
2014-02-21,62,96.11
2014-02-28,61,95.77
2014-03-07,63,98.22
2014-03-14,59,96.27
2014-03-21,60,96.86
2014-03-28,59,97.34
2014-04-04,57,98.1
2014-04-11,60,96.27
2014-04-25,56,97.4
