"Date","Goodyear.Tire...Rubber","Price"
2007-11-30,73,28.75
2007-12-07,75,28.44
2007-12-14,54,26.46
2007-12-21,69,28.75
2007-12-28,54,28.51
2008-01-04,62,24.58
2008-01-11,49,24.28
2008-01-18,48,24.25
2008-01-25,46,25.07
2008-02-01,45,26.07
2008-02-08,52,23.69
2008-02-15,52,26.86
2008-02-22,49,26.93
2008-02-29,45,27.1
2008-03-07,52,25.61
2008-03-14,45,25.61
2008-03-28,54,24.8
2008-04-04,51,26.58
2008-04-11,47,25.5
2008-04-18,53,27.4
2008-04-25,52,28.91
2008-05-02,56,27.18
2008-05-09,55,27.88
2008-05-16,50,28.98
2008-05-23,49,25.29
2008-05-30,47,25.41
2008-06-06,53,23.11
2008-06-13,51,23.14
2008-06-20,43,20.34
2008-06-27,57,18.25
2008-07-11,55,16.98
2008-07-18,53,18.53
2008-07-25,51,19.49
2008-08-01,57,19.2
2008-08-08,52,21.33
2008-08-15,52,21.41
2008-08-22,55,20.36
2008-08-29,51,19.61
2008-09-05,51,20.59
2008-09-12,54,18.35
2008-09-19,56,17.18
2008-09-26,52,16.57
2008-10-03,68,12.55
2008-10-10,60,12.2
2008-10-17,66,11.7
2008-10-24,65,8.89
2008-10-31,76,8.92
2008-11-07,70,7.14
2008-11-14,79,5.42
2008-11-21,89,5.01
2008-11-28,70,6.43
2008-12-05,72,6.07
2008-12-12,69,6.14
2008-12-19,67,6.12
2008-12-26,70,5.58
2009-01-02,63,6.51
2009-01-09,56,7.63
2009-01-16,54,6.71
2009-01-23,46,6.49
2009-01-30,54,6.17
2009-02-06,51,7.17
2009-02-13,56,6.92
2009-02-20,53,5.97
2009-02-27,56,4.44
2009-03-06,52,3.51
2009-03-13,48,5.24
2009-03-20,57,5.84
2009-03-27,55,6.85
2009-04-03,58,7.4
2009-04-17,58,10.21
2009-04-24,54,10.87
2009-05-01,53,11.41
2009-05-08,58,13.3
2009-05-15,49,11.24
2009-05-22,52,11.45
2009-05-29,58,11.45
2009-06-05,48,12.94
2009-06-12,54,12.41
2009-06-19,61,12.23
2009-06-26,59,11.22
2009-07-10,60,10.98
2009-07-17,55,12.92
2009-07-24,66,14.47
2009-07-31,60,17.02
2009-08-07,59,18.11
2009-08-14,62,17.8
2009-08-21,63,17.97
2009-08-28,62,16.2
2009-09-04,56,16.35
2009-09-11,62,17.27
2009-09-18,66,17.08
2009-09-25,61,16.02
2009-10-02,69,15.35
2009-10-09,76,17.23
2009-10-16,83,17.46
2009-10-23,70,17.75
2009-10-30,75,12.88
2009-11-06,65,13.13
2009-11-13,66,14.34
2009-11-20,62,14.11
2009-11-27,55,13.69
2009-12-04,71,14.56
2009-12-11,68,14.89
2009-12-18,49,14.34
2010-01-08,48,15.94
2010-01-15,35,15.02
2010-01-22,42,13.24
2010-01-29,41,13.34
2010-02-05,46,12.64
2010-02-12,53,13.28
2010-02-19,53,13.46
2010-02-26,42,12.99
2010-03-05,48,13.7
2010-03-12,48,13.82
2010-03-19,53,13.01
2010-03-26,45,13.03
2010-04-09,47,12.87
2010-04-16,47,14.27
2010-04-23,45,14.58
2010-04-30,44,13.43
2010-05-07,49,12.11
2010-05-14,46,13.05
2010-05-21,51,11.33
2010-05-28,48,11.9
2010-06-04,44,11.49
2010-06-11,49,11.59
2010-06-18,47,11.99
2010-06-25,53,11.4
2010-07-02,55,10.01
2010-07-09,56,10.89
2010-07-16,50,10.94
2010-07-23,50,12.22
2010-07-30,49,10.67
2010-08-06,48,11.15
2010-08-13,55,9.98
2010-08-20,55,9.85
2010-08-27,48,9.69
2010-09-03,48,10.3
2010-09-10,52,10.35
2010-09-17,45,11.16
2010-09-24,48,10.82
2010-10-01,51,10.85
2010-10-08,53,11.57
2010-10-15,50,11.97
2010-10-22,55,11.74
2010-10-29,59,10.22
2010-11-05,53,10.47
2010-11-12,58,10.1
2010-11-19,59,10.33
2010-11-26,55,10.03
2010-12-03,53,9.93
2010-12-10,51,11.35
2010-12-17,55,11.64
2010-12-31,52,11.85
2011-01-07,48,12.9
2011-01-14,49,12.13
2011-01-21,37,11.58
2011-01-28,41,11.66
2011-02-04,40,12.76
2011-02-11,39,14.3
2011-02-18,39,14.89
2011-02-25,41,13.9
2011-03-04,43,13.68
2011-03-11,40,14.98
2011-03-18,40,14.82
2011-03-25,42,15.45
2011-04-01,39,15.22
2011-04-08,42,15
2011-04-15,43,15.15
2011-04-29,44,18.15
2011-05-06,40,17.56
2011-05-13,43,17.77
2011-05-20,45,17.57
2011-05-27,45,17.51
2011-06-03,44,16.51
2011-06-10,44,14.99
2011-06-17,42,14.8
2011-06-24,43,15.88
2011-07-01,43,17.29
2011-07-08,43,17.23
2011-07-15,46,17.84
2011-07-22,45,17.89
2011-07-29,47,16.17
2011-08-05,43,13.55
2011-08-12,44,13.48
2011-08-19,48,10.88
2011-08-26,39,11.81
2011-09-02,42,11.5
2011-09-09,42,10.78
2011-09-16,47,11.09
2011-09-23,43,9.86
2011-09-30,42,10.09
2011-10-07,47,10.3
2011-10-14,47,12.27
2011-10-21,52,12.97
2011-10-28,54,14.84
2011-11-04,53,14.3
2011-11-11,55,13.93
2011-11-18,55,12.76
2011-11-25,52,11.93
2011-12-02,55,14.12
2011-12-09,42,14.55
2011-12-16,37,13.58
2011-12-23,37,14.31
2011-12-30,42,14.17
2012-01-06,37,15.15
2012-01-13,37,13.5
2012-01-20,38,13.65
2012-01-27,36,13.5
2012-02-03,37,13.86
2012-02-10,36,13.88
2012-02-17,37,13.42
2012-02-24,38,13.11
2012-03-02,55,13.12
2012-03-09,38,12.38
2012-03-16,37,12.16
2012-03-23,40,11.91
2012-03-30,38,11.22
2012-04-13,36,10.59
2012-04-20,36,11.24
2012-04-27,37,11.32
2012-05-04,35,10.84
2012-05-11,38,10.55
2012-05-18,34,10.04
2012-05-25,36,10.59
2012-06-01,37,9.87
2012-06-08,33,10.49
2012-06-15,35,11.02
2012-06-22,38,11.46
2012-06-29,39,11.81
2012-07-06,38,11.09
2012-07-13,40,10.24
2012-07-20,43,9.81
2012-07-27,46,10.57
2012-08-03,45,11.16
2012-08-10,41,11.74
2012-08-17,41,12.04
2012-08-24,43,11.88
2012-08-31,42,12.2
2012-09-07,43,13.16
2012-09-14,39,13.51
2012-09-21,43,12.73
2012-09-28,40,12.19
2012-10-05,44,12.74
2012-10-12,46,12.28
2012-10-19,44,12.39
2012-10-26,45,11.02
2012-11-02,46,11.6
2012-11-09,46,11.53
2012-11-16,44,11.16
2012-11-23,40,11.83
2012-11-30,39,12.6
2012-12-07,35,12.78
2012-12-14,33,12.95
2012-12-21,34,13.08
2012-12-28,38,13.29
2013-01-04,34,14.35
2013-01-11,31,13.78
2013-01-18,29,13.81
2013-01-25,29,13.87
2013-02-01,33,13.78
2013-02-08,32,13.59
2013-02-15,30,14.1
2013-02-22,31,13.45
2013-03-01,34,12.96
2013-03-08,32,13.08
2013-03-15,33,13.73
2013-03-22,34,12.8
2013-04-05,33,12.16
2013-04-12,31,12.51
2013-04-19,32,12.14
2013-04-26,35,12.51
2013-05-03,33,12.37
2013-05-10,35,12.85
2013-05-17,35,14.74
2013-05-24,35,14.55
2013-05-31,35,15.14
2013-06-07,35,14.82
2013-06-14,33,15.31
2013-06-21,32,14.94
2013-06-28,34,15.3
2013-07-05,33,15.86
2013-07-12,38,16.6
2013-07-19,35,17.23
2013-07-26,36,16.78
2013-08-02,38,19.02
2013-08-09,39,19.05
2013-08-16,38,18.72
2013-08-23,35,18.84
2013-08-30,38,20.12
2013-09-06,35,20.79
2013-09-13,36,21.82
2013-09-20,38,22.21
2013-09-27,38,22.46
2013-10-04,41,23.01
2013-10-11,44,22.64
2013-10-18,46,22.63
2013-10-25,44,22.21
2013-11-01,44,20.86
2013-11-08,48,21.06
2013-11-15,50,21.65
2013-11-22,42,21.75
2013-11-29,55,22.26
2013-12-06,45,22.56
2013-12-13,44,22.62
2013-12-20,38,22.93
2013-12-27,33,23.54
2014-01-03,37,23.37
2014-01-10,35,25.99
2014-01-17,32,24.53
2014-01-24,33,23.04
2014-01-31,30,23.66
2014-02-07,32,23.53
2014-02-14,38,26.76
2014-02-21,36,26.54
2014-02-28,38,26.87
2014-03-07,34,27.66
2014-03-14,36,27.29
2014-03-21,34,26.92
2014-03-28,36,25.94
2014-04-04,33,25.56
2014-04-11,35,25.21
2014-04-25,37,27.44
