"Date","MOS","Price"
2007-12-07,100,79.63
2007-12-14,68,82.81
2007-12-21,72,88.96
2007-12-28,70,95.84
2008-01-04,50,95.41
2008-01-11,51,99.21
2008-01-18,48,80.02
2008-01-25,48,91.4
2008-02-01,45,93.47
2008-02-08,47,96.22
2008-02-15,47,103.37
2008-02-22,46,108.96
2008-02-29,46,111.3
2008-03-07,45,104.06
2008-03-14,45,107.23
2008-03-28,44,105.4
2008-04-04,50,115.07
2008-04-11,49,121.61
2008-04-18,46,135.25
2008-04-25,44,131.3
2008-05-02,45,124.63
2008-05-09,42,126.42
2008-05-16,44,129.66
2008-05-23,42,119.86
2008-05-30,42,125.32
2008-06-06,42,133.36
2008-06-13,44,153.31
2008-06-20,48,152.72
2008-06-27,44,148.18
2008-07-11,45,141.81
2008-07-18,44,127.13
2008-07-25,45,122.05
2008-08-01,43,122.69
2008-08-08,47,104.42
2008-08-15,42,97.52
2008-08-22,42,107.35
2008-08-29,41,106.74
2008-09-05,43,94.52
2008-09-12,45,91.95
2008-09-19,45,95.33
2008-09-26,42,76.05
2008-10-03,48,40.88
2008-10-10,50,36.4
2008-10-17,50,33.66
2008-10-24,47,27.78
2008-10-31,46,39.41
2008-11-07,49,36.49
2008-11-14,51,32.47
2008-11-21,57,24.94
2008-11-28,65,30.35
2008-12-05,96,27.57
2008-12-12,77,31.5
2008-12-19,78,33.61
2008-12-26,84,32.59
2009-01-02,51,36.86
2009-01-09,48,38.79
2009-01-16,46,35.45
2009-01-23,46,35.39
2009-01-30,45,35.67
2009-02-06,45,45.05
2009-02-13,45,42.88
2009-02-20,45,42.52
2009-02-27,46,43.05
2009-03-06,46,39.16
2009-03-13,47,42.08
2009-03-20,47,41.62
2009-03-27,48,47.05
2009-04-03,54,45.64
2009-04-17,48,42.18
2009-04-24,47,40.96
2009-05-01,48,42.35
2009-05-08,44,45.45
2009-05-15,46,51.3
2009-05-22,45,55.36
2009-05-29,47,54.7
2009-06-05,52,53.13
2009-06-12,64,55.48
2009-06-19,54,46.45
2009-06-26,49,43.35
2009-07-10,48,41.13
2009-07-17,51,49.56
2009-07-24,45,53.45
2009-07-31,47,52.15
2009-08-07,47,53.78
2009-08-14,45,54.07
2009-08-21,46,54.46
2009-08-28,46,49.81
2009-09-04,46,51.36
2009-09-11,47,52.26
2009-09-18,45,54.25
2009-09-25,44,49.21
2009-10-02,45,46.18
2009-10-09,45,49.24
2009-10-16,45,51.61
2009-10-23,45,51.79
2009-10-30,46,46.73
2009-11-06,47,50.35
2009-11-13,52,48.12
2009-11-20,54,55.31
2009-11-27,61,54.35
2009-12-04,88,58.29
2009-12-11,82,58.99
2009-12-18,77,55.22
2010-01-08,53,66.7
2010-01-15,51,61.56
2010-01-22,51,58.63
2010-01-29,49,53.51
2010-02-05,53,55.18
2010-02-12,46,58.83
2010-02-19,45,60.78
2010-02-26,46,58.39
2010-03-05,47,61.6
2010-03-12,45,63.8
2010-03-19,48,58.42
2010-03-26,49,59.35
2010-04-09,52,56.65
2010-04-16,49,54.13
2010-04-23,48,53.78
2010-04-30,47,51.14
2010-05-07,46,48.16
2010-05-14,43,47.76
2010-05-21,47,45.71
2010-05-28,44,46.17
2010-06-04,43,43.06
2010-06-11,44,45.24
2010-06-18,43,43.46
2010-06-25,44,42.44
2010-07-02,44,39.43
2010-07-09,45,46.13
2010-07-16,46,44.76
2010-07-23,46,46.8
2010-07-30,46,47.65
2010-08-06,44,51.19
2010-08-13,43,51.2
2010-08-20,46,56.64
2010-08-27,45,58.27
2010-09-03,41,58.1
2010-09-10,44,59.35
2010-09-17,47,60.02
2010-09-24,45,62.09
2010-10-01,46,59.62
2010-10-08,48,65.61
2010-10-15,46,68.39
2010-10-22,45,65.96
2010-10-29,48,73.16
2010-11-05,48,70.78
2010-11-12,49,69.7
2010-11-19,54,70.05
2010-11-26,57,69.8
2010-12-03,76,69.1
2010-12-10,95,68.59
2010-12-17,73,67.33
2010-12-31,56,76.36
2011-01-07,51,76.29
2011-01-14,52,82.97
2011-01-21,51,73.2
2011-01-28,52,79.78
2011-02-04,49,82.53
2011-02-11,48,88.32
2011-02-18,48,83.02
2011-02-25,48,84.93
2011-03-04,50,85.5
2011-03-11,48,76.28
2011-03-18,47,75.53
2011-03-25,49,78.82
2011-04-01,49,80.37
2011-04-08,49,78.41
2011-04-15,48,73.85
2011-04-29,45,74.86
2011-05-06,45,71.17
2011-05-13,50,67.35
2011-05-20,46,65.42
2011-05-27,47,70.04
2011-06-03,46,68.99
2011-06-10,43,67.74
2011-06-17,47,59.32
2011-06-24,47,63.6
2011-07-01,45,67.83
2011-07-08,46,70.58
2011-07-15,48,66.75
2011-07-22,44,72.88
2011-07-29,43,70.72
2011-08-05,43,63.59
2011-08-12,42,64.77
2011-08-19,42,63.02
2011-08-26,42,69.38
2011-09-02,41,70
2011-09-09,44,69.97
2011-09-16,46,70.99
2011-09-23,42,57.7
2011-09-30,43,48.97
2011-10-07,47,51.19
2011-10-14,51,57.11
2011-10-21,47,58.45
2011-10-28,47,61.96
2011-11-04,47,58.09
2011-11-11,48,57.78
2011-11-18,50,52.86
2011-11-25,55,49.3
2011-12-02,67,51.21
2011-12-09,94,50.51
2011-12-16,74,48.12
2011-12-23,80,52.45
2011-12-30,58,50.43
2012-01-06,48,52.67
2012-01-13,48,55.18
2012-01-20,48,55.01
2012-01-27,48,56.56
2012-02-03,47,57.41
2012-02-10,48,54.42
2012-02-17,46,55.63
2012-02-24,49,58.68
2012-03-02,49,57.48
2012-03-09,48,55.53
2012-03-16,47,57.51
2012-03-23,45,57.7
2012-03-30,44,55.29
2012-04-13,42,50.24
2012-04-20,45,51.27
2012-04-27,42,53
2012-05-04,42,50.95
2012-05-11,41,48.93
2012-05-18,42,46.47
2012-05-25,41,48.45
2012-06-01,41,45.97
2012-06-08,43,48.49
2012-06-15,43,49.7
2012-06-22,43,50.58
2012-06-29,42,54.76
2012-07-06,44,55.48
2012-07-13,52,54.94
2012-07-20,50,57.5
2012-07-27,40,58.73
2012-08-03,39,57.37
2012-08-10,41,58.51
2012-08-17,39,59.61
2012-08-24,42,57.35
2012-08-31,42,57.91
2012-09-07,42,61.01
2012-09-14,44,60.79
2012-09-21,42,60
2012-09-28,41,57.61
2012-10-05,39,55.08
2012-10-12,40,54.15
2012-10-19,41,53.97
2012-10-26,41,52.78
2012-11-02,41,52.19
2012-11-09,43,51.57
2012-11-16,46,49.52
2012-11-23,49,52.65
2012-11-30,56,54.06
2012-12-07,88,53.6
2012-12-14,63,55.56
2012-12-21,64,55.63
2012-12-28,61,55.21
2013-01-04,42,58.62
2013-01-11,44,59.74
2013-01-18,42,59.38
2013-01-25,43,63.22
2013-02-01,41,62.11
2013-02-08,42,61.4
2013-02-15,43,62.18
2013-02-22,41,57.47
2013-03-01,41,58.47
2013-03-08,42,60.22
2013-03-15,39,62.69
2013-03-22,41,59.71
2013-04-05,39,59.14
2013-04-12,42,59.2
2013-04-19,40,57.53
2013-04-26,38,59.86
2013-05-03,37,60.83
2013-05-10,40,63.28
2013-05-17,38,60.75
2013-05-24,38,59.78
2013-05-31,37,60.82
2013-06-07,38,60.45
2013-06-14,39,57.86
2013-06-21,39,56.69
2013-06-28,41,53.81
2013-07-05,45,53.75
2013-07-12,83,56.1
2013-07-19,56,54
2013-07-26,41,52.61
2013-08-02,38,40.98
2013-08-09,37,42.51
2013-08-16,38,42.87
2013-08-23,37,41.89
2013-08-30,37,41.65
2013-09-06,37,42.16
2013-09-13,39,45.99
2013-09-20,39,44.77
2013-09-27,37,43.43
2013-10-04,37,46.1
2013-10-11,37,45.47
2013-10-18,37,46.61
2013-10-25,39,45.94
2013-11-01,39,46.1
2013-11-08,38,48.01
2013-11-15,45,49.05
2013-11-22,44,47.51
2013-11-29,50,47.9
2013-12-06,84,46.79
2013-12-13,60,43.97
2013-12-20,58,45.72
2013-12-27,57,47.02
2014-01-03,41,46.83
2014-01-10,41,46.55
2014-01-17,41,48.54
2014-01-24,41,45.38
2014-01-31,39,44.66
2014-02-07,38,46.45
2014-02-14,38,47.78
2014-02-21,37,48.03
2014-02-28,40,48.86
2014-03-07,38,49.73
2014-03-14,38,47.9
2014-03-21,39,48.65
2014-03-28,38,49.17
2014-04-04,37,49.17
2014-04-11,37,47.2
2014-04-25,38,49.42
