"Date","MAC","Price"
2010-03-12,75,39.19
2010-03-19,73,39.4
2010-03-26,74,39.28
2010-04-09,74,41.99
2010-04-16,72,39.83
2010-04-23,70,45
2010-04-30,74,44.71
2010-05-07,72,40.75
2010-05-14,77,43.31
2010-05-21,73,40.33
2010-05-28,72,41.36
2010-06-04,73,37.81
2010-06-11,76,40.96
2010-06-18,73,42.91
2010-06-25,73,40.27
2010-07-02,71,36.59
2010-07-09,69,39.58
2010-07-16,69,37.51
2010-07-23,70,40.12
2010-07-30,74,41.45
2010-08-06,73,41.73
2010-08-13,75,39.29
2010-08-20,76,39.79
2010-08-27,75,40.81
2010-09-03,76,44
2010-09-10,78,42.21
2010-09-17,76,43.34
2010-09-24,74,43.27
2010-10-01,76,43.87
2010-10-08,74,43.64
2010-10-15,75,43.45
2010-10-22,81,44.63
2010-10-29,83,44.58
2010-11-05,83,49.4
2010-11-12,81,45.73
2010-11-19,80,45.2
2010-11-26,79,46.32
2010-12-03,77,48.24
2010-12-10,78,44.94
2010-12-17,80,45.1
2010-12-31,89,47.37
2011-01-07,91,46.43
2011-01-14,81,47.14
2011-01-21,82,46.31
2011-01-28,80,47.91
2011-02-04,79,48.39
2011-02-11,78,49.37
2011-02-18,76,49.27
2011-02-25,78,48.62
2011-03-04,80,48.36
2011-03-11,81,48.24
2011-03-18,77,47.87
2011-03-25,78,48.01
2011-04-01,80,49.11
2011-04-08,76,47.67
2011-04-15,76,49.88
2011-04-29,75,52.82
2011-05-06,77,49.97
2011-05-13,77,50.66
2011-05-20,77,52.15
2011-05-27,76,52.89
2011-06-03,75,52.84
2011-06-10,77,49.91
2011-06-17,76,50.54
2011-06-24,76,51.49
2011-07-01,73,54.18
2011-07-08,75,56.2
2011-07-15,76,53.92
2011-07-22,89,54.86
2011-07-29,88,53.13
2011-08-05,85,45.94
2011-08-12,83,49
2011-08-19,86,45.28
2011-08-26,83,46.04
2011-09-02,83,45.67
2011-09-09,82,45.06
2011-09-16,83,48.05
2011-09-23,82,44.08
2011-09-30,81,42.63
2011-10-07,82,41.51
2011-10-14,86,44.53
2011-10-21,84,47.26
2011-10-28,84,50
2011-11-04,82,50.24
2011-11-11,83,50.45
2011-11-18,81,49.04
2011-11-25,83,46.04
2011-12-02,83,48.86
2011-12-09,80,49.96
2011-12-16,81,49.2
2011-12-23,82,51.18
2011-12-30,87,50.6
2012-01-06,84,51.68
2012-01-13,82,52
2012-01-20,80,54.5
2012-01-27,79,55.01
2012-02-03,78,55.12
2012-02-10,78,55.02
2012-02-17,78,55.47
2012-02-24,78,54.34
2012-03-02,78,54.9
2012-03-09,77,54.43
2012-03-16,74,56.01
2012-03-23,74,55.63
2012-03-30,72,57.75
2012-04-13,73,57.86
2012-04-20,75,59.54
2012-04-27,71,61.9
2012-05-04,73,61.96
2012-05-11,71,60.8
2012-05-18,70,55.86
2012-05-25,68,57.96
2012-06-01,67,55.38
2012-06-08,72,57.27
2012-06-15,75,56.17
2012-06-22,71,56.92
2012-06-29,71,59.05
2012-07-06,71,59.68
2012-07-13,73,58.82
2012-07-20,72,57.11
2012-07-27,76,58.36
2012-08-03,76,58.71
2012-08-10,76,57.27
2012-08-17,75,57.72
2012-08-24,81,59.65
2012-08-31,78,59.57
2012-09-07,79,60.82
2012-09-14,78,61.34
2012-09-21,76,58.92
2012-09-28,78,57.23
2012-10-05,75,58.43
2012-10-12,72,59.03
2012-10-19,74,58.91
2012-10-26,75,57.06
2012-11-02,72,57.54
2012-11-09,70,56
2012-11-16,71,55.38
2012-11-23,76,56.97
2012-11-30,73,56.5
2012-12-07,73,57.9
2012-12-14,70,57.85
2012-12-21,70,58.48
2012-12-28,75,57.6
2013-01-04,74,59
2013-01-11,72,57.94
2013-01-18,70,58.61
2013-01-25,71,59.34
2013-02-01,74,60.46
2013-02-08,73,61.64
2013-02-15,68,61.53
2013-02-22,68,60.5
2013-03-01,68,60.11
2013-03-08,69,62.01
2013-03-15,69,62.61
2013-03-22,68,62.87
2013-04-05,69,65.06
2013-04-12,66,67.54
2013-04-19,65,67.18
2013-04-26,64,68.8
2013-05-03,67,70.42
2013-05-10,65,70.24
2013-05-17,62,70.41
2013-05-24,63,66.86
2013-05-31,62,64.91
2013-06-07,61,62.75
2013-06-14,73,62.25
2013-06-21,65,58.45
2013-06-28,62,60.97
2013-07-05,60,61.4
2013-07-12,61,63.78
2013-07-19,63,65.35
2013-07-26,59,63.63
2013-08-02,61,61.85
2013-08-09,62,61.81
2013-08-16,64,56.72
2013-08-23,65,56.72
2013-08-30,66,56.28
2013-09-06,65,56.61
2013-09-13,65,57.2
2013-09-20,66,58.12
2013-09-27,64,57.26
2013-10-04,64,55.68
2013-10-11,66,56.25
2013-10-18,64,59.09
2013-10-25,75,59.76
2013-11-01,72,59.93
2013-11-08,69,56.56
2013-11-15,69,58.89
2013-11-22,65,57.67
2013-11-29,68,56.94
2013-12-06,66,60.49
2013-12-13,68,58.51
2013-12-20,68,58.96
2013-12-27,71,59.17
2014-01-03,67,58.69
2014-01-10,68,58.91
2014-01-17,68,58.04
2014-01-24,66,57.1
2014-01-31,68,56.6
2014-02-07,66,59.23
2014-02-14,65,60.9
2014-02-21,65,60.67
2014-02-28,65,60.13
2014-03-07,64,60.25
2014-03-14,63,59.97
2014-03-21,62,60.56
2014-03-28,65,61.69
2014-04-04,64,62.67
2014-04-11,62,63.09
2014-04-25,61,63.92
