"Date","PGR","Price"
2006-06-09,46,27.17
2006-06-16,47,26.5
2006-06-23,54,25.72
2006-06-30,49,25.71
2006-07-07,41,25.29
2006-07-14,51,24.34
2006-07-21,59,24.54
2006-07-28,78,24.5
2006-08-04,90,23.43
2006-08-11,85,22.35
2006-08-18,75,23.58
2006-08-25,55,23.79
2006-09-01,47,24.45
2006-09-08,60,24.23
2006-09-15,61,23.86
2006-09-22,47,24.41
2006-09-29,54,24.54
2006-10-06,54,24.98
2006-10-13,55,24.73
2006-10-20,60,24.5
2006-10-27,54,23.98
2006-11-03,51,23.44
2006-11-10,47,22.92
2006-11-17,51,23.03
2006-11-24,52,22.91
2006-12-01,69,22.49
2006-12-08,60,23.64
2006-12-15,57,24.17
2006-12-22,56,24.47
2006-12-29,58,24.22
2007-01-05,56,23.75
2007-01-12,72,23.4
2007-01-19,63,23.28
2007-01-26,58,23.43
2007-02-02,49,23.57
2007-02-09,60,23.32
2007-02-16,58,23.28
2007-02-23,51,23.28
2007-03-02,57,22.74
2007-03-09,60,22.45
2007-03-16,56,21.16
2007-03-23,52,22.11
2007-03-30,55,21.82
2007-04-13,51,22.89
2007-04-20,57,23.4
2007-04-27,57,23.06
2007-05-04,59,23.42
2007-05-11,54,23.37
2007-05-18,65,23.08
2007-05-25,55,22.74
2007-06-01,58,23.2
2007-06-08,53,23.4
2007-06-15,51,23.8
2007-06-22,50,23.31
2007-06-29,57,23.93
2007-07-06,54,23.87
2007-07-13,53,22.39
2007-07-20,57,21.49
2007-07-27,48,20.93
2007-08-03,58,21.06
2007-08-10,51,23.31
2007-08-17,57,22.41
2007-08-24,52,22.89
2007-08-31,53,20.34
2007-09-07,54,19.65
2007-09-14,59,19.35
2007-09-21,58,19.31
2007-09-28,56,19.41
2007-10-05,83,20.03
2007-10-12,92,19.8
2007-10-19,100,18.38
2007-10-26,85,18.42
2007-11-02,67,18.21
2007-11-09,63,18.35
2007-11-16,62,18.21
2007-11-23,60,17.88
2007-11-30,66,18.4
2007-12-07,59,19.35
2007-12-14,63,17.99
2007-12-21,51,18.72
2007-12-28,58,18.94
2008-01-04,51,18.73
2008-01-11,59,18.83
2008-01-18,66,17.76
2008-01-25,69,18.34
2008-02-01,53,18.82
2008-02-08,52,18.49
2008-02-15,60,18.6
2008-02-22,58,18.87
2008-02-29,59,18.33
2008-03-07,53,17.45
2008-03-14,50,15.47
2008-03-28,58,15.96
2008-04-04,59,16.33
2008-04-11,60,17.01
2008-04-18,62,17.93
2008-04-25,52,18.64
2008-05-02,49,18.76
2008-05-09,54,17.85
2008-05-16,57,18.91
2008-05-23,50,19.03
2008-05-30,56,20.06
2008-06-06,51,20.08
2008-06-13,52,20.89
2008-06-20,49,20
2008-06-27,50,19.34
2008-07-11,44,18.84
2008-07-18,54,19.58
2008-07-25,47,19.09
2008-08-01,51,20.2
2008-08-08,54,19.67
2008-08-15,53,18.54
2008-08-22,53,18.2
2008-08-29,57,18.47
2008-09-05,50,18.35
2008-09-12,55,17.31
2008-09-19,51,17.55
2008-09-26,56,17.35
2008-10-03,55,16.68
2008-10-10,51,13.05
2008-10-17,47,13.54
2008-10-24,63,12.26
2008-10-31,58,14.27
2008-11-07,56,12.44
2008-11-14,59,14.13
2008-11-21,51,13.08
2008-11-28,55,15.02
2008-12-05,53,14.76
2008-12-12,50,15.31
2008-12-19,50,14.37
2008-12-26,45,14.09
2009-01-02,49,15.09
2009-01-09,72,14.57
2009-01-16,57,14.15
2009-01-23,62,12.63
2009-01-30,58,12.15
2009-02-06,49,13.09
2009-02-13,49,12.78
2009-02-20,62,11.89
2009-02-27,57,11.57
2009-03-06,51,10.32
2009-03-13,58,12.31
2009-03-20,56,12.86
2009-03-27,87,13.43
2009-04-03,84,13.73
2009-04-17,61,15.83
2009-04-24,64,15.46
2009-05-01,54,15.29
2009-05-08,54,16.13
2009-05-15,53,16
2009-05-22,63,15.96
2009-05-29,62,16.13
2009-06-05,59,16.58
2009-06-12,55,15.53
2009-06-19,54,15.17
2009-06-26,58,15.05
2009-07-10,51,14.32
2009-07-17,51,14.85
2009-07-24,51,15.66
2009-07-31,51,15.58
2009-08-07,53,16.37
2009-08-14,52,16.2
2009-08-21,53,16.84
2009-08-28,54,16.64
2009-09-04,53,16.69
2009-09-11,51,16.86
2009-09-18,42,17.09
2009-09-25,55,16.32
2009-10-02,51,16.26
2009-10-09,45,16.32
2009-10-16,41,16.81
2009-10-23,40,16.49
2009-10-30,41,16
2009-11-06,49,16.13
2009-11-13,46,17.1
2009-11-20,43,16.85
2009-11-27,48,16.61
2009-12-04,41,16.89
2009-12-11,40,17.41
2009-12-18,48,17.19
2010-01-08,41,17.71
2010-01-15,49,17.43
2010-01-22,42,16.89
2010-01-29,45,16.58
2010-02-05,42,16.52
2010-02-12,45,16.71
2010-02-19,41,17.15
2010-02-26,42,17.15
2010-03-05,42,17.32
2010-03-12,44,17.09
2010-03-19,43,18.1
2010-03-26,42,19.27
2010-04-09,43,19.4
2010-04-16,45,20.36
2010-04-23,47,20.86
2010-04-30,47,20.09
2010-05-07,45,19.55
2010-05-14,45,20.3
2010-05-21,48,19.81
2010-05-28,49,19.59
2010-06-04,52,18.96
2010-06-11,47,19.6
2010-06-18,39,20.15
2010-06-25,40,19.49
2010-07-02,47,18.62
2010-07-09,43,19.96
2010-07-16,44,19.59
2010-07-23,39,19.87
2010-07-30,45,19.64
2010-08-06,43,19.65
2010-08-13,48,19.18
2010-08-20,42,19.45
2010-08-27,44,19.9
2010-09-03,52,20.74
2010-09-10,43,20.35
2010-09-17,37,21.12
2010-09-24,47,21.34
2010-10-01,41,20.86
2010-10-08,43,21.12
2010-10-15,44,20.71
2010-10-22,45,20.97
2010-10-29,41,21.16
2010-11-05,36,21.94
2010-11-12,55,21.18
2010-11-19,46,20.76
2010-11-26,40,20.65
2010-12-03,42,20.85
2010-12-10,41,20.97
2010-12-17,46,19.62
2010-12-31,34,19.87
2011-01-07,44,19.74
2011-01-14,42,19.47
2011-01-21,54,19.64
2011-01-28,42,19.66
2011-02-04,40,20.13
2011-02-11,43,20.15
2011-02-18,45,20.4
2011-02-25,44,20.43
2011-03-04,42,20.88
2011-03-11,42,20.85
2011-03-18,45,20.67
2011-03-25,46,20.87
2011-04-01,57,21.21
2011-04-08,56,21.26
2011-04-15,52,21.43
2011-04-29,49,21.94
2011-05-06,45,21.68
2011-05-13,42,21.15
2011-05-20,43,21.65
2011-05-27,48,21.58
2011-06-03,45,20.97
2011-06-10,45,20.01
2011-06-17,47,20.36
2011-06-24,47,20.56
2011-07-01,45,21.44
2011-07-08,45,21.44
2011-07-15,45,20.06
2011-07-22,44,20.47
2011-07-29,43,19.68
2011-08-05,55,18.48
2011-08-12,51,18.25
2011-08-19,49,17.47
2011-08-26,51,18.24
2011-09-02,45,18.3
2011-09-09,43,18.04
2011-09-16,38,18.27
2011-09-23,41,17.16
2011-09-30,47,17.76
2011-10-07,42,18.09
2011-10-14,43,17.95
2011-10-21,46,18.59
2011-10-28,44,19.47
2011-11-04,43,18.53
2011-11-11,48,19.63
2011-11-18,52,18.58
2011-11-25,44,17.58
2011-12-02,39,18.6
2011-12-09,38,18.32
2011-12-16,36,18.67
2011-12-23,31,19.28
2011-12-30,32,19.51
2012-01-06,37,19.51
2012-01-13,45,19.47
2012-01-20,43,20.83
2012-01-27,47,20.43
2012-02-03,47,21.35
2012-02-10,42,21.44
2012-02-17,43,21.44
2012-02-24,42,21.43
2012-03-02,43,21.57
2012-03-09,41,21.65
2012-03-16,42,22.59
2012-03-23,40,22.81
2012-03-30,43,23.18
2012-04-13,36,22.34
2012-04-20,35,21.37
2012-04-27,38,21.51
2012-05-04,33,21.79
2012-05-11,33,21.99
2012-05-18,36,21.31
2012-05-25,35,21.61
2012-06-01,37,21.27
2012-06-08,32,21.9
2012-06-15,30,20.75
2012-06-22,41,20.6
2012-06-29,38,20.83
2012-07-06,36,20.58
2012-07-13,31,19.98
2012-07-20,35,20.02
2012-07-27,34,19.78
2012-08-03,35,19.57
2012-08-10,34,19.75
2012-08-17,37,19.74
2012-08-24,36,19.76
2012-08-31,37,19.53
2012-09-07,37,19.39
2012-09-14,36,20.81
2012-09-21,37,21.27
2012-09-28,40,20.74
2012-10-05,38,21.81
2012-10-12,43,22.2
2012-10-19,38,22.92
2012-10-26,35,22.58
2012-11-02,33,22.07
2012-11-09,35,22.35
2012-11-16,36,22.55
2012-11-23,33,21.82
2012-11-30,36,21.25
2012-12-07,38,21.48
2012-12-14,32,20.99
2012-12-21,30,21.2
2012-12-28,25,20.85
2013-01-04,28,22.27
2013-01-11,36,22.34
2013-01-18,34,22.72
2013-01-25,37,22.63
2013-02-01,35,22.68
2013-02-08,36,23.44
2013-02-15,33,24.19
2013-02-22,35,24.72
2013-03-01,44,24.42
2013-03-08,38,24.84
2013-03-15,35,25.13
2013-03-22,31,24.87
2013-04-05,37,25.37
2013-04-12,39,25.59
2013-04-19,36,24.74
2013-04-26,36,25.19
2013-05-03,39,25.05
2013-05-10,38,25.72
2013-05-17,35,26.19
2013-05-24,40,25.81
2013-05-31,37,25.49
2013-06-07,36,24.79
2013-06-14,36,24.7
2013-06-21,34,24.55
2013-06-28,35,25.42
2013-07-05,32,25.94
2013-07-12,34,25.97
2013-07-19,34,26.3
2013-07-26,32,26
2013-08-02,31,26.2
2013-08-09,34,25.72
2013-08-16,37,25.14
2013-08-23,36,25.49
2013-08-30,36,25.07
2013-09-06,31,25.49
2013-09-13,33,25.93
2013-09-20,31,26.98
2013-09-27,38,27.32
2013-10-04,33,27.35
2013-10-11,33,26.74
2013-10-18,34,27.14
2013-10-25,31,26.45
2013-11-01,30,26.02
2013-11-08,31,26.58
2013-11-15,32,27.4
2013-11-22,28,27.67
2013-11-29,33,27.93
2013-12-06,30,27.53
2013-12-13,28,26.24
2013-12-20,27,26.82
2013-12-27,19,27.07
2014-01-03,22,26.34
2014-01-10,33,25.94
2014-01-17,35,25.73
2014-01-24,35,24.8
2014-01-31,35,23.24
2014-02-07,32,23.13
2014-02-14,34,23.98
2014-02-21,38,23.92
2014-02-28,39,24.49
2014-03-07,33,24.45
2014-03-14,33,23.7
2014-03-21,29,24.22
2014-03-28,35,23.98
2014-04-04,37,24.27
2014-04-11,34,23.66
2014-04-25,33,23.79
