"Date","sell.ADS","Price"
2007-09-14,38,78.64
2007-09-21,44,78.54
2007-09-28,33,77.44
2007-10-05,34,79.04
2007-10-12,27,79.65
2007-10-19,45,80.6
2007-10-26,40,80.41
2007-11-02,39,80.1
2007-11-09,41,77.26
2007-11-16,38,77.74
2007-11-23,37,77.46
2007-11-30,43,77.7
2007-12-07,35,78.25
2007-12-14,31,76.46
2007-12-21,32,74.7
2007-12-28,26,73.67
2008-01-04,39,72
2008-01-11,37,68.25
2008-01-18,38,61.93
2008-01-25,26,65.6
2008-02-01,30,53.9
2008-02-08,46,55.02
2008-02-15,32,55.4
2008-02-22,42,51.36
2008-02-29,31,50.63
2008-03-07,36,45.5
2008-03-14,37,46.63
2008-03-28,27,47.38
2008-04-04,41,48.48
2008-04-11,38,47.9
2008-04-18,49,52.84
2008-04-25,42,56.06
2008-05-02,33,58.83
2008-05-09,32,59.11
2008-05-16,35,59.94
2008-05-23,27,56.55
2008-05-30,29,60.04
2008-06-06,41,57.96
2008-06-13,26,60.78
2008-06-20,43,60.5
2008-06-27,40,55.98
2008-07-11,51,51.79
2008-07-18,31,59.6
2008-07-25,54,62.26
2008-08-01,37,64.68
2008-08-08,44,65.47
2008-08-15,29,65.14
2008-08-22,41,63.98
2008-08-29,34,64.24
2008-09-05,33,63.2
2008-09-12,35,64.64
2008-09-19,27,60.67
2008-09-26,38,62.24
2008-10-03,33,59.9
2008-10-10,32,44.4
2008-10-17,33,46.93
2008-10-24,34,45.29
2008-10-31,30,50.16
2008-11-07,27,50.94
2008-11-14,33,45.13
2008-11-21,38,38.4
2008-11-28,48,43.31
2008-12-05,39,44.94
2008-12-12,39,42.53
2008-12-19,34,47.28
2008-12-26,24,45.73
2009-01-02,33,47.6
2009-01-09,49,44.58
2009-01-16,30,42.34
2009-01-23,35,39.75
2009-01-30,38,41.59
2009-02-06,30,41.5
2009-02-13,34,35.97
2009-02-20,46,29.6
2009-02-27,33,29.6
2009-03-06,32,23.78
2009-03-13,34,30.78
2009-03-20,39,31.44
2009-03-27,42,36.34
2009-04-03,35,38.4
2009-04-17,38,44.22
2009-04-24,38,42.4
2009-05-01,40,41.56
2009-05-08,27,42.9
2009-05-15,33,38.82
2009-05-22,38,38.62
2009-05-29,33,40.5
2009-06-05,35,43.25
2009-06-12,50,48.28
2009-06-19,45,43.48
2009-06-26,31,40.3
2009-07-10,50,37.63
2009-07-17,30,46.3
2009-07-24,31,50.48
2009-07-31,34,51
2009-08-07,46,57.26
2009-08-14,45,59.51
2009-08-21,33,56.66
2009-08-28,36,56.96
2009-09-04,35,55.71
2009-09-11,27,58.83
2009-09-18,29,63.96
2009-09-25,38,59.07
2009-10-02,35,58.9
2009-10-09,30,60.94
2009-10-16,28,66.48
2009-10-23,35,60.28
2009-10-30,40,54.98
2009-11-06,37,59.13
2009-11-13,28,60.52
2009-11-20,30,59.1
2009-11-27,38,61.71
2009-12-04,27,61.16
2009-12-11,34,63.36
2009-12-18,30,64.66
2010-01-08,30,67.68
2010-01-15,28,65.64
2010-01-22,21,61.32
2010-01-29,27,59.46
2010-02-05,27,55.3
2010-02-12,35,53.86
2010-02-19,33,56.88
2010-02-26,27,55.44
2010-03-05,25,60.36
2010-03-12,36,62.75
2010-03-19,28,64.07
2010-03-26,29,64.12
2010-04-09,35,64.96
2010-04-16,32,66.87
2010-04-23,33,76.74
2010-04-30,28,75.06
2010-05-07,34,71.5
2010-05-14,30,69.93
2010-05-21,23,69.81
2010-05-28,26,70.66
2010-06-04,30,68.61
2010-06-11,44,69.39
2010-06-18,32,70.5
2010-06-25,30,63.9
2010-07-02,30,55.7
2010-07-09,32,58.2
2010-07-16,25,55.88
2010-07-23,26,56.66
2010-07-30,28,57.48
2010-08-06,26,61.42
2010-08-13,26,58.07
2010-08-20,31,56.59
2010-08-27,32,57.33
2010-09-03,31,61
2010-09-10,32,61.76
2010-09-17,27,63.3
2010-09-24,28,65.35
2010-10-01,29,65.71
2010-10-08,24,64.55
2010-10-15,25,68.35
2010-10-22,21,64.24
2010-10-29,19,60.72
2010-11-05,33,62.95
2010-11-12,26,62.18
2010-11-19,32,61.72
2010-11-26,34,63.7
2010-12-03,22,68.18
2010-12-10,18,69.84
2010-12-17,25,70.07
2010-12-31,23,71.03
2011-01-07,21,71.2
2011-01-14,26,72.16
2011-01-21,22,71.64
2011-01-28,23,71.25
2011-02-04,23,76.51
2011-02-11,33,78.53
2011-02-18,23,78.96
2011-02-25,30,78.35
2011-03-04,23,81.22
2011-03-11,26,78.73
2011-03-18,23,81.13
2011-03-25,25,84.86
2011-04-01,27,85.93
2011-04-08,22,85
2011-04-15,20,83.66
2011-04-29,25,95
2011-05-06,22,90.79
2011-05-13,24,91.78
2011-05-20,25,91.49
2011-05-27,31,93.72
2011-06-03,23,89.86
2011-06-10,23,86.4
2011-06-17,19,88.13
2011-06-24,28,89.35
2011-07-01,24,94.64
2011-07-08,22,97.73
2011-07-15,28,94.22
2011-07-22,25,97.65
2011-07-29,23,98.34
2011-08-05,24,88.17
2011-08-12,23,89.36
2011-08-19,22,83.01
2011-08-26,15,89.9
2011-09-02,13,90.52
2011-09-09,23,89.7
2011-09-16,26,95.04
2011-09-23,22,91.54
2011-09-30,19,92.7
2011-10-07,24,94.6
2011-10-14,29,94.15
2011-10-21,27,97.99
2011-10-28,21,104.97
2011-11-04,23,102.57
2011-11-11,22,101.95
2011-11-18,27,95.83
2011-11-25,28,93.08
2011-12-02,25,104.85
2011-12-09,19,103.7
2011-12-16,16,103
2011-12-23,16,105.74
2011-12-30,15,103.84
2012-01-06,15,102.54
2012-01-13,26,106.03
2012-01-20,23,108.49
2012-01-27,27,110.4
2012-02-03,23,115.57
2012-02-10,20,117.93
2012-02-17,18,119.62
2012-02-24,27,121.88
2012-03-02,21,120.7
2012-03-09,23,122.9
2012-03-16,19,124.87
2012-03-23,25,125.98
2012-03-30,23,125.96
2012-04-13,18,124.32
2012-04-20,25,128.4
2012-04-27,25,130.28
2012-05-04,21,126.41
2012-05-11,22,127.2
2012-05-18,24,121.25
2012-05-25,23,127.18
2012-06-01,18,122.19
2012-06-08,18,124.8
2012-06-15,23,128.91
2012-06-22,18,129.4
2012-06-29,20,135
2012-07-06,25,135.92
2012-07-13,22,132.23
2012-07-20,26,130.55
2012-07-27,21,130.6
2012-08-03,23,129.29
2012-08-10,19,131.28
2012-08-17,20,137.47
2012-08-24,21,138.49
2012-08-31,23,137.65
2012-09-07,22,141.19
2012-09-14,20,140.91
2012-09-21,24,142.21
2012-09-28,17,141.95
2012-10-05,17,144.02
2012-10-12,23,137.84
2012-10-19,21,144.33
2012-10-26,17,142.64
2012-11-02,23,143.43
2012-11-09,16,142.32
2012-11-16,21,139.66
2012-11-23,24,140.83
2012-11-30,19,142.49
2012-12-07,17,142.96
2012-12-14,18,144.1
2012-12-21,21,146.31
2012-12-28,13,144.02
2013-01-04,17,151.1
2013-01-11,14,155.53
2013-01-18,21,155.8
2013-01-25,23,158.05
2013-02-01,19,156.75
2013-02-08,19,154.08
2013-02-15,19,155.41
2013-02-22,17,154.02
2013-03-01,17,158.58
2013-03-08,21,157.85
2013-03-15,19,157.84
2013-03-22,17,157.46
2013-04-05,17,155.35
2013-04-12,16,157.87
2013-04-19,20,160.07
2013-04-26,18,166.89
2013-05-03,18,173.95
2013-05-10,17,177.19
2013-05-17,20,178.08
2013-05-24,15,181.63
2013-05-31,18,177.09
2013-06-07,20,178.37
2013-06-14,18,177.79
2013-06-21,15,172.63
2013-06-28,20,181.03
2013-07-05,15,182.32
2013-07-12,19,190.51
2013-07-19,18,188.79
2013-07-26,20,191.76
2013-08-02,24,203.11
2013-08-09,17,206.01
2013-08-16,21,202.55
2013-08-23,20,202.3
2013-08-30,14,195.7
2013-09-06,17,199.43
2013-09-13,19,206.09
2013-09-20,15,209.75
2013-09-27,16,209.28
2013-10-04,15,217.86
2013-10-11,18,223.55
2013-10-18,18,231.08
2013-10-25,18,234.47
2013-11-01,18,236.78
2013-11-08,23,242.86
2013-11-15,22,249.11
2013-11-22,17,243.27
2013-11-29,19,242.26
2013-12-06,19,248.7
2013-12-13,18,250.87
2013-12-20,14,250.5
2013-12-27,15,258.15
2014-01-03,13,263.7
2014-01-10,17,258.26
2014-01-17,24,256.89
2014-01-24,30,249.72
2014-01-31,21,239.66
2014-02-07,31,265.08
2014-02-14,26,280.11
2014-02-21,29,282.95
2014-02-28,33,285.11
2014-03-07,38,287.78
2014-03-14,31,278.59
2014-03-21,17,286.5
2014-03-28,17,274.23
2014-04-04,20,262.69
2014-04-11,20,246.38
2014-04-25,14,236.12
