"Date","buy.DG","Price"
2013-04-19,61,51.82
2013-04-26,63,52.83
2013-05-03,40,52.49
2013-05-10,47,52.8
2013-05-17,43,54.08
2013-05-24,34,54.42
2013-05-31,34,52.8
2013-06-07,53,51.09
2013-06-14,59,51.18
2013-06-21,39,50.21
2013-06-28,46,50.43
2013-07-05,63,52.01
2013-07-12,42,53.77
2013-07-19,41,53.3
2013-07-26,57,53.78
2013-08-02,34,55.79
2013-08-09,52,54.25
2013-08-16,30,52.47
2013-08-23,42,55.05
2013-08-30,29,53.97
2013-09-06,33,56.96
2013-09-13,35,56.83
2013-09-20,28,57.65
2013-09-27,26,56.59
2013-10-04,42,58.77
2013-10-11,67,57.83
2013-10-18,47,58.89
2013-10-25,54,59.5
2013-11-01,44,57.77
2013-11-08,54,57.28
2013-11-15,52,59.26
2013-11-22,33,58.4
2013-11-29,43,56.94
2013-12-06,59,60.2
2013-12-13,40,60.48
2013-12-20,49,60.08
2013-12-27,61,60.11
2014-01-03,53,60.98
2014-01-10,37,62.87
2014-01-17,59,60.1
2014-01-24,30,57.35
2014-01-31,34,56.32
2014-02-07,36,57.1
2014-02-14,53,57.26
2014-02-21,38,57.49
2014-02-28,44,59.9
2014-03-07,34,59.39
2014-03-14,40,57.19
2014-03-21,47,58.03
2014-03-28,34,55.4
2014-04-04,34,56.68
2014-04-11,42,54.74
2014-04-25,44,56.33
