"Date","Duke.Energy","Price"
2005-10-21,8,25.32
2005-10-28,8,26.4
2005-11-04,11,26.56
2005-11-11,9,25.87
2005-11-18,7,26.95
2005-11-25,7,27.25
2005-12-02,8,27.04
2005-12-09,8,26.58
2005-12-16,10,27.28
2005-12-23,9,27.83
2005-12-30,5,27.45
2006-01-06,9,27.79
2006-01-13,10,28.32
2006-01-20,8,28.4
2006-01-27,10,28.63
2006-02-03,9,28.06
2006-02-10,11,28.26
2006-02-17,9,28.6
2006-02-24,6,28.57
2006-03-03,7,28.34
2006-03-10,9,28.11
2006-03-17,8,29.44
2006-03-24,9,29.1
2006-03-31,10,29.15
2006-04-07,14,28.71
2006-04-21,14,29.13
2006-04-28,10,29.12
2006-05-05,14,29.19
2006-05-12,14,27.92
2006-05-19,14,27.54
2006-05-26,19,28
2006-06-02,15,28.8
2006-06-09,17,28.93
2006-06-16,18,29.09
2006-06-23,20,28.48
2006-06-30,20,29.37
2006-07-07,15,29.24
2006-07-14,24,29.43
2006-07-21,21,30.03
2006-07-28,24,30.48
2006-08-04,27,30.43
2006-08-11,24,29.68
2006-08-18,25,30.01
2006-08-25,24,29.45
2006-09-01,23,30.14
2006-09-08,18,30.25
2006-09-15,19,30.37
2006-09-22,18,30.07
2006-09-29,22,30.2
2006-10-06,21,30.75
2006-10-13,22,30.65
2006-10-20,22,31.89
2006-10-27,24,31.78
2006-11-03,24,31.09
2006-11-10,18,31.53
2006-11-17,20,31.7
2006-11-24,17,31.33
2006-12-01,22,31.69
2006-12-08,24,32.7
2006-12-15,19,33.51
2006-12-22,21,33.02
2006-12-29,17,33.21
2007-01-05,34,18.74
2007-01-12,26,18.56
2007-01-19,25,18.74
2007-01-26,23,19.08
2007-02-02,24,19.99
2007-02-09,23,20.16
2007-02-16,31,19.96
2007-02-23,19,19.91
2007-03-02,24,19.49
2007-03-09,24,19.25
2007-03-16,22,19.56
2007-03-23,23,20.29
2007-03-30,21,20.29
2007-04-13,21,20.37
2007-04-20,27,20.93
2007-04-27,20,20.7
2007-05-04,21,20.63
2007-05-11,19,20.28
2007-05-18,19,20.4
2007-05-25,21,19.19
2007-06-01,24,19.41
2007-06-08,22,18.38
2007-06-15,23,18.98
2007-06-22,19,18.24
2007-06-29,23,18.3
2007-07-06,19,18.12
2007-07-13,21,18.3
2007-07-20,22,17.96
2007-07-27,22,17.21
2007-08-03,22,17.11
2007-08-10,28,19.51
2007-08-17,23,18.36
2007-08-24,22,18.54
2007-08-31,24,18.34
2007-09-07,20,18.78
2007-09-14,23,18.66
2007-09-21,20,18.76
2007-09-28,24,18.69
2007-10-05,24,19.43
2007-10-12,24,19.08
2007-10-19,22,18.41
2007-10-26,23,18.8
2007-11-02,24,19.03
2007-11-09,24,19.45
2007-11-16,20,19.44
2007-11-23,18,19.91
2007-11-30,28,19.79
2007-12-07,24,20.56
2007-12-14,19,20.46
2007-12-21,20,20.49
2007-12-28,23,20.32
2008-01-04,23,19.8
2008-01-11,22,20.18
2008-01-18,23,19.16
2008-01-25,21,17.95
2008-02-01,24,18.89
2008-02-08,25,18.39
2008-02-15,21,18.08
2008-02-22,20,18.22
2008-02-29,24,17.54
2008-03-07,24,17.14
2008-03-14,21,17.5
2008-03-28,21,17.71
2008-04-04,24,18.12
2008-04-11,23,18.18
2008-04-18,21,18.39
2008-04-25,22,18.47
2008-05-02,25,18.99
2008-05-09,20,18.46
2008-05-16,23,18.54
2008-05-23,20,18.21
2008-05-30,20,18.48
2008-06-06,28,17.69
2008-06-13,22,18.15
2008-06-20,20,17.67
2008-06-27,25,17.07
2008-07-11,24,17.4
2008-07-18,24,17.38
2008-07-25,26,17.19
2008-08-01,24,17.17
2008-08-08,26,18.18
2008-08-15,24,17.78
2008-08-22,23,17.83
2008-08-29,25,17.44
2008-09-05,24,17.31
2008-09-12,25,18.3
2008-09-19,100,17.97
2008-09-26,28,18.03
2008-10-03,22,17.36
2008-10-10,25,14.43
2008-10-17,24,15.15
2008-10-24,23,15.63
2008-10-31,25,16.38
2008-11-07,24,16.25
2008-11-14,25,15.64
2008-11-21,24,15.04
2008-11-28,16,15.56
2008-12-05,26,14.94
2008-12-12,22,14.62
2008-12-19,22,14.68
2008-12-26,18,14.55
2009-01-02,26,15.4
2009-01-09,28,15.27
2009-01-16,27,15.02
2009-01-23,23,14.9
2009-01-30,32,15.15
2009-02-06,24,15.68
2009-02-13,29,14.74
2009-02-20,25,14.16
2009-02-27,28,13.47
2009-03-06,30,12.15
2009-03-13,24,12.86
2009-03-20,26,14.22
2009-03-27,24,14.29
2009-04-03,23,14.19
2009-04-17,25,13.74
2009-04-24,21,13.75
2009-05-01,25,14.11
2009-05-08,23,14.18
2009-05-15,24,13.48
2009-05-22,21,13.69
2009-05-29,21,14.15
2009-06-05,22,14.13
2009-06-12,23,14.67
2009-06-19,24,14.41
2009-06-26,26,14.41
2009-07-10,25,14.32
2009-07-17,27,14.73
2009-07-24,25,15.39
2009-07-31,27,15.48
2009-08-07,30,15.67
2009-08-14,27,15.38
2009-08-21,25,15.61
2009-08-28,26,15.61
2009-09-04,24,15.52
2009-09-11,20,15.43
2009-09-18,26,15.96
2009-09-25,23,15.83
2009-10-02,29,15.38
2009-10-09,28,15.6
2009-10-16,26,15.79
2009-10-23,24,16.1
2009-10-30,25,15.82
2009-11-06,26,16.05
2009-11-13,26,16.04
2009-11-20,24,16.22
2009-11-27,18,16.69
2009-12-04,28,17.14
2009-12-11,29,17.81
2009-12-18,25,17.39
2010-01-08,29,16.84
2010-01-15,27,16.9
2010-01-22,25,16.55
2010-01-29,29,16.53
2010-02-05,32,16.32
2010-02-12,26,16.15
2010-02-19,25,16.61
2010-02-26,27,16.35
2010-03-05,27,16.46
2010-03-12,26,16.33
2010-03-19,22,16.58
2010-03-26,26,16.42
2010-04-09,27,16.33
2010-04-16,27,16.01
2010-04-23,23,16.25
2010-04-30,27,16.78
2010-05-07,24,16.55
2010-05-14,26,16.78
2010-05-21,25,16
2010-05-28,21,15.96
2010-06-04,24,15.61
2010-06-11,25,16.17
2010-06-18,27,16.64
2010-06-25,29,16.17
2010-07-02,29,16.06
2010-07-09,29,16.79
2010-07-16,29,16.87
2010-07-23,29,16.94
2010-07-30,29,17.1
2010-08-06,35,17.42
2010-08-13,33,17.01
2010-08-20,29,17.06
2010-08-27,27,17.36
2010-09-03,30,17.35
2010-09-10,30,17.53
2010-09-17,32,17.51
2010-09-24,30,17.99
2010-10-01,31,17.83
2010-10-08,32,17.64
2010-10-15,30,17.59
2010-10-22,29,17.78
2010-10-29,33,18.21
2010-11-05,28,18.49
2010-11-12,30,17.79
2010-11-19,30,17.61
2010-11-26,21,17.52
2010-12-03,31,17.79
2010-12-10,29,17.53
2010-12-17,27,17.74
2010-12-31,31,17.81
2011-01-07,34,17.79
2011-01-14,48,17.92
2011-01-21,34,18.16
2011-01-28,30,17.96
2011-02-04,43,18.01
2011-02-11,31,17.84
2011-02-18,29,17.94
2011-02-25,29,17.87
2011-03-04,34,17.98
2011-03-11,28,18.43
2011-03-18,27,17.63
2011-03-25,28,17.82
2011-04-01,28,18.42
2011-04-08,38,18.41
2011-04-15,29,18.37
2011-04-29,28,18.65
2011-05-06,29,18.72
2011-05-13,30,19.22
2011-05-20,28,19.01
2011-05-27,36,18.62
2011-06-03,29,18.45
2011-06-10,33,18.28
2011-06-17,33,18.74
2011-06-24,31,18.51
2011-07-01,31,19.07
2011-07-08,30,19.09
2011-07-15,33,18.85
2011-07-22,34,18.95
2011-07-29,34,18.6
2011-08-05,35,18.12
2011-08-12,36,17.82
2011-08-19,33,18.24
2011-08-26,35,18.56
2011-09-02,34,18.78
2011-09-09,31,18.55
2011-09-16,35,19.57
2011-09-23,34,19.79
2011-09-30,34,19.99
2011-10-07,30,19.79
2011-10-14,30,19.92
2011-10-21,30,20.55
2011-10-28,31,20.46
2011-11-04,35,20.64
2011-11-11,29,21
2011-11-18,32,20.17
2011-11-25,24,19.79
2011-12-02,32,20.62
2011-12-09,28,20.86
2011-12-16,27,21.01
2011-12-23,28,21.89
2011-12-30,27,22
2012-01-06,32,21.51
2012-01-13,32,21.31
2012-01-20,29,21.3
2012-01-27,30,21.18
2012-02-03,30,21.4
2012-02-10,32,21.48
2012-02-17,29,20.9
2012-02-24,27,21.1
2012-03-02,31,21.04
2012-03-09,30,21.15
2012-03-16,26,21.07
2012-03-23,26,20.79
2012-03-30,25,21.01
2012-04-13,26,20.41
2012-04-20,25,21.01
2012-04-27,26,21.43
2012-05-04,29,21.56
2012-05-11,25,21.72
2012-05-18,27,21.46
2012-05-25,27,21.96
2012-06-01,28,22.35
2012-06-08,29,23.15
2012-06-15,29,23.26
2012-06-22,27,22.88
2012-06-29,46,23.06
2012-07-06,53,66.23
2012-07-13,45,66.74
2012-07-20,40,66.22
2012-07-27,43,67.46
2012-08-03,34,68.6
2012-08-10,37,67.85
2012-08-17,35,66.49
2012-08-24,31,65.47
2012-08-31,32,64.78
2012-09-07,34,64.72
2012-09-14,31,64.19
2012-09-21,32,64.08
2012-09-28,30,64.79
2012-10-05,35,64.98
2012-10-12,31,64.16
2012-10-19,28,65.51
2012-10-26,28,65.11
2012-11-02,36,64.94
2012-11-09,30,61.96
2012-11-16,29,60.9
2012-11-23,22,60.45
2012-11-30,32,63.82
2012-12-07,32,64.32
2012-12-14,27,63.81
2012-12-21,30,64.51
2012-12-28,27,63.01
2013-01-04,33,65.06
2013-01-11,33,65.69
2013-01-18,32,66.81
2013-01-25,29,67.92
2013-02-01,34,68.84
2013-02-08,34,69
2013-02-15,33,68.06
2013-02-22,33,69.46
2013-03-01,33,69.25
2013-03-08,33,69.64
2013-03-15,29,69.95
2013-03-22,29,70.61
2013-04-05,33,72.05
2013-04-12,31,72.97
2013-04-19,31,74.34
2013-04-26,30,74.86
2013-05-03,38,74.47
2013-05-10,35,72.18
2013-05-17,34,71.62
2013-05-24,36,68.88
2013-05-31,38,66.93
2013-06-07,45,67.69
2013-06-14,55,67.64
2013-06-21,47,65.58
2013-06-28,48,67.5
2013-07-05,49,67.27
2013-07-12,50,70.15
2013-07-19,54,70.88
2013-07-26,50,70.79
2013-08-02,56,71.75
2013-08-09,54,70.77
2013-08-16,54,67.05
2013-08-23,53,66.35
2013-08-30,51,65.6
2013-09-06,53,65.45
2013-09-13,52,65.55
2013-09-20,48,67.36
2013-09-27,49,66.9
2013-10-04,54,66.43
2013-10-11,52,68.85
2013-10-18,48,70.08
2013-10-25,46,72.37
2013-11-01,51,72.51
2013-11-08,49,72.43
2013-11-15,49,71.8
2013-11-22,55,71.13
2013-11-29,42,69.96
2013-12-06,56,70.19
2013-12-13,51,68.19
2013-12-20,46,69.5
2013-12-27,43,68.95
2014-01-03,62,67.92
2014-01-10,63,68.59
2014-01-17,54,67.57
2014-01-24,53,68.26
2014-01-31,54,70.62
2014-02-07,61,69.99
2014-02-14,77,71.45
2014-02-21,60,71.49
2014-02-28,61,70.88
2014-03-07,84,70.06
2014-03-14,62,70.7
2014-03-21,55,69.08
2014-03-28,53,70.44
2014-04-04,57,70.49
2014-04-11,49,71.84
2014-04-25,50,74
