"Date","Diamond.Offshore.Drilling","Price"
2011-03-25,30,78.56
2011-04-01,30,78.03
2011-04-08,30,78.49
2011-04-15,30,74.99
2011-04-29,29,75.87
2011-05-06,30,69.77
2011-05-13,31,70.74
2011-05-20,33,71.85
2011-05-27,35,72.85
2011-06-03,37,71.62
2011-06-10,39,68.22
2011-06-17,41,67.34
2011-06-24,42,67.71
2011-07-01,44,70.34
2011-07-08,46,70.71
2011-07-15,28,70.46
2011-07-22,28,70.79
2011-07-29,28,67.83
2011-08-05,32,62.24
2011-08-12,36,61.81
2011-08-19,31,58.53
2011-08-26,31,61.49
2011-09-02,31,61.57
2011-09-09,31,61.66
2011-09-16,31,63.31
2011-09-23,30,57.66
2011-09-30,30,54.74
2011-10-07,30,55.92
2011-10-14,32,60.15
2011-10-21,28,62.82
2011-10-28,32,68.51
2011-11-04,37,65.59
2011-11-11,27,65.39
2011-11-18,27,62.79
2011-11-25,27,58.05
2011-12-02,36,60.17
2011-12-09,34,59.03
2011-12-16,27,54.29
2011-12-23,33,56.67
2011-12-30,23,55.26
2012-01-06,23,56.28
2012-01-13,23,59.87
2012-01-20,23,61.42
2012-01-27,23,62.76
2012-02-03,24,63.13
2012-02-10,25,62.76
2012-02-17,24,64.78
2012-02-24,24,67.19
2012-03-02,25,68.86
2012-03-09,26,70.19
2012-03-16,26,72.43
2012-03-23,27,69.03
2012-03-30,27,66.75
2012-04-13,35,65.26
2012-04-20,29,68.57
2012-04-27,27,68
2012-05-04,27,64.9
2012-05-11,33,62.74
2012-05-18,22,59.15
2012-05-25,25,60.56
2012-06-01,22,57.74
2012-06-08,22,60.1
2012-06-15,22,60.58
2012-06-22,24,57.75
2012-06-29,26,59.13
2012-07-06,38,58.89
2012-07-13,31,63.35
2012-07-20,31,66.05
2012-07-27,25,67.19
2012-08-03,27,66.68
2012-08-10,29,68.15
2012-08-17,32,68.52
2012-08-24,30,66.69
2012-08-31,30,67.02
2012-09-07,21,67.19
2012-09-14,21,69.04
2012-09-21,21,69.24
2012-09-28,21,65.81
2012-10-05,29,65.85
2012-10-12,28,66.58
2012-10-19,24,70.52
2012-10-26,27,70.02
2012-11-02,30,68.86
2012-11-09,22,65.04
2012-11-16,22,65.09
2012-11-23,22,67.36
2012-11-30,22,69
2012-12-07,23,68.93
2012-12-14,23,67.4
2012-12-21,21,69.26
2012-12-28,21,67.23
2013-01-04,21,71.51
2013-01-11,22,72.27
2013-01-18,27,73.35
2013-01-25,20,74.66
2013-02-01,22,76.29
2013-02-08,29,74.81
2013-02-15,27,74.75
2013-02-22,27,71.99
2013-03-01,27,69.32
2013-03-08,23,67.82
2013-03-15,23,70.24
2013-03-22,37,68.54
2013-04-05,25,68.7
2013-04-12,23,68.78
2013-04-19,23,65.34
2013-04-26,35,68.64
2013-05-03,36,70.05
2013-05-10,29,70.15
2013-05-17,30,72.4
2013-05-24,25,70.27
2013-05-31,21,68.81
2013-06-07,25,69.11
2013-06-14,30,67.16
2013-06-21,32,66.91
2013-06-28,19,68.79
2013-07-05,18,69.25
2013-07-12,27,72.11
2013-07-19,33,72.65
2013-07-26,36,67.93
2013-08-02,36,67.96
2013-08-09,36,68.2
2013-08-16,36,66.04
2013-08-23,23,65.84
2013-08-30,26,64.03
2013-09-06,24,64.33
2013-09-13,34,64.41
2013-09-20,20,62.61
2013-09-27,27,62.77
2013-10-04,29,63.45
2013-10-11,18,63.57
2013-10-18,31,63.15
2013-10-25,23,61.27
2013-11-01,20,60.27
2013-11-08,20,61.74
2013-11-15,23,61.42
2013-11-22,26,60.89
2013-11-29,23,60.05
2013-12-06,18,58.87
2013-12-13,26,56.19
2013-12-20,22,55.83
2013-12-27,24,56.81
2014-01-03,25,56.47
2014-01-10,27,55.91
2014-01-17,20,54.1
2014-01-24,20,51.04
2014-01-31,26,48.54
2014-02-07,26,46.07
2014-02-14,18,47.04
2014-02-21,26,48.01
2014-02-28,23,47.3
2014-03-07,31,48.45
2014-03-14,25,44.2
2014-03-21,26,47.24
2014-03-28,24,47.92
2014-04-04,26,48.38
2014-04-11,34,45.88
2014-04-25,37,53.5
