"Date","TMO","Price"
2012-09-14,14,60.61
2012-09-21,16,59.71
2012-09-28,14,58.83
2012-10-05,16,60.9
2012-10-12,14,58.84
2012-10-19,13,58.04
2012-10-26,11,61.04
2012-11-02,11,61.5
2012-11-09,12,60.69
2012-11-16,14,60.59
2012-11-23,16,62.64
2012-11-30,15,63.55
2012-12-07,15,64.28
2012-12-14,12,64.21
2012-12-21,12,63.81
2012-12-28,10,62.91
2013-01-04,10,65.37
2013-01-11,12,67.55
2013-01-18,12,69.4
2013-01-25,12,71.21
2013-02-01,13,74.78
2013-02-08,13,74.59
2013-02-15,13,74.43
2013-02-22,13,72.95
2013-03-01,12,74.78
2013-03-08,13,77.04
2013-03-15,12,77.15
2013-03-22,12,75.96
2013-04-05,13,77.16
2013-04-12,14,79.59
2013-04-19,15,80.03
2013-04-26,13,81.13
2013-05-03,14,82.17
2013-05-10,12,84.46
2013-05-17,13,86.27
2013-05-24,12,87.22
2013-05-31,13,88.3
2013-06-07,17,84.58
2013-06-14,16,85.12
2013-06-21,16,83.09
2013-06-28,21,84.63
2013-07-05,23,85.42
2013-07-12,21,88.19
2013-07-19,19,89.58
2013-07-26,17,90.59
2013-08-02,15,91.81
2013-08-09,13,92.47
2013-08-16,14,90.69
2013-08-23,14,90.85
2013-08-30,13,88.83
2013-09-06,15,90.51
2013-09-13,15,91.11
2013-09-20,13,93.49
2013-09-27,13,93.01
2013-10-04,13,92.36
2013-10-11,12,92.96
2013-10-18,9,96.12
2013-10-25,12,97.81
2013-11-01,13,97.93
2013-11-08,12,98.17
2013-11-15,12,101.37
2013-11-22,13,101.51
2013-11-29,12,100.85
2013-12-06,11,102.71
2013-12-13,11,101.34
2013-12-20,11,108.57
2013-12-27,9,110.67
2014-01-03,11,110.05
2014-01-10,14,114.46
2014-01-17,12,115.89
2014-01-24,12,109.95
2014-01-31,11,115.14
2014-02-07,13,117.77
2014-02-14,12,123.74
2014-02-21,12,123.18
2014-02-28,12,124.54
2014-03-07,13,126.67
2014-03-14,11,122.25
2014-03-21,11,122.9
2014-03-28,10,118.5
2014-04-04,11,119.88
2014-04-11,12,115.77
2014-04-25,12,114.29
