"Date","Lincoln.National","Price"
2006-06-23,45,54.99
2006-06-30,48,56.44
2006-07-07,39,55.78
2006-07-14,42,55
2006-07-21,55,56.15
2006-07-28,55,57.01
2006-08-04,51,56.68
2006-08-11,49,57.47
2006-08-18,45,60.36
2006-08-25,48,59.71
2006-09-01,36,60.92
2006-09-08,44,60.93
2006-09-15,47,61.25
2006-09-22,43,61.94
2006-09-29,46,62.08
2006-10-06,38,63.77
2006-10-13,43,64.01
2006-10-20,51,63.86
2006-10-27,40,63.74
2006-11-03,51,63.22
2006-11-10,42,64.48
2006-11-17,35,65.18
2006-11-24,27,64.66
2006-12-01,52,63.05
2006-12-08,48,63.07
2006-12-15,42,64.83
2006-12-22,29,65.16
2006-12-29,34,66.4
2007-01-05,38,65.17
2007-01-12,46,65.9
2007-01-19,34,66.35
2007-01-26,37,65.69
2007-02-02,44,68.29
2007-02-09,45,69.05
2007-02-16,49,70.79
2007-02-23,44,70.47
2007-03-02,47,67.66
2007-03-09,46,67.86
2007-03-16,41,66.19
2007-03-23,35,68.99
2007-03-30,42,67.79
2007-04-13,55,67.85
2007-04-20,38,69.72
2007-04-27,37,71.17
2007-05-04,54,72.78
2007-05-11,47,73.77
2007-05-18,45,74
2007-05-25,47,72.59
2007-06-01,40,73.07
2007-06-08,49,71.62
2007-06-15,41,72.24
2007-06-22,50,70.7
2007-06-29,44,70.95
2007-07-06,28,71.04
2007-07-13,48,69.77
2007-07-20,38,65.76
2007-07-27,46,60.62
2007-08-03,43,57.3
2007-08-10,53,60.51
2007-08-17,47,60.28
2007-08-24,46,62.65
2007-08-31,39,60.88
2007-09-07,38,59.79
2007-09-14,38,63.1
2007-09-21,43,64.67
2007-09-28,35,65.97
2007-10-05,35,67.95
2007-10-12,45,68.86
2007-10-19,37,64.14
2007-10-26,30,66.58
2007-11-02,45,60
2007-11-09,36,60.5
2007-11-16,40,59.76
2007-11-23,33,59.76
2007-11-30,48,61.57
2007-12-07,47,60.91
2007-12-14,36,57.23
2007-12-21,36,59.02
2007-12-28,40,58.11
2008-01-04,44,54.67
2008-01-11,53,55.78
2008-01-18,39,50.19
2008-01-25,34,50.97
2008-02-01,44,56.09
2008-02-08,37,51.54
2008-02-15,36,53.49
2008-02-22,42,53.92
2008-02-29,43,51.11
2008-03-07,36,48.55
2008-03-14,42,47.67
2008-03-28,42,51
2008-04-04,38,55.13
2008-04-11,46,51.01
2008-04-18,37,52.92
2008-04-25,45,52.29
2008-05-02,40,56.33
2008-05-09,38,52.88
2008-05-16,47,55.11
2008-05-23,39,53.96
2008-05-30,50,55.16
2008-06-06,48,52.62
2008-06-13,42,51.29
2008-06-20,48,48.39
2008-06-27,44,46.32
2008-07-11,45,45.33
2008-07-18,43,44.34
2008-07-25,51,45.02
2008-08-01,57,47.43
2008-08-08,43,50.27
2008-08-15,38,50.37
2008-08-22,46,49.6
2008-08-29,30,50.76
2008-09-05,38,50.7
2008-09-12,35,51.9
2008-09-19,38,54.9
2008-09-26,42,49
2008-10-03,43,39.23
2008-10-10,53,23.95
2008-10-17,44,23.09
2008-10-24,40,20.99
2008-10-31,39,17.24
2008-11-07,46,19.77
2008-11-14,49,14.35
2008-11-21,50,6.36
2008-11-28,38,13.73
2008-12-05,50,17.36
2008-12-12,43,17.34
2008-12-19,39,19
2008-12-26,35,16.81
2009-01-02,31,19.95
2009-01-09,48,20.1
2009-01-16,44,18.21
2009-01-23,60,16.26
2009-01-30,41,15.13
2009-02-06,47,16.52
2009-02-13,53,14.18
2009-02-20,51,11.44
2009-02-27,48,8.59
2009-03-06,59,5.4
2009-03-13,55,9.03
2009-03-20,45,7.31
2009-03-27,47,10.37
2009-04-03,65,6.9
2009-04-17,51,10.07
2009-04-24,44,10.16
2009-05-01,41,11.39
2009-05-08,50,18.24
2009-05-15,52,16.12
2009-05-22,42,17.03
2009-05-29,42,18.95
2009-06-05,37,19.57
2009-06-12,39,17.75
2009-06-19,42,16.86
2009-06-26,39,16.18
2009-07-10,47,14.6
2009-07-17,42,16.16
2009-07-24,39,18.61
2009-07-31,46,21.19
2009-08-07,46,22.64
2009-08-14,33,24.25
2009-08-21,36,25.07
2009-08-28,43,25.29
2009-09-04,39,23.8
2009-09-11,39,24.86
2009-09-18,33,26.31
2009-09-25,42,24.11
2009-10-02,37,24.05
2009-10-09,37,27.84
2009-10-16,42,26.47
2009-10-23,36,25.41
2009-10-30,32,23.83
2009-11-06,37,23.75
2009-11-13,40,23.67
2009-11-20,39,23.53
2009-11-27,36,22.81
2009-12-04,36,23.08
2009-12-11,38,22.44
2009-12-18,32,23.29
2010-01-08,36,27.03
2010-01-15,38,26.89
2010-01-22,34,24.47
2010-01-29,33,24.58
2010-02-05,32,23.72
2010-02-12,37,24.7
2010-02-19,38,25.48
2010-02-26,40,25.18
2010-03-05,43,26.98
2010-03-12,43,27.36
2010-03-19,42,28.76
2010-03-26,32,29.75
2010-04-09,40,31.66
2010-04-16,38,31.31
2010-04-23,43,32.79
2010-04-30,37,30.59
2010-05-07,37,26.64
2010-05-14,42,28.02
2010-05-21,39,25.51
2010-05-28,58,26.46
2010-06-04,59,25.31
2010-06-11,41,26.36
2010-06-18,38,27.81
2010-06-25,35,27.07
2010-07-02,39,23.38
2010-07-09,37,25.58
2010-07-16,36,22.62
2010-07-23,38,24.61
2010-07-30,34,26.04
2010-08-06,32,24.69
2010-08-13,43,22.69
2010-08-20,34,21.33
2010-08-27,35,23.73
2010-09-03,42,26.09
2010-09-10,36,25.5
2010-09-17,36,24.56
2010-09-24,33,24.1
2010-10-01,33,23.97
2010-10-08,40,24.94
2010-10-15,33,25.09
2010-10-22,35,26.01
2010-10-29,33,24.48
2010-11-05,33,25.43
2010-11-12,32,23.89
2010-11-19,32,24.52
2010-11-26,32,23.64
2010-12-03,31,25.21
2010-12-10,34,28.14
2010-12-17,31,28.43
2010-12-31,32,27.81
2011-01-07,33,29.25
2011-01-14,32,29.27
2011-01-21,27,29.01
2011-01-28,36,29.07
2011-02-04,38,30.9
2011-02-11,37,31.75
2011-02-18,35,32.06
2011-02-25,37,31.58
2011-03-04,33,30.92
2011-03-11,31,30.28
2011-03-18,31,29.56
2011-03-25,34,30.32
2011-04-01,27,30.51
2011-04-08,35,29.79
2011-04-15,39,28.87
2011-04-29,35,31.23
2011-05-06,36,29.87
2011-05-13,35,29.79
2011-05-20,35,29.21
2011-05-27,37,28.87
2011-06-03,36,27.45
2011-06-10,31,26.3
2011-06-17,30,26.95
2011-06-24,32,26.76
2011-07-01,34,29.15
2011-07-08,31,28.53
2011-07-15,36,27.16
2011-07-22,41,27.79
2011-07-29,30,26.5
2011-08-05,39,23.53
2011-08-12,29,22.24
2011-08-19,31,19.46
2011-08-26,27,19.29
2011-09-02,30,19.03
2011-09-09,25,18.03
2011-09-16,30,19.2
2011-09-23,30,15.3
2011-09-30,30,15.63
2011-10-07,29,15.1
2011-10-14,30,17.99
2011-10-21,28,19.03
2011-10-28,31,21.4
2011-11-04,27,19.28
2011-11-11,32,20.22
2011-11-18,34,19.45
2011-11-25,34,17.58
2011-12-02,34,20.06
2011-12-09,27,20.04
2011-12-16,23,18.51
2011-12-23,23,19.72
2011-12-30,19,19.42
2012-01-06,20,20.06
2012-01-13,31,21.07
2012-01-20,28,22.5
2012-01-27,25,20.98
2012-02-03,34,23.84
2012-02-10,30,24.17
2012-02-17,27,25.56
2012-02-24,28,25.08
2012-03-02,28,24.97
2012-03-09,29,24.7
2012-03-16,24,26.77
2012-03-23,30,26.45
2012-03-30,26,26.36
2012-04-13,34,24.15
2012-04-20,32,23.66
2012-04-27,29,24.67
2012-05-04,32,23.11
2012-05-11,32,23.58
2012-05-18,26,20.56
2012-05-25,33,21.27
2012-06-01,31,19.4
2012-06-08,31,20.98
2012-06-15,37,21.23
2012-06-22,35,20.81
2012-06-29,34,21.87
2012-07-06,36,20.77
2012-07-13,29,20.88
2012-07-20,27,20.08
2012-07-27,28,20.32
2012-08-03,27,22.03
2012-08-10,31,22.94
2012-08-17,30,23.89
2012-08-24,29,23.78
2012-08-31,26,23.22
2012-09-07,29,24.38
2012-09-14,27,25.8
2012-09-21,30,24.8
2012-09-28,32,24.19
2012-10-05,27,24.39
2012-10-12,28,23.76
2012-10-19,31,25.33
2012-10-26,27,24.68
2012-11-02,28,25.2
2012-11-09,33,23.57
2012-11-16,33,23.8
2012-11-23,31,24.61
2012-11-30,31,24.7
2012-12-07,23,25.78
2012-12-14,25,25.29
2012-12-21,24,25.9
2012-12-28,25,25.23
2013-01-04,29,28.11
2013-01-11,31,27.84
2013-01-18,27,27.73
2013-01-25,32,29.11
2013-02-01,34,29.5
2013-02-08,39,29.43
2013-02-15,52,30.33
2013-02-22,83,29.73
2013-03-01,40,29.8
2013-03-08,41,33
2013-03-15,32,33.44
2013-03-22,36,32.67
2013-04-05,33,30.87
2013-04-12,30,32.88
2013-04-19,31,31.22
2013-04-26,30,33.27
2013-05-03,35,32.96
2013-05-10,30,34.86
2013-05-17,27,35.25
2013-05-24,27,34.48
2013-05-31,35,35.66
2013-06-07,26,35.89
2013-06-14,28,34.53
2013-06-21,29,35.42
2013-06-28,28,36.47
2013-07-05,26,38.98
2013-07-12,28,39.56
2013-07-19,26,40.89
2013-07-26,30,41.55
2013-08-02,33,44.24
2013-08-09,28,43.31
2013-08-16,26,43.55
2013-08-23,31,44.19
2013-08-30,28,42.04
2013-09-06,25,43.73
2013-09-13,27,44.43
2013-09-20,24,42.25
2013-09-27,25,42.15
2013-10-04,29,43.1
2013-10-11,30,43.8
2013-10-18,26,45.46
2013-10-25,23,44.66
2013-11-01,27,45.6
2013-11-08,27,48.76
2013-11-15,29,50
2013-11-22,33,50.48
2013-11-29,28,51.33
2013-12-06,26,51.43
2013-12-13,22,50.94
2013-12-20,24,51.36
2013-12-27,19,51.65
2014-01-03,22,50.8
2014-01-10,25,52.13
2014-01-17,27,51.59
2014-01-24,24,47.87
2014-01-31,28,48.03
2014-02-07,32,49.28
2014-02-14,25,49.18
2014-02-21,25,49.95
2014-02-28,27,50.13
2014-03-07,25,52.92
2014-03-14,28,50.41
2014-03-21,23,52
2014-03-28,28,49.91
2014-04-04,27,50.38
2014-04-11,28,45.67
2014-04-25,27,47.51
