"Date","Block.H.R","Price"
2005-09-30,6,23.98
2005-10-07,9,23.26
2005-10-14,8,23.45
2005-10-21,6,24.09
2005-10-28,7,24.56
2005-11-04,6,23.69
2005-11-11,7,24.28
2005-11-18,6,25.45
2005-11-25,5,25.91
2005-12-02,8,25.26
2005-12-09,9,24.46
2005-12-16,8,24.17
2005-12-23,9,24.3
2005-12-30,11,24.55
2006-01-06,19,24.79
2006-01-13,25,25.64
2006-01-20,38,24.96
2006-01-27,61,24.73
2006-02-03,84,23.91
2006-02-10,59,24.28
2006-02-17,45,25.3
2006-02-24,46,23.01
2006-03-03,42,22.1
2006-03-10,38,22.64
2006-03-17,38,21.28
2006-03-24,32,22.01
2006-03-31,35,21.65
2006-04-07,38,22.25
2006-04-21,26,22.46
2006-04-28,14,22.83
2006-05-05,9,23.45
2006-05-12,8,22.27
2006-05-19,5,21.53
2006-05-26,6,22.5
2006-06-02,5,22.96
2006-06-09,7,23.47
2006-06-16,6,23.38
2006-06-23,5,24.17
2006-06-30,6,23.86
2006-07-07,6,23.52
2006-07-14,7,23.47
2006-07-21,8,22.65
2006-07-28,9,22.9
2006-08-04,9,22.74
2006-08-11,9,22.3
2006-08-18,9,22.67
2006-08-25,9,20.81
2006-09-01,7,21.33
2006-09-08,9,21.15
2006-09-15,8,21.75
2006-09-22,7,21.37
2006-09-29,8,21.74
2006-10-06,7,21.51
2006-10-13,8,22.01
2006-10-20,10,21.73
2006-10-27,7,21.43
2006-11-03,6,21.49
2006-11-10,7,23.2
2006-11-17,6,23.88
2006-11-24,8,23.9
2006-12-01,8,23.75
2006-12-08,8,23.6
2006-12-15,9,23.55
2006-12-22,11,22.95
2006-12-29,14,23.04
2007-01-05,27,22.95
2007-01-12,31,24.63
2007-01-19,39,24.54
2007-01-26,57,24.48
2007-02-02,80,24.66
2007-02-09,69,23.81
2007-02-16,49,23.55
2007-02-23,45,22.85
2007-03-02,41,21.55
2007-03-09,39,21.22
2007-03-16,34,20.88
2007-03-23,34,21.44
2007-03-30,36,21.04
2007-04-13,59,20.92
2007-04-20,39,22.56
2007-04-27,14,22.75
2007-05-04,10,22.68
2007-05-11,8,22.78
2007-05-18,7,23.2
2007-05-25,6,23.29
2007-06-01,6,23.89
2007-06-08,6,22.52
2007-06-15,6,23.11
2007-06-22,7,22.54
2007-06-29,6,23.37
2007-07-06,6,22.51
2007-07-13,8,22.38
2007-07-20,8,21.86
2007-07-27,9,20.45
2007-08-03,10,19.79
2007-08-10,9,19.7
2007-08-17,10,19.29
2007-08-24,8,19.31
2007-08-31,8,19.84
2007-09-07,9,19.81
2007-09-14,9,20.12
2007-09-21,8,20.68
2007-09-28,8,21.18
2007-10-05,7,22.42
2007-10-12,8,22.49
2007-10-19,8,21.51
2007-10-26,7,21.88
2007-11-02,8,20.59
2007-11-09,8,19
2007-11-16,7,19.5
2007-11-23,7,19.36
2007-11-30,10,19.68
2007-12-07,11,20.02
2007-12-14,13,18.32
2007-12-21,12,18.79
2007-12-28,13,18.09
2008-01-04,24,17.18
2008-01-11,26,18.08
2008-01-18,35,18.06
2008-01-25,53,18.12
2008-02-01,78,19.86
2008-02-08,77,18.75
2008-02-15,54,18.65
2008-02-22,44,18.39
2008-02-29,40,18.65
2008-03-07,37,17.7
2008-03-14,33,17.47
2008-03-28,35,20.96
2008-04-04,37,21.44
2008-04-11,44,20.88
2008-04-18,42,21.46
2008-04-25,14,22.05
2008-05-02,23,22.55
2008-05-09,16,23.57
2008-05-16,14,23.68
2008-05-23,8,22.63
2008-05-30,8,23.34
2008-06-06,8,22.98
2008-06-13,7,22.32
2008-06-20,7,20.74
2008-06-27,7,20.82
2008-07-11,9,22.48
2008-07-18,8,24.1
2008-07-25,9,23.76
2008-08-01,8,24.28
2008-08-08,8,24.85
2008-08-15,10,24.99
2008-08-22,8,25.21
2008-08-29,9,25.54
2008-09-05,8,24.24
2008-09-12,9,24.07
2008-09-19,9,25.06
2008-09-26,8,23
2008-10-03,9,23.72
2008-10-10,11,17.38
2008-10-17,11,18.01
2008-10-24,8,15.52
2008-10-31,8,19.72
2008-11-07,7,18.84
2008-11-14,8,17.68
2008-11-21,9,17.36
2008-11-28,10,19.13
2008-12-05,14,20.18
2008-12-12,12,21.03
2008-12-19,9,21.8
2008-12-26,9,22.07
2009-01-02,23,22.51
2009-01-09,28,21.24
2009-01-16,31,20.88
2009-01-23,49,20.77
2009-01-30,74,20.73
2009-02-06,81,22.8
2009-02-13,55,21.55
2009-02-20,48,20.41
2009-02-27,40,19.1
2009-03-06,36,18.68
2009-03-13,32,18.84
2009-03-20,29,19.13
2009-03-27,28,17.32
2009-04-03,32,17.8
2009-04-17,44,16.39
2009-04-24,12,15.24
2009-05-01,11,15
2009-05-08,8,15.26
2009-05-15,7,13.94
2009-05-22,7,14.16
2009-05-29,5,14.6
2009-06-05,6,16.14
2009-06-12,6,15.69
2009-06-19,6,15.38
2009-06-26,5,15.42
2009-07-10,7,16.36
2009-07-17,7,17.35
2009-07-24,8,16.59
2009-07-31,7,16.69
2009-08-07,7,16.96
2009-08-14,8,17.24
2009-08-21,8,17.61
2009-08-28,7,17.38
2009-09-04,7,16.62
2009-09-11,6,17.38
2009-09-18,6,17.58
2009-09-25,6,17.96
2009-10-02,6,18.07
2009-10-09,6,19.45
2009-10-16,6,19.76
2009-10-23,5,19.46
2009-10-30,6,18.34
2009-11-06,7,18.94
2009-11-13,6,19.61
2009-11-20,8,20.38
2009-11-27,6,20.39
2009-12-04,10,20.22
2009-12-11,10,20.62
2009-12-18,9,20.43
2010-01-08,20,22
2010-01-15,22,22.72
2010-01-22,38,22.22
2010-01-29,55,21.52
2010-02-05,60,20.88
2010-02-12,42,20.85
2010-02-19,35,21.12
2010-02-26,32,17.28
2010-03-05,29,16.69
2010-03-12,26,16.81
2010-03-19,23,16.91
2010-03-26,24,17.68
2010-04-09,28,18.33
2010-04-16,40,17.94
2010-04-23,10,18.07
2010-04-30,11,18.31
2010-05-07,6,17.18
2010-05-14,6,16.97
2010-05-21,5,16.37
2010-05-28,5,16.08
2010-06-04,5,15.73
2010-06-11,5,15.86
2010-06-18,5,15.8
2010-06-25,5,15.55
2010-07-02,6,15.24
2010-07-09,7,14.6
2010-07-16,7,13.98
2010-07-23,7,15.23
2010-07-30,8,15.68
2010-08-06,7,14.87
2010-08-13,7,14.13
2010-08-20,8,13.47
2010-08-27,7,13.59
2010-09-03,6,13.3
2010-09-10,6,12.93
2010-09-17,7,12.98
2010-09-24,6,13.07
2010-10-01,6,12.59
2010-10-08,6,13.82
2010-10-15,7,12.36
2010-10-22,6,10.78
2010-10-29,6,11.78
2010-11-05,7,12.22
2010-11-12,7,12.85
2010-11-19,10,12.56
2010-11-26,8,12.77
2010-12-03,13,13.16
2010-12-10,17,13.04
2010-12-17,14,12.99
2010-12-31,18,11.91
2011-01-07,28,12.78
2011-01-14,32,12.81
2011-01-21,50,13.78
2011-01-28,79,12.5
2011-02-04,87,12.82
2011-02-11,64,13.25
2011-02-18,50,14.54
2011-02-25,43,15.18
2011-03-04,39,14.47
2011-03-11,32,15.82
2011-03-18,26,16.07
2011-03-25,28,16.56
2011-04-01,28,17.44
2011-04-08,32,17.42
2011-04-15,45,17.66
2011-04-29,11,17.29
2011-05-06,8,17.24
2011-05-13,7,15.82
2011-05-20,6,16.33
2011-05-27,6,15.97
2011-06-03,5,16.11
2011-06-10,5,15.39
2011-06-17,5,15.4
2011-06-24,5,15.85
2011-07-01,6,16.31
2011-07-08,6,16.12
2011-07-15,8,15.37
2011-07-22,8,15.51
2011-07-29,8,14.96
2011-08-05,7,13.72
2011-08-12,7,13.5
2011-08-19,7,13.26
2011-08-26,6,13.96
2011-09-02,6,13.41
2011-09-09,6,13.13
2011-09-16,6,14.13
2011-09-23,6,13.33
2011-09-30,6,13.31
2011-10-07,7,13.81
2011-10-14,7,14.88
2011-10-21,7,14.41
2011-10-28,7,15.44
2011-11-04,7,15.31
2011-11-11,8,15.91
2011-11-18,8,15.47
2011-11-25,9,14.41
2011-12-02,17,15.03
2011-12-09,13,15.92
2011-12-16,12,15.36
2011-12-23,10,16.08
2011-12-30,13,16.33
2012-01-06,23,16.26
2012-01-13,30,16.4
2012-01-20,50,16.49
2012-01-27,82,16.77
2012-02-03,100,17.2
2012-02-10,73,16.8
2012-02-17,55,16.2
2012-02-24,47,16.38
2012-03-02,39,16.32
2012-03-09,32,15.9
2012-03-16,28,16.91
2012-03-23,28,16.8
2012-03-30,29,16.47
2012-04-13,42,16.88
2012-04-20,33,16.8
2012-04-27,12,14.96
2012-05-04,11,14.54
2012-05-11,7,14.57
2012-05-18,6,14.52
2012-05-25,6,15.19
2012-06-01,5,15.06
2012-06-08,5,15.45
2012-06-15,6,15.6
2012-06-22,5,15.47
2012-06-29,6,15.98
2012-07-06,6,16.15
2012-07-13,7,16.52
2012-07-20,8,16.55
2012-07-27,8,16.21
2012-08-03,8,15.91
2012-08-10,7,16.11
2012-08-17,7,16.48
2012-08-24,7,16.35
2012-08-31,7,16.56
2012-09-07,6,16.33
2012-09-14,7,16.93
2012-09-21,6,17
2012-09-28,6,17.33
2012-10-05,6,17.96
2012-10-12,7,16.92
2012-10-19,7,17.11
2012-10-26,6,17.75
2012-11-02,6,17.92
2012-11-09,7,17.77
2012-11-16,9,17.85
2012-11-23,11,18.23
2012-11-30,12,18.03
2012-12-07,11,18.59
2012-12-14,10,18.6
2012-12-21,10,18.64
2012-12-28,9,18.24
2013-01-04,18,19.25
2013-01-11,24,19.98
2013-01-18,35,20.56
2013-01-25,55,22.33
2013-02-01,93,22.86
2013-02-08,93,24.4
2013-02-15,67,25.1
2013-02-22,51,24.66
2013-03-01,46,24.78
2013-03-08,42,27.28
2013-03-15,39,27.51
2013-03-22,33,28.32
2013-04-05,33,28.28
2013-04-12,43,28.58
2013-04-19,33,27.74
2013-04-26,13,28.66
2013-05-03,11,28.62
2013-05-10,8,27.82
2013-05-17,7,29.64
2013-05-24,6,29.19
2013-05-31,6,29.27
2013-06-07,6,29.84
2013-06-14,7,28.63
2013-06-21,6,28.43
2013-06-28,6,27.75
2013-07-05,6,28.3
2013-07-12,8,30.63
2013-07-19,8,31.02
2013-07-26,8,30.49
2013-08-02,8,31.89
2013-08-09,8,31.37
2013-08-16,9,29.68
2013-08-23,9,28.97
2013-08-30,13,27.91
2013-09-06,9,26.91
2013-09-13,8,27.24
2013-09-20,7,27.11
2013-09-27,7,26.36
2013-10-04,7,28.51
2013-10-11,7,27.73
2013-10-18,8,29.25
2013-10-25,7,28.48
2013-11-01,8,28.89
2013-11-08,8,27.85
2013-11-15,8,28.5
2013-11-22,10,28.71
2013-11-29,12,27.89
2013-12-06,13,29.01
2013-12-13,12,28.04
2013-12-20,12,28.54
2013-12-27,9,28.52
2014-01-03,13,29.28
2014-01-10,17,30.3
2014-01-17,26,29.03
2014-01-24,43,28.08
2014-01-31,76,30.4
2014-02-07,85,29.66
2014-02-14,59,31.07
2014-02-21,48,31.08
2014-02-28,42,31.64
2014-03-07,36,30.39
2014-03-14,32,29.37
2014-03-21,29,30.02
2014-03-28,29,30.36
2014-04-04,30,29.51
2014-04-11,35,27.64
2014-04-25,11,27.63
