"Date","EOG","Price"
2009-03-27,34,59.31
2009-04-03,34,63.14
2009-04-17,28,60.08
2009-04-24,41,63.17
2009-05-01,49,66.08
2009-05-08,65,76.87
2009-05-15,86,68.25
2009-05-22,90,69.19
2009-05-29,87,73.19
2009-06-05,48,73.51
2009-06-12,29,77.62
2009-06-19,26,69.92
2009-06-26,23,67.56
2009-07-10,22,62.5
2009-07-17,22,69.59
2009-07-24,23,74.69
2009-07-31,18,74.03
2009-08-07,21,74.73
2009-08-14,25,74.69
2009-08-21,26,75.79
2009-08-28,28,73.25
2009-09-04,27,70.47
2009-09-11,24,75.95
2009-09-18,25,81.86
2009-09-25,29,78.94
2009-10-02,19,80.76
2009-10-09,26,89.6
2009-10-16,26,92.81
2009-10-23,24,89.16
2009-10-30,21,81.66
2009-11-06,27,90.35
2009-11-13,25,88.5
2009-11-20,23,86.47
2009-11-27,19,87.23
2009-12-04,26,87.07
2009-12-11,23,86.05
2009-12-18,24,92.95
2010-01-08,23,99.05
2010-01-15,25,96.87
2010-01-22,31,94.05
2010-01-29,38,90.42
2010-02-05,21,92.86
2010-02-12,28,90.98
2010-02-19,29,94.64
2010-02-26,28,94.05
2010-03-05,26,97.38
2010-03-12,25,97.58
2010-03-19,32,91.7
2010-03-26,34,89.59
2010-04-09,37,104.77
2010-04-16,47,107.47
2010-04-23,50,113.72
2010-04-30,54,112.12
2010-05-07,68,100.84
2010-05-14,90,106.09
2010-05-21,89,100.59
2010-05-28,80,104.84
2010-06-04,47,102.99
2010-06-11,44,109.86
2010-06-18,26,110.22
2010-06-25,19,109.78
2010-07-02,21,98.34
2010-07-09,21,105.57
2010-07-16,27,102.28
2010-07-23,20,102.33
2010-07-30,24,97.5
2010-08-06,24,99.26
2010-08-13,27,94.17
2010-08-20,23,91.42
2010-08-27,22,89.4
2010-09-03,19,90.33
2010-09-10,22,92.2
2010-09-17,24,89.11
2010-09-24,21,92.11
2010-10-01,22,96.17
2010-10-08,24,99.46
2010-10-15,22,100.04
2010-10-22,20,97.31
2010-10-29,17,95.72
2010-11-05,29,88.61
2010-11-12,23,92.05
2010-11-19,26,92.96
2010-11-26,19,88.92
2010-12-03,21,93.74
2010-12-10,24,90.75
2010-12-17,21,91.67
2010-12-31,16,91.41
2011-01-07,22,94.26
2011-01-14,27,100.58
2011-01-21,27,101.72
2011-01-28,30,102.53
2011-02-04,29,106.78
2011-02-11,32,103.3
2011-02-18,28,108.89
2011-02-25,46,111.75
2011-03-04,33,109.38
2011-03-11,32,105.65
2011-03-18,27,107.93
2011-03-25,40,117.54
2011-04-01,37,118.39
2011-04-08,38,114.66
2011-04-15,42,111.04
2011-04-29,45,113.05
2011-05-06,70,107.44
2011-05-13,100,105.44
2011-05-20,94,106.85
2011-05-27,79,108.15
2011-06-03,43,110.56
2011-06-10,30,107.67
2011-06-17,23,102.25
2011-06-24,20,98.27
2011-07-01,21,103.08
2011-07-08,19,101.92
2011-07-15,23,101.19
2011-07-22,20,106.57
2011-07-29,22,102
2011-08-05,23,95.92
2011-08-12,30,94.15
2011-08-19,22,87.57
2011-08-26,22,89.85
2011-09-02,21,88.35
2011-09-09,18,85.32
2011-09-16,18,90.16
2011-09-23,18,73.72
2011-09-30,18,71.01
2011-10-07,19,74.9
2011-10-14,24,83.98
2011-10-21,20,90.62
2011-10-28,23,95.18
2011-11-04,26,101.68
2011-11-11,23,104.01
2011-11-18,22,97.84
2011-11-25,14,90.87
2011-12-02,25,102.56
2011-12-09,19,103.75
2011-12-16,20,97.68
2011-12-23,16,98.27
2011-12-30,13,98.51
2012-01-06,21,102.43
2012-01-13,25,103.04
2012-01-20,31,103.16
2012-01-27,28,104.12
2012-02-03,27,109.09
2012-02-10,25,111.83
2012-02-17,30,114.35
2012-02-24,27,117.55
2012-03-02,27,113.9
2012-03-09,27,114.98
2012-03-16,30,116.78
2012-03-23,30,111.73
2012-03-30,35,111.1
2012-04-13,29,103.33
2012-04-20,44,103.03
2012-04-27,46,109.02
2012-05-04,62,105.29
2012-05-11,84,104.23
2012-05-18,92,96.31
2012-05-25,85,101.75
2012-06-01,42,91.67
2012-06-08,28,93.88
2012-06-15,22,96.64
2012-06-22,20,87.62
2012-06-29,18,90.11
2012-07-06,16,90.64
2012-07-13,21,92.93
2012-07-20,21,99.23
2012-07-27,17,101.01
2012-08-03,21,106.75
2012-08-10,22,109.99
2012-08-17,16,111.19
2012-08-24,20,108.91
2012-08-31,17,108.3
2012-09-07,17,112.88
2012-09-14,17,117.62
2012-09-21,18,113.95
2012-09-28,18,112.05
2012-10-05,17,109.91
2012-10-12,16,108.78
2012-10-19,18,113.07
2012-10-26,19,114.09
2012-11-02,18,115.2
2012-11-09,18,114.52
2012-11-16,17,116.67
2012-11-23,17,118.99
2012-11-30,16,117.62
2012-12-07,16,117.35
2012-12-14,17,118.99
2012-12-21,17,123.57
2012-12-28,11,118.61
2013-01-04,14,125.8
2013-01-11,18,125.63
2013-01-18,19,126.79
2013-01-25,20,125.27
2013-02-01,18,128.6
2013-02-08,20,133.28
2013-02-15,23,129.19
2013-02-22,20,125.34
2013-03-01,18,123
2013-03-08,20,128.68
2013-03-15,21,130.42
2013-03-22,23,124.98
2013-04-05,20,124.75
2013-04-12,28,124.13
2013-04-19,32,113.44
2013-04-26,32,119.12
2013-05-03,37,123.98
2013-05-10,50,133.58
2013-05-17,54,135.25
2013-05-24,59,130.83
2013-05-31,41,129.1
2013-06-07,24,132.68
2013-06-14,20,131.74
2013-06-21,19,130.4
2013-06-28,18,131.68
2013-07-05,14,140.4
2013-07-12,20,144.71
2013-07-19,18,148.67
2013-07-26,18,145.74
2013-08-02,20,153.03
2013-08-09,20,158.84
2013-08-16,18,155.49
2013-08-23,19,156.62
2013-08-30,22,157.05
2013-09-06,20,161.72
2013-09-13,21,166.44
2013-09-20,21,168.87
2013-09-27,19,170.73
2013-10-04,19,174.59
2013-10-11,18,178.99
2013-10-18,25,183.79
2013-10-25,19,183.44
2013-11-01,20,178.98
2013-11-08,27,170.96
2013-11-15,22,171.38
2013-11-22,20,170.15
2013-11-29,16,165
2013-12-06,23,160.04
2013-12-13,20,159.02
2013-12-20,20,168.52
2013-12-27,12,169.16
2014-01-03,16,164.56
2014-01-10,21,166.81
2014-01-17,24,168.96
2014-01-24,23,165.53
2014-01-31,20,165.24
2014-02-07,23,176.5
2014-02-14,22,176.96
2014-02-21,22,178
2014-02-28,27,189.42
2014-03-07,25,189.92
2014-03-14,24,185.97
2014-03-21,24,191.64
2014-03-28,27,197.16
2014-04-04,35,99.77
2014-04-11,29,98.63
2014-04-25,31,99.04
