"Date","UNM","Price"
2006-06-30,41,18.13
2006-07-07,39,17.2
2006-07-14,42,16.46
2006-07-21,45,16.78
2006-07-28,51,16.28
2006-08-04,49,16.45
2006-08-11,54,17.04
2006-08-18,59,18.18
2006-08-25,70,18.56
2006-09-01,54,19.02
2006-09-08,52,18.91
2006-09-15,58,19.3
2006-09-22,52,19.18
2006-09-29,49,19.39
2006-10-06,52,20.01
2006-10-13,49,21.72
2006-10-20,54,20.62
2006-10-27,53,20.08
2006-11-03,58,20.25
2006-11-10,57,20.5
2006-11-17,58,20.98
2006-11-24,43,20.48
2006-12-01,60,20.16
2006-12-08,56,20.51
2006-12-15,54,20.1
2006-12-22,45,20.49
2006-12-29,25,20.78
2007-01-05,54,20.62
2007-01-12,61,20.46
2007-01-19,63,20.22
2007-01-26,59,19.94
2007-02-02,61,22.01
2007-02-09,53,21.76
2007-02-16,58,21.93
2007-02-23,55,21.71
2007-03-02,48,21.2
2007-03-09,49,21.93
2007-03-16,42,22.13
2007-03-23,62,23.27
2007-03-30,45,23.03
2007-04-13,55,24.26
2007-04-20,61,25.26
2007-04-27,52,24.94
2007-05-04,56,27.57
2007-05-11,55,26.87
2007-05-18,48,27.18
2007-05-25,44,26.49
2007-06-01,39,26.64
2007-06-08,54,25.85
2007-06-15,44,26.33
2007-06-22,43,25.82
2007-06-29,42,26.11
2007-07-06,45,26.23
2007-07-13,44,26.35
2007-07-20,50,25.57
2007-07-27,51,23.54
2007-08-03,48,23.69
2007-08-10,49,23.87
2007-08-17,55,24.85
2007-08-24,66,25.29
2007-08-31,58,24.47
2007-09-07,59,24.05
2007-09-14,64,23.84
2007-09-21,49,24.49
2007-09-28,54,24.47
2007-10-05,54,25.66
2007-10-12,57,25.33
2007-10-19,54,23.14
2007-10-26,52,23.57
2007-11-02,49,25.11
2007-11-09,51,23.84
2007-11-16,53,24.08
2007-11-23,42,23.43
2007-11-30,64,24.84
2007-12-07,56,25.65
2007-12-14,56,23.38
2007-12-21,52,23.78
2007-12-28,38,23.88
2008-01-04,54,22.33
2008-01-11,56,22.41
2008-01-18,55,20.62
2008-01-25,55,20.58
2008-02-01,62,23.38
2008-02-08,55,22.69
2008-02-15,53,23.46
2008-02-22,51,24.09
2008-02-29,55,22.91
2008-03-07,63,21.76
2008-03-14,54,21.09
2008-03-28,49,21.76
2008-04-04,57,23.02
2008-04-11,50,22.5
2008-04-18,58,23.5
2008-04-25,55,23.78
2008-05-02,60,24.83
2008-05-09,59,23.65
2008-05-16,61,24.53
2008-05-23,51,24.18
2008-05-30,46,24.08
2008-06-06,41,22.75
2008-06-13,48,23.29
2008-06-20,47,22.1
2008-06-27,42,21.01
2008-07-11,50,20.68
2008-07-18,55,22.32
2008-07-25,52,21.92
2008-08-01,53,23.41
2008-08-08,57,24.21
2008-08-15,61,24.79
2008-08-22,61,24.5
2008-08-29,74,25.41
2008-09-05,52,25.47
2008-09-12,64,25.71
2008-09-19,53,26
2008-09-26,55,26.07
2008-10-03,56,23.5
2008-10-10,57,16.47
2008-10-17,53,15.88
2008-10-24,61,15.1
2008-10-31,56,15.75
2008-11-07,53,16.81
2008-11-14,58,15.04
2008-11-21,59,11.58
2008-11-28,44,14.9
2008-12-05,71,17.3
2008-12-12,69,15.62
2008-12-19,60,18.14
2008-12-26,44,17.07
2009-01-02,44,18.43
2009-01-09,60,17.25
2009-01-16,62,16.21
2009-01-23,67,15.31
2009-01-30,64,14.16
2009-02-06,57,14.99
2009-02-13,58,12.82
2009-02-20,59,10.59
2009-02-27,50,10.18
2009-03-06,55,8.11
2009-03-13,56,11.02
2009-03-20,53,11.41
2009-03-27,60,13.11
2009-04-03,61,13.92
2009-04-17,56,15.03
2009-04-24,61,15.04
2009-05-01,60,16.66
2009-05-08,58,18.94
2009-05-15,60,16.27
2009-05-22,55,16.59
2009-05-29,44,17.11
2009-06-05,49,17.19
2009-06-12,52,16.86
2009-06-19,48,16.12
2009-06-26,44,15.94
2009-07-10,48,14.85
2009-07-17,48,16.36
2009-07-24,52,18.56
2009-07-31,57,18.77
2009-08-07,57,20.61
2009-08-14,54,21.34
2009-08-21,69,22.15
2009-08-28,77,22.65
2009-09-04,71,21.52
2009-09-11,61,21.92
2009-09-18,66,22.46
2009-09-25,60,20.83
2009-10-02,63,20.35
2009-10-09,59,21.6
2009-10-16,55,21.78
2009-10-23,56,21.34
2009-10-30,56,19.95
2009-11-06,76,19.53
2009-11-13,90,19.65
2009-11-20,72,19.08
2009-11-27,47,18.9
2009-12-04,57,19.09
2009-12-11,59,19.04
2009-12-18,61,19.15
2010-01-08,58,20.58
2010-01-15,61,21.39
2010-01-22,68,20.19
2010-01-29,60,19.57
2010-02-05,59,19.22
2010-02-12,58,19.52
2010-02-19,62,21.01
2010-02-26,60,20.81
2010-03-05,67,22.2
2010-03-12,70,23.4
2010-03-19,62,23.93
2010-03-26,65,24.65
2010-04-09,62,25.53
2010-04-16,59,25.32
2010-04-23,59,25.91
2010-04-30,58,24.47
2010-05-07,62,22.44
2010-05-14,62,22.71
2010-05-21,52,22.46
2010-05-28,46,23.1
2010-06-04,45,22.28
2010-06-11,48,23.29
2010-06-18,44,23.58
2010-06-25,45,22.69
2010-07-02,45,21.26
2010-07-09,48,22.66
2010-07-16,63,21.73
2010-07-23,60,22.46
2010-07-30,56,22.82
2010-08-06,69,21.81
2010-08-13,61,20.81
2010-08-20,69,20.33
2010-08-27,83,20.21
2010-09-03,70,22.27
2010-09-10,64,21.87
2010-09-17,70,22.2
2010-09-24,68,22.4
2010-10-01,68,22.04
2010-10-08,64,22.37
2010-10-15,62,22.52
2010-10-22,63,22.42
2010-10-29,65,22.42
2010-11-05,64,22.88
2010-11-12,67,21.83
2010-11-19,69,22.17
2010-11-26,52,21.69
2010-12-03,71,22.5
2010-12-10,66,23.71
2010-12-17,61,23.83
2010-12-31,41,24.22
2011-01-07,69,24.91
2011-01-14,66,25.09
2011-01-21,81,25.12
2011-01-28,74,24.93
2011-02-04,72,25.78
2011-02-11,65,26.56
2011-02-18,64,26.87
2011-02-25,64,26.6
2011-03-04,64,26.02
2011-03-11,68,26.32
2011-03-18,56,25.67
2011-03-25,64,26.15
2011-04-01,62,26.58
2011-04-08,62,26.31
2011-04-15,65,25.69
2011-04-29,69,26.48
2011-05-06,65,26.23
2011-05-13,66,26.22
2011-05-20,64,26.72
2011-05-27,56,26.1
2011-06-03,57,25.27
2011-06-10,56,24.8
2011-06-17,51,25.04
2011-06-24,52,24.52
2011-07-01,60,25.94
2011-07-08,56,26.05
2011-07-15,57,25.31
2011-07-22,66,25.55
2011-07-29,62,24.39
2011-08-05,59,22.79
2011-08-12,61,22.48
2011-08-19,73,21.69
2011-08-26,91,22.75
2011-09-02,76,22.4
2011-09-09,69,22.07
2011-09-16,71,23.16
2011-09-23,70,20.75
2011-09-30,80,20.96
2011-10-07,70,22
2011-10-14,60,23.9
2011-10-21,73,24.35
2011-10-28,69,24.24
2011-11-04,74,21.86
2011-11-11,71,22.34
2011-11-18,85,21.72
2011-11-25,59,20.7
2011-12-02,76,22.06
2011-12-09,74,21.47
2011-12-16,69,20.58
2011-12-23,56,21.3
2011-12-30,43,21.07
2012-01-06,64,21.46
2012-01-13,70,22.24
2012-01-20,79,22.77
2012-01-27,70,22.92
2012-02-03,70,23.79
2012-02-10,67,22.44
2012-02-17,76,23.08
2012-02-24,74,23.18
2012-03-02,66,23.22
2012-03-09,73,23.76
2012-03-16,74,24.44
2012-03-23,67,23.95
2012-03-30,61,24.48
2012-04-13,59,23.27
2012-04-20,65,23.36
2012-04-27,69,23.9
2012-05-04,67,22.03
2012-05-11,71,21.67
2012-05-18,60,19.9
2012-05-25,55,20.13
2012-06-01,54,19.3
2012-06-08,56,19.79
2012-06-15,52,19.51
2012-06-22,53,19.26
2012-06-29,52,19.13
2012-07-06,55,19.2
2012-07-13,61,19.42
2012-07-20,55,18.95
2012-07-27,71,18.95
2012-08-03,61,19.18
2012-08-10,66,19.44
2012-08-17,73,19.4
2012-08-24,89,19.21
2012-08-31,79,19.51
2012-09-07,76,20.12
2012-09-14,73,20.92
2012-09-21,75,19.89
2012-09-28,78,19.22
2012-10-05,69,19.98
2012-10-12,72,19.75
2012-10-19,69,20.48
2012-10-26,66,20.42
2012-11-02,58,20.65
2012-11-09,66,19.66
2012-11-16,71,19.48
2012-11-23,59,20.23
2012-11-30,77,20.39
2012-12-07,75,20.83
2012-12-14,68,20.83
2012-12-21,59,20.87
2012-12-28,37,20.55
2013-01-04,55,21.89
2013-01-11,74,22.21
2013-01-18,88,22.5
2013-01-25,78,23.29
2013-02-01,77,23.38
2013-02-08,71,24.06
2013-02-15,70,24.46
2013-02-22,68,24.25
2013-03-01,71,24.61
2013-03-08,69,26.51
2013-03-15,60,27.73
2013-03-22,87,27.49
2013-04-05,71,26.26
2013-04-12,64,27.46
2013-04-19,66,26.37
2013-04-26,68,27.23
2013-05-03,66,27.43
2013-05-10,69,28.09
2013-05-17,59,28.45
2013-05-24,51,27.19
2013-05-31,53,28.48
2013-06-07,56,28.75
2013-06-14,49,27.76
2013-06-21,48,29.22
2013-06-28,47,29.37
2013-07-05,51,30.48
2013-07-12,69,31.57
2013-07-19,65,31.46
2013-07-26,62,31.58
2013-08-02,59,32.54
2013-08-09,59,30.32
2013-08-16,72,29.61
2013-08-23,100,30.14
2013-08-30,78,29.53
2013-09-06,79,30.26
2013-09-13,72,30.99
2013-09-20,64,30.26
2013-09-27,64,30.62
2013-10-04,66,30.73
2013-10-11,68,30.84
2013-10-18,63,31.92
2013-10-25,60,31.35
2013-11-01,61,31.51
2013-11-08,73,33.16
2013-11-15,71,33.31
2013-11-22,79,33.93
2013-11-29,60,33.57
2013-12-06,81,34.31
2013-12-13,75,33.91
2013-12-20,62,34.38
2013-12-27,36,35.08
2014-01-03,47,34.34
2014-01-10,69,34.73
2014-01-17,67,34.35
2014-01-24,87,32.16
2014-01-31,79,32.2
2014-02-07,72,32.97
2014-02-14,70,33.54
2014-02-21,69,33.55
2014-02-28,73,34.78
2014-03-07,74,35.92
2014-03-14,78,34.88
2014-03-21,76,35.65
2014-03-28,67,34.44
2014-04-04,63,34.79
2014-04-11,64,33.09
2014-04-25,68,32.87
