"Date","Valero.Energy","Price"
2009-01-09,16,24
2009-01-16,16,24.03
2009-01-23,25,24.59
2009-01-30,26,24.12
2009-02-06,34,23.74
2009-02-13,31,24.07
2009-02-20,24,19.15
2009-02-27,23,19.38
2009-03-06,28,16.24
2009-03-13,22,17.33
2009-03-20,36,18.03
2009-03-27,29,19.05
2009-04-03,24,19.84
2009-04-17,22,21.72
2009-04-24,35,21.68
2009-05-01,41,20.65
2009-05-08,31,23.3
2009-05-15,35,20.84
2009-05-22,38,20.55
2009-05-29,19,22.37
2009-06-05,32,18.21
2009-06-12,31,17.61
2009-06-19,38,17.19
2009-06-26,29,16.48
2009-07-10,30,15.57
2009-07-17,24,17.42
2009-07-24,30,18.31
2009-07-31,46,18
2009-08-07,24,18.52
2009-08-14,26,17.79
2009-08-21,25,18.49
2009-08-28,17,19
2009-09-04,31,18.36
2009-09-11,29,18.93
2009-09-18,24,20.22
2009-09-25,23,19.46
2009-10-02,30,18.63
2009-10-09,24,19.38
2009-10-16,38,19.74
2009-10-23,28,20.67
2009-10-30,26,18.1
2009-11-06,28,17.29
2009-11-13,16,17.06
2009-11-20,35,16.47
2009-11-27,31,16
2009-12-04,22,16.41
2009-12-11,30,16.61
2009-12-18,40,16.69
2010-01-08,58,18.69
2010-01-15,33,18.77
2010-01-22,41,18.18
2010-01-29,40,18.42
2010-02-05,31,18.16
2010-02-12,29,17.7
2010-02-19,21,17.89
2010-02-26,28,17.52
2010-03-05,30,19.57
2010-03-12,25,20.44
2010-03-19,32,20.31
2010-03-26,31,19.72
2010-04-09,37,20.01
2010-04-16,27,19.15
2010-04-23,27,19.88
2010-04-30,21,20.79
2010-05-07,32,18.52
2010-05-14,23,20.13
2010-05-21,14,18.14
2010-05-28,10,18.68
2010-06-04,22,17.27
2010-06-11,18,17.25
2010-06-18,14,17.99
2010-06-25,9,18.77
2010-07-02,12,16.91
2010-07-09,14,17.89
2010-07-16,9,17.36
2010-07-23,16,17.09
2010-07-30,12,16.99
2010-08-06,11,18.06
2010-08-13,13,16.85
2010-08-20,15,16.54
2010-08-27,13,16.1
2010-09-03,12,16.94
2010-09-10,16,16.96
2010-09-17,16,16.99
2010-09-24,13,16.82
2010-10-01,21,17.65
2010-10-08,19,17.89
2010-10-15,15,18.1
2010-10-22,14,17.65
2010-10-29,21,17.95
2010-11-05,13,19.14
2010-11-12,13,19.97
2010-11-19,19,19.57
2010-11-26,7,19.56
2010-12-03,16,21.08
2010-12-10,10,21.62
2010-12-17,11,21.08
2010-12-31,11,23.12
2011-01-07,10,23.83
2011-01-14,13,24.99
2011-01-21,12,24.13
2011-01-28,12,25.15
2011-02-04,16,26.53
2011-02-11,17,27.97
2011-02-18,16,29.42
2011-02-25,10,28.56
2011-03-04,16,28.67
2011-03-11,15,27.98
2011-03-18,20,27.34
2011-03-25,14,29.93
2011-04-01,10,30.02
2011-04-08,22,28.19
2011-04-15,11,27.54
2011-04-29,18,28.3
2011-05-06,16,26.79
2011-05-13,19,26.68
2011-05-20,14,26.05
2011-05-27,16,26.92
2011-06-03,7,26.33
2011-06-10,11,24.96
2011-06-17,14,24.1
2011-06-24,13,23.18
2011-07-01,13,25.79
2011-07-08,10,26.18
2011-07-15,16,25.26
2011-07-22,9,26.71
2011-07-29,12,25.12
2011-08-05,14,20.71
2011-08-12,18,20.9
2011-08-19,15,18.82
2011-08-26,14,20.87
2011-09-02,12,21.94
2011-09-09,15,22.32
2011-09-16,15,22.19
2011-09-23,12,18.48
2011-09-30,14,17.78
2011-10-07,13,19.78
2011-10-14,12,23.62
2011-10-21,18,23.68
2011-10-28,22,26.7
2011-11-04,16,25.8
2011-11-11,16,24.77
2011-11-18,19,21.81
2011-11-25,9,20.23
2011-12-02,19,22.56
2011-12-09,15,21.15
2011-12-16,9,20.52
2011-12-23,10,21.04
2011-12-30,13,21.05
2012-01-06,10,20.37
2012-01-13,13,21.02
2012-01-20,12,23.51
2012-01-27,15,24.12
2012-02-03,12,24.63
2012-02-10,12,24.81
2012-02-17,10,24.99
2012-02-24,12,24.39
2012-03-02,12,26.02
2012-03-09,11,28.56
2012-03-16,12,27.99
2012-03-23,11,26.69
2012-03-30,9,25.77
2012-04-13,9,24.14
2012-04-20,9,23.75
2012-04-27,13,25.12
2012-05-04,11,22.95
2012-05-11,13,22.54
2012-05-18,11,21.44
2012-05-25,8,22.34
2012-06-01,9,20.68
2012-06-08,9,21.27
2012-06-15,9,22.24
2012-06-22,9,23.5
2012-06-29,12,24.15
2012-07-06,10,24.56
2012-07-13,12,24.86
2012-07-20,14,25.54
2012-07-27,8,26.1
2012-08-03,14,27.84
2012-08-10,10,29.1
2012-08-17,9,28.8
2012-08-24,11,29.24
2012-08-31,11,31.26
2012-09-07,10,32.18
2012-09-14,11,33.75
2012-09-21,6,31.97
2012-09-28,11,31.68
2012-10-05,14,31.89
2012-10-12,11,29.01
2012-10-19,13,29.53
2012-10-26,9,29.03
2012-11-02,12,28.2
2012-11-09,7,29.59
2012-11-16,10,29.36
2012-11-23,10,31.92
2012-11-30,12,32.26
2012-12-07,9,31.86
2012-12-14,9,33.37
2012-12-21,10,34.14
2012-12-28,7,33.1
2013-01-04,12,35.31
2013-01-11,8,34.7
2013-01-18,8,36.76
2013-01-25,17,38.1
2013-02-01,15,44.85
2013-02-08,11,46.13
2013-02-15,9,47.29
2013-02-22,11,46.07
2013-03-01,10,46.63
2013-03-08,13,45.5
2013-03-15,14,44.18
2013-03-22,13,44.24
2013-04-05,11,41.98
2013-04-12,16,40.91
2013-04-19,9,39.24
2013-04-26,12,40.72
2013-05-03,21,37.59
2013-05-10,17,38.8
2013-05-17,10,41.2
2013-05-24,12,40.06
2013-05-31,7,40.63
2013-06-07,12,39.57
2013-06-14,9,38.01
2013-06-21,10,35.39
2013-06-28,8,34.77
2013-07-05,4,33.85
2013-07-12,12,35.86
2013-07-19,11,34.71
2013-07-26,11,36.04
2013-08-02,9,35.09
2013-08-09,14,37.13
2013-08-16,10,35.41
2013-08-23,9,36.4
2013-08-30,9,35.53
2013-09-06,10,36.76
2013-09-13,13,35.05
2013-09-20,11,34.44
2013-09-27,13,34.3
2013-10-04,14,34.44
2013-10-11,9,36.54
2013-10-18,12,39.1
2013-10-25,11,39.44
2013-11-01,10,41
2013-11-08,15,40.32
2013-11-15,8,43
2013-11-22,17,44.11
2013-11-29,7,45.72
2013-12-06,17,46.58
2013-12-13,15,46.13
2013-12-20,10,47.49
2013-12-27,9,48.67
2014-01-03,10,49.35
2014-01-10,13,53.24
2014-01-17,10,51.42
2014-01-24,13,49.04
2014-01-31,13,51.1
2014-02-07,11,48.82
2014-02-14,13,49.86
2014-02-21,12,50.23
2014-02-28,13,47.98
2014-03-07,14,52.99
2014-03-14,9,54.23
2014-03-21,10,53.79
2014-03-28,11,52.86
2014-04-04,11,54.38
2014-04-11,12,50.96
2014-04-25,10,56.67
