"Date","buy.GT","Price"
2008-09-26,36,16.57
2008-10-03,36,12.55
2008-10-10,30,12.2
2008-10-17,44,11.7
2008-10-24,44,8.89
2008-10-31,29,8.92
2008-11-07,42,7.14
2008-11-14,36,5.42
2008-11-21,45,5.01
2008-11-28,59,6.43
2008-12-05,43,6.07
2008-12-12,48,6.14
2008-12-19,31,6.12
2008-12-26,60,5.58
2009-01-02,48,6.51
2009-01-09,49,7.63
2009-01-16,37,6.71
2009-01-23,45,6.49
2009-01-30,32,6.17
2009-02-06,45,7.17
2009-02-13,39,6.92
2009-02-20,38,5.97
2009-02-27,39,4.44
2009-03-06,43,3.51
2009-03-13,41,5.24
2009-03-20,36,5.84
2009-03-27,42,6.85
2009-04-03,41,7.4
2009-04-17,45,10.21
2009-04-24,43,10.87
2009-05-01,37,11.41
2009-05-08,43,13.3
2009-05-15,37,11.24
2009-05-22,53,11.45
2009-05-29,34,11.45
2009-06-05,41,12.94
2009-06-12,45,12.41
2009-06-19,42,12.23
2009-06-26,44,11.22
2009-07-10,33,10.98
2009-07-17,52,12.92
2009-07-24,45,14.47
2009-07-31,45,17.02
2009-08-07,41,18.11
2009-08-14,52,17.8
2009-08-21,50,17.97
2009-08-28,35,16.2
2009-09-04,35,16.35
2009-09-11,30,17.27
2009-09-18,43,17.08
2009-09-25,46,16.02
2009-10-02,38,15.35
2009-10-09,38,17.23
2009-10-16,31,17.46
2009-10-23,38,17.75
2009-10-30,40,12.88
2009-11-06,32,13.13
2009-11-13,32,14.34
2009-11-20,37,14.11
2009-11-27,41,13.69
2009-12-04,40,14.56
2009-12-11,35,14.89
2009-12-18,36,14.34
2010-01-08,39,15.94
2010-01-15,36,15.02
2010-01-22,28,13.24
2010-01-29,42,13.34
2010-02-05,33,12.64
2010-02-12,34,13.28
2010-02-19,39,13.46
2010-02-26,33,12.99
2010-03-05,40,13.7
2010-03-12,31,13.82
2010-03-19,35,13.01
2010-03-26,42,13.03
2010-04-09,44,12.87
2010-04-16,33,14.27
2010-04-23,35,14.58
2010-04-30,40,13.43
2010-05-07,41,12.11
2010-05-14,39,13.05
2010-05-21,36,11.33
2010-05-28,33,11.9
2010-06-04,35,11.49
2010-06-11,34,11.59
2010-06-18,48,11.99
2010-06-25,36,11.4
2010-07-02,35,10.01
2010-07-09,42,10.89
2010-07-16,48,10.94
2010-07-23,40,12.22
2010-07-30,41,10.67
2010-08-06,46,11.15
2010-08-13,46,9.98
2010-08-20,50,9.85
2010-08-27,42,9.69
2010-09-03,40,10.3
2010-09-10,31,10.35
2010-09-17,40,11.16
2010-09-24,35,10.82
2010-10-01,37,10.85
2010-10-08,34,11.57
2010-10-15,35,11.97
2010-10-22,32,11.74
2010-10-29,38,10.22
2010-11-05,31,10.47
2010-11-12,33,10.1
2010-11-19,38,10.33
2010-11-26,50,10.03
2010-12-03,47,9.93
2010-12-10,44,11.35
2010-12-17,45,11.64
2010-12-31,56,11.85
2011-01-07,44,12.9
2011-01-14,37,12.13
2011-01-21,37,11.58
2011-01-28,42,11.66
2011-02-04,36,12.76
2011-02-11,45,14.3
2011-02-18,31,14.89
2011-02-25,35,13.9
2011-03-04,36,13.68
2011-03-11,32,14.98
2011-03-18,38,14.82
2011-03-25,34,15.45
2011-04-01,39,15.22
2011-04-08,32,15
2011-04-15,39,15.15
2011-04-29,34,18.15
2011-05-06,34,17.56
2011-05-13,35,17.77
2011-05-20,35,17.57
2011-05-27,35,17.51
2011-06-03,33,16.51
2011-06-10,34,14.99
2011-06-17,42,14.8
2011-06-24,37,15.88
2011-07-01,32,17.29
2011-07-08,37,17.23
2011-07-15,39,17.84
2011-07-22,39,17.89
2011-07-29,30,16.17
2011-08-05,39,13.55
2011-08-12,34,13.48
2011-08-19,39,10.88
2011-08-26,37,11.81
2011-09-02,35,11.5
2011-09-09,30,10.78
2011-09-16,32,11.09
2011-09-23,36,9.86
2011-09-30,31,10.09
2011-10-07,31,10.3
2011-10-14,31,12.27
2011-10-21,33,12.97
2011-10-28,34,14.84
2011-11-04,28,14.3
2011-11-11,30,13.93
2011-11-18,34,12.76
2011-11-25,34,11.93
2011-12-02,32,14.12
2011-12-09,31,14.55
2011-12-16,30,13.58
2011-12-23,35,14.31
2011-12-30,44,14.17
2012-01-06,36,15.15
2012-01-13,29,13.5
2012-01-20,37,13.65
2012-01-27,36,13.5
2012-02-03,31,13.86
2012-02-10,29,13.88
2012-02-17,28,13.42
2012-02-24,35,13.11
2012-03-02,36,13.12
2012-03-09,30,12.38
2012-03-16,28,12.16
2012-03-23,32,11.91
2012-03-30,32,11.22
2012-04-13,31,10.59
2012-04-20,39,11.24
2012-04-27,31,11.32
2012-05-04,37,10.84
2012-05-11,39,10.55
2012-05-18,44,10.04
2012-05-25,41,10.59
2012-06-01,36,9.87
2012-06-08,36,10.49
2012-06-15,43,11.02
2012-06-22,36,11.46
2012-06-29,42,11.81
2012-07-06,39,11.09
2012-07-13,41,10.24
2012-07-20,38,9.81
2012-07-27,40,10.57
2012-08-03,40,11.16
2012-08-10,38,11.74
2012-08-17,39,12.04
2012-08-24,45,11.88
2012-08-31,39,12.2
2012-09-07,39,13.16
2012-09-14,38,13.51
2012-09-21,37,12.73
2012-09-28,33,12.19
2012-10-05,30,12.74
2012-10-12,31,12.28
2012-10-19,31,12.39
2012-10-26,28,11.02
2012-11-02,31,11.6
2012-11-09,30,11.53
2012-11-16,37,11.16
2012-11-23,40,11.83
2012-11-30,33,12.6
2012-12-07,38,12.78
2012-12-14,37,12.95
2012-12-21,32,13.08
2012-12-28,46,13.29
2013-01-04,43,14.35
2013-01-11,36,13.78
2013-01-18,32,13.81
2013-01-25,33,13.87
2013-02-01,37,13.78
2013-02-08,30,13.59
2013-02-15,32,14.1
2013-02-22,29,13.45
2013-03-01,38,12.96
2013-03-08,33,13.08
2013-03-15,35,13.73
2013-03-22,35,12.8
2013-04-05,34,12.16
2013-04-12,35,12.51
2013-04-19,31,12.14
2013-04-26,36,12.51
2013-05-03,38,12.37
2013-05-10,30,12.85
2013-05-17,37,14.74
2013-05-24,37,14.55
2013-05-31,36,15.14
2013-06-07,36,14.82
2013-06-14,34,15.31
2013-06-21,36,14.94
2013-06-28,36,15.3
2013-07-05,37,15.86
2013-07-12,35,16.6
2013-07-19,40,17.23
2013-07-26,44,16.78
2013-08-02,40,19.02
2013-08-09,38,19.05
2013-08-16,33,18.72
2013-08-23,38,18.84
2013-08-30,35,20.12
2013-09-06,34,20.79
2013-09-13,31,21.82
2013-09-20,33,22.21
2013-09-27,36,22.46
2013-10-04,34,23.01
2013-10-11,33,22.64
2013-10-18,33,22.63
2013-10-25,33,22.21
2013-11-01,40,20.86
2013-11-08,37,21.06
2013-11-15,37,21.65
2013-11-22,33,21.75
2013-11-29,45,22.26
2013-12-06,47,22.56
2013-12-13,40,22.62
2013-12-20,39,22.93
2013-12-27,41,23.54
2014-01-03,39,23.37
2014-01-10,37,25.99
2014-01-17,35,24.53
2014-01-24,31,23.04
2014-01-31,36,23.66
2014-02-07,25,23.53
2014-02-14,30,26.76
2014-02-21,29,26.54
2014-02-28,30,26.87
2014-03-07,33,27.66
2014-03-14,35,27.29
2014-03-21,32,26.92
2014-03-28,28,25.94
2014-04-04,32,25.56
2014-04-11,26,25.21
2014-04-25,34,27.44
