"Date","buy.COP","Price"
2011-12-02,37,72.55
2011-12-09,41,71.95
2011-12-16,30,68.4
2011-12-23,41,72.43
2011-12-30,32,72.87
2012-01-06,45,72.66
2012-01-13,52,70.34
2012-01-20,41,71.2
2012-01-27,50,69.4
2012-02-03,33,70.46
2012-02-10,33,72.25
2012-02-17,36,73.36
2012-02-24,38,75.95
2012-03-02,41,77.65
2012-03-09,37,77.16
2012-03-16,20,77.18
2012-03-23,47,76.51
2012-03-30,31,76.01
2012-04-13,28,73.63
2012-04-20,27,72.88
2012-04-27,29,71.98
2012-05-04,33,53.17
2012-05-11,37,53.5
2012-05-18,27,50.82
2012-05-25,33,52.11
2012-06-01,38,51.19
2012-06-08,23,53.97
2012-06-15,30,55.46
2012-06-22,43,53.41
2012-06-29,36,55.88
2012-07-06,43,54.75
2012-07-13,48,54.98
2012-07-20,37,55.99
2012-07-27,26,54.97
2012-08-03,40,55.71
2012-08-10,48,57.28
2012-08-17,42,57.39
2012-08-24,44,56.36
2012-08-31,26,56.79
2012-09-07,38,56.64
2012-09-14,26,58.21
2012-09-21,38,57.36
2012-09-28,53,57.18
2012-10-05,51,57.58
2012-10-12,36,56.17
2012-10-19,29,57.45
2012-10-26,29,57.31
2012-11-02,55,57.65
2012-11-09,27,55.67
2012-11-16,40,55.03
2012-11-23,58,56.67
2012-11-30,66,56.94
2012-12-07,33,57.94
2012-12-14,34,57.69
2012-12-21,47,58.61
2012-12-28,44,57.07
2013-01-04,56,59.83
2013-01-11,27,58.27
2013-01-18,27,59.27
2013-01-25,28,61.06
2013-02-01,31,58.82
2013-02-08,55,57.87
2013-02-15,48,57.02
2013-02-22,45,58.2
2013-03-01,45,58.28
2013-03-08,42,58.39
2013-03-15,37,59.07
2013-03-22,43,60.91
2013-04-05,29,58.54
2013-04-12,43,59.36
2013-04-19,27,57.49
2013-04-26,39,58.91
2013-05-03,28,61.92
2013-05-10,31,62.23
2013-05-17,26,63.31
2013-05-24,34,62.53
2013-05-31,36,61.34
2013-06-07,32,62.32
2013-06-14,32,61.03
2013-06-21,45,60.36
2013-06-28,40,60.5
2013-07-05,37,62.31
2013-07-12,35,64.84
2013-07-19,45,66
2013-07-26,49,65.72
2013-08-02,58,67.23
2013-08-09,41,66.83
2013-08-16,49,67.38
2013-08-23,39,66.55
2013-08-30,36,66.3
2013-09-06,29,68.2
2013-09-13,39,69.19
2013-09-20,45,71
2013-09-27,47,70.31
2013-10-04,57,70.97
2013-10-11,38,71.71
2013-10-18,35,73.43
2013-10-25,45,74.06
2013-11-01,46,73.09
2013-11-08,63,73.69
2013-11-15,67,73.3
2013-11-22,47,74.02
2013-11-29,52,72.8
2013-12-06,45,70.77
2013-12-13,56,69.43
2013-12-20,52,69.88
2013-12-27,39,70.39
2014-01-03,50,69.96
2014-01-10,38,68.87
2014-01-17,51,67.51
2014-01-24,38,66.57
2014-01-31,44,64.95
2014-02-07,33,64.97
2014-02-14,39,65.53
2014-02-21,42,64.68
2014-02-28,32,66.5
2014-03-07,55,66.51
2014-03-14,29,66.6
2014-03-21,34,67.48
2014-03-28,24,70.35
2014-04-04,26,70.22
2014-04-11,33,70.87
2014-04-25,45,74.4
