"Date","Constellation.Brands","Price"
2014-01-17,12,79.54
2014-01-24,13,75.8
2014-01-31,10,76.67
2014-02-07,13,77.5
2014-02-14,13,79.37
2014-02-21,13,80.35
2014-02-28,12,81.03
2014-03-07,14,83.91
2014-03-14,13,82.5
2014-03-21,10,83.06
2014-03-28,10,83.21
2014-04-04,11,84.33
2014-04-11,15,78.03
2014-04-25,13,79.04
