"Date","Discover.Financial.Services","Price"
2009-07-24,38,12.06
2009-07-31,29,11.88
2009-08-07,32,12.76
2009-08-14,24,12.48
2009-08-21,24,13.51
2009-08-28,28,14.23
2009-09-04,27,13.55
2009-09-11,24,14.71
2009-09-18,34,16.06
2009-09-25,30,15.36
2009-10-02,27,15.33
2009-10-09,38,16.2
2009-10-16,27,15.08
2009-10-23,29,15.03
2009-10-30,16,14.14
2009-11-06,20,14.53
2009-11-13,27,15.4
2009-11-20,18,15.35
2009-11-27,24,15.13
2009-12-04,29,15.18
2009-12-11,22,16.13
2009-12-18,21,14.95
2010-01-08,30,15.03
2010-01-15,25,14.76
2010-01-22,31,13.46
2010-01-29,20,13.68
2010-02-05,26,13.01
2010-02-12,25,13.03
2010-02-19,20,13.67
2010-02-26,21,13.65
2010-03-05,19,14.17
2010-03-12,26,14.97
2010-03-19,21,15.24
2010-03-26,25,15.39
2010-04-09,29,15.5
2010-04-16,26,15.36
2010-04-23,19,16.26
2010-04-30,21,15.46
2010-05-07,29,14.08
2010-05-14,24,14.24
2010-05-21,30,13.53
2010-05-28,16,13.45
2010-06-04,21,12.86
2010-06-11,20,13.66
2010-06-18,27,14
2010-06-25,21,14.52
2010-07-02,36,13.84
2010-07-09,15,14.85
2010-07-16,25,14.5
2010-07-23,24,15.06
2010-07-30,19,15.27
2010-08-06,32,15.31
2010-08-13,30,14.68
2010-08-20,21,14.27
2010-08-27,23,14.77
2010-09-03,24,15.86
2010-09-10,17,15.9
2010-09-17,35,15.57
2010-09-24,34,16.77
2010-10-01,23,16.58
2010-10-08,26,16.95
2010-10-15,19,17.1
2010-10-22,25,17.41
2010-10-29,24,17.65
2010-11-05,19,18.91
2010-11-12,25,18.6
2010-11-19,25,18.4
2010-11-26,12,18.42
2010-12-03,19,18.84
2010-12-10,21,19.27
2010-12-17,21,18.02
2010-12-31,23,18.53
2011-01-07,24,18.9
2011-01-14,15,20.38
2011-01-21,22,20.47
2011-01-28,26,20.46
2011-02-04,23,20.61
2011-02-11,17,21.72
2011-02-18,22,21.86
2011-02-25,16,21.82
2011-03-04,26,21.61
2011-03-11,17,21.83
2011-03-18,12,22
2011-03-25,21,24
2011-04-01,22,24.15
2011-04-08,26,23.85
2011-04-15,20,24.28
2011-04-29,24,24.84
2011-05-06,21,24.29
2011-05-13,17,24.24
2011-05-20,16,24.92
2011-05-27,24,23.77
2011-06-03,16,23.2
2011-06-10,22,22.52
2011-06-17,21,23.09
2011-06-24,20,24.79
2011-07-01,21,26.55
2011-07-08,13,27.12
2011-07-15,25,25.43
2011-07-22,15,25.97
2011-07-29,23,25.61
2011-08-05,21,22.83
2011-08-12,17,23.33
2011-08-19,14,22.91
2011-08-26,19,24.79
2011-09-02,21,24.22
2011-09-09,21,23.92
2011-09-16,20,26.47
2011-09-23,22,25.35
2011-09-30,21,22.94
2011-10-07,22,23.41
2011-10-14,18,24.13
2011-10-21,18,23.15
2011-10-28,13,24.48
2011-11-04,21,24.5
2011-11-11,17,24.77
2011-11-18,23,23.03
2011-11-25,16,22.96
2011-12-02,16,24.21
2011-12-09,11,24.74
2011-12-16,20,24.23
2011-12-23,13,24.49
2011-12-30,17,24
2012-01-06,14,24.3
2012-01-13,22,26.51
2012-01-20,16,27.39
2012-01-27,13,27.14
2012-02-03,22,28.22
2012-02-10,18,28.18
2012-02-17,14,29.54
2012-02-24,14,30.19
2012-03-02,21,30.53
2012-03-09,23,30.61
2012-03-16,19,32.05
2012-03-23,21,33.83
2012-03-30,17,33.34
2012-04-13,25,32.89
2012-04-20,23,32.93
2012-04-27,15,34.09
2012-05-04,21,33.52
2012-05-11,23,34.12
2012-05-18,24,31.52
2012-05-25,24,32.73
2012-06-01,20,30.72
2012-06-08,17,32.82
2012-06-15,25,32.99
2012-06-22,21,33.61
2012-06-29,20,34.58
2012-07-06,16,35.31
2012-07-13,21,34.96
2012-07-20,18,34.91
2012-07-27,18,36.41
2012-08-03,23,36.49
2012-08-10,16,36.84
2012-08-17,26,37.77
2012-08-24,27,38.6
2012-08-31,23,38.73
2012-09-07,20,38.47
2012-09-14,19,39.31
2012-09-21,24,38.62
2012-09-28,24,39.73
2012-10-05,26,40.39
2012-10-12,21,38.79
2012-10-19,27,39.62
2012-10-26,14,40.25
2012-11-02,22,40.98
2012-11-09,22,41.08
2012-11-16,24,39.46
2012-11-23,16,41.46
2012-11-30,19,41.61
2012-12-07,16,41.15
2012-12-14,19,39.54
2012-12-21,19,38.5
2012-12-28,12,37.99
2013-01-04,17,40.04
2013-01-11,27,40.39
2013-01-18,20,38.55
2013-01-25,15,39.09
2013-02-01,20,38.8
2013-02-08,19,39.88
2013-02-15,21,39.15
2013-02-22,22,38.89
2013-03-01,21,39.08
2013-03-08,29,41.37
2013-03-15,23,44.14
2013-03-22,24,45
2013-04-05,23,43.07
2013-04-12,21,43.31
2013-04-19,15,43.34
2013-04-26,19,43.92
2013-05-03,20,45.93
2013-05-10,21,45.59
2013-05-17,18,47.7
2013-05-24,22,47.68
2013-05-31,15,47.41
2013-06-07,24,48.66
2013-06-14,18,47.34
2013-06-21,18,46.39
2013-06-28,20,47.64
2013-07-05,15,49.99
2013-07-12,26,50.89
2013-07-19,26,50.62
2013-07-26,27,49.45
2013-08-02,22,51.13
2013-08-09,20,50.18
2013-08-16,20,49.78
2013-08-23,14,49.54
2013-08-30,17,47.25
2013-09-06,17,48.59
2013-09-13,22,50.98
2013-09-20,12,52.12
2013-09-27,16,51.29
2013-10-04,21,50.57
2013-10-11,24,51.78
2013-10-18,21,53.95
2013-10-25,22,51
2013-11-01,19,52
2013-11-08,30,52.26
2013-11-15,21,52.39
2013-11-22,26,52.4
2013-11-29,15,53.3
2013-12-06,23,52.77
2013-12-13,23,53.02
2013-12-20,18,54
2013-12-27,15,54.5
2014-01-03,15,55.07
2014-01-10,20,55.41
2014-01-17,22,53.41
2014-01-24,20,53.88
2014-01-31,19,53.65
2014-02-07,22,55.25
2014-02-14,21,56.92
2014-02-21,26,56.71
2014-02-28,26,57.38
2014-03-07,22,59.28
2014-03-14,19,57.17
2014-03-21,20,57.76
2014-03-28,19,57.51
2014-04-04,19,58.39
2014-04-11,15,55.15
2014-04-25,19,55.53
