"Date","DNB","Price"
2010-06-11,40,71.84
2010-06-18,40,73.23
2010-06-25,37,70.48
2010-07-02,47,66.37
2010-07-09,82,67.46
2010-07-16,41,67.94
2010-07-23,35,70.34
2010-07-30,35,68.36
2010-08-06,35,68.96
2010-08-13,36,67.57
2010-08-20,38,67.97
2010-08-27,36,67.37
2010-09-03,36,68.79
2010-09-10,36,68.45
2010-09-17,37,69.65
2010-09-24,35,73.8
2010-10-01,37,74.65
2010-10-08,37,75.08
2010-10-15,37,76.03
2010-10-22,36,75.22
2010-10-29,37,74.41
2010-11-05,35,76.94
2010-11-12,35,76.54
2010-11-19,34,76.2
2010-11-26,37,75.29
2010-12-03,35,77.8
2010-12-10,37,79.06
2010-12-17,37,81.56
2010-12-31,36,82.09
2011-01-07,35,82.87
2011-01-14,36,84.38
2011-01-21,37,85.15
2011-01-28,36,84.12
2011-02-04,36,85.36
2011-02-11,38,85.57
2011-02-18,38,85.03
2011-02-25,36,80.8
2011-03-04,38,79.87
2011-03-11,37,79.57
2011-03-18,38,77.84
2011-03-25,39,79.28
2011-04-01,38,80.91
2011-04-08,40,80.73
2011-04-15,41,81.46
2011-04-29,36,82.18
2011-05-06,36,81.83
2011-05-13,38,81.68
2011-05-20,36,81.03
2011-05-27,38,79.62
2011-06-03,37,76.78
2011-06-10,38,75.74
2011-06-17,40,74.99
2011-06-24,41,74.25
2011-07-01,58,76.17
2011-07-08,74,76.04
2011-07-15,42,74.54
2011-07-22,35,74.46
2011-07-29,35,72.55
2011-08-05,34,70.3
2011-08-12,36,66.64
2011-08-19,35,62.32
2011-08-26,37,65.56
2011-09-02,37,63.66
2011-09-09,38,61.76
2011-09-16,38,66.59
2011-09-23,40,61.61
2011-09-30,39,61.26
2011-10-07,38,61.76
2011-10-14,37,63.87
2011-10-21,37,64.36
2011-10-28,36,68.02
2011-11-04,36,66.45
2011-11-11,40,67.91
2011-11-18,44,67.92
2011-11-25,45,65.14
2011-12-02,46,70.64
2011-12-09,44,71.72
2011-12-16,46,70.77
2011-12-23,44,74.75
2011-12-30,41,74.83
2012-01-06,43,75.9
2012-01-13,44,78.78
2012-01-20,43,81.4
2012-01-27,41,82.66
2012-02-03,41,84.97
2012-02-10,44,78.77
2012-02-17,43,78.71
2012-02-24,44,82.36
2012-03-02,46,82.61
2012-03-09,47,84.63
2012-03-16,49,85.72
2012-03-23,49,83.82
2012-03-30,51,84.73
2012-04-13,48,82.16
2012-04-20,49,79.05
2012-04-27,52,78.81
2012-05-04,48,76.43
2012-05-11,54,66.59
2012-05-18,49,68.24
2012-05-25,48,67.14
2012-06-01,49,65.65
2012-06-08,52,66.98
2012-06-15,52,67.39
2012-06-22,53,68.44
2012-06-29,61,71.17
2012-07-06,60,70.61
2012-07-13,86,70.45
2012-07-20,48,71.07
2012-07-27,47,72.25
2012-08-03,47,74.49
2012-08-10,48,79.02
2012-08-17,50,82.14
2012-08-24,50,82.33
2012-08-31,49,80.95
2012-09-07,51,82.25
2012-09-14,52,84.16
2012-09-21,53,82.55
2012-09-28,56,79.62
2012-10-05,63,82.95
2012-10-12,52,82.01
2012-10-19,51,80.84
2012-10-26,53,81.58
2012-11-02,48,81.98
2012-11-09,50,81.33
2012-11-16,52,74.98
2012-11-23,49,78.06
2012-11-30,48,79.18
2012-12-07,49,81.05
2012-12-14,48,80.5
2012-12-21,51,82.28
2012-12-28,42,78.27
2013-01-04,50,78.17
2013-01-11,52,80.62
2013-01-18,55,79.98
2013-01-25,49,79.9
2013-02-01,50,82.71
2013-02-08,50,84.49
2013-02-15,51,81.75
2013-02-22,50,81.38
2013-03-01,51,80.46
2013-03-08,49,79.96
2013-03-15,49,81.98
2013-03-22,52,80.82
2013-04-05,48,82.75
2013-04-12,51,86
2013-04-19,54,84.72
2013-04-26,51,87.89
2013-05-03,56,90
2013-05-10,53,92.46
2013-05-17,54,98.98
2013-05-24,55,97.59
2013-05-31,55,98.14
2013-06-07,52,99.24
2013-06-14,59,98.76
2013-06-21,58,95.69
2013-06-28,66,97.45
2013-07-05,62,99.22
2013-07-12,89,107.59
2013-07-19,55,107
2013-07-26,48,103.12
2013-08-02,48,107.04
2013-08-09,50,107.11
2013-08-16,54,102.28
2013-08-23,52,104.12
2013-08-30,54,99.48
2013-09-06,52,100.74
2013-09-13,51,104.86
2013-09-20,51,103.87
2013-09-27,58,104.17
2013-10-04,55,103.57
2013-10-11,52,104.51
2013-10-18,54,106.57
2013-10-25,51,108.45
2013-11-01,50,108.49
2013-11-08,51,111.45
2013-11-15,53,113.43
2013-11-22,49,116.56
2013-11-29,48,116.85
2013-12-06,48,119.44
2013-12-13,54,115.19
2013-12-20,54,120.61
2013-12-27,42,123.42
2014-01-03,55,121.95
2014-01-10,53,122.98
2014-01-17,53,118.97
2014-01-24,51,113.3
2014-01-31,52,110
2014-02-07,50,97.76
2014-02-14,52,97.26
2014-02-21,49,95.54
2014-02-28,48,99.21
2014-03-07,48,99.24
2014-03-14,49,98.19
2014-03-21,53,101.59
2014-03-28,50,99.37
2014-04-04,50,101.27
2014-04-11,52,98.21
2014-04-25,49,103.99
