"Date","Equity.Residential","Price"
2009-06-19,32,22.39
2009-06-26,26,22.27
2009-07-10,35,19.26
2009-07-17,33,20.03
2009-07-24,32,21.23
2009-07-31,46,24
2009-08-07,47,30.05
2009-08-14,32,27.28
2009-08-21,31,27.65
2009-08-28,34,27.8
2009-09-04,36,26.66
2009-09-11,25,29.15
2009-09-18,27,31.75
2009-09-25,24,30.24
2009-10-02,33,28.62
2009-10-09,27,30.21
2009-10-16,21,29.06
2009-10-23,18,28.97
2009-10-30,30,28.88
2009-11-06,34,28.85
2009-11-13,25,31.59
2009-11-20,23,31.95
2009-11-27,23,30.91
2009-12-04,33,33.04
2009-12-11,24,32.12
2009-12-18,21,32.61
2010-01-08,26,33.35
2010-01-15,24,33.37
2010-01-22,28,31.93
2010-01-29,30,32.05
2010-02-05,39,32.97
2010-02-12,25,33.2
2010-02-19,23,35.46
2010-02-26,25,36.08
2010-03-05,37,37.27
2010-03-12,22,38.07
2010-03-19,32,39.31
2010-03-26,30,39.35
2010-04-09,31,41.95
2010-04-16,25,41.11
2010-04-23,34,44.6
2010-04-30,29,45.27
2010-05-07,38,43.43
2010-05-14,28,45.62
2010-05-21,26,43.96
2010-05-28,28,45.13
2010-06-04,32,41.23
2010-06-11,28,44.55
2010-06-18,28,45.76
2010-06-25,26,44.56
2010-07-02,40,40.67
2010-07-09,33,44.05
2010-07-16,26,42.69
2010-07-23,32,45.15
2010-07-30,37,45.85
2010-08-06,32,45.85
2010-08-13,24,44.88
2010-08-20,27,44.85
2010-08-27,28,45.89
2010-09-03,35,48.86
2010-09-10,25,47.63
2010-09-17,26,48.87
2010-09-24,27,49.26
2010-10-01,39,47.82
2010-10-08,33,48.63
2010-10-15,23,49.95
2010-10-22,28,50.83
2010-10-29,33,48.63
2010-11-05,33,50.84
2010-11-12,21,49.31
2010-11-19,20,49.91
2010-11-26,14,50.01
2010-12-03,30,52
2010-12-10,23,51.56
2010-12-17,21,49.83
2010-12-31,24,51.95
2011-01-07,29,50.38
2011-01-14,22,50.91
2011-01-21,20,51.48
2011-01-28,23,52.89
2011-02-04,32,53.08
2011-02-11,23,54.55
2011-02-18,22,54.03
2011-02-25,22,53.36
2011-03-04,29,53.32
2011-03-11,19,54.55
2011-03-18,16,54.69
2011-03-25,30,54.45
2011-04-01,26,56.67
2011-04-08,25,55.57
2011-04-15,28,56.8
2011-04-29,27,59.74
2011-05-06,34,58.62
2011-05-13,23,59.16
2011-05-20,28,59.92
2011-05-27,24,60.6
2011-06-03,33,60.2
2011-06-10,26,59.21
2011-06-17,26,59.08
2011-06-24,24,58.36
2011-07-01,38,61.35
2011-07-08,25,62.83
2011-07-15,27,61.75
2011-07-22,21,63.68
2011-07-29,29,61.82
2011-08-05,31,55.66
2011-08-12,25,59.05
2011-08-19,23,56.49
2011-08-26,24,58.65
2011-09-02,28,59.71
2011-09-09,26,59.81
2011-09-16,20,57.8
2011-09-23,19,53.13
2011-09-30,24,51.87
2011-10-07,24,51.99
2011-10-14,22,55.32
2011-10-21,19,56.7
2011-10-28,21,58.75
2011-11-04,24,58.47
2011-11-11,21,59.03
2011-11-18,19,54.7
2011-11-25,12,52.63
2011-12-02,27,54.25
2011-12-09,23,54.4
2011-12-16,18,55.85
2011-12-23,13,57.47
2011-12-30,22,57.03
2012-01-06,23,55.69
2012-01-13,23,55
2012-01-20,23,55.77
2012-01-27,24,59.63
2012-02-03,31,60.25
2012-02-10,28,58.59
2012-02-17,15,58.51
2012-02-24,24,58.06
2012-03-02,33,57.66
2012-03-09,24,59.31
2012-03-16,20,59.97
2012-03-23,17,60.15
2012-03-30,18,62.62
2012-04-13,20,60.85
2012-04-20,22,62.11
2012-04-27,22,61.57
2012-05-04,32,62.69
2012-05-11,23,63.36
2012-05-18,21,60.35
2012-05-25,20,61.64
2012-06-01,26,59.6
2012-06-08,22,61.9
2012-06-15,21,61.93
2012-06-22,20,59.34
2012-06-29,26,62.36
2012-07-06,26,63.21
2012-07-13,22,64.76
2012-07-20,25,64.09
2012-07-27,24,62.98
2012-08-03,30,62.71
2012-08-10,20,60.2
2012-08-17,19,60.17
2012-08-24,21,60.82
2012-08-31,26,60.4
2012-09-07,25,60.56
2012-09-14,22,60.23
2012-09-21,17,57.43
2012-09-28,22,57.53
2012-10-05,25,56.88
2012-10-12,19,56.02
2012-10-19,16,57.13
2012-10-26,22,56.06
2012-11-02,25,59.1
2012-11-09,20,56.66
2012-11-16,18,54.31
2012-11-23,14,54.46
2012-11-30,37,55.51
2012-12-07,27,55.11
2012-12-14,16,55.49
2012-12-21,20,56.61
2012-12-28,15,55.9
2013-01-04,27,57.23
2013-01-11,23,58.15
2013-01-18,19,58.41
2013-01-25,18,58.09
2013-02-01,24,54.73
2013-02-08,22,55.44
2013-02-15,17,57.51
2013-02-22,21,57.21
2013-03-01,30,55.34
2013-03-08,27,54.93
2013-03-15,20,56.09
2013-03-22,22,54.66
2013-04-05,29,57.88
2013-04-12,20,59.09
2013-04-19,21,57.97
2013-04-26,23,56.61
2013-05-03,25,56.02
2013-05-10,24,57.71
2013-05-17,22,59.59
2013-05-24,19,60.3
2013-05-31,21,56.55
2013-06-07,26,56.69
2013-06-14,19,56.34
2013-06-21,18,54.73
2013-06-28,21,58.06
2013-07-05,26,57.36
2013-07-12,17,58.63
2013-07-19,17,58.74
2013-07-26,24,58.09
2013-08-02,27,54.95
2013-08-09,25,54.21
2013-08-16,19,50.67
2013-08-23,18,52.51
2013-08-30,18,51.89
2013-09-06,23,53.04
2013-09-13,20,54.59
2013-09-20,17,56.1
2013-09-27,16,54.55
2013-10-04,27,52.63
2013-10-11,17,53.72
2013-10-18,16,55.21
2013-10-25,16,54.91
2013-11-01,19,52.9
2013-11-08,16,51.7
2013-11-15,15,51.38
2013-11-22,13,50.83
2013-11-29,13,51.54
2013-12-06,24,53.16
2013-12-13,16,52.21
2013-12-20,16,51.96
2013-12-27,14,51.84
2014-01-03,24,52.43
2014-01-10,20,53.57
2014-01-17,16,53.84
2014-01-24,17,53.7
2014-01-31,24,55.38
2014-02-07,19,56.87
2014-02-14,17,58.58
2014-02-21,16,58.71
2014-02-28,24,58.47
2014-03-07,26,58.25
2014-03-14,16,58.07
2014-03-21,18,57.19
2014-03-28,19,57.39
2014-04-04,33,59.16
2014-04-11,21,57.73
2014-04-25,17,58.66
