"Date","SPLS","Price"
2009-03-06,22,14.81
2009-03-13,36,16.2
2009-03-20,30,17.01
2009-03-27,47,18.57
2009-04-03,40,19.42
2009-04-17,28,20.81
2009-04-24,27,21.91
2009-05-01,22,20.12
2009-05-08,21,19.9
2009-05-15,15,19.19
2009-05-22,24,19.37
2009-05-29,20,20.46
2009-06-05,41,20.23
2009-06-12,26,21.13
2009-06-19,30,20.33
2009-06-26,23,20.6
2009-07-10,30,19.39
2009-07-17,28,20.47
2009-07-24,30,21.54
2009-07-31,17,21.02
2009-08-07,21,22.95
2009-08-14,17,21.83
2009-08-21,15,22.49
2009-08-28,28,21.98
2009-09-04,28,21.41
2009-09-11,19,22.3
2009-09-18,18,23.29
2009-09-25,20,22.79
2009-10-02,15,22.54
2009-10-09,15,23.14
2009-10-16,15,23.21
2009-10-23,24,22.6
2009-10-30,13,21.7
2009-11-06,13,22.23
2009-11-13,17,22.41
2009-11-20,22,22.72
2009-11-27,26,23.32
2009-12-04,30,24.36
2009-12-11,16,24.46
2009-12-18,20,24.59
2010-01-08,19,25.47
2010-01-15,21,25.11
2010-01-22,15,24.11
2010-01-29,16,23.46
2010-02-05,20,23.47
2010-02-12,16,24.18
2010-02-19,16,25.68
2010-02-26,19,25.76
2010-03-05,22,23.29
2010-03-12,27,23.42
2010-03-19,20,23.75
2010-03-26,23,23.77
2010-04-09,15,24.3
2010-04-16,19,24.26
2010-04-23,17,24.61
2010-04-30,15,23.54
2010-05-07,15,21.66
2010-05-14,21,22.12
2010-05-21,18,21.52
2010-05-28,15,21.52
2010-06-04,18,21.14
2010-06-11,12,21.73
2010-06-18,13,21.98
2010-06-25,13,20.09
2010-07-02,13,19.19
2010-07-09,13,19.67
2010-07-16,18,19.31
2010-07-23,14,20
2010-07-30,20,20.33
2010-08-06,13,20.17
2010-08-13,16,19.11
2010-08-20,14,18.93
2010-08-27,24,18.04
2010-09-03,17,19.14
2010-09-10,18,19.44
2010-09-17,18,19.49
2010-09-24,18,20.59
2010-10-01,10,20.72
2010-10-08,14,20.58
2010-10-15,16,20.81
2010-10-22,13,20.6
2010-10-29,16,20.52
2010-11-05,14,20.79
2010-11-12,19,20.28
2010-11-19,23,21.43
2010-11-26,12,22
2010-12-03,11,22.65
2010-12-10,13,22.15
2010-12-17,14,22.53
2010-12-31,12,22.77
2011-01-07,19,23.44
2011-01-14,11,23.39
2011-01-21,15,23.37
2011-01-28,19,22.32
2011-02-04,11,22.57
2011-02-11,18,22.25
2011-02-18,10,21.48
2011-02-25,10,20.94
2011-03-04,23,20.43
2011-03-11,17,20.28
2011-03-18,19,19.9
2011-03-25,14,20.02
2011-04-01,17,20.06
2011-04-08,17,20.25
2011-04-15,14,19.98
2011-04-29,17,21.14
2011-05-06,15,20.89
2011-05-13,10,20.25
2011-05-20,27,16.37
2011-05-27,20,16.56
2011-06-03,17,15.82
2011-06-10,15,14.79
2011-06-17,20,15.35
2011-06-24,24,15.31
2011-07-01,19,15.92
2011-07-08,13,15.57
2011-07-15,17,15.2
2011-07-22,28,15.74
2011-07-29,21,16.06
2011-08-05,28,14.34
2011-08-12,47,13.48
2011-08-19,42,13.54
2011-08-26,30,14.48
2011-09-02,15,13.81
2011-09-09,14,13.57
2011-09-16,24,14.85
2011-09-23,22,13.22
2011-09-30,19,13.3
2011-10-07,22,14.21
2011-10-14,17,14.87
2011-10-21,23,14.89
2011-10-28,21,14.84
2011-11-04,13,14.87
2011-11-11,23,15.43
2011-11-18,25,14.1
2011-11-25,10,13.68
2011-12-02,17,14.33
2011-12-09,17,14.67
2011-12-16,17,14.08
2011-12-23,13,14.18
2011-12-30,17,13.89
2012-01-06,29,14.51
2012-01-13,28,14.89
2012-01-20,27,16
2012-01-27,33,16.01
2012-02-03,19,14.77
2012-02-10,16,14.76
2012-02-17,17,15.15
2012-02-24,16,15.28
2012-03-02,43,15.36
2012-03-09,23,15.4
2012-03-16,16,16.42
2012-03-23,25,16.58
2012-03-30,21,16.19
2012-04-13,20,15.53
2012-04-20,20,15.66
2012-04-27,19,15.76
2012-05-04,18,14.86
2012-05-11,15,14.92
2012-05-18,22,13.07
2012-05-25,13,13.41
2012-06-01,17,12.76
2012-06-08,17,12.86
2012-06-15,11,12.67
2012-06-22,17,12.75
2012-06-29,20,13.05
2012-07-06,16,13.22
2012-07-13,20,12.41
2012-07-20,24,12.47
2012-07-27,19,12.47
2012-08-03,26,12.93
2012-08-10,26,13.41
2012-08-17,43,11.34
2012-08-24,27,10.85
2012-08-31,27,10.92
2012-09-07,23,11.64
2012-09-14,34,12.21
2012-09-21,26,12.36
2012-09-28,36,11.52
2012-10-05,24,11.63
2012-10-12,23,11.1
2012-10-19,20,11.23
2012-10-26,18,11.44
2012-11-02,18,11.47
2012-11-09,18,11.15
2012-11-16,26,11.73
2012-11-23,15,11.91
2012-11-30,18,11.7
2012-12-07,21,11.4
2012-12-14,21,11.69
2012-12-21,18,11.53
2012-12-28,11,11.1
2013-01-04,20,11.76
2013-01-11,21,11.98
2013-01-18,24,13
2013-01-25,28,12.97
2013-02-01,31,13.51
2013-02-08,20,12.98
2013-02-15,19,12.95
2013-02-22,36,13.27
2013-03-01,24,12.99
2013-03-08,42,12.96
2013-03-15,30,13.4
2013-03-22,24,13.53
2013-04-05,20,13.1
2013-04-12,20,13.7
2013-04-19,19,12.94
2013-04-26,20,12.82
2013-05-03,23,13.52
2013-05-10,26,14.07
2013-05-17,24,14.51
2013-05-24,33,14.94
2013-05-31,25,15.01
2013-06-07,16,15.48
2013-06-14,25,16.04
2013-06-21,37,15.59
2013-06-28,24,15.87
2013-07-05,24,15.98
2013-07-12,37,16.73
2013-07-19,34,16.47
2013-07-26,28,16.54
2013-08-02,26,17
2013-08-09,32,16.95
2013-08-16,25,16.84
2013-08-23,40,14.2
2013-08-30,26,13.91
2013-09-06,17,14.07
2013-09-13,14,14.43
2013-09-20,20,14.81
2013-09-27,18,14.59
2013-10-04,17,14.8
2013-10-11,21,14.92
2013-10-18,24,15.91
2013-10-25,21,16.01
2013-11-01,23,16.18
2013-11-08,22,15.73
2013-11-15,23,15.57
2013-11-22,26,15.48
2013-11-29,13,15.53
2013-12-06,20,15.96
2013-12-13,26,15.43
2013-12-20,19,15.73
2013-12-27,12,15.79
2014-01-03,17,15.79
2014-01-10,29,14.97
2014-01-17,28,13.61
2014-01-24,22,13.52
2014-01-31,22,13.16
2014-02-07,19,13.07
2014-02-14,22,13.03
2014-02-21,20,13.09
2014-02-28,21,13.59
2014-03-07,58,11.48
2014-03-14,33,11.3
2014-03-21,21,11.45
2014-03-28,25,11.37
2014-04-04,25,12.16
2014-04-11,25,11.83
2014-04-25,14,12.29
