"Date","Noble.Corp","Price"
2012-01-06,26,30.29
2012-01-13,36,31.9
2012-01-20,29,34.69
2012-01-27,34,35.38
2012-02-03,31,36.9
2012-02-10,49,38.95
2012-02-17,42,38.36
2012-02-24,38,38.94
2012-03-02,38,40.29
2012-03-09,32,39.19
2012-03-16,33,41.25
2012-03-23,29,38.36
2012-03-30,31,37.47
2012-04-13,32,35.75
2012-04-20,33,37.67
2012-04-27,26,37.94
2012-05-04,41,36.57
2012-05-11,26,34.38
2012-05-18,32,32.23
2012-05-25,37,33.75
2012-06-01,35,30.59
2012-06-08,31,31.88
2012-06-15,31,31.57
2012-06-22,31,30.18
2012-06-29,35,32.53
2012-07-06,36,33.13
2012-07-13,37,34.48
2012-07-20,51,36.96
2012-07-27,36,37.61
2012-08-03,22,37.91
2012-08-10,25,38.39
2012-08-17,34,38.56
2012-08-24,36,38.45
2012-08-31,22,38.14
2012-09-07,30,37.02
2012-09-14,23,38.52
2012-09-21,38,37.74
2012-09-28,25,35.78
2012-10-05,27,35.17
2012-10-12,40,36
2012-10-19,32,39.81
2012-10-26,32,38.09
2012-11-02,24,37.13
2012-11-09,22,35.24
2012-11-16,32,33.51
2012-11-23,30,34.44
2012-11-30,34,34.49
2012-12-07,33,34.85
2012-12-14,33,33.87
2012-12-21,24,35.87
2012-12-28,30,34.05
2013-01-04,54,37.34
2013-01-11,33,36.42
2013-01-18,42,39.87
2013-01-25,42,38.23
2013-02-01,54,41.42
2013-02-08,43,39.76
2013-02-15,20,39.11
2013-02-22,32,37.23
2013-03-01,23,35.37
2013-03-08,39,35.85
2013-03-15,24,37.82
2013-03-22,18,36.63
2013-04-05,32,37.7
2013-04-12,33,36.7
2013-04-19,46,36.02
2013-04-26,41,37.11
2013-05-03,25,38.86
2013-05-10,32,40.03
2013-05-17,25,40.66
2013-05-24,25,40.61
2013-05-31,18,38.75
2013-06-07,25,39.23
2013-06-14,34,37.55
2013-06-21,41,37.17
2013-06-28,37,37.58
2013-07-05,18,38.6
2013-07-12,29,40.25
2013-07-19,33,41.14
2013-07-26,36,38.58
2013-08-02,30,39.76
2013-08-09,33,39.92
2013-08-16,18,38.66
2013-08-23,36,38.81
2013-08-30,26,37.2
2013-09-06,33,39
2013-09-13,22,38.8
2013-09-20,25,38.25
2013-09-27,42,37.6
2013-10-04,35,38.7
2013-10-11,22,37.7
2013-10-18,39,37.98
2013-10-25,38,38.08
2013-11-01,33,37.15
2013-11-08,28,39.56
2013-11-15,28,39.74
2013-11-22,21,39.56
2013-11-29,31,38.12
2013-12-06,24,37.85
2013-12-13,23,36.55
2013-12-20,33,36.32
2013-12-27,22,36.97
2014-01-03,40,36.72
2014-01-10,29,36.51
2014-01-17,22,35.39
2014-01-24,57,32.94
2014-01-31,42,31.03
2014-02-07,37,30.7
2014-02-14,23,31.16
2014-02-21,29,31.16
2014-02-28,23,31.05
2014-03-07,35,31.68
2014-03-14,42,29.08
2014-03-21,37,31.62
2014-03-28,41,32.47
2014-04-04,45,31.3
2014-04-11,33,29.7
2014-04-25,31,31.49
