"Date","SYK","Price"
2006-11-24,62,52.2
2006-12-01,57,52.43
2006-12-08,60,53.61
2006-12-15,63,54.87
2006-12-22,62,54.83
2006-12-29,86,55.11
2007-01-05,62,55.83
2007-01-12,80,58.77
2007-01-19,69,58.95
2007-01-26,89,60.81
2007-02-02,81,62.41
2007-02-09,61,62.11
2007-02-16,52,62.05
2007-02-23,85,64.13
2007-03-02,100,61
2007-03-09,62,63.08
2007-03-16,84,65.22
2007-03-23,68,65.26
2007-03-30,82,66.32
2007-04-13,79,67.96
2007-04-20,80,66.82
2007-04-27,88,65.42
2007-05-04,59,65.86
2007-05-11,84,64.54
2007-05-18,72,67.36
2007-05-25,97,66.97
2007-06-01,62,67.14
2007-06-08,83,65.27
2007-06-15,79,66.36
2007-06-22,84,63.53
2007-06-29,70,63.09
2007-07-06,64,65.31
2007-07-13,65,66.6
2007-07-20,92,67.16
2007-07-27,77,63
2007-08-03,53,62.43
2007-08-10,70,66.08
2007-08-17,65,67.27
2007-08-24,92,67.19
2007-08-31,81,66.8
2007-09-07,84,67.28
2007-09-14,66,70.09
2007-09-21,59,68.01
2007-09-28,69,68.76
2007-10-05,65,73.14
2007-10-12,68,73.92
2007-10-19,71,71.88
2007-10-26,92,70.95
2007-11-02,81,69.53
2007-11-09,70,70.04
2007-11-16,71,69.87
2007-11-23,82,70.64
2007-11-30,68,72.63
2007-12-07,58,74.67
2007-12-14,74,74.27
2007-12-21,91,76.21
2007-12-28,74,75.73
2008-01-04,77,72.26
2008-01-11,63,72.1
2008-01-18,92,65.86
2008-01-25,64,66.42
2008-02-01,81,67.88
2008-02-08,69,67.95
2008-02-15,70,68.31
2008-02-22,61,66.82
2008-02-29,62,65.11
2008-03-07,63,62.72
2008-03-14,70,60.78
2008-03-28,73,64.75
2008-04-04,65,65.89
2008-04-11,54,64.06
2008-04-18,78,65.3
2008-04-25,68,64.42
2008-05-02,67,63.66
2008-05-09,51,64.48
2008-05-16,69,63.24
2008-05-23,58,62.12
2008-05-30,76,64.55
2008-06-06,66,63.94
2008-06-13,81,64.51
2008-06-20,69,62.58
2008-06-27,56,62.26
2008-07-11,46,65.64
2008-07-18,58,65.45
2008-07-25,61,64.89
2008-08-01,51,62.98
2008-08-08,69,67.19
2008-08-15,66,66.89
2008-08-22,37,68.27
2008-08-29,67,67.19
2008-09-05,58,65.08
2008-09-12,60,63.99
2008-09-19,50,63.8
2008-09-26,62,64.31
2008-10-03,69,60.87
2008-10-10,63,51.12
2008-10-17,65,52.19
2008-10-24,47,47.62
2008-10-31,67,53.46
2008-11-07,47,50.9
2008-11-14,57,44.59
2008-11-21,67,37.39
2008-11-28,58,38.92
2008-12-05,51,38.9
2008-12-12,45,40
2008-12-19,56,39.02
2008-12-26,45,39.82
2009-01-02,55,41.31
2009-01-09,65,40.96
2009-01-16,56,41.02
2009-01-23,65,39.44
2009-01-30,73,42.24
2009-02-06,61,42.98
2009-02-13,63,43.19
2009-02-20,55,40.03
2009-02-27,62,33.67
2009-03-06,61,32.01
2009-03-13,63,33.81
2009-03-20,63,31.53
2009-03-27,77,34.35
2009-04-03,65,33.29
2009-04-17,51,37.94
2009-04-24,47,38.53
2009-05-01,60,38.25
2009-05-08,39,41.55
2009-05-15,55,38.99
2009-05-22,48,38.24
2009-05-29,58,38.44
2009-06-05,52,40.48
2009-06-12,57,40.8
2009-06-19,45,40.32
2009-06-26,41,40.85
2009-07-10,48,37.47
2009-07-17,38,39.37
2009-07-24,46,39.56
2009-07-31,48,38.88
2009-08-07,57,40.21
2009-08-14,51,40.16
2009-08-21,54,41.76
2009-08-28,58,41.09
2009-09-04,68,43.47
2009-09-11,61,46.02
2009-09-18,49,47.16
2009-09-25,53,45.17
2009-10-02,48,43.93
2009-10-09,42,45.52
2009-10-16,53,45.36
2009-10-23,48,48.03
2009-10-30,55,46
2009-11-06,59,47.43
2009-11-13,56,49.16
2009-11-20,53,48.73
2009-11-27,56,49.69
2009-12-04,53,51.81
2009-12-11,40,51.26
2009-12-18,55,50.5
2010-01-08,39,55.42
2010-01-15,52,56.03
2010-01-22,50,54.04
2010-01-29,46,51.92
2010-02-05,45,51.06
2010-02-12,53,52.06
2010-02-19,59,53.16
2010-02-26,52,53.1
2010-03-05,47,55.04
2010-03-12,42,55.23
2010-03-19,54,56.64
2010-03-26,53,56.71
2010-04-09,43,57.64
2010-04-16,50,57.24
2010-04-23,48,58.89
2010-04-30,39,57.44
2010-05-07,46,54.12
2010-05-14,40,56.46
2010-05-21,46,52.7
2010-05-28,45,53.03
2010-06-04,51,51.97
2010-06-11,41,50.59
2010-06-18,44,51.82
2010-06-25,44,50.1
2010-07-02,32,49.88
2010-07-09,31,52.38
2010-07-16,40,51.2
2010-07-23,42,47.83
2010-07-30,34,46.57
2010-08-06,55,47.97
2010-08-13,46,46.57
2010-08-20,49,45.81
2010-08-27,45,44
2010-09-03,55,46.09
2010-09-10,51,46.67
2010-09-17,46,48.03
2010-09-24,45,49.7
2010-10-01,48,50.01
2010-10-08,41,49.68
2010-10-15,43,49.04
2010-10-22,49,50.59
2010-10-29,40,49.49
2010-11-05,44,52.43
2010-11-12,51,51.59
2010-11-19,43,51.64
2010-11-26,42,51.46
2010-12-03,38,52.11
2010-12-10,40,53
2010-12-17,37,54.53
2010-12-31,38,53.7
2011-01-07,44,54.32
2011-01-14,50,57.82
2011-01-21,49,57.65
2011-01-28,57,57.2
2011-02-04,45,58.51
2011-02-11,42,60.22
2011-02-18,48,63
2011-02-25,40,63.06
2011-03-04,42,63.67
2011-03-11,41,63.02
2011-03-18,47,61.52
2011-03-25,45,61.12
2011-04-01,45,60.9
2011-04-08,40,59.71
2011-04-15,38,60.7
2011-04-29,47,59
2011-05-06,52,59.69
2011-05-13,51,63.28
2011-05-20,45,63.42
2011-05-27,46,62.16
2011-06-03,44,60.2
2011-06-10,41,58.17
2011-06-17,38,57.71
2011-06-24,38,57.38
2011-07-01,36,60.28
2011-07-08,41,60.14
2011-07-15,33,58.43
2011-07-22,40,56.88
2011-07-29,34,54.34
2011-08-05,40,50.04
2011-08-12,44,48.54
2011-08-19,43,43.8
2011-08-26,41,46.17
2011-09-02,45,47.27
2011-09-09,43,46.88
2011-09-16,45,49.34
2011-09-23,48,46.16
2011-09-30,45,47.13
2011-10-07,37,47.88
2011-10-14,41,50.02
2011-10-21,40,49.17
2011-10-28,43,49.92
2011-11-04,40,48.56
2011-11-11,47,49.48
2011-11-18,43,47.81
2011-11-25,41,45.52
2011-12-02,45,47.62
2011-12-09,43,47.85
2011-12-16,39,46.21
2011-12-23,42,50.01
2011-12-30,39,49.71
2012-01-06,45,51.5
2012-01-13,43,51.73
2012-01-20,45,53.14
2012-01-27,48,54.9
2012-02-03,50,55.61
2012-02-10,46,53.54
2012-02-17,57,53.6
2012-02-24,43,54.78
2012-03-02,53,53.21
2012-03-09,52,52.9
2012-03-16,48,54.9
2012-03-23,37,54.44
2012-03-30,44,55.48
2012-04-13,42,53.96
2012-04-20,41,53.93
2012-04-27,36,54.56
2012-05-04,42,53.87
2012-05-11,40,53.18
2012-05-18,40,50.26
2012-05-25,43,51.85
2012-06-01,42,50.01
2012-06-08,33,51.31
2012-06-15,48,54.15
2012-06-22,31,54.57
2012-06-29,44,55.1
2012-07-06,34,53.54
2012-07-13,31,53.05
2012-07-20,36,51.38
2012-07-27,39,52.41
2012-08-03,37,52.75
2012-08-10,43,53.06
2012-08-17,38,54.36
2012-08-24,58,53.74
2012-08-31,47,53.26
2012-09-07,47,54.15
2012-09-14,46,56.01
2012-09-21,52,56.29
2012-09-28,51,55.66
2012-10-05,48,54.81
2012-10-12,43,52.3
2012-10-19,47,52.64
2012-10-26,44,52.19
2012-11-02,50,52.64
2012-11-09,53,52.53
2012-11-16,48,52.1
2012-11-23,49,54.52
2012-11-30,45,54.16
2012-12-07,55,54.57
2012-12-14,51,55.78
2012-12-21,48,55.87
2012-12-28,46,54.45
2013-01-04,58,56.73
2013-01-11,59,58.84
2013-01-18,49,61.55
2013-01-25,61,63.55
2013-02-01,54,63.04
2013-02-08,56,63.78
2013-02-15,57,63.85
2013-02-22,60,62.7
2013-03-01,57,64.9
2013-03-08,60,65.72
2013-03-15,52,65.93
2013-03-22,58,64.57
2013-04-05,50,65
2013-04-12,52,66.5
2013-04-19,54,64.68
2013-04-26,62,65.06
2013-05-03,60,66.33
2013-05-10,54,68.21
2013-05-17,62,68.9
2013-05-24,60,66.99
2013-05-31,61,66.39
2013-06-07,57,67.15
2013-06-14,58,67.21
2013-06-21,54,65.6
2013-06-28,48,64.68
2013-07-05,55,65.23
2013-07-12,55,67.43
2013-07-19,52,70.88
2013-07-26,47,70.94
2013-08-02,49,71.27
2013-08-09,59,71.01
2013-08-16,57,67.97
2013-08-23,57,68.29
2013-08-30,55,66.89
2013-09-06,61,68.93
2013-09-13,63,70.12
2013-09-20,64,71.28
2013-09-27,62,67.65
2013-10-04,63,67.7
2013-10-11,61,70.22
2013-10-18,60,73.46
2013-10-25,59,74.61
2013-11-01,69,74.03
2013-11-08,54,73.33
2013-11-15,64,74.21
2013-11-22,62,74.28
2013-11-29,60,74.42
2013-12-06,57,74.52
2013-12-13,64,71.56
2013-12-20,63,74.72
2013-12-27,59,75.06
2014-01-03,62,74.84
2014-01-10,56,78.15
2014-01-17,69,78.2
2014-01-24,65,76.13
2014-01-31,66,77.6
2014-02-07,59,79.43
2014-02-14,69,83.35
2014-02-21,68,82.1
2014-02-28,66,80.24
2014-03-07,61,81.64
2014-03-14,68,80.27
2014-03-21,66,80.86
2014-03-28,63,80.54
2014-04-04,72,82.6
2014-04-11,65,79.36
2014-04-25,62,76.72
