"Date","sell.EL","Price"
2010-05-14,54,61.04
2010-05-21,41,58.9
2010-05-28,64,58.27
2010-06-04,34,55.34
2010-06-11,35,57.86
2010-06-18,50,59.94
2010-06-25,42,56.23
2010-07-02,44,57.39
2010-07-09,38,62.19
2010-07-16,70,63.47
2010-07-23,51,62.67
2010-07-30,67,62.25
2010-08-06,53,63.46
2010-08-13,43,57.82
2010-08-20,41,57.39
2010-08-27,35,57.36
2010-09-03,51,59.12
2010-09-10,55,58.64
2010-09-17,36,58.87
2010-09-24,44,61.41
2010-10-01,40,63.29
2010-10-08,54,65.66
2010-10-15,35,67.23
2010-10-22,48,66.26
2010-10-29,37,71.17
2010-11-05,41,72.16
2010-11-12,54,71.78
2010-11-19,56,75.37
2010-11-26,27,75.79
2010-12-03,47,77.33
2010-12-10,50,78.09
2010-12-17,41,79.3
2010-12-31,51,80.7
2011-01-07,56,80.62
2011-01-14,66,83.99
2011-01-21,56,83.74
2011-01-28,42,80.08
2011-02-04,62,93
2011-02-11,40,94.15
2011-02-18,60,94.48
2011-02-25,43,92.99
2011-03-04,48,92.4
2011-03-11,46,92.87
2011-03-18,33,89.35
2011-03-25,49,94.47
2011-04-01,36,95.93
2011-04-08,58,95.06
2011-04-15,56,96.38
2011-04-29,64,97
2011-05-06,62,98.06
2011-05-13,62,100.17
2011-05-20,56,100.65
2011-05-27,53,100.42
2011-06-03,77,98.09
2011-06-10,52,96.08
2011-06-17,45,97.32
2011-06-24,45,100.85
2011-07-01,45,105.08
2011-07-08,44,105.89
2011-07-15,44,105.16
2011-07-22,57,107.23
2011-07-29,72,104.91
2011-08-05,57,95.47
2011-08-12,62,100.85
2011-08-19,72,88.57
2011-08-26,57,95.91
2011-09-02,49,96.03
2011-09-09,51,94.39
2011-09-16,45,101.7
2011-09-23,54,95.14
2011-09-30,42,87.84
2011-10-07,48,91.67
2011-10-14,56,97.97
2011-10-21,45,96.96
2011-10-28,45,101.41
2011-11-04,54,117.94
2011-11-11,42,115.06
2011-11-18,51,112.53
2011-11-25,43,107.23
2011-12-02,45,116.08
2011-12-09,39,109.25
2011-12-16,67,108.12
2011-12-23,52,113.43
2011-12-30,41,112.32
2012-01-06,49,111.5
2012-01-13,59,112.16
2012-01-20,47,116.03
2012-01-27,54,57.98
2012-02-03,51,57.48
2012-02-10,47,56.9
2012-02-17,54,56.04
2012-02-24,53,56.84
2012-03-02,45,58.35
2012-03-09,50,59.07
2012-03-16,30,63.67
2012-03-23,33,62.25
2012-03-30,55,61.94
2012-04-13,59,62.96
2012-04-20,57,64.03
2012-04-27,51,65.23
2012-05-04,41,60.72
2012-05-11,64,58.16
2012-05-18,55,54.54
2012-05-25,58,54.96
2012-06-01,52,52.43
2012-06-08,63,55.01
2012-06-15,50,55.07
2012-06-22,44,54.92
2012-06-29,49,54.12
2012-07-06,53,54.65
2012-07-13,52,51.63
2012-07-20,71,53.21
2012-07-27,76,54.7
2012-08-03,48,53.09
2012-08-10,45,55.62
2012-08-17,54,61.61
2012-08-24,45,60.1
2012-08-31,65,59.95
2012-09-07,56,61
2012-09-14,68,61.23
2012-09-21,58,61.82
2012-09-28,51,61.57
2012-10-05,35,64
2012-10-12,61,63.01
2012-10-19,54,62.93
2012-10-26,47,60.79
2012-11-02,63,60.03
2012-11-09,52,57.49
2012-11-16,54,56.62
2012-11-23,70,59.62
2012-11-30,57,58.25
2012-12-07,51,60.67
2012-12-14,45,60.93
2012-12-21,53,59.82
2012-12-28,57,57.93
2013-01-04,54,62.69
2013-01-11,58,64.13
2013-01-18,57,62.85
2013-01-25,49,63.25
2013-02-01,60,62.72
2013-02-08,49,62.75
2013-02-15,45,63.11
2013-02-22,48,63.31
2013-03-01,40,64.47
2013-03-08,51,65.7
2013-03-15,66,63.34
2013-03-22,47,63.89
2013-04-05,41,63.17
2013-04-12,51,68.24
2013-04-19,44,69.67
2013-04-26,48,68.88
2013-05-03,58,71.23
2013-05-10,47,71.05
2013-05-17,53,70.85
2013-05-24,63,70.95
2013-05-31,67,67.78
2013-06-07,45,68.12
2013-06-14,63,68.41
2013-06-21,57,65.79
2013-06-28,60,65.77
2013-07-05,74,67.93
2013-07-12,61,68.46
2013-07-19,52,67.57
2013-07-26,46,66.2
2013-08-02,54,66.89
2013-08-09,54,66.59
2013-08-16,61,67.25
2013-08-23,63,68.15
2013-08-30,58,65.36
2013-09-06,46,67.58
2013-09-13,59,70.8
2013-09-20,40,71.75
2013-09-27,54,70.42
2013-10-04,48,69.98
2013-10-11,46,71.01
2013-10-18,57,72.05
2013-10-25,57,71.51
2013-11-01,61,69.94
2013-11-08,47,70.96
2013-11-15,61,73.67
2013-11-22,38,75.01
2013-11-29,63,74.96
2013-12-06,52,73.71
2013-12-13,51,72.64
2013-12-20,54,74.35
2013-12-27,34,74.45
2014-01-03,59,73.65
2014-01-10,51,74.05
2014-01-17,54,72.57
2014-01-24,54,68.79
2014-01-31,57,68.74
2014-02-07,52,66.5
2014-02-14,52,67.98
2014-02-21,50,67.65
2014-02-28,51,68.84
2014-03-07,61,70.02
2014-03-14,50,69.3
2014-03-21,51,68.37
2014-03-28,49,66.73
2014-04-04,68,66.98
2014-04-11,45,68.18
2014-04-25,51,72.2
