"Date","Kimco.Realty","Price"
2009-05-01,29,11.15
2009-05-08,29,12.09
2009-05-15,29,10.06
2009-05-22,29,11
2009-05-29,29,11.69
2009-06-05,34,12.4
2009-06-12,38,11.35
2009-06-19,43,10.17
2009-06-26,24,9.97
2009-07-10,37,8.61
2009-07-17,32,8.22
2009-07-24,25,9.16
2009-07-31,27,9.84
2009-08-07,30,12.03
2009-08-14,25,11.16
2009-08-21,26,12.05
2009-08-28,27,12.69
2009-09-04,28,11.69
2009-09-11,32,13.04
2009-09-18,36,14.94
2009-09-25,22,13.02
2009-10-02,27,11.73
2009-10-09,31,12.7
2009-10-16,35,13.16
2009-10-23,23,13.66
2009-10-30,25,12.64
2009-11-06,31,11.95
2009-11-13,23,12.45
2009-11-20,29,12.4
2009-11-27,29,11.85
2009-12-04,29,13.59
2009-12-11,23,12.5
2009-12-18,25,12.83
2010-01-08,20,13.93
2010-01-15,31,13.62
2010-01-22,25,13.04
2010-01-29,28,12.62
2010-02-05,34,12.97
2010-02-12,34,12.82
2010-02-19,23,13.71
2010-02-26,24,13.89
2010-03-05,30,14.61
2010-03-12,36,15.12
2010-03-19,21,15.57
2010-03-26,21,16.1
2010-04-09,28,16.4
2010-04-16,23,15.13
2010-04-23,19,15.75
2010-04-30,25,15.59
2010-05-07,37,15.01
2010-05-14,39,15.73
2010-05-21,23,14.28
2010-05-28,29,14.3
2010-06-04,24,13.31
2010-06-11,30,14.54
2010-06-18,35,15.17
2010-06-25,25,14.69
2010-07-02,39,13.03
2010-07-09,18,13.6
2010-07-16,18,13.37
2010-07-23,32,14.73
2010-07-30,24,15.07
2010-08-06,18,15.06
2010-08-13,18,14.58
2010-08-20,18,14.38
2010-08-27,20,14.95
2010-09-03,21,15.85
2010-10-22,19,17.33
2010-10-29,21,17.21
2010-11-05,18,18.08
2010-11-12,19,16.94
2010-11-19,21,16.37
2010-11-26,17,16.62
2010-12-03,17,17.28
2010-12-10,17,17.15
2010-12-17,17,16.91
2010-12-31,23,18.04
2011-01-07,25,18.07
2011-01-14,28,18.08
2011-01-21,22,17.71
2011-01-28,22,17.83
2011-02-04,22,18.38
2011-02-11,14,18.56
2011-02-18,14,18.79
2011-02-25,24,18.88
2011-03-04,15,18.19
2011-03-11,20,18.05
2011-03-18,14,17.68
2011-03-25,24,17.75
2011-04-01,17,17.91
2011-04-08,17,17.54
2011-04-15,24,18.05
2011-04-29,18,19.54
2011-05-06,17,19.07
2011-05-13,17,18.98
2011-05-20,17,18.98
2011-05-27,17,19.16
2011-06-03,17,18.68
2011-06-10,14,17.23
2011-06-17,14,17.73
2011-06-24,15,18.08
2011-07-01,16,18.73
2011-07-08,19,19.5
2011-07-15,22,19.35
2011-07-22,25,20.3
2011-09-16,14,16.93
2011-09-23,14,15.22
2011-09-30,17,15.03
2011-10-07,13,14.58
2011-10-14,13,15.49
2011-10-21,18,16.32
2011-10-28,16,17.9
2011-11-04,20,17.32
2011-11-11,23,16.3
2011-11-18,15,15.76
2011-11-25,12,14.72
2011-12-02,12,15.59
2011-12-09,16,16.04
2011-12-16,13,16.13
2011-12-23,13,16.9
2011-12-30,16,16.24
2012-01-06,19,16.45
2012-01-13,26,17.22
2012-01-20,20,18.12
2012-01-27,23,18.36
2012-02-03,11,18.89
2012-02-10,16,18.39
2012-02-17,17,18.77
2012-02-24,16,18.7
2012-03-02,20,18.77
2012-03-09,12,18.17
2012-03-16,20,19.61
2012-03-23,14,19.2
2012-03-30,12,19.26
2012-04-13,20,18.11
2012-04-20,18,18.8
2012-04-27,18,19.35
2012-05-04,16,19.49
2012-05-11,13,19.61
2012-05-18,16,17.79
2012-05-25,14,18.09
2012-06-01,16,17.45
2012-06-08,12,18.45
2012-06-15,13,18.63
2012-06-22,14,18.44
2012-06-29,17,19.03
2012-07-06,12,19.25
2012-07-13,14,19.28
2012-07-20,21,19.05
2012-07-27,12,19.28
2012-08-03,23,19.94
2012-08-10,22,19.56
2012-08-17,17,20.31
2012-08-24,18,20.32
2012-08-31,18,20.32
2012-09-07,14,20.48
2012-09-14,17,21.03
2012-09-21,16,20.63
2012-09-28,20,20.27
2012-10-05,26,20.25
2012-10-12,21,20.27
2012-10-19,16,20.58
2012-10-26,18,19.63
2012-11-02,13,19.59
2012-11-09,16,18.94
2012-11-16,10,18.56
2012-11-23,11,19.17
2012-11-30,11,19.26
2012-12-07,12,19.6
2012-12-14,15,19.29
2012-12-21,13,19.45
2012-12-28,13,19.05
2013-01-04,13,19.8
2013-01-11,24,19.8
2013-01-18,12,19.87
2013-01-25,15,20.7
2013-02-01,18,21.05
2013-02-08,21,21.55
2013-02-15,12,21.71
2013-02-22,17,21.71
2013-03-01,19,21.8
2013-03-08,15,22.07
2013-03-15,9,22.07
2013-03-22,16,22.31
2013-04-05,18,22.6
2013-04-12,16,23.24
2013-04-19,16,22.89
2013-04-26,20,23.1
2013-05-03,16,24.56
2013-05-10,12,24.97
2013-05-17,20,24.22
2013-05-24,20,23.15
2013-05-31,11,22.15
2013-06-07,18,22.13
2013-06-14,17,22.01
2013-06-21,13,20.84
2013-06-28,10,21.43
2013-07-05,10,21.38
2013-07-12,16,22.34
2013-07-19,21,22.97
2013-07-26,23,22.71
2013-08-02,18,22.5
2013-08-09,19,22.13
2013-08-16,13,20.5
2013-08-23,12,20.57
2013-08-30,12,20.03
2013-09-06,13,20.1
2013-09-13,14,20.25
2013-09-20,13,20.63
2013-09-27,9,20.37
2013-10-04,15,19.58
2013-10-11,11,20.39
2013-10-18,16,20.86
2013-10-25,12,21.61
2013-11-01,18,21.56
2013-11-08,15,21
2013-11-15,12,21.18
2013-11-22,10,20.91
2013-11-29,12,20.62
2013-12-06,10,20.98
2013-12-13,19,20.02
2013-12-20,10,20.21
2013-12-27,12,20.13
2014-01-03,10,19.94
2014-01-10,10,20.56
2014-01-17,13,20.76
2014-01-24,16,20.69
2014-01-31,12,20.91
2014-02-07,12,20.93
2014-02-14,19,21.68
2014-02-21,9,21.79
2014-02-28,11,22.26
2014-03-07,14,22.05
2014-03-14,19,21.88
2014-03-21,21,21.85
2014-03-28,16,21.84
2014-04-04,16,21.88
2014-04-11,11,21.75
2014-04-25,13,22.54
