"Date","EOG.Resources","Price"
2010-01-22,35,94.05
2010-01-29,65,90.42
2010-02-05,31,92.86
2010-02-12,29,90.98
2010-02-19,19,94.64
2010-02-26,32,94.05
2010-03-05,32,97.38
2010-03-12,23,97.58
2010-03-19,21,91.7
2010-03-26,30,89.59
2010-04-09,57,104.77
2010-04-16,37,107.47
2010-04-23,43,113.72
2010-04-30,28,112.12
2010-05-07,31,100.84
2010-05-14,31,106.09
2010-05-21,50,100.59
2010-05-28,31,104.84
2010-06-04,29,102.99
2010-06-11,48,109.86
2010-06-18,30,110.22
2010-06-25,27,109.78
2010-07-02,29,98.34
2010-07-09,22,105.57
2010-07-16,31,102.28
2010-07-23,28,102.33
2010-07-30,30,97.5
2010-08-06,23,99.26
2010-08-13,44,94.17
2010-08-20,26,91.42
2010-08-27,36,89.4
2010-09-03,24,90.33
2010-09-10,22,92.2
2010-09-17,27,89.11
2010-09-24,26,92.11
2010-10-01,25,96.17
2010-10-08,29,99.46
2010-10-15,28,100.04
2010-10-22,25,97.31
2010-10-29,24,95.72
2010-11-05,39,88.61
2010-11-12,31,92.05
2010-11-19,29,92.96
2010-11-26,22,88.92
2010-12-03,23,93.74
2010-12-10,34,90.75
2010-12-17,21,91.67
2010-12-31,28,91.41
2011-01-07,27,94.26
2011-01-14,29,100.58
2011-01-21,46,101.72
2011-01-28,39,102.53
2011-02-04,32,106.78
2011-02-11,51,103.3
2011-02-18,32,108.89
2011-02-25,100,111.75
2011-03-04,32,109.38
2011-03-11,31,105.65
2011-03-18,24,107.93
2011-03-25,41,117.54
2011-04-01,36,118.39
2011-04-08,31,114.66
2011-04-15,27,111.04
2011-04-29,27,113.05
2011-05-06,33,107.44
2011-05-13,30,105.44
2011-05-20,28,106.85
2011-05-27,31,108.15
2011-06-03,28,110.56
2011-06-10,25,107.67
2011-06-17,30,102.25
2011-06-24,23,98.27
2011-07-01,24,103.08
2011-07-08,22,101.92
2011-07-15,30,101.19
2011-07-22,26,106.57
2011-07-29,26,102
2011-08-05,32,95.92
2011-08-12,36,94.15
2011-08-19,34,87.57
2011-08-26,23,89.85
2011-09-02,23,88.35
2011-09-09,21,85.32
2011-09-16,18,90.16
2011-09-23,24,73.72
2011-09-30,22,71.01
2011-10-07,27,74.9
2011-10-14,26,83.98
2011-10-21,20,90.62
2011-10-28,20,95.18
2011-11-04,39,101.68
2011-11-11,24,104.01
2011-11-18,23,97.84
2011-11-25,14,90.87
2011-12-02,32,102.56
2011-12-09,22,103.75
2011-12-16,28,97.68
2011-12-23,20,98.27
2011-12-30,13,98.51
2012-01-06,23,102.43
2012-01-13,33,103.04
2012-01-20,59,103.16
2012-01-27,45,104.12
2012-02-03,38,109.09
2012-02-10,30,111.83
2012-02-17,37,114.35
2012-02-24,42,117.55
2012-03-02,30,113.9
2012-03-09,29,114.98
2012-03-16,31,116.78
2012-03-23,23,111.73
2012-03-30,33,111.1
2012-04-13,29,103.33
2012-04-20,30,103.03
2012-04-27,26,109.02
2012-05-04,32,105.29
2012-05-11,47,104.23
2012-05-18,36,96.31
2012-05-25,26,101.75
2012-06-01,25,91.67
2012-06-08,31,93.88
2012-06-15,21,96.64
2012-06-22,26,87.62
2012-06-29,20,90.11
2012-07-06,17,90.64
2012-07-13,27,92.93
2012-07-20,28,99.23
2012-07-27,22,101.01
2012-08-03,26,106.75
2012-08-10,30,109.99
2012-08-17,30,111.19
2012-08-24,23,108.91
2012-08-31,25,108.3
2012-09-07,21,112.88
2012-09-14,25,117.62
2012-09-21,19,113.95
2012-09-28,25,112.05
2012-10-05,23,109.91
2012-10-12,19,108.78
2012-10-19,19,113.07
2012-10-26,23,114.09
2012-11-02,23,115.2
2012-11-09,19,114.52
2012-11-16,20,116.67
2012-11-23,16,118.99
2012-11-30,22,117.62
2012-12-07,16,117.35
2012-12-14,22,118.99
2012-12-21,20,123.57
2012-12-28,15,118.61
2013-01-04,15,125.8
2013-01-11,22,125.63
2013-01-18,24,126.79
2013-01-25,28,125.27
2013-02-01,27,128.6
2013-02-08,27,133.28
2013-02-15,34,129.19
2013-02-22,25,125.34
2013-03-01,21,123
2013-03-08,16,128.68
2013-03-15,21,130.42
2013-03-22,21,124.98
2013-04-05,26,124.75
2013-04-12,20,124.13
2013-04-19,25,113.44
2013-04-26,21,119.12
2013-05-03,19,123.98
2013-05-10,29,133.58
2013-05-17,29,135.25
2013-05-24,22,130.83
2013-05-31,21,129.1
2013-06-07,18,132.68
2013-06-14,23,131.74
2013-06-21,22,130.4
2013-06-28,20,131.68
2013-07-05,25,140.4
2013-07-12,29,144.71
2013-07-19,26,148.67
2013-07-26,24,145.74
2013-08-02,24,153.03
2013-08-09,28,158.84
2013-08-16,24,155.49
2013-08-23,30,156.62
2013-08-30,27,157.05
2013-09-06,24,161.72
2013-09-13,25,166.44
2013-09-20,28,168.87
2013-09-27,26,170.73
2013-10-04,20,174.59
2013-10-11,22,178.99
2013-10-18,24,183.79
2013-10-25,31,183.44
2013-11-01,25,178.98
2013-11-08,32,170.96
2013-11-15,21,171.38
2013-11-22,19,170.15
2013-11-29,18,165
2013-12-06,25,160.04
2013-12-13,24,159.02
2013-12-20,24,168.52
2013-12-27,18,169.16
2014-01-03,17,164.56
2014-01-10,27,166.81
2014-01-17,24,168.96
2014-01-24,28,165.53
2014-01-31,22,165.24
2014-02-07,25,176.5
2014-02-14,27,176.96
2014-02-21,26,178
2014-02-28,30,189.42
2014-03-07,30,189.92
2014-03-14,25,185.97
2014-03-21,20,191.64
2014-03-28,26,197.16
2014-04-04,34,99.77
2014-04-11,27,98.63
2014-04-25,23,99.04
