"Date","SBUX","Price"
2006-11-24,51,36.31
2006-12-01,63,35.2
2006-12-08,54,36.42
2006-12-15,48,36.42
2006-12-22,36,35.83
2006-12-29,41,35.42
2007-01-05,39,35.14
2007-01-12,46,35.9
2007-01-19,39,35.54
2007-01-26,33,33.88
2007-02-02,56,34.27
2007-02-09,49,32.96
2007-02-16,42,33.01
2007-02-23,43,32.75
2007-03-02,62,29.88
2007-03-09,47,30.31
2007-03-16,49,30.58
2007-03-23,56,31.42
2007-03-30,56,31.36
2007-04-13,50,30.76
2007-04-20,49,31.66
2007-04-27,45,31.5
2007-05-04,72,30.7
2007-05-11,52,29.61
2007-05-18,60,28.95
2007-05-25,46,28.61
2007-06-01,44,29.13
2007-06-08,54,27.67
2007-06-15,56,27.77
2007-06-22,64,25.54
2007-06-29,64,26.24
2007-07-06,48,26.55
2007-07-13,54,26.07
2007-07-20,65,27.7
2007-07-27,73,26.93
2007-08-03,64,26.31
2007-08-10,59,28.04
2007-08-17,50,26.7
2007-08-24,38,27.59
2007-08-31,51,27.55
2007-09-07,36,27.16
2007-09-14,46,27.64
2007-09-21,35,27.47
2007-09-28,38,26.2
2007-10-05,46,26.84
2007-10-12,33,26.34
2007-10-19,36,26.1
2007-10-26,35,26.17
2007-11-02,44,25.53
2007-11-09,53,22.57
2007-11-16,77,23.17
2007-11-23,37,23.07
2007-11-30,49,23.39
2007-12-07,45,22.62
2007-12-14,39,21.25
2007-12-21,49,21.06
2007-12-28,37,20.13
2008-01-04,46,18.11
2008-01-11,100,19.79
2008-01-18,52,18.66
2008-01-25,60,19.66
2008-02-01,70,19.22
2008-02-08,48,18.26
2008-02-15,47,18.29
2008-02-22,45,18.25
2008-02-29,52,17.98
2008-03-07,46,17.1
2008-03-14,39,17.39
2008-03-28,45,17.05
2008-04-04,38,18.5
2008-04-11,41,17.26
2008-04-18,44,18.28
2008-04-25,65,15.86
2008-05-02,69,16.46
2008-05-09,40,15.86
2008-05-16,39,17.05
2008-05-23,42,16.95
2008-05-30,36,18.19
2008-06-06,39,17.67
2008-06-13,33,18.17
2008-06-20,25,17.23
2008-06-27,34,16.35
2008-07-11,45,14.06
2008-07-18,44,14.34
2008-07-25,45,14.42
2008-08-01,56,14.42
2008-08-08,39,15.12
2008-08-15,35,16.69
2008-08-22,28,16.04
2008-08-29,33,15.56
2008-09-05,25,15.18
2008-09-12,28,15.33
2008-09-19,35,16.14
2008-09-26,30,14.96
2008-10-03,36,13.66
2008-10-10,45,11.08
2008-10-17,41,10.45
2008-10-24,30,9.68
2008-10-31,30,13.13
2008-11-07,28,10.55
2008-11-14,55,8.61
2008-11-21,40,7.83
2008-11-28,30,8.93
2008-12-05,27,9.12
2008-12-12,21,9.34
2008-12-19,22,9.88
2008-12-26,19,9.35
2009-01-02,14,9.84
2009-01-09,20,9.77
2009-01-16,19,9.46
2009-01-23,19,9.08
2009-01-30,40,9.44
2009-02-06,24,10.54
2009-02-13,21,10.13
2009-02-20,24,9.58
2009-02-27,19,9.15
2009-03-06,22,8.36
2009-03-13,18,10.56
2009-03-20,22,11.16
2009-03-27,23,11.77
2009-04-03,23,11.69
2009-04-17,20,12.06
2009-04-24,19,13.51
2009-05-01,30,13.8
2009-05-08,28,13.66
2009-05-15,19,12.94
2009-05-22,15,13
2009-05-29,20,14.39
2009-06-05,19,15.09
2009-06-12,15,14.55
2009-06-19,17,14.24
2009-06-26,14,14.53
2009-07-10,16,13.45
2009-07-17,12,14.44
2009-07-24,35,17.22
2009-07-31,20,17.7
2009-08-07,23,19.03
2009-08-14,21,19.12
2009-08-21,19,19.71
2009-08-28,22,19.33
2009-09-04,15,19.02
2009-09-11,14,19.89
2009-09-18,18,20.76
2009-09-25,19,19.83
2009-10-02,22,19.74
2009-10-09,18,20.24
2009-10-16,18,20.64
2009-10-23,21,20.27
2009-10-30,14,18.98
2009-11-06,21,21.12
2009-11-13,19,21.78
2009-11-20,19,21.41
2009-11-27,13,21.43
2009-12-04,19,21.6
2009-12-11,14,22.4
2009-12-18,16,23.68
2010-01-08,13,23.28
2010-01-15,12,23.27
2010-01-22,24,22.91
2010-01-29,14,21.79
2010-02-05,10,21.7
2010-02-12,13,22.6
2010-02-19,10,23.36
2010-02-26,10,22.91
2010-03-05,14,23.37
2010-03-12,10,24.28
2010-03-19,13,24.97
2010-03-26,19,24.59
2010-04-09,12,24.72
2010-04-16,15,24.96
2010-04-23,26,27.26
2010-04-30,20,25.98
2010-05-07,16,25.45
2010-05-14,20,26.51
2010-05-21,15,25.29
2010-05-28,14,25.89
2010-06-04,12,26.15
2010-06-11,11,27.15
2010-06-18,13,28.09
2010-06-25,11,26.81
2010-07-02,10,24.35
2010-07-09,10,25.3
2010-07-16,11,25.35
2010-07-23,16,25.38
2010-07-30,9,24.85
2010-08-06,11,25.33
2010-08-13,12,23.99
2010-08-20,12,24.05
2010-08-27,12,23.47
2010-09-03,9,25.07
2010-09-10,9,25.4
2010-09-17,13,25.53
2010-09-24,16,26.13
2010-10-01,14,25.94
2010-10-08,11,26.07
2010-10-15,16,27.54
2010-10-22,16,28.49
2010-10-29,14,28.56
2010-11-05,24,30.87
2010-11-12,18,30.19
2010-11-19,15,30.76
2010-11-26,15,31.14
2010-12-03,19,32.72
2010-12-10,15,32.59
2010-12-17,14,32.79
2010-12-31,14,32.13
2011-01-07,17,32.78
2011-01-14,17,32.7
2011-01-21,14,33.2
2011-01-28,16,31.73
2011-02-04,16,32.58
2011-02-11,14,33.35
2011-02-18,16,34
2011-02-25,11,32.5
2011-03-04,11,33.12
2011-03-11,23,36.56
2011-03-18,16,34.96
2011-03-25,18,36.9
2011-04-01,13,37.25
2011-04-08,13,35.77
2011-04-15,12,36.38
2011-04-29,17,36.2
2011-05-06,15,36.53
2011-05-13,15,36.15
2011-05-20,13,36.61
2011-05-27,11,36.46
2011-06-03,11,35.16
2011-06-10,12,35.12
2011-06-17,10,35.44
2011-06-24,9,37.35
2011-07-01,16,40.19
2011-07-08,14,40.35
2011-07-15,14,39.8
2011-07-22,14,40.35
2011-07-29,18,40.09
2011-08-05,19,36.72
2011-08-12,23,37.36
2011-08-19,17,35.1
2011-08-26,19,37.39
2011-09-02,14,37.49
2011-09-09,13,37.31
2011-09-16,10,39.2
2011-09-23,13,38.71
2011-09-30,15,37.29
2011-10-07,14,39.26
2011-10-14,18,42.22
2011-10-21,15,42.09
2011-10-28,19,42.5
2011-11-04,21,44.19
2011-11-11,17,44.34
2011-11-18,18,42.02
2011-11-25,14,40.84
2011-12-02,18,43.91
2011-12-09,17,43.96
2011-12-16,14,43.48
2011-12-23,15,45.45
2011-12-30,12,46.01
2012-01-06,17,46.72
2012-01-13,12,47.36
2012-01-20,12,48.15
2012-01-27,23,47.85
2012-02-03,17,48.32
2012-02-10,13,48.82
2012-02-17,16,48.45
2012-02-24,12,48.3
2012-03-02,15,48.89
2012-03-09,23,51.84
2012-03-16,18,53.21
2012-03-23,21,55.35
2012-03-30,21,55.89
2012-04-13,28,61.67
2012-04-20,22,59.16
2012-04-27,37,57.43
2012-05-04,23,55.56
2012-05-11,22,55.01
2012-05-18,21,51.53
2012-05-25,19,54.56
2012-06-01,17,52.15
2012-06-08,23,53.59
2012-06-15,19,52.54
2012-06-22,17,54.64
2012-06-29,14,53.32
2012-07-06,14,51.97
2012-07-13,14,53.61
2012-07-20,14,51.96
2012-07-27,28,47.47
2012-08-03,26,43.91
2012-08-10,21,45.57
2012-08-17,21,48.22
2012-08-24,18,48.7
2012-08-31,19,49.61
2012-09-07,16,51.17
2012-09-14,19,50.46
2012-09-21,21,51.07
2012-09-28,19,50.71
2012-10-05,16,48.74
2012-10-12,16,47.18
2012-10-19,20,45.69
2012-10-26,17,45.87
2012-11-02,27,50.84
2012-11-09,24,50.96
2012-11-16,24,48.76
2012-11-23,18,51.19
2012-11-30,20,51.87
2012-12-07,24,53.64
2012-12-14,19,53.36
2012-12-21,18,53.6
2012-12-28,12,52.64
2013-01-04,18,55.69
2013-01-11,20,55.01
2013-01-18,14,54.81
2013-01-25,25,56.81
2013-02-01,17,56.86
2013-02-08,13,56.37
2013-02-15,15,54.34
2013-02-22,14,54.17
2013-03-01,13,54.87
2013-03-08,18,58.67
2013-03-15,16,57.66
2013-03-22,16,57.38
2013-04-05,15,57.8
2013-04-12,18,59.09
2013-04-19,16,58.4
2013-04-26,26,60
2013-05-03,19,61.87
2013-05-10,18,63.1
2013-05-17,16,64.13
2013-05-24,16,63.36
2013-05-31,13,63.14
2013-06-07,15,65.04
2013-06-14,16,65.6
2013-06-21,17,64.69
2013-06-28,14,65.51
2013-07-05,13,67.72
2013-07-12,17,69.72
2013-07-19,16,68.79
2013-07-26,33,73.36
2013-08-02,28,74.23
2013-08-09,20,72.8
2013-08-16,18,70.71
2013-08-23,19,71.97
2013-08-30,17,70.52
2013-09-06,13,71.57
2013-09-13,20,75.57
2013-09-20,20,76.12
2013-09-27,20,77.33
2013-10-04,20,77.4
2013-10-11,17,77.82
2013-10-18,20,79.31
2013-10-25,24,79.96
2013-11-01,36,80.37
2013-11-08,26,81.2
2013-11-15,31,81.19
2013-11-22,24,81.35
2013-11-29,16,81.46
2013-12-06,18,79.94
2013-12-13,24,76.35
2013-12-20,17,77.66
2013-12-27,16,78.57
2014-01-03,15,76.95
2014-01-10,19,77.67
2014-01-17,20,74.9
2014-01-24,33,74.98
2014-01-31,22,71.12
2014-02-07,22,74.04
2014-02-14,17,75.03
2014-02-21,19,72.56
2014-02-28,21,70.96
2014-03-07,20,73.07
2014-03-14,19,74.27
2014-03-21,24,76.71
2014-03-28,18,73.7
2014-04-04,16,71.55
2014-04-11,17,68.73
2014-04-25,29,71.45
