"Date","buy.UPS","Price"
2011-12-30,63,73.19
2012-01-06,67,73.48
2012-01-13,51,74.16
2012-01-20,46,75.42
2012-01-27,53,76.04
2012-02-03,53,76.7
2012-02-10,49,76.69
2012-02-17,50,76.76
2012-02-24,58,76.5
2012-03-02,53,76.54
2012-03-09,51,77.16
2012-03-16,60,78.41
2012-03-23,56,79.71
2012-03-30,48,80.72
2012-04-13,40,79.56
2012-04-20,37,80.27
2012-04-27,46,78.44
2012-05-04,44,77.73
2012-05-11,54,76.43
2012-05-18,41,74.03
2012-05-25,50,74.94
2012-06-01,50,73.25
2012-06-08,49,76.63
2012-06-15,45,77.53
2012-06-22,52,77.71
2012-06-29,47,78.76
2012-07-06,50,79.37
2012-07-13,58,79.44
2012-07-20,55,78.45
2012-07-27,55,76
2012-08-03,49,75.76
2012-08-10,51,76.3
2012-08-17,58,76.49
2012-08-24,51,75.72
2012-08-31,52,73.81
2012-09-07,47,72.6
2012-09-14,49,73.68
2012-09-21,49,71.88
2012-09-28,47,71.57
2012-10-05,48,73.1
2012-10-12,44,72.11
2012-10-19,43,72.3
2012-10-26,50,73.02
2012-11-02,45,73.48
2012-11-09,49,72.25
2012-11-16,61,70.02
2012-11-23,58,71.98
2012-11-30,72,73.11
2012-12-07,73,73.17
2012-12-14,76,72.85
2012-12-21,88,74.84
2012-12-28,69,72.83
2013-01-04,71,76.57
2013-01-11,48,77.92
2013-01-18,49,80.25
2013-01-25,47,82.45
2013-02-01,51,79.97
2013-02-08,47,82.38
2013-02-15,47,83.48
2013-02-22,46,82.94
2013-03-01,45,82.87
2013-03-08,48,84.44
2013-03-15,41,85.47
2013-03-22,46,84.76
2013-04-05,48,83.54
2013-04-12,52,84.14
2013-04-19,43,82.99
2013-04-26,44,85.71
2013-05-03,44,86.09
2013-05-10,45,88.34
2013-05-17,52,88.7
2013-05-24,43,86.83
2013-05-31,44,85.9
2013-06-07,45,86.37
2013-06-14,53,85.91
2013-06-21,52,85.41
2013-06-28,47,86.48
2013-07-05,48,87.54
2013-07-12,60,86.12
2013-07-19,56,88.08
2013-07-26,62,86.99
2013-08-02,59,87.92
2013-08-09,57,87.81
2013-08-16,61,86.05
2013-08-23,56,87.17
2013-08-30,53,85.58
2013-09-06,45,86.76
2013-09-13,54,88.66
2013-09-20,53,91.55
2013-09-27,43,91.25
2013-10-04,45,91
2013-10-11,53,90.77
2013-10-18,50,93
2013-10-25,52,95.61
2013-11-01,49,98.22
2013-11-08,57,99.62
2013-11-15,56,100.94
2013-11-22,65,101.98
2013-11-29,74,102.38
2013-12-06,93,102.43
2013-12-13,79,101.38
2013-12-20,99,103.33
2013-12-27,74,104.72
2014-01-03,71,103.09
2014-01-10,58,102.52
2014-01-17,59,99.91
2014-01-24,51,96.33
2014-01-31,50,95.23
2014-02-07,52,95.37
2014-02-14,48,97.24
2014-02-21,56,96.11
2014-02-28,49,95.77
2014-03-07,54,98.22
2014-03-14,51,96.27
2014-03-21,45,96.86
2014-03-28,51,97.34
2014-04-04,46,98.1
2014-04-11,50,96.27
2014-04-25,50,97.4
