"Date","buy.R","Price"
2006-12-01,63,51.7
2006-12-08,71,50.96
2006-12-15,79,51.38
2006-12-22,82,51
2006-12-29,52,51.06
2007-01-05,35,52.62
2007-01-12,27,52.64
2007-01-19,26,53.53
2007-01-26,24,52.92
2007-02-02,24,53.76
2007-02-09,21,52.16
2007-02-16,25,53.98
2007-02-23,22,54.8
2007-03-02,21,50.36
2007-03-09,22,50.24
2007-03-16,21,49.58
2007-03-23,24,50.42
2007-03-30,24,49.34
2007-04-13,24,51.26
2007-04-20,19,52.56
2007-04-27,20,53.82
2007-05-04,19,52.37
2007-05-11,18,53.44
2007-05-18,18,53.92
2007-05-25,17,52.96
2007-06-01,24,54.07
2007-06-08,24,52.35
2007-06-15,24,52.3
2007-06-22,20,54.18
2007-06-29,21,53.8
2007-07-06,23,54.27
2007-07-13,26,55.62
2007-07-20,23,54.02
2007-07-27,21,53.28
2007-08-03,22,54.52
2007-08-10,24,53.93
2007-08-17,25,53.41
2007-08-24,23,54.26
2007-08-31,21,54.75
2007-09-07,20,52.29
2007-09-14,20,50.41
2007-09-21,20,49.86
2007-09-28,21,49
2007-10-05,25,49.25
2007-10-12,24,47.84
2007-10-19,28,46.71
2007-10-26,27,47.39
2007-11-02,31,47.96
2007-11-09,39,45.71
2007-11-16,49,43.54
2007-11-23,89,39.9
2007-11-30,80,43.36
2007-12-07,78,48.3
2007-12-14,84,46.44
2007-12-21,86,46.79
2007-12-28,60,47.51
2008-01-04,46,42.11
2008-01-11,30,43.24
2008-01-18,30,46.55
2008-01-25,29,48.71
2008-02-01,27,55.24
2008-02-08,28,58.41
2008-02-15,28,58.94
2008-02-22,29,58.79
2008-02-29,24,57.61
2008-03-07,28,55.51
2008-03-14,25,59.59
2008-03-28,24,60.83
2008-04-04,21,62.96
2008-04-11,21,60.61
2008-04-18,22,67.12
2008-04-25,21,67.61
2008-05-02,22,71.6
2008-05-09,22,70.88
2008-05-16,20,75.43
2008-05-23,26,70.31
2008-05-30,29,73.43
2008-06-06,28,70.12
2008-06-13,32,68.53
2008-06-20,31,72.37
2008-06-27,30,69.82
2008-07-11,28,65.81
2008-07-18,29,71.09
2008-07-25,32,64.12
2008-08-01,30,66.15
2008-08-08,28,69.59
2008-08-15,27,70.63
2008-08-22,27,69.13
2008-08-29,23,64.52
2008-09-05,25,62.6
2008-09-12,25,66.41
2008-09-19,26,68.2
2008-09-26,26,60.98
2008-10-03,29,54.22
2008-10-10,28,49.52
2008-10-17,30,44.09
2008-10-24,30,37.17
2008-10-31,31,39.62
2008-11-07,38,38.66
2008-11-14,45,36.91
2008-11-21,48,30.59
2008-11-28,81,35.91
2008-12-05,72,35.32
2008-12-12,80,33.58
2008-12-19,84,36.74
2008-12-26,84,35.98
2009-01-02,54,40.42
2009-01-09,37,38.2
2009-01-16,31,34.75
2009-01-23,27,32.91
2009-01-30,26,33.78
2009-02-06,26,34.04
2009-02-13,24,30.44
2009-02-20,26,26.1
2009-02-27,25,22.86
2009-03-06,24,19.41
2009-03-13,26,23.64
2009-03-20,26,25.2
2009-03-27,23,28.36
2009-04-03,23,31.49
2009-04-17,23,25.3
2009-04-24,21,26.89
2009-05-01,22,28.7
2009-05-08,20,29.94
2009-05-15,22,26.16
2009-05-22,22,26.08
2009-05-29,20,28.18
2009-06-05,23,29.58
2009-06-12,24,30.39
2009-06-19,21,29.34
2009-06-26,23,28.36
2009-07-10,25,25.17
2009-07-17,23,27.11
2009-07-24,26,32.25
2009-07-31,26,35.13
2009-08-07,27,38.79
2009-08-14,26,39.25
2009-08-21,25,39.9
2009-08-28,25,39.09
2009-09-04,25,38.12
2009-09-11,23,42.51
2009-09-18,23,41.19
2009-09-25,24,38.7
2009-10-02,26,36.53
2009-10-09,26,38.67
2009-10-16,28,44.75
2009-10-23,28,44.49
2009-10-30,28,40.55
2009-11-06,30,42.26
2009-11-13,37,43.34
2009-11-20,45,41.16
2009-11-27,76,40.6
2009-12-04,62,42.53
2009-12-11,60,41.7
2009-12-18,69,43.06
2010-01-08,35,40.34
2010-01-15,24,39.88
2010-01-22,24,37.43
2010-01-29,25,36.4
2010-02-05,26,33.14
2010-02-12,26,34.15
2010-02-19,24,34.85
2010-02-26,26,35.29
2010-03-05,25,35.91
2010-03-12,24,36.8
2010-03-19,21,38.69
2010-03-26,25,38.56
2010-04-09,25,42.44
2010-04-16,22,43.35
2010-04-23,21,47.35
2010-04-30,24,46.52
2010-05-07,24,42.46
2010-05-14,23,44.99
2010-05-21,23,43.48
2010-05-28,24,44.94
2010-06-04,24,41.67
2010-06-11,24,43.89
2010-06-18,23,44.49
2010-06-25,25,42.55
2010-07-02,26,38.84
2010-07-09,25,41.12
2010-07-16,26,39.83
2010-07-23,28,43.25
2010-07-30,26,43.67
2010-08-06,27,43.52
2010-08-13,25,40.33
2010-08-20,27,39.32
2010-08-27,27,39.2
2010-09-03,24,40.99
2010-09-10,28,41.57
2010-09-17,28,42.1
2010-09-24,27,43.26
2010-10-01,29,42.51
2010-10-08,29,43.82
2010-10-15,28,45.38
2010-10-22,32,44.87
2010-10-29,31,43.75
2010-11-05,37,45.23
2010-11-12,43,43.53
2010-11-19,46,43.81
2010-11-26,87,43.88
2010-12-03,64,45.2
2010-12-10,69,47.67
2010-12-17,71,50.62
2010-12-31,49,52.64
2011-01-07,35,51.91
2011-01-14,31,51.43
2011-01-21,31,49.49
2011-01-28,31,47.73
2011-02-04,31,50.39
2011-02-11,31,49.31
2011-02-18,30,49.41
2011-02-25,31,47.47
2011-03-04,28,48.06
2011-03-11,29,47.85
2011-03-18,29,47.81
2011-03-25,29,49.65
2011-04-01,30,50.66
2011-04-08,30,49.72
2011-04-15,28,50.96
2011-04-29,30,53.5
2011-05-06,27,52.53
2011-05-13,26,55.05
2011-05-20,29,54.65
2011-05-27,29,54.45
2011-06-03,32,52.09
2011-06-10,29,50.45
2011-06-17,30,51.5
2011-06-24,29,52.75
2011-07-01,29,58.6
2011-07-08,30,58.08
2011-07-15,31,57.02
2011-07-22,32,58.63
2011-07-29,33,56.32
2011-08-05,31,48.46
2011-08-12,31,46.21
2011-08-19,32,40.86
2011-08-26,33,44.38
2011-09-02,30,44.35
2011-09-09,33,42.75
2011-09-16,29,45.33
2011-09-23,31,38.91
2011-09-30,29,37.51
2011-10-07,30,38.98
2011-10-14,31,44.97
2011-10-21,34,47.09
2011-10-28,35,51.8
2011-11-04,35,51.52
2011-11-11,41,53.11
2011-11-18,47,51.14
2011-11-25,100,46.74
2011-12-02,72,52.85
2011-12-09,67,53.02
2011-12-16,68,50.76
2011-12-23,82,53.69
2011-12-30,50,53.14
2012-01-06,42,54.65
2012-01-13,40,55.05
2012-01-20,37,55.49
2012-01-27,38,57.18
2012-02-03,36,52.62
2012-02-10,35,53.8
2012-02-17,35,53.7
2012-02-24,38,52.32
2012-03-02,36,53.52
2012-03-09,35,53.5
2012-03-16,34,55.37
2012-03-23,36,54.21
2012-03-30,32,52.8
2012-04-13,32,49.74
2012-04-20,31,49.2
2012-04-27,30,49.22
2012-05-04,32,47.26
2012-05-11,29,45.22
2012-05-18,27,41.1
2012-05-25,30,43.59
2012-06-01,33,41.69
2012-06-08,34,42.9
2012-06-15,29,42.14
2012-06-22,32,35.44
2012-06-29,34,36.01
2012-07-06,34,34.33
2012-07-13,34,34.69
2012-07-20,36,35.14
2012-07-27,34,39.39
2012-08-03,33,39.38
2012-08-10,34,40.83
2012-08-17,33,42.59
2012-08-24,35,40.49
2012-08-31,31,40.01
2012-09-07,31,41.67
2012-09-14,33,42.99
2012-09-21,35,40.01
2012-09-28,33,39.06
2012-10-05,34,42.02
2012-10-12,36,42.29
2012-10-19,37,43.52
2012-10-26,39,44.8
2012-11-02,34,45.74
2012-11-09,40,45.17
2012-11-16,56,44.22
2012-11-23,100,46.02
2012-11-30,73,47.07
2012-12-07,64,48.59
2012-12-14,65,49.6
2012-12-21,75,50.42
2012-12-28,63,48.69
2013-01-04,42,51.93
2013-01-11,37,53.12
2013-01-18,34,55
2013-01-25,36,55.98
2013-02-01,34,57.9
2013-02-08,31,58.21
2013-02-15,33,57.42
2013-02-22,33,56.04
2013-03-01,31,55.43
2013-03-08,32,58.85
2013-03-15,33,61
2013-03-22,34,60.08
2013-04-05,33,57.83
2013-04-12,32,61.37
2013-04-19,31,57.15
2013-04-26,31,56.87
2013-05-03,31,58.46
2013-05-10,29,61.2
2013-05-17,29,62.52
2013-05-24,32,62.59
2013-05-31,33,63.04
2013-06-07,33,62.78
2013-06-14,34,62.09
2013-06-21,32,60.49
2013-06-28,31,60.79
2013-07-05,32,60.24
2013-07-12,35,60.82
2013-07-19,38,62.67
2013-07-26,37,61.64
2013-08-02,37,64.79
2013-08-09,35,60.64
2013-08-16,35,58.89
2013-08-23,33,59.3
2013-08-30,33,55.61
2013-09-06,33,56.98
2013-09-13,33,59.46
2013-09-20,31,60.4
2013-09-27,32,59.7
2013-10-04,32,59.93
2013-10-11,31,59.62
2013-10-18,34,62.04
2013-10-25,34,65.34
2013-11-01,35,66.28
2013-11-08,41,64.58
2013-11-15,53,68.04
2013-11-22,64,69.01
2013-11-29,100,69.84
2013-12-06,78,68.75
2013-12-13,70,67.69
2013-12-20,74,71.39
2013-12-27,63,73.4
2014-01-03,40,72.79
2014-01-10,35,73
2014-01-17,34,74.3
2014-01-24,32,71.88
2014-01-31,30,71.19
2014-02-07,29,71.43
2014-02-14,32,71.7
2014-02-21,33,72.74
2014-02-28,32,75.32
2014-03-07,32,77.88
2014-03-14,32,77.23
2014-03-21,30,78.7
2014-03-28,30,78.71
2014-04-04,30,80.45
2014-04-11,30,78.26
2014-04-25,31,81.98
