"Date","Regeneron","Price"
2008-08-01,35,21.68
2008-08-08,50,21.62
2008-08-15,46,22.64
2008-08-22,30,21.54
2008-08-29,22,21.72
2008-09-05,24,19.07
2008-09-12,27,20.71
2008-09-19,51,23.07
2008-09-26,23,22.71
2008-10-03,50,20.96
2008-10-10,49,17.14
2008-10-17,26,18.75
2008-10-24,42,16.15
2008-10-31,30,19.3
2008-11-07,22,18.35
2008-11-14,45,17.17
2008-11-21,46,13.95
2008-11-28,25,15.46
2008-12-05,31,15.23
2008-12-12,30,16.83
2008-12-19,31,18.91
2008-12-26,33,18.23
2009-01-02,34,18.7
2009-01-09,36,17.48
2009-01-16,39,17.36
2009-01-23,33,15.57
2009-01-30,22,17.48
2009-02-06,25,19.92
2009-02-13,21,18.97
2009-02-20,43,18.15
2009-02-27,45,14.25
2009-03-06,35,12.67
2009-03-13,38,14.03
2009-03-20,44,13.45
2009-03-27,34,14.38
2009-04-03,25,13.02
2009-04-17,29,13.15
2009-04-24,40,12.94
2009-05-01,19,13.85
2009-05-08,35,15.84
2009-05-15,26,14.61
2009-05-22,37,13.99
2009-05-29,29,15.27
2009-06-05,39,16.36
2009-06-12,25,16.36
2009-06-19,33,18.21
2009-06-26,20,18.14
2009-07-10,24,16.29
2009-07-17,24,17.62
2009-07-24,35,20.75
2009-07-31,42,21.48
2009-08-07,40,21.86
2009-08-14,36,22.11
2009-08-21,19,22.22
2009-08-28,21,22.33
2009-09-04,22,22.25
2009-09-11,35,21.88
2009-09-18,38,21.28
2009-09-25,22,20.3
2009-10-02,35,18.62
2009-10-09,34,18.41
2009-10-16,24,18.82
2009-10-23,49,17.59
2009-10-30,33,15.7
2009-11-06,47,15.71
2009-11-13,43,18.57
2009-11-20,47,18.46
2009-11-27,21,18.09
2009-12-04,41,19.32
2009-12-11,48,18.96
2009-12-18,37,21.41
2010-01-08,70,24.37
2010-01-15,52,23.88
2010-01-22,41,25.97
2010-01-29,43,26.66
2010-02-05,40,25.73
2010-02-12,44,29.27
2010-02-19,52,26.29
2010-02-26,39,24.46
2010-03-05,48,25.51
2010-03-12,43,24.69
2010-03-19,53,23.77
2010-03-26,54,26.23
2010-04-09,35,25.78
2010-04-16,34,26.4
2010-04-23,37,24.77
2010-04-30,34,25.53
2010-05-07,39,23.58
2010-05-14,53,27.37
2010-05-21,65,27.14
2010-05-28,40,28.57
2010-06-04,44,28.19
2010-06-11,55,26.42
2010-06-18,37,26.11
2010-06-25,37,24.53
2010-07-02,26,21.61
2010-07-09,33,23.22
2010-07-16,40,22.48
2010-07-23,39,24.01
2010-07-30,55,24.19
2010-08-06,39,24.85
2010-08-13,48,23.56
2010-08-20,43,22.93
2010-08-27,29,22.78
2010-09-03,36,24.58
2010-09-10,37,25.15
2010-09-17,43,26.5
2010-09-24,46,26.74
2010-10-01,37,26.7
2010-10-08,37,28.18
2010-10-15,20,28.04
2010-10-22,33,27.37
2010-10-29,48,26.11
2010-11-05,36,26.53
2010-11-12,41,25.29
2010-11-19,42,24.67
2010-11-26,67,28.83
2010-12-03,38,29.98
2010-12-10,34,30.2
2010-12-17,33,33.06
2010-12-31,32,32.83
2011-01-07,45,34.1
2011-01-14,41,34.5
2011-01-21,41,33.28
2011-01-28,38,33.45
2011-02-04,31,34.47
2011-02-11,44,35.31
2011-02-18,40,37.48
2011-02-25,37,37
2011-03-04,45,38
2011-03-11,58,38.68
2011-03-18,42,38.81
2011-03-25,52,41.34
2011-04-01,54,45.26
2011-04-08,55,42.7
2011-04-15,54,45.84
2011-04-29,69,51.04
2011-05-06,55,50.25
2011-05-13,47,53.03
2011-05-20,45,56.91
2011-05-27,51,58.27
2011-06-03,51,58.04
2011-06-10,46,54.58
2011-06-17,88,54.02
2011-06-24,82,52.89
2011-07-01,44,57.75
2011-07-08,39,59.64
2011-07-15,58,55.59
2011-07-22,36,57.47
2011-07-29,42,53.06
2011-08-05,62,46.81
2011-08-12,46,54.18
2011-08-19,58,54.37
2011-08-26,35,55.81
2011-09-02,41,64.78
2011-09-09,34,65.62
2011-09-16,37,60.2
2011-09-23,53,66.19
2011-09-30,43,58.2
2011-10-07,33,63.02
2011-10-14,34,63.95
2011-10-21,54,62.17
2011-10-28,45,55.66
2011-11-04,38,56.42
2011-11-11,41,52.93
2011-11-18,70,49.81
2011-11-25,73,53.78
2011-12-02,47,58.28
2011-12-09,52,53.38
2011-12-16,36,53
2011-12-23,35,55.57
2011-12-30,23,55.43
2012-01-06,44,65.79
2012-01-13,74,78.92
2012-01-20,38,78.33
2012-01-27,51,85.54
2012-02-03,48,96.86
2012-02-10,59,102.08
2012-02-17,93,103.28
2012-02-24,52,103.22
2012-03-02,51,108.8
2012-03-09,51,107.21
2012-03-16,52,115.33
2012-03-23,75,119.18
2012-03-30,64,116.62
2012-04-13,47,122.6
2012-04-20,44,126.38
2012-04-27,74,140.01
2012-05-04,69,131.4
2012-05-11,56,134.09
2012-05-18,46,120.23
2012-05-25,42,132.17
2012-06-01,52,123.93
2012-06-08,46,129.62
2012-06-15,55,113.85
2012-06-22,53,115.9
2012-06-29,38,114.22
2012-07-06,41,119.54
2012-07-13,38,117.64
2012-07-20,48,121.65
2012-07-27,76,136.9
2012-08-03,55,136.96
2012-08-10,52,136.84
2012-08-17,45,138.06
2012-08-24,48,145.09
2012-08-31,36,148.05
2012-09-07,34,152.55
2012-09-14,45,149.68
2012-09-21,48,145.09
2012-09-28,70,152.66
2012-10-05,55,159
2012-10-12,47,150.73
2012-10-19,43,158.24
2012-10-26,66,149.25
2012-11-02,30,143.5
2012-11-09,41,140.74
2012-11-16,51,157.69
2012-11-23,38,176.08
2012-11-30,47,176.55
2012-12-07,44,180.87
2012-12-14,37,179.71
2012-12-21,35,173.48
2012-12-28,28,167.97
2013-01-04,32,181.07
2013-01-11,62,179.46
2013-01-18,59,167.97
2013-01-25,41,174.48
2013-02-01,45,172.88
2013-02-08,48,165.88
2013-02-15,70,164.93
2013-02-22,53,160.38
2013-03-01,49,171.73
2013-03-08,64,172.97
2013-03-15,47,171.84
2013-03-22,41,172.4
2013-04-05,66,185.41
2013-04-12,69,215.84
2013-04-19,57,212.58
2013-04-26,66,216.6
2013-05-03,85,266.16
2013-05-10,77,273.5
2013-05-17,76,266.97
2013-05-24,68,250.31
2013-05-31,57,241.88
2013-06-07,65,257.5
2013-06-14,63,236.93
2013-06-21,62,215.47
2013-06-28,46,224.88
2013-07-05,41,233.48
2013-07-12,54,266
2013-07-19,53,274.86
2013-07-26,73,269.21
2013-08-02,60,272.39
2013-08-09,76,250.01
2013-08-16,76,230.98
2013-08-23,74,238.85
2013-08-30,55,242.31
2013-09-06,58,267.57
2013-09-13,91,289.97
2013-09-20,83,300.8
2013-09-27,77,305.65
2013-10-04,61,308.6
2013-10-11,54,290.3
2013-10-18,78,303.56
2013-10-25,70,302.24
2013-11-01,74,285.79
2013-11-08,82,283.07
2013-11-15,74,280
2013-11-22,63,293.68
2013-11-29,51,293.86
2013-12-06,65,282.74
2013-12-13,49,269.59
2013-12-20,80,278.69
2013-12-27,28,277.04
2014-01-03,34,271.75
2014-01-10,59,274.38
2014-01-17,100,292
2014-01-24,73,279.61
2014-01-31,74,288.59
2014-02-07,54,299.79
2014-02-14,82,323.99
2014-02-21,71,334.98
2014-02-28,76,332.5
2014-03-07,90,328.11
2014-03-14,68,329.5
2014-03-21,61,310.79
2014-03-28,67,300.09
2014-04-04,69,285.34
2014-04-11,68,288.36
2014-04-25,77,284.42
