"Date","FDX","Price"
2006-04-21,57,115.39
2006-04-28,61,115.13
2006-05-05,70,119.31
2006-05-12,91,115.06
2006-05-19,74,109.34
2006-05-26,63,107.49
2006-06-02,47,111.13
2006-06-09,49,106.57
2006-06-16,64,109.64
2006-06-23,100,115.04
2006-06-30,38,116.86
2006-07-07,24,114.4
2006-07-14,51,109.01
2006-07-21,54,108.49
2006-07-28,54,105.29
2006-08-04,42,104.51
2006-08-11,54,98.34
2006-08-18,90,103.88
2006-08-25,59,99.15
2006-09-01,51,101.82
2006-09-08,35,100.71
2006-09-15,41,105.9
2006-09-22,99,106.03
2006-09-29,69,108.68
2006-10-06,75,112.3
2006-10-13,54,113.98
2006-10-20,64,116.2
2006-10-27,72,114.03
2006-11-03,49,112.07
2006-11-10,65,114.75
2006-11-17,58,117.44
2006-11-24,53,117.36
2006-12-01,55,114.87
2006-12-08,48,115.3
2006-12-15,61,115.06
2006-12-22,77,107.47
2006-12-29,46,108.62
2007-01-05,54,107.53
2007-01-12,75,108.86
2007-01-19,58,110.98
2007-01-26,45,109.89
2007-02-02,44,114.98
2007-02-09,42,113.39
2007-02-16,62,117.05
2007-02-23,50,120.97
2007-03-02,52,112.5
2007-03-09,43,114.67
2007-03-16,43,111.14
2007-03-23,39,112.71
2007-03-30,61,107.43
2007-04-13,54,107.91
2007-04-20,48,109.03
2007-04-27,34,107.22
2007-05-04,38,109.5
2007-05-11,47,108.26
2007-05-18,50,106.55
2007-05-25,48,105.96
2007-06-01,52,111.29
2007-06-08,37,109.4
2007-06-15,53,111.37
2007-06-22,49,109.96
2007-06-29,44,110.97
2007-07-06,30,110.84
2007-07-13,64,117.25
2007-07-20,62,115.67
2007-07-27,50,109.63
2007-08-03,41,108.56
2007-08-10,54,109.04
2007-08-17,24,108
2007-08-24,37,111.08
2007-08-31,29,109.68
2007-09-07,32,108.21
2007-09-14,44,109.18
2007-09-21,54,104.1
2007-09-28,38,104.75
2007-10-05,28,106.06
2007-10-12,27,107.51
2007-10-19,35,103.32
2007-10-26,41,103.94
2007-11-02,40,102.43
2007-11-09,48,99.74
2007-11-16,39,96.8
2007-11-23,46,93.6
2007-11-30,50,98.47
2007-12-07,42,100.22
2007-12-14,51,95.92
2007-12-21,46,94.29
2007-12-28,56,90.62
2008-01-04,48,84.1
2008-01-11,51,84.04
2008-01-18,43,84.01
2008-01-25,47,89.96
2008-02-01,45,93.42
2008-02-08,43,88
2008-02-15,41,87.92
2008-02-22,45,89.09
2008-02-29,41,88.13
2008-03-07,33,86.7
2008-03-14,34,84.8
2008-03-28,32,91.27
2008-04-04,44,96.87
2008-04-11,46,92.9
2008-04-18,47,96.71
2008-04-25,41,94.46
2008-05-02,36,96.86
2008-05-09,47,90.37
2008-05-16,38,90.95
2008-05-23,40,86.83
2008-05-30,46,91.71
2008-06-06,43,88.86
2008-06-13,43,85.98
2008-06-20,66,80.54
2008-06-27,48,77.25
2008-07-11,35,73.94
2008-07-18,40,79.52
2008-07-25,39,79.49
2008-08-01,44,77.34
2008-08-08,44,88.16
2008-08-15,28,87.85
2008-08-22,25,82.68
2008-08-29,25,82.82
2008-09-05,30,82.28
2008-09-12,31,90.84
2008-09-19,39,90.08
2008-09-26,31,81.56
2008-10-03,37,78
2008-10-10,36,68.36
2008-10-17,51,62.55
2008-10-24,30,56.81
2008-10-31,32,65.37
2008-11-07,25,64.58
2008-11-14,37,64.37
2008-11-21,37,60.91
2008-11-28,26,70.65
2008-12-05,40,73.71
2008-12-12,53,61.34
2008-12-19,55,63.59
2008-12-26,37,60.97
2009-01-02,34,64.44
2009-01-09,38,60.32
2009-01-16,39,58.58
2009-01-23,35,54.12
2009-01-30,39,50.94
2009-02-06,33,55.27
2009-02-13,26,51.81
2009-02-20,35,46.96
2009-02-27,31,43.21
2009-03-06,49,35.76
2009-03-13,45,38
2009-03-20,67,41.9
2009-03-27,54,45.68
2009-04-03,35,50.02
2009-04-17,45,53.25
2009-04-24,38,56.06
2009-05-01,24,55.13
2009-05-08,38,60.06
2009-05-15,27,52.98
2009-05-22,35,52.84
2009-05-29,25,55.43
2009-06-05,35,57.11
2009-06-12,34,54.39
2009-06-19,44,51.45
2009-06-26,25,55.41
2009-07-10,21,54.88
2009-07-17,25,60.47
2009-07-24,33,64.98
2009-07-31,34,67.84
2009-08-07,23,67.86
2009-08-14,33,66.01
2009-08-21,38,67.87
2009-08-28,29,69.86
2009-09-04,26,70.86
2009-09-11,35,77.32
2009-09-18,43,76.17
2009-09-25,33,73.38
2009-10-02,29,73.58
2009-10-09,28,77.48
2009-10-16,34,80.05
2009-10-23,21,77.1
2009-10-30,21,72.69
2009-11-06,27,77.12
2009-11-13,24,81.97
2009-11-20,28,81.78
2009-11-27,34,82.65
2009-12-04,34,87.93
2009-12-11,38,87.94
2009-12-18,39,84.95
2010-01-08,28,84.99
2010-01-15,30,85.11
2010-01-22,26,80.29
2010-01-29,26,78.35
2010-02-05,29,76.69
2010-02-12,31,78.55
2010-02-19,22,81.76
2010-02-26,34,84.76
2010-03-05,27,86.95
2010-03-12,25,86.18
2010-03-19,36,91.05
2010-03-26,31,91.35
2010-04-09,26,91.26
2010-04-16,33,93.87
2010-04-23,26,92.81
2010-04-30,26,90.01
2010-05-07,26,83.14
2010-05-14,29,85.91
2010-05-21,29,83.06
2010-05-28,28,83.49
2010-06-04,24,79.37
2010-06-11,27,80.63
2010-06-18,40,78.7
2010-06-25,21,75.96
2010-07-02,32,71.41
2010-07-09,25,74.22
2010-07-16,28,74.61
2010-07-23,30,78.96
2010-07-30,33,82.55
2010-08-06,33,85.32
2010-08-13,32,80.8
2010-08-20,30,81.23
2010-08-27,29,80.46
2010-09-03,24,82.75
2010-09-10,24,84.16
2010-09-17,36,82.28
2010-09-24,34,84.23
2010-10-01,21,85.64
2010-10-08,23,88.69
2010-10-15,25,89.62
2010-10-22,30,88.86
2010-10-29,29,87.72
2010-11-05,27,90
2010-11-12,24,87.32
2010-11-19,19,86.79
2010-11-26,24,87.5
2010-12-03,25,95
2010-12-10,22,93.98
2010-12-17,41,93.07
2010-12-31,25,93.01
2011-01-07,26,93.15
2011-01-14,28,95.83
2011-01-21,17,93.34
2011-01-28,24,90.48
2011-02-04,28,91.74
2011-02-11,27,95.42
2011-02-18,29,98.32
2011-02-25,27,89.88
2011-03-04,28,88.69
2011-03-11,25,90.71
2011-03-18,33,89.28
2011-03-25,35,90.28
2011-04-01,25,95
2011-04-08,18,91.16
2011-04-15,25,92.58
2011-04-29,27,95.67
2011-05-06,24,95.65
2011-05-13,20,93.58
2011-05-20,28,93.82
2011-05-27,21,91.9
2011-06-03,18,90.15
2011-06-10,22,85.38
2011-06-17,26,86.99
2011-06-24,22,91.87
2011-07-01,21,96.52
2011-07-08,28,97.56
2011-07-15,26,92.2
2011-07-22,25,92.79
2011-07-29,25,86.88
2011-08-05,30,82.36
2011-08-12,39,80.48
2011-08-19,28,73.16
2011-08-26,20,75.72
2011-09-02,21,74.9
2011-09-09,22,73.4
2011-09-16,23,76.4
2011-09-23,33,67.3
2011-09-30,29,67.68
2011-10-07,27,71.06
2011-10-14,23,75.74
2011-10-21,21,79.34
2011-10-28,28,84.25
2011-11-04,28,82.01
2011-11-11,26,82.23
2011-11-18,23,81.22
2011-11-25,24,76.08
2011-12-02,25,82.14
2011-12-09,25,83.24
2011-12-16,36,84.89
2011-12-23,24,84.92
2011-12-30,24,83.51
2012-01-06,24,85.49
2012-01-13,23,90.37
2012-01-20,30,91.57
2012-01-27,24,92.95
2012-02-03,20,94.54
2012-02-10,30,95.27
2012-02-17,25,92.99
2012-02-24,22,90.24
2012-03-02,22,90.78
2012-03-09,22,91.79
2012-03-16,24,94.34
2012-03-23,30,92.38
2012-03-30,27,91.96
2012-04-13,25,88.03
2012-04-20,24,89.67
2012-04-27,26,88.24
2012-05-04,26,89.3
2012-05-11,24,87.8
2012-05-18,20,85.07
2012-05-25,24,89.28
2012-06-01,22,85.25
2012-06-08,25,87.57
2012-06-15,24,87.63
2012-06-22,31,90.54
2012-06-29,24,91.61
2012-07-06,21,91.28
2012-07-13,21,92.35
2012-07-20,26,90.08
2012-07-27,20,90.89
2012-08-03,23,89.82
2012-08-10,25,87.8
2012-08-17,21,90
2012-08-24,22,89.07
2012-08-31,18,87.63
2012-09-07,21,87.38
2012-09-14,28,90.15
2012-09-21,27,84.39
2012-09-28,23,84.62
2012-10-05,25,86.47
2012-10-12,28,90.4
2012-10-19,19,92.11
2012-10-26,16,90.69
2012-11-02,18,92.64
2012-11-09,24,89.73
2012-11-16,20,86.13
2012-11-23,25,87.73
2012-11-30,30,89.53
2012-12-07,26,89.36
2012-12-14,22,90.09
2012-12-21,25,92.74
2012-12-28,23,90.39
2013-01-04,24,94.91
2013-01-11,22,97.4
2013-01-18,27,99.82
2013-01-25,24,102.57
2013-02-01,30,102.76
2013-02-08,28,106.41
2013-02-15,26,106.42
2013-02-22,25,105.82
2013-03-01,24,105.38
2013-03-08,28,107.8
2013-03-15,23,109.07
2013-03-22,40,98.48
2013-04-05,23,95.5
2013-04-12,29,96.33
2013-04-19,23,92.39
2013-04-26,31,94.18
2013-05-03,20,94.52
2013-05-10,24,100.12
2013-05-17,28,100.05
2013-05-24,25,97.82
2013-05-31,28,96.34
2013-06-07,21,99.78
2013-06-14,25,99.12
2013-06-21,33,96.46
2013-06-28,25,98.58
2013-07-05,20,98.96
2013-07-12,35,102.29
2013-07-19,33,108.03
2013-07-26,27,104.58
2013-08-02,25,109.15
2013-08-09,24,108.22
2013-08-16,17,108.68
2013-08-23,25,110.69
2013-08-30,21,107.36
2013-09-06,22,108.16
2013-09-13,19,107.24
2013-09-20,30,116.83
2013-09-27,24,113.77
2013-10-04,20,114.73
2013-10-11,22,115.87
2013-10-18,26,126.44
2013-10-25,26,132.06
2013-11-01,26,134.65
2013-11-08,28,132.57
2013-11-15,26,138.65
2013-11-22,29,137.07
2013-11-29,27,138.7
2013-12-06,32,139.39
2013-12-13,31,137.9
2013-12-20,36,142.71
2013-12-27,33,143.43
2014-01-03,26,140.05
2014-01-10,30,142.63
2014-01-17,26,140.51
2014-01-24,26,134.58
2014-01-31,26,133.32
2014-02-07,24,131.76
2014-02-14,22,133.92
2014-02-21,18,134.9
2014-02-28,21,133.33
2014-03-07,23,137.43
2014-03-14,25,136.76
2014-03-21,28,136.79
2014-03-28,22,132.01
2014-04-04,23,134.35
2014-04-11,24,131.23
2014-04-25,26,134.21
