"Date","AES","Price"
2007-07-06,46,22.46
2007-07-13,44,22.39
2007-07-20,43,22.92
2007-07-27,42,20.1
2007-08-03,43,18.72
2007-08-10,46,18.66
2007-08-17,43,18.4
2007-08-24,45,19.13
2007-08-31,44,18.11
2007-09-07,44,18.29
2007-09-14,45,18.15
2007-09-21,47,19.58
2007-09-28,48,20.04
2007-10-05,49,20.8
2007-10-12,44,21.44
2007-10-19,43,20.23
2007-10-26,44,20.9
2007-11-02,42,21.67
2007-11-09,40,21.82
2007-11-16,42,21.85
2007-11-23,39,21.16
2007-11-30,41,21.85
2007-12-07,42,21.94
2007-12-14,41,21.6
2007-12-21,39,21.98
2007-12-28,36,21.66
2008-01-04,39,21.14
2008-01-11,46,21.11
2008-01-18,47,18.22
2008-01-25,43,18.22
2008-02-01,44,19.46
2008-02-08,48,19.14
2008-02-15,42,19.29
2008-02-22,44,18.87
2008-02-29,44,17.98
2008-03-07,46,17.78
2008-03-14,44,17.6
2008-03-28,43,16.32
2008-04-04,43,17.06
2008-04-11,44,17.25
2008-04-18,44,18
2008-04-25,42,17.99
2008-05-02,43,18
2008-05-09,42,19.11
2008-05-16,42,19.85
2008-05-23,41,18.92
2008-05-30,40,19.48
2008-06-06,42,19.34
2008-06-13,42,20.12
2008-06-20,40,19.56
2008-06-27,42,18.8
2008-07-11,43,17.59
2008-07-18,42,16.77
2008-07-25,43,16.16
2008-08-01,45,15.53
2008-08-08,43,15.72
2008-08-15,43,15.32
2008-08-22,41,15.77
2008-08-29,43,15.26
2008-09-05,41,14.62
2008-09-12,41,14.22
2008-09-19,44,13.21
2008-09-26,42,12.58
2008-10-03,44,9.92
2008-10-10,45,7.63
2008-10-17,44,8.16
2008-10-24,40,7.86
2008-10-31,40,7.97
2008-11-07,42,8.48
2008-11-14,43,8.28
2008-11-21,40,7.26
2008-11-28,37,7.69
2008-12-05,40,6.4
2008-12-12,41,7.27
2008-12-19,38,7.88
2008-12-26,34,7.77
2009-01-02,34,8.64
2009-01-09,45,9.28
2009-01-16,42,8.56
2009-01-23,42,8.27
2009-01-30,42,7.91
2009-02-06,44,8.58
2009-02-13,43,7.74
2009-02-20,42,6.71
2009-02-27,42,6.3
2009-03-06,43,5.11
2009-03-13,42,6.14
2009-03-20,41,6.42
2009-03-27,40,6.16
2009-04-03,41,6.27
2009-04-17,45,6.95
2009-04-24,39,6.92
2009-05-01,38,7.73
2009-05-08,38,9.62
2009-05-15,40,8.55
2009-05-22,38,8.62
2009-05-29,39,9.99
2009-06-05,38,10.31
2009-06-12,40,10.69
2009-06-19,42,9.75
2009-06-26,39,10.87
2009-07-10,41,11.18
2009-07-17,40,11.93
2009-07-24,40,13.06
2009-07-31,41,12.79
2009-08-07,42,13.88
2009-08-14,40,13.79
2009-08-21,40,14.26
2009-08-28,42,13.92
2009-09-04,40,13.5
2009-09-11,40,14.15
2009-09-18,39,14.39
2009-09-25,40,14.32
2009-10-02,40,13.78
2009-10-09,41,14.81
2009-10-16,40,14.78
2009-10-23,38,14.22
2009-10-30,38,13.07
2009-11-06,37,14.03
2009-11-13,39,13.39
2009-11-20,38,12.65
2009-11-27,37,12.78
2009-12-04,39,13.36
2009-12-11,37,13.08
2009-12-18,35,13.76
2010-01-08,42,13.78
2010-01-15,42,14.04
2010-01-22,42,13.02
2010-01-29,41,12.63
2010-02-05,44,11.73
2010-02-12,42,11.77
2010-02-19,39,12.18
2010-02-26,40,11.69
2010-03-05,42,11.58
2010-03-12,42,11.66
2010-03-19,41,11.46
2010-03-26,39,10.86
2010-04-09,39,11.28
2010-04-16,40,11.56
2010-04-23,36,12.37
2010-04-30,39,11.54
2010-05-07,38,9.89
2010-05-14,38,10.66
2010-05-21,38,9.62
2010-05-28,37,10.27
2010-06-04,37,9.6
2010-06-11,39,10.38
2010-06-18,41,10.51
2010-06-25,37,9.86
2010-07-02,38,9.12
2010-07-09,39,10.23
2010-07-16,39,9.98
2010-07-23,38,10.46
2010-07-30,37,10.31
2010-08-06,40,10.65
2010-08-13,39,10.62
2010-08-20,39,10.4
2010-08-27,35,10.6
2010-09-03,36,11.14
2010-09-10,37,11.05
2010-09-17,39,10.88
2010-09-24,38,11.35
2010-10-01,39,11.54
2010-10-08,41,11.97
2010-10-15,36,12.32
2010-10-22,37,12.31
2010-10-29,36,11.94
2010-11-05,40,11.76
2010-11-12,38,11.46
2010-11-19,38,11.25
2010-11-26,33,10.93
2010-12-03,38,11.4
2010-12-10,41,11.39
2010-12-17,39,11.44
2010-12-31,34,12.18
2011-01-07,41,12.99
2011-01-14,41,12.99
2011-01-21,41,12.86
2011-01-28,40,12.37
2011-02-04,40,12.42
2011-02-11,40,12.45
2011-02-18,39,12.88
2011-02-25,39,12.26
2011-03-04,40,13.09
2011-03-11,39,13.1
2011-03-18,40,12.31
2011-03-25,39,12.71
2011-04-01,39,13.09
2011-04-08,41,13.26
2011-04-15,41,12.83
2011-04-29,36,13.24
2011-05-06,36,12.93
2011-05-13,39,12.44
2011-05-20,42,13.02
2011-05-27,39,12.76
2011-06-03,37,12.46
2011-06-10,40,12.31
2011-06-17,37,12.27
2011-06-24,37,12.12
2011-07-01,38,12.98
2011-07-08,39,13.06
2011-07-15,39,12.54
2011-07-22,36,12.68
2011-07-29,35,12.31
2011-08-05,37,10.82
2011-08-12,36,10.51
2011-08-19,38,10.18
2011-08-26,36,10.35
2011-09-02,38,10.32
2011-09-09,37,10.33
2011-09-16,40,11.06
2011-09-23,39,9.87
2011-09-30,40,9.76
2011-10-07,41,10.02
2011-10-14,38,10.51
2011-10-21,39,11.19
2011-10-28,36,11.65
2011-11-04,35,11.91
2011-11-11,36,11.78
2011-11-18,35,11.75
2011-11-25,34,11.09
2011-12-02,37,11.94
2011-12-09,36,11.86
2011-12-16,33,11.5
2011-12-23,32,11.87
2011-12-30,30,11.84
2012-01-06,36,12.23
2012-01-13,38,12.65
2012-01-20,39,13.06
2012-01-27,39,12.81
2012-02-03,40,12.92
2012-02-10,39,12.88
2012-02-17,37,13.7
2012-02-24,34,13.8
2012-03-02,37,13.49
2012-03-09,38,13.19
2012-03-16,37,13.17
2012-03-23,36,12.92
2012-03-30,36,13.07
2012-04-13,36,12.4
2012-04-20,36,12.26
2012-04-27,33,12.45
2012-05-04,34,12.08
2012-05-11,36,12.36
2012-05-18,33,11.95
2012-05-25,32,12.55
2012-06-01,32,11.84
2012-06-08,33,12.55
2012-06-15,36,12.63
2012-06-22,34,12.08
2012-06-29,35,12.83
2012-07-06,35,12.84
2012-07-13,35,12.72
2012-07-20,35,12.77
2012-07-27,33,11.98
2012-08-03,33,12.25
2012-08-10,34,11.78
2012-08-17,32,11.67
2012-08-24,35,11.51
2012-08-31,34,11.39
2012-09-07,35,11.39
2012-09-14,35,11.57
2012-09-21,35,11.12
2012-09-28,37,10.97
2012-10-05,39,10.92
2012-10-12,39,10.61
2012-10-19,43,11.04
2012-10-26,44,10.45
2012-11-02,40,10.66
2012-11-09,42,9.96
2012-11-16,37,9.89
2012-11-23,35,10.1
2012-11-30,37,10.67
2012-12-07,40,10.86
2012-12-14,38,10.74
2012-12-21,37,10.9
2012-12-28,29,10.51
2013-01-04,34,11.2
2013-01-11,39,11.11
2013-01-18,38,11.14
2013-01-25,39,11.09
2013-02-01,39,11.05
2013-02-08,41,11.07
2013-02-15,38,11.17
2013-02-22,38,11.23
2013-03-01,37,11.93
2013-03-08,38,12.33
2013-03-15,38,12.5
2013-03-22,34,12.41
2013-04-05,35,12.43
2013-04-12,36,13.1
2013-04-19,34,12.87
2013-04-26,33,13.47
2013-05-03,32,13.82
2013-05-10,35,13.31
2013-05-17,34,12.99
2013-05-24,31,12.66
2013-05-31,31,12.2
2013-06-07,34,12.51
2013-06-14,35,12.36
2013-06-21,32,11.48
2013-06-28,33,11.99
2013-07-05,34,11.86
2013-07-12,33,12.6
2013-07-19,35,12.83
2013-07-26,30,12.48
2013-08-02,31,12.66
2013-08-09,33,13.09
2013-08-16,33,12.66
2013-08-23,32,12.91
2013-08-30,31,12.71
2013-09-06,35,13.09
2013-09-13,35,13.27
2013-09-20,32,13.38
2013-09-27,32,13.47
2013-10-04,35,13.38
2013-10-11,35,13.69
2013-10-18,35,14.21
2013-10-25,33,14.31
2013-11-01,32,13.99
2013-11-08,33,14.21
2013-11-15,33,15.28
2013-11-22,31,14.62
2013-11-29,31,14.57
2013-12-06,35,15.02
2013-12-13,33,13.68
2013-12-20,33,14.32
2013-12-27,26,14.45
2014-01-03,28,14.2
2014-01-10,36,14.53
2014-01-17,36,14.3
2014-01-24,36,13.72
2014-01-31,37,14.06
2014-02-07,39,14.06
2014-02-14,37,14.62
2014-02-21,35,14.63
2014-02-28,35,13.65
2014-03-07,33,14.05
2014-03-14,37,13.81
2014-03-21,35,13.89
2014-03-28,34,14.29
2014-04-04,34,14.33
2014-04-11,34,14.15
2014-04-25,31,14.44
