"Date","Citrix.Systems","Price"
2011-08-05,42,64.41
2011-08-12,27,60.75
2011-08-19,30,50.31
2011-08-26,25,55.21
2011-09-02,47,57.35
2011-09-09,49,53.58
2011-09-16,29,58.24
2011-09-23,47,53.12
2011-09-30,38,54.53
2011-10-07,38,54.94
2011-10-14,43,63.02
2011-10-21,36,64.44
2011-10-28,36,73.37
2011-11-04,34,74.23
2011-11-11,22,73.99
2011-11-18,24,70.54
2011-11-25,26,64.47
2011-12-02,34,70.78
2011-12-09,30,71.26
2011-12-16,36,64.08
2011-12-23,27,62.04
2011-12-30,22,60.72
2012-01-06,19,62.02
2012-01-13,21,64.85
2012-01-20,33,68.12
2012-01-27,26,65.14
2012-02-03,46,68.78
2012-02-10,25,71.46
2012-02-17,27,74.77
2012-02-24,33,75.16
2012-03-02,29,75.43
2012-03-09,58,76.27
2012-03-16,26,78.2
2012-03-23,31,77.68
2012-03-30,38,78.91
2012-04-13,33,75.12
2012-04-20,35,77.78
2012-04-27,28,85.78
2012-05-04,37,82.85
2012-05-11,26,79.46
2012-05-18,40,74.82
2012-05-25,28,75.43
2012-06-01,30,70.79
2012-06-08,36,77.12
2012-06-15,34,80.12
2012-06-22,39,80.14
2012-06-29,47,83.94
2012-07-06,28,77.45
2012-07-13,38,76.63
2012-07-20,45,80.75
2012-07-27,35,77.81
2012-08-03,44,72.44
2012-08-10,37,76.26
2012-08-17,49,78.08
2012-08-24,32,77
2012-08-31,32,77.69
2012-09-07,35,80.59
2012-09-14,27,81.74
2012-09-21,39,81.19
2012-09-28,35,76.53
2012-10-05,36,71.57
2012-10-12,26,67.7
2012-10-19,22,64.16
2012-10-26,23,62.82
2012-11-02,21,62.77
2012-11-09,34,60.17
2012-11-16,30,59.21
2012-11-23,22,61.77
2012-11-30,29,61.16
2012-12-07,30,62.03
2012-12-14,27,65.02
2012-12-21,28,66.15
2012-12-28,16,64.3
2013-01-04,19,66.55
2013-01-11,23,71.47
2013-01-18,28,67.65
2013-01-25,29,71.55
2013-02-01,29,74.03
2013-02-08,28,72.91
2013-02-15,23,72.62
2013-02-22,26,72.91
2013-03-01,22,71.36
2013-03-08,27,74.43
2013-03-15,23,73.79
2013-03-22,25,71.01
2013-04-05,22,68.9
2013-04-12,22,70.39
2013-04-19,16,67.17
2013-04-26,26,61.8
2013-05-03,24,63.49
2013-05-10,22,66.56
2013-05-17,31,66.84
2013-05-24,32,63.43
2013-05-31,25,64.38
2013-06-07,20,63.61
2013-06-14,23,61.23
2013-06-21,31,59.99
2013-06-28,37,60.36
2013-07-05,23,63.36
2013-07-12,29,67.41
2013-07-19,31,65.07
2013-07-26,23,67.78
2013-08-02,32,73.12
2013-08-09,30,72.96
2013-08-16,22,71.6
2013-08-23,29,72.71
2013-08-30,29,70.77
2013-09-06,25,71.38
2013-09-13,18,73.79
2013-09-20,24,76.08
2013-09-27,28,70.8
2013-10-04,18,70.48
2013-10-11,42,59.08
2013-10-18,25,57.26
2013-10-25,30,57.98
2013-11-01,27,56.82
2013-11-08,23,59.79
2013-11-15,22,56.9
2013-11-22,27,59
2013-11-29,17,59.32
2013-12-06,21,60.03
2013-12-13,25,57.99
2013-12-20,27,61.73
2013-12-27,27,61.67
2014-01-03,28,62.48
2014-01-10,28,60.13
2014-01-17,28,60.44
2014-01-24,30,58.9
2014-01-31,24,54.07
2014-02-07,31,55.28
2014-02-14,17,57.14
2014-02-21,22,59.8
2014-02-28,33,60.05
2014-03-07,35,60.99
2014-03-14,24,59.8
2014-03-21,25,62.02
2014-03-28,22,57.47
2014-04-04,21,56.53
2014-04-11,27,54.56
2014-04-25,25,59.42
