"Date","Vulcan.Materials","Price"
2008-11-28,20,59.98
2008-12-05,27,66.75
2008-12-12,21,67.85
2008-12-19,26,67.17
2008-12-26,23,67.65
2009-01-02,23,69.74
2009-01-09,26,61.19
2009-01-16,32,58.67
2009-01-23,30,53.18
2009-01-30,33,49.46
2009-02-06,30,51.47
2009-02-13,41,45.73
2009-02-20,21,40.45
2009-02-27,21,41.41
2009-03-06,22,35.82
2009-03-13,22,39.62
2009-03-20,26,38.7
2009-03-27,27,44.39
2009-04-03,30,48.3
2009-04-17,22,52.33
2009-04-24,30,51.49
2009-05-01,25,45.26
2009-05-08,35,47.65
2009-05-15,31,41.38
2009-05-22,31,40.26
2009-05-29,24,44.29
2009-06-05,24,46.09
2009-06-12,25,47.2
2009-06-19,40,43.57
2009-06-26,30,44.49
2009-07-10,30,40.6
2009-07-17,25,42.18
2009-07-24,33,47.5
2009-07-31,34,47.48
2009-08-07,37,50.4
2009-08-14,35,48.04
2009-08-21,24,49.71
2009-08-28,22,50.97
2009-09-04,35,49.21
2009-09-11,23,55.17
2009-09-18,23,57.42
2009-09-25,26,53.03
2009-10-02,24,50.06
2009-10-09,33,51.81
2009-10-16,27,52.48
2009-10-23,26,50.73
2009-10-30,21,46.03
2009-11-06,28,47.96
2009-11-13,23,48.29
2009-11-20,22,49.77
2009-11-27,19,48.69
2009-12-04,23,49.03
2009-12-11,16,47.88
2009-12-18,22,49.78
2010-01-08,28,52.65
2010-01-15,23,51.16
2010-01-22,27,47.06
2010-01-29,23,44.19
2010-02-05,26,43.66
2010-02-12,30,42.94
2010-02-19,32,45.5
2010-02-26,26,43.41
2010-03-05,35,45.09
2010-03-12,33,45.26
2010-03-19,27,48.57
2010-03-26,39,47.78
2010-04-09,34,48.42
2010-04-16,29,52.9
2010-04-23,27,57.27
2010-04-30,33,57.28
2010-05-07,33,51.08
2010-05-14,30,52.88
2010-05-21,37,49.75
2010-05-28,28,50.48
2010-06-04,23,47.95
2010-06-11,25,47.01
2010-06-18,33,47.53
2010-06-25,26,46.07
2010-07-02,25,43.38
2010-07-09,21,44.47
2010-07-16,32,43.24
2010-07-23,22,46.21
2010-07-30,34,45.24
2010-08-06,30,41.62
2010-08-13,28,38.32
2010-08-20,21,38.9
2010-08-27,22,38.48
2010-09-03,29,38.55
2010-09-10,23,38.46
2010-09-17,22,36.63
2010-09-24,29,36.46
2010-10-01,25,37.5
2010-10-08,18,36.79
2010-10-15,21,36.53
2010-10-22,24,36.7
2010-10-29,23,36.51
2010-11-05,31,42.39
2010-11-12,23,40.66
2010-11-19,23,39.55
2010-11-26,14,38.76
2010-12-03,18,42
2010-12-10,26,43.28
2010-12-17,14,46.06
2010-12-31,17,44.36
2011-01-07,24,40.5
2011-01-14,21,41.06
2011-01-21,29,40.51
2011-01-28,28,41.72
2011-02-04,34,42.95
2011-02-11,23,44.47
2011-02-18,26,46.73
2011-02-25,15,44.97
2011-03-04,28,43.67
2011-03-11,29,42.14
2011-03-18,24,43.02
2011-03-25,22,45.29
2011-04-01,27,46.28
2011-04-08,28,45
2011-04-15,26,43.62
2011-04-29,23,45.2
2011-05-06,30,40.92
2011-05-13,25,39.98
2011-05-20,21,40.26
2011-05-27,32,39.53
2011-06-03,26,37.78
2011-06-10,23,36.97
2011-06-17,25,38.87
2011-06-24,29,38.33
2011-07-01,27,39.72
2011-07-08,22,38.03
2011-07-15,31,35.67
2011-07-22,28,35.85
2011-07-29,24,34.29
2011-08-05,30,33.75
2011-08-12,20,30.25
2011-08-19,26,29.56
2011-08-26,27,34.49
2011-09-02,21,32.47
2011-09-09,19,31.81
2011-09-16,23,33.18
2011-09-23,24,28.88
2011-09-30,26,27.56
2011-10-07,26,28.04
2011-10-14,19,32.12
2011-10-21,21,30.87
2011-10-28,21,33.21
2011-11-04,19,30.6
2011-11-11,27,30.51
2011-11-18,19,32.18
2011-11-25,18,29.42
2011-12-02,25,32.66
2011-12-09,21,33.55
2011-12-16,86,38.78
2011-12-23,46,39.57
2011-12-30,32,39.35
2012-01-06,36,39.29
2012-01-13,27,40.66
2012-01-20,30,42.72
2012-01-27,27,43.45
2012-02-03,25,44.79
2012-02-10,31,46.94
2012-02-17,33,47.68
2012-02-24,31,46.17
2012-03-02,31,43.63
2012-03-09,35,45.99
2012-03-16,31,45.72
2012-03-23,30,44.16
2012-03-30,27,42.73
2012-04-13,29,41.63
2012-04-20,26,41.18
2012-04-27,32,42.36
2012-05-04,28,41.37
2012-05-11,33,40.02
2012-05-18,27,34.59
2012-05-25,24,35.76
2012-06-01,27,32.97
2012-06-08,29,34.23
2012-06-15,20,34.35
2012-06-22,21,35.28
2012-06-29,22,39.71
2012-07-06,17,41.12
2012-07-13,23,43.13
2012-07-20,24,44.08
2012-07-27,37,39.79
2012-08-03,21,38.41
2012-08-10,22,39.78
2012-08-17,22,40.4
2012-08-24,24,41.07
2012-08-31,20,38.92
2012-09-07,17,40.35
2012-09-14,26,49.17
2012-09-21,27,48.49
2012-09-28,27,47.3
2012-10-05,28,48.21
2012-10-12,28,46.14
2012-10-19,19,46.55
2012-10-26,21,46.49
2012-11-02,23,46.35
2012-11-09,19,46.34
2012-11-16,21,46.55
2012-11-23,21,49.24
2012-11-30,22,52.84
2012-12-07,16,52
2012-12-14,20,51.6
2012-12-21,17,52.26
2012-12-28,18,51.2
2013-01-04,19,53.85
2013-01-11,19,54.58
2013-01-18,25,56.69
2013-01-25,27,57.2
2013-02-01,22,56.88
2013-02-08,16,56.08
2013-02-15,25,55.03
2013-02-22,20,51.96
2013-03-01,20,51.99
2013-03-08,24,54.72
2013-03-15,20,54.56
2013-03-22,23,51.43
2013-04-05,23,48.83
2013-04-12,23,48.88
2013-04-19,25,46.05
2013-04-26,22,46.52
2013-05-03,24,53.48
2013-05-10,24,54.57
2013-05-17,22,55.06
2013-05-24,24,53.75
2013-05-31,23,53.58
2013-06-07,20,52.19
2013-06-14,23,53.69
2013-06-21,27,50.2
2013-06-28,25,48.41
2013-07-05,23,46.94
2013-07-12,25,50.68
2013-07-19,21,50.48
2013-07-26,22,48.96
2013-08-02,19,49.23
2013-08-09,23,48.38
2013-08-16,22,47.85
2013-08-23,28,48.23
2013-08-30,25,47.8
2013-09-06,17,49.14
2013-09-13,22,52.57
2013-09-20,25,51.99
2013-09-27,21,51.3
2013-10-04,22,52.81
2013-10-11,26,52.83
2013-10-18,22,52.08
2013-10-25,25,54.84
2013-11-01,28,53.67
2013-11-08,28,56.6
2013-11-15,22,56.8
2013-11-22,21,56.79
2013-11-29,15,56.37
2013-12-06,24,55.92
2013-12-13,19,56.13
2013-12-20,23,57.34
2013-12-27,16,58.64
2014-01-03,20,58.59
2014-01-10,20,59.42
2014-01-17,27,59.65
2014-01-24,31,59.57
2014-01-31,21,61.73
2014-02-07,28,64.76
2014-02-14,25,66.33
2014-02-21,25,65.73
2014-02-28,26,67.93
2014-03-07,24,68.85
2014-03-14,24,66.23
2014-03-21,21,66.11
2014-03-28,20,66.39
2014-04-04,21,66.33
2014-04-11,24,63.72
2014-04-25,23,64.07
