"Date","sell.SEE","Price"
2009-06-12,49,19.12
2009-06-19,47,17.85
2009-06-26,30,17.81
2009-07-10,52,19.12
2009-07-17,58,20.53
2009-07-24,38,21.58
2009-07-31,63,18.39
2009-08-07,28,18.59
2009-08-14,63,18.37
2009-08-21,47,18.78
2009-08-28,43,19.24
2009-09-04,39,18.58
2009-09-11,58,19.05
2009-09-18,35,20.58
2009-09-25,58,19.41
2009-10-02,42,18.78
2009-10-09,42,19.8
2009-10-16,55,20.22
2009-10-23,48,20.24
2009-10-30,43,19.23
2009-11-06,39,20.96
2009-11-13,45,21.8
2009-11-20,45,22.15
2009-11-27,48,22.31
2009-12-04,62,22.62
2009-12-11,53,22.3
2009-12-18,47,21.75
2010-01-08,70,21.68
2010-01-15,37,21.12
2010-01-22,51,20.44
2010-01-29,51,19.84
2010-02-05,61,19.05
2010-02-12,55,19.57
2010-02-19,40,20.17
2010-02-26,38,20.43
2010-03-05,55,20.91
2010-03-12,64,21.1
2010-03-19,36,21.6
2010-03-26,39,21.31
2010-04-09,43,21.7
2010-04-16,33,22.45
2010-04-23,41,23.26
2010-04-30,39,21.5
2010-05-07,43,20.58
2010-05-14,33,21.14
2010-05-21,29,20.96
2010-05-28,32,20.84
2010-06-04,32,20.11
2010-06-11,40,20.85
2010-06-18,33,21.52
2010-06-25,61,20.69
2010-07-02,41,19.49
2010-07-09,45,20.85
2010-07-16,61,21.12
2010-07-23,62,22.68
2010-07-30,52,21.63
2010-08-06,67,22.36
2010-08-13,56,21.64
2010-08-20,52,21.22
2010-08-27,50,20.9
2010-09-03,62,21.16
2010-09-10,53,21.69
2010-09-17,51,22.5
2010-09-24,43,22.71
2010-10-01,42,22.73
2010-10-08,55,22.86
2010-10-15,58,23.77
2010-10-22,34,23.76
2010-10-29,54,23.15
2010-11-05,50,23.59
2010-11-12,50,22.52
2010-11-19,77,22.87
2010-11-26,53,23.26
2010-12-03,43,24.28
2010-12-10,47,24.32
2010-12-17,80,25.05
2010-12-31,56,25.45
2011-01-07,64,25.93
2011-01-14,57,26.86
2011-01-21,75,25.45
2011-01-28,56,26.64
2011-02-04,45,28.17
2011-02-11,61,28.39
2011-02-18,59,28.24
2011-02-25,53,27.45
2011-03-04,57,26.9
2011-03-11,60,26.18
2011-03-18,55,25.83
2011-03-25,56,26.43
2011-04-01,48,26.9
2011-04-08,63,26.19
2011-04-15,42,26.09
2011-04-29,69,25.77
2011-05-06,51,25.71
2011-05-13,54,25.6
2011-05-20,50,25.74
2011-05-27,40,25.35
2011-06-03,59,21.89
2011-06-10,60,23.42
2011-06-17,55,22.98
2011-06-24,51,22.51
2011-07-01,74,23.87
2011-07-08,50,23.53
2011-07-15,53,23.04
2011-07-22,56,23.05
2011-07-29,55,21.53
2011-08-05,65,19.62
2011-08-12,48,18.46
2011-08-19,59,17.37
2011-08-26,61,17.02
2011-09-02,54,17.75
2011-09-09,50,17.45
2011-09-16,58,19.13
2011-09-23,51,17.42
2011-09-30,60,16.7
2011-10-07,60,16.47
2011-10-14,60,17.52
2011-10-21,56,17.34
2011-10-28,53,18.35
2011-11-04,44,17.7
2011-11-11,56,18.15
2011-11-18,61,16.88
2011-11-25,65,16.31
2011-12-02,60,17.82
2011-12-09,60,18.15
2011-12-16,49,17.42
2011-12-23,47,17.05
2011-12-30,58,17.21
2012-01-06,77,17.54
2012-01-13,67,17.98
2012-01-20,54,19.3
2012-01-27,73,19.9
2012-02-03,66,20.71
2012-02-10,57,20.08
2012-02-17,64,21.04
2012-02-24,72,19.83
2012-03-02,59,19.78
2012-03-09,66,19.5
2012-03-16,48,20.32
2012-03-23,49,19.56
2012-03-30,55,19.31
2012-04-13,48,18.73
2012-04-20,49,19.11
2012-04-27,53,19.24
2012-05-04,49,17.69
2012-05-11,53,17.8
2012-05-18,62,16.03
2012-05-25,52,16
2012-06-01,50,15.26
2012-06-08,60,15.63
2012-06-15,39,15.54
2012-06-22,47,15.58
2012-06-29,58,15.44
2012-07-06,50,15.82
2012-07-13,61,15.36
2012-07-20,56,15.58
2012-07-27,57,15.94
2012-08-03,63,13.82
2012-08-10,58,13.99
2012-08-17,60,13.58
2012-08-24,52,13.26
2012-08-31,56,14.27
2012-09-07,48,15.06
2012-09-14,48,16.3
2012-09-21,56,16.67
2012-09-28,46,15.46
2012-10-05,56,15.91
2012-10-12,56,15.35
2012-10-19,48,15.95
2012-10-26,47,15.84
2012-11-02,49,16.67
2012-11-09,56,16.68
2012-11-16,54,16.39
2012-11-23,59,17.16
2012-11-30,48,16.82
2012-12-07,52,16.51
2012-12-14,49,16.13
2012-12-21,48,17.35
2012-12-28,42,17.09
2013-01-04,50,18.11
2013-01-11,53,18.22
2013-01-18,60,18.8
2013-01-25,59,18.62
2013-02-01,59,19.08
2013-02-08,56,19.25
2013-02-15,44,19.4
2013-02-22,41,21.02
2013-03-01,64,22.38
2013-03-08,55,22.5
2013-03-15,54,24.27
2013-03-22,52,23.71
2013-04-05,46,21.9
2013-04-12,57,22.65
2013-04-19,45,21.48
2013-04-26,62,21.79
2013-05-03,62,22.51
2013-05-10,54,23.1
2013-05-17,39,23.86
2013-05-24,47,23.76
2013-05-31,57,24.02
2013-06-07,48,24.41
2013-06-14,42,23.88
2013-06-21,55,23.47
2013-06-28,50,23.95
2013-07-05,50,25.56
2013-07-12,45,27.51
2013-07-19,58,27.55
2013-07-26,47,27.12
2013-08-02,54,30.36
2013-08-09,55,30.09
2013-08-16,56,29.16
2013-08-23,63,29.41
2013-08-30,59,28.4
2013-09-06,47,29.52
2013-09-13,53,30.04
2013-09-20,54,28.56
2013-09-27,40,27.49
2013-10-04,52,27.07
2013-10-11,48,27.44
2013-10-18,50,27.93
2013-10-25,57,28.33
2013-11-01,50,31.21
2013-11-08,52,30.82
2013-11-15,51,31.73
2013-11-22,56,31.78
2013-11-29,54,32.11
2013-12-06,42,32.52
2013-12-13,47,31.85
2013-12-20,52,32.95
2013-12-27,47,33.82
2014-01-03,57,33.67
2014-01-10,57,34.02
2014-01-17,54,33.06
2014-01-24,57,31.07
2014-01-31,54,31.19
2014-02-07,48,31.45
2014-02-14,66,32.27
2014-02-21,48,32.78
2014-02-28,51,34.04
2014-03-07,53,33.52
2014-03-14,49,32.09
2014-03-21,40,32.23
2014-03-28,58,31.53
2014-04-04,48,32.38
2014-04-11,45,30.36
2014-04-25,50,32.52
