"Date","sell.C","Price"
2011-11-04,67,30.34
2011-11-11,92,29.33
2011-11-18,88,26.28
2011-11-25,66,23.63
2011-12-02,54,28.17
2011-12-09,55,28.77
2011-12-16,71,26.03
2011-12-23,56,27.46
2011-12-30,87,26.31
2012-01-06,73,28.55
2012-01-13,54,30.74
2012-01-20,87,29.64
2012-01-27,69,30.87
2012-02-03,66,33.54
2012-02-10,58,32.93
2012-02-17,65,32.92
2012-02-24,90,32.35
2012-03-02,73,34.1
2012-03-09,68,34.2
2012-03-16,82,36.69
2012-03-23,75,37.13
2012-03-30,80,36.55
2012-04-13,68,33.41
2012-04-20,58,33.89
2012-04-27,65,33.5
2012-05-04,63,31.6
2012-05-11,99,29.35
2012-05-18,63,26.01
2012-05-25,45,26.47
2012-06-01,72,25.39
2012-06-08,67,27.77
2012-06-15,53,28.31
2012-06-22,51,27.99
2012-06-29,73,27.41
2012-07-06,76,26.36
2012-07-13,66,26.65
2012-07-20,80,25.87
2012-07-27,57,27.3
2012-08-03,53,27.4
2012-08-10,86,28.9
2012-08-17,47,29.03
2012-08-24,80,29.83
2012-08-31,60,29.71
2012-09-07,52,32.07
2012-09-14,79,34.79
2012-09-21,78,33.67
2012-09-28,60,32.72
2012-10-05,65,34.77
2012-10-12,53,34.75
2012-10-19,51,37.16
2012-10-26,100,36.6
2012-11-02,73,37.6
2012-11-09,78,35.93
2012-11-16,72,34.98
2012-11-23,62,36.03
2012-11-30,72,34.57
2012-12-07,84,37.64
2012-12-14,67,37.6
2012-12-21,76,39.49
2012-12-28,76,39.01
2013-01-04,83,42.43
2013-01-11,69,42.34
2013-01-18,76,41.66
2013-01-25,59,42.91
2013-02-01,68,43.02
2013-02-08,86,42.68
2013-02-15,59,43.84
2013-02-22,69,42.79
2013-03-01,63,42.11
2013-03-08,66,46.68
2013-03-15,65,47.26
2013-03-22,62,45.23
2013-04-05,75,43.01
2013-04-12,77,44.78
2013-04-19,54,45.03
2013-04-26,61,46.92
2013-05-03,74,46.97
2013-05-10,76,48.75
2013-05-17,52,51.45
2013-05-24,66,50.52
2013-05-31,74,51.99
2013-06-07,63,51.6
2013-06-14,77,49.22
2013-06-21,61,46.87
2013-06-28,78,47.97
2013-07-05,69,48.53
2013-07-12,63,50.81
2013-07-19,77,52.35
2013-07-26,63,52.21
2013-08-02,66,53
2013-08-09,82,51.32
2013-08-16,59,50.35
2013-08-23,76,49.83
2013-08-30,66,48.33
2013-09-06,61,49.22
2013-09-13,77,50.49
2013-09-20,93,51.21
2013-09-27,75,48.89
2013-10-04,66,49.14
2013-10-11,76,49.22
2013-10-18,71,51.15
2013-10-25,65,50.06
2013-11-01,67,48.74
2013-11-08,64,49.94
2013-11-15,76,50.4
2013-11-22,69,52.41
2013-11-29,38,52.92
2013-12-06,75,51.49
2013-12-13,66,50.97
2013-12-20,64,52.21
2013-12-27,75,52.26
2014-01-03,78,53.4
2014-01-10,92,54.72
2014-01-17,77,52.27
2014-01-24,64,49.33
2014-01-31,67,47.43
2014-02-07,81,49.34
2014-02-14,69,49.52
2014-02-21,63,48.26
2014-02-28,98,48.63
2014-03-07,61,49.62
2014-03-14,48,46.88
2014-03-21,58,50.08
2014-03-28,66,47.25
2014-04-04,66,47.11
2014-04-11,71,45.68
2014-04-25,74,47.75
