"Date","NFX","Price"
2009-10-30,13,41.02
2009-11-06,18,42.87
2009-11-13,9,44.18
2009-11-20,13,41.12
2009-11-27,17,42.42
2009-12-04,17,41.07
2009-12-11,11,41.18
2009-12-18,12,47.26
2010-01-08,16,50.46
2010-01-15,15,52.94
2010-01-22,17,50.56
2010-01-29,17,48.94
2010-02-05,11,49.8
2010-02-12,19,52.02
2010-02-19,13,50.62
2010-02-26,11,51.07
2010-03-05,14,52.84
2010-03-12,17,54.81
2010-03-19,13,49.98
2010-03-26,19,47.59
2010-04-09,13,55.21
2010-04-16,17,52.74
2010-04-23,19,56.74
2010-04-30,14,58.19
2010-05-07,10,51.08
2010-05-14,10,53.97
2010-05-21,14,48.1
2010-05-28,10,52.06
2010-06-04,13,49.91
2010-06-11,12,54.39
2010-06-18,9,55.51
2010-06-25,11,52.27
2010-07-02,11,47.33
2010-07-09,12,52.03
2010-07-16,12,49.56
2010-07-23,13,51.5
2010-07-30,10,53.46
2010-08-06,15,54.22
2010-08-13,13,50.6
2010-08-20,17,49.51
2010-08-27,18,47.79
2010-09-03,14,51.16
2010-09-10,18,51.27
2010-09-17,15,53.01
2010-09-24,13,55.18
2010-10-01,15,58.64
2010-10-08,15,58.49
2010-10-15,17,59.67
2010-10-22,13,59.11
2010-10-29,11,59.62
2010-11-05,13,64.59
2010-11-12,15,65.8
2010-11-19,17,67.81
2010-11-26,12,66.79
2010-12-03,11,70.13
2010-12-10,11,72.37
2010-12-17,14,71.01
2010-12-31,15,72.11
2011-01-07,19,70.82
2011-01-14,13,71.06
2011-01-21,15,68.34
2011-01-28,17,69.04
2011-02-04,15,74.7
2011-02-11,14,70.91
2011-02-18,16,68.53
2011-02-25,12,72.14
2011-03-04,14,72.01
2011-03-11,10,70.39
2011-03-18,15,72.06
2011-03-25,12,75.68
2011-04-01,14,75.88
2011-04-08,10,75.96
2011-04-15,13,71.1
2011-04-29,7,70.8
2011-05-06,14,67.6
2011-05-13,13,70.07
2011-05-20,12,74.9
2011-05-27,12,74.15
2011-06-03,11,72.75
2011-06-10,13,67.81
2011-06-17,13,63.7
2011-06-24,12,64.82
2011-07-01,14,69.25
2011-07-08,14,69.84
2011-07-15,15,69.78
2011-07-22,13,72.91
2011-07-29,12,67.42
2011-08-05,11,55.54
2011-08-12,12,54.5
2011-08-19,12,46.74
2011-08-26,13,48.1
2011-09-02,13,47.99
2011-09-09,10,47.6
2011-09-16,10,48.96
2011-09-23,15,40.32
2011-09-30,11,39.69
2011-10-07,14,40.65
2011-10-14,12,41.68
2011-10-21,17,36.73
2011-10-28,13,42
2011-11-04,13,42.92
2011-11-11,13,44.01
2011-11-18,12,40.87
2011-11-25,8,38.54
2011-12-02,16,45.6
2011-12-09,13,41.88
2011-12-16,16,37.01
2011-12-23,11,37.59
2011-12-30,12,37.73
2012-01-06,11,38.18
2012-01-13,15,38.16
2012-01-20,13,38.76
2012-01-27,13,39.78
2012-02-03,15,38.29
2012-02-10,15,38.18
2012-02-17,11,42
2012-02-24,18,36.6
2012-03-02,15,35.47
2012-03-09,13,35.55
2012-03-16,12,36.27
2012-03-23,15,35.8
2012-03-30,9,34.68
2012-04-13,12,32.88
2012-04-20,15,32.48
2012-04-27,11,35.95
2012-05-04,12,34.39
2012-05-11,11,32.26
2012-05-18,9,28.24
2012-05-25,9,31.06
2012-06-01,12,28.33
2012-06-08,15,29.2
2012-06-15,9,26.97
2012-06-22,14,26.54
2012-06-29,12,29.31
2012-07-06,12,29.25
2012-07-13,16,30.02
2012-07-20,13,32.05
2012-07-27,16,31.24
2012-08-03,12,30.04
2012-08-10,11,32.11
2012-08-17,12,32.35
2012-08-24,11,31.71
2012-08-31,10,32.63
2012-09-07,13,33.34
2012-09-14,14,35.21
2012-09-21,12,33.05
2012-09-28,12,31.32
2012-10-05,15,30.54
2012-10-12,13,33.13
2012-10-19,13,34.14
2012-10-26,15,27.08
2012-11-02,14,26.33
2012-11-09,13,25.19
2012-11-16,13,24.26
2012-11-23,13,24.14
2012-11-30,13,24.34
2012-12-07,13,25.79
2012-12-14,13,25.76
2012-12-21,13,26.97
2012-12-28,13,25.79
2013-01-04,16,28.03
2013-01-11,16,28
2013-01-18,15,28.64
2013-01-25,15,28.89
2013-02-01,13,29.55
2013-02-08,12,29.69
2013-02-15,17,27.15
2013-02-22,14,24.92
2013-03-01,12,23.06
2013-03-08,13,23.72
2013-03-15,14,24.11
2013-03-22,18,22.86
2013-04-05,13,22.14
2013-04-12,16,21.7
2013-04-19,12,20.04
2013-04-26,16,22.39
2013-05-03,14,22.78
2013-05-10,11,23.65
2013-05-17,13,23.58
2013-05-24,12,24.36
2013-05-31,11,23.79
2013-06-07,13,23.54
2013-06-14,13,22.5
2013-06-21,11,23.56
2013-06-28,12,23.89
2013-07-05,15,24.51
2013-07-12,9,25.75
2013-07-19,15,27.69
2013-07-26,15,24.78
2013-08-02,14,24.55
2013-08-09,11,24.65
2013-08-16,12,23.78
2013-08-23,13,23.52
2013-08-30,11,23.82
2013-09-06,16,23.86
2013-09-13,16,25.6
2013-09-20,13,26.83
2013-09-27,13,27.38
2013-10-04,13,28.7
2013-10-11,14,29.17
2013-10-18,14,30.34
2013-10-25,15,31.26
2013-11-01,14,30.45
2013-11-08,16,29.46
2013-11-15,13,29.67
2013-11-22,14,30.03
2013-11-29,14,28.1
2013-12-06,18,26.43
2013-12-13,19,23.36
2013-12-20,16,23.98
2013-12-27,13,24.54
2014-01-03,13,24.39
2014-01-10,15,25.69
2014-01-17,17,25.09
2014-01-24,17,24.71
2014-01-31,16,24.77
2014-02-07,15,24.12
2014-02-14,15,25.17
2014-02-21,18,24.7
2014-02-28,15,28.19
2014-03-07,14,28.75
2014-03-14,16,27.65
2014-03-21,13,30.08
2014-03-28,13,31.55
2014-04-04,13,32.25
2014-04-11,14,32.04
2014-04-25,15,31.75
