"Date","DRI","Price"
2006-12-01,48,40.06
2006-12-08,50,40.2
2006-12-15,50,40.44
2006-12-22,48,40.42
2006-12-29,45,40.17
2007-01-05,43,39.13
2007-01-12,48,39.43
2007-01-19,49,39.91
2007-01-26,52,38.32
2007-02-02,57,40.28
2007-02-09,56,41.38
2007-02-16,51,42.71
2007-02-23,51,42.66
2007-03-02,49,39.79
2007-03-09,50,39.8
2007-03-16,55,39.43
2007-03-23,51,41.32
2007-03-30,44,41.19
2007-04-13,52,40.79
2007-04-20,53,41.25
2007-04-27,52,42.32
2007-05-04,47,43.22
2007-05-11,51,45.8
2007-05-18,45,45.34
2007-05-25,50,45.32
2007-06-01,50,45.8
2007-06-08,48,45.22
2007-06-15,49,46.86
2007-06-22,48,42.93
2007-06-29,47,43.99
2007-07-06,45,44.41
2007-07-13,49,44.84
2007-07-20,45,43.53
2007-07-27,51,42.01
2007-08-03,45,44.56
2007-08-10,53,42.94
2007-08-17,50,38.93
2007-08-24,43,42.33
2007-08-31,53,41.6
2007-09-07,48,40.87
2007-09-14,46,42.44
2007-09-21,50,43.82
2007-09-28,50,41.86
2007-10-05,48,44.06
2007-10-12,46,43.27
2007-10-19,44,43.1
2007-10-26,46,42.91
2007-11-02,48,41.01
2007-11-09,48,40.13
2007-11-16,45,39.79
2007-11-23,46,39.4
2007-11-30,48,39.79
2007-12-07,55,39.26
2007-12-14,43,35.79
2007-12-21,46,27.51
2007-12-28,36,27.62
2008-01-04,42,25.59
2008-01-11,49,22.19
2008-01-18,43,22.19
2008-01-25,43,26.21
2008-02-01,46,28.84
2008-02-08,46,26.86
2008-02-15,44,30.54
2008-02-22,46,31.38
2008-02-29,47,30.83
2008-03-07,44,28.25
2008-03-14,44,29.28
2008-03-28,42,31.69
2008-04-04,46,34.41
2008-04-11,47,33.95
2008-04-18,51,35.72
2008-04-25,46,35.74
2008-05-02,43,36.53
2008-05-09,45,35.77
2008-05-16,46,36.02
2008-05-23,40,31.74
2008-05-30,41,34.25
2008-06-06,44,32.16
2008-06-13,46,32.47
2008-06-20,50,31.64
2008-06-27,49,32.26
2008-07-11,44,29.21
2008-07-18,45,31.52
2008-07-25,44,31.1
2008-08-01,46,32.07
2008-08-08,46,35.65
2008-08-15,47,36.04
2008-08-22,42,33.57
2008-08-29,45,29.29
2008-09-05,44,29.75
2008-09-12,46,30.43
2008-09-19,47,31.72
2008-09-26,45,28.56
2008-10-03,45,27.45
2008-10-10,44,21.43
2008-10-17,42,21.21
2008-10-24,45,18.71
2008-10-31,44,22.17
2008-11-07,42,19.59
2008-11-14,43,17.36
2008-11-21,46,14.3
2008-11-28,38,18.29
2008-12-05,44,20.5
2008-12-12,46,22
2008-12-19,45,28.55
2008-12-26,35,28.5
2009-01-02,45,29.54
2009-01-09,42,26.68
2009-01-16,41,25.97
2009-01-23,46,26.63
2009-01-30,43,26.22
2009-02-06,45,28.69
2009-02-13,43,29.32
2009-02-20,48,28.23
2009-02-27,46,27.14
2009-03-06,45,24.86
2009-03-13,44,28.6
2009-03-20,42,33.88
2009-03-27,43,35.41
2009-04-03,43,36.49
2009-04-17,46,39.53
2009-04-24,47,39.72
2009-05-01,43,36.12
2009-05-08,44,36.02
2009-05-15,42,34.1
2009-05-22,44,33.04
2009-05-29,43,36.17
2009-06-05,44,34.93
2009-06-12,44,33.8
2009-06-19,44,34.7
2009-06-26,43,32.21
2009-07-10,43,32.36
2009-07-17,48,33.71
2009-07-24,43,33.52
2009-07-31,44,32.39
2009-08-07,44,31.92
2009-08-14,44,31.71
2009-08-21,46,33.27
2009-08-28,45,33.52
2009-09-04,41,34.41
2009-09-11,43,34.55
2009-09-18,45,37.12
2009-09-25,42,35.6
2009-10-02,39,33.2
2009-10-09,43,32.99
2009-10-16,45,33.21
2009-10-23,41,31.29
2009-10-30,40,30.31
2009-11-06,42,32.65
2009-11-13,45,32.1
2009-11-20,43,31.44
2009-11-27,37,31.15
2009-12-04,44,32.21
2009-12-11,46,32.45
2009-12-18,45,35.13
2010-01-08,43,34.13
2010-01-15,44,35.3
2010-01-22,45,36.16
2010-01-29,39,36.96
2010-02-05,41,37.59
2010-02-12,44,38.99
2010-02-19,43,41.05
2010-02-26,42,40.55
2010-03-05,45,40.98
2010-03-12,44,42.02
2010-03-19,43,43.65
2010-03-26,45,44.29
2010-04-09,48,46.8
2010-04-16,48,46.86
2010-04-23,44,48.68
2010-04-30,46,44.75
2010-05-07,45,42.61
2010-05-14,43,43.47
2010-05-21,44,41.6
2010-05-28,44,42.9
2010-06-04,43,42.27
2010-06-11,46,43.29
2010-06-18,48,44.48
2010-06-25,39,39
2010-07-02,44,38.48
2010-07-09,47,39.43
2010-07-16,47,39.76
2010-07-23,45,42.57
2010-07-30,46,41.89
2010-08-06,43,41.82
2010-08-13,52,39.65
2010-08-20,47,41.27
2010-08-27,44,42.49
2010-09-03,44,44.56
2010-09-10,45,44.75
2010-09-17,50,44.73
2010-09-24,49,43.61
2010-10-01,45,42.99
2010-10-08,49,44.12
2010-10-15,51,44.74
2010-10-22,48,46.87
2010-10-29,49,45.71
2010-11-05,49,48.19
2010-11-12,50,48.65
2010-11-19,49,49.04
2010-11-26,45,49.49
2010-12-03,47,50.32
2010-12-10,50,49.48
2010-12-17,54,49.89
2010-12-31,44,46.44
2011-01-07,46,46.51
2011-01-14,49,46.15
2011-01-21,50,46.4
2011-01-28,52,45.18
2011-02-04,49,48.99
2011-02-11,52,49.49
2011-02-18,51,50.1
2011-02-25,53,47.28
2011-03-04,50,46.32
2011-03-11,47,46.99
2011-03-18,48,46.19
2011-03-25,47,45.63
2011-04-01,48,48.65
2011-04-08,52,46.89
2011-04-15,53,47.69
2011-04-29,50,46.97
2011-05-06,48,48.43
2011-05-13,48,50.31
2011-05-20,48,51.52
2011-05-27,52,50.92
2011-06-03,51,48.08
2011-06-10,52,46.96
2011-06-17,52,47.12
2011-06-24,52,48.51
2011-07-01,46,52.79
2011-07-08,50,53.22
2011-07-15,50,52.6
2011-07-22,52,53.28
2011-07-29,47,50.8
2011-08-05,51,47.96
2011-08-12,52,48.7
2011-08-19,49,44.95
2011-08-26,46,45.84
2011-09-02,46,46.43
2011-09-09,52,43.37
2011-09-16,53,45.61
2011-09-23,53,46.06
2011-09-30,54,42.75
2011-10-07,54,44.12
2011-10-14,51,46.66
2011-10-21,51,47.17
2011-10-28,53,48.5
2011-11-04,51,47.36
2011-11-11,52,47.41
2011-11-18,53,46.47
2011-11-25,50,44.6
2011-12-02,53,47.53
2011-12-09,56,43.21
2011-12-16,56,43.68
2011-12-23,46,45.7
2011-12-30,46,45.58
2012-01-06,52,44.34
2012-01-13,53,44.56
2012-01-20,50,46.75
2012-01-27,52,46.13
2012-02-03,52,48.52
2012-02-10,54,49.45
2012-02-17,50,50.9
2012-02-24,52,49.19
2012-03-02,53,49.76
2012-03-09,55,51.46
2012-03-16,53,52.51
2012-03-23,56,50.92
2012-03-30,55,51.16
2012-04-13,55,50.28
2012-04-20,55,49.93
2012-04-27,54,50.44
2012-05-04,56,50.62
2012-05-11,54,50.63
2012-05-18,52,51.13
2012-05-25,56,53.06
2012-06-01,54,49.87
2012-06-08,53,50.02
2012-06-15,55,51.46
2012-06-22,55,50.04
2012-06-29,50,50.63
2012-07-06,53,50.79
2012-07-13,56,50.22
2012-07-20,56,51.1
2012-07-27,57,51.99
2012-08-03,56,52.45
2012-08-10,59,52.85
2012-08-17,54,53.87
2012-08-24,57,52.35
2012-08-31,59,51.95
2012-09-07,59,53.49
2012-09-14,56,54.04
2012-09-21,55,57.21
2012-09-28,54,55.75
2012-10-05,55,55.09
2012-10-12,53,54.35
2012-10-19,52,53.83
2012-10-26,55,52.54
2012-11-02,52,52.63
2012-11-09,54,51.61
2012-11-16,54,50.92
2012-11-23,53,53.53
2012-11-30,60,52.88
2012-12-07,57,46.66
2012-12-14,59,46.46
2012-12-21,49,45.13
2012-12-28,42,44.44
2013-01-04,47,46.46
2013-01-11,55,44.92
2013-01-18,53,45.38
2013-01-25,54,45.87
2013-02-01,55,46.84
2013-02-08,59,47.36
2013-02-15,58,45.15
2013-02-22,55,46.23
2013-03-01,58,46.18
2013-03-08,60,47.33
2013-03-15,56,49.37
2013-03-22,58,49.62
2013-04-05,56,50.54
2013-04-12,62,50.26
2013-04-19,57,48.89
2013-04-26,59,50.99
2013-05-03,61,52.82
2013-05-10,59,53.56
2013-05-17,56,53.43
2013-05-24,58,52.83
2013-05-31,57,51.8
2013-06-07,61,54.23
2013-06-14,60,52.54
2013-06-21,57,50.12
2013-06-28,55,50.48
2013-07-05,60,51.33
2013-07-12,63,50.43
2013-07-19,61,49.49
2013-07-26,58,48.93
2013-08-02,59,49.88
2013-08-09,60,49.56
2013-08-16,60,47.91
2013-08-23,61,47.01
2013-08-30,62,46.21
2013-09-06,62,47.45
2013-09-13,63,48.37
2013-09-20,59,45.78
2013-09-27,63,46.7
2013-10-04,59,46.72
2013-10-11,66,50.5
2013-10-18,61,52.07
2013-10-25,62,51.7
2013-11-01,59,51.48
2013-11-08,65,52.16
2013-11-15,65,53.5
2013-11-22,64,53.87
2013-11-29,60,53.33
2013-12-06,69,52.48
2013-12-13,70,51.63
2013-12-20,62,51.09
2013-12-27,52,54.33
2014-01-03,55,53.01
2014-01-10,62,52.12
2014-01-17,60,50.96
2014-01-24,61,50.1
2014-01-31,63,49.44
2014-02-07,65,48.26
2014-02-14,66,48.38
2014-02-21,65,51.01
2014-02-28,100,51.06
2014-03-07,70,49.95
2014-03-14,70,49.22
2014-03-21,64,50.66
2014-03-28,66,50.62
2014-04-04,68,51.24
2014-04-11,72,48.46
2014-04-25,66,49.92
