"Date","COP","Price"
2008-06-20,39,92.76
2008-06-27,41,91.64
2008-07-11,40,88.13
2008-07-18,40,83.91
2008-07-25,42,81.98
2008-08-01,45,81.15
2008-08-08,41,80.91
2008-08-15,40,77.66
2008-08-22,42,83.18
2008-08-29,40,82.51
2008-09-05,40,75.43
2008-09-12,41,73.43
2008-09-19,41,78.31
2008-09-26,48,76.24
2008-10-03,45,66.14
2008-10-10,45,48.23
2008-10-17,45,52.51
2008-10-24,48,48.45
2008-10-31,51,52.01
2008-11-07,38,51.58
2008-11-14,40,47.39
2008-11-21,41,46.84
2008-11-28,41,52.52
2008-12-05,44,47.77
2008-12-12,44,51.39
2008-12-19,45,50.8
2008-12-26,52,48.59
2009-01-02,59,54.85
2009-01-09,61,51.99
2009-01-16,78,49.38
2009-01-23,83,48.18
2009-01-30,71,47.53
2009-02-06,63,47.94
2009-02-13,58,45.67
2009-02-20,59,39.44
2009-02-27,56,37.35
2009-03-06,55,35.36
2009-03-13,53,36.41
2009-03-20,56,37.81
2009-03-27,69,40.33
2009-04-03,62,42.36
2009-04-17,53,40.17
2009-04-24,49,41.21
2009-05-01,56,42.5
2009-05-08,52,46.91
2009-05-15,51,43.93
2009-05-22,60,44.38
2009-05-29,78,45.84
2009-06-05,70,45
2009-06-12,63,44.37
2009-06-19,75,42.97
2009-06-26,63,41.62
2009-07-10,50,39.72
2009-07-17,49,42.38
2009-07-24,51,44.95
2009-07-31,53,43.71
2009-08-07,50,44.07
2009-08-14,50,43.77
2009-08-21,46,44.2
2009-08-28,47,45.7
2009-09-04,45,44.97
2009-09-11,46,45.96
2009-09-18,50,46.8
2009-09-25,60,45.06
2009-10-02,49,46.8
2009-10-09,52,50.78
2009-10-16,52,51.96
2009-10-23,52,51.97
2009-10-30,53,50.18
2009-11-06,48,52.11
2009-11-13,46,52.83
2009-11-20,49,52.08
2009-11-27,47,51.92
2009-12-04,55,50.66
2009-12-11,56,50.92
2009-12-18,59,49.8
2010-01-08,51,53.26
2010-01-15,51,53.02
2010-01-22,47,50.6
2010-01-29,47,48
2010-02-05,53,47.98
2010-02-12,55,48.67
2010-02-19,59,48.9
2010-02-26,81,48
2010-03-05,77,50.41
2010-03-12,68,51.68
2010-03-19,65,52.37
2010-03-26,62,51.02
2010-04-09,61,55.32
2010-04-16,68,56.05
2010-04-23,60,58.09
2010-04-30,58,59.19
2010-05-07,56,54.68
2010-05-14,52,55.84
2010-05-21,53,51.47
2010-05-28,52,51.86
2010-06-04,52,50.06
2010-06-11,56,53.5
2010-06-18,88,56.01
2010-06-25,57,51.92
2010-07-02,62,48.82
2010-07-09,75,52.3
2010-07-16,63,51.85
2010-07-23,68,53.79
2010-07-30,66,55.22
2010-08-06,63,56.93
2010-08-13,60,55.02
2010-08-20,61,53.89
2010-08-27,60,53.42
2010-09-03,58,55.05
2010-09-10,56,54.75
2010-09-17,53,55.27
2010-09-24,61,56.36
2010-10-01,79,57.86
2010-10-08,57,59.61
2010-10-15,54,60.78
2010-10-22,57,61.67
2010-10-29,61,59.39
2010-11-05,54,61.81
2010-11-12,53,62.42
2010-11-19,51,61.92
2010-11-26,51,60.81
2010-12-03,52,63.92
2010-12-10,53,64.58
2010-12-17,52,65.06
2010-12-31,51,68.1
2011-01-07,54,67.11
2011-01-14,56,67.72
2011-01-21,55,67.66
2011-01-28,52,70.56
2011-02-04,50,71.67
2011-02-11,54,71.58
2011-02-18,48,76.62
2011-02-25,51,77.28
2011-03-04,47,79.98
2011-03-11,47,76.3
2011-03-18,48,75.35
2011-03-25,60,80.24
2011-04-01,51,79.68
2011-04-08,50,80.79
2011-04-15,48,79.12
2011-04-29,49,78.89
2011-05-06,48,72.94
2011-05-13,51,71.43
2011-05-20,47,72.61
2011-05-27,48,72.64
2011-06-03,49,72.39
2011-06-10,48,71.49
2011-06-17,48,71.93
2011-06-24,51,71.43
2011-07-01,52,75.88
2011-07-08,49,75.91
2011-07-15,49,76.42
2011-07-22,49,75.26
2011-07-29,47,71.99
2011-08-05,50,67.75
2011-08-12,49,66.05
2011-08-19,51,63.59
2011-08-26,48,65.51
2011-09-02,59,66.44
2011-09-09,50,64.23
2011-09-16,50,67.29
2011-09-23,49,62.51
2011-09-30,51,63.32
2011-10-07,50,64.16
2011-10-14,52,68.99
2011-10-21,55,71.83
2011-10-28,58,71.74
2011-11-04,62,70.71
2011-11-11,52,72.14
2011-11-18,49,69.27
2011-11-25,66,66.14
2011-12-02,56,72.55
2011-12-09,52,71.95
2011-12-16,53,68.4
2011-12-23,50,72.43
2011-12-30,48,72.87
2012-01-06,55,72.66
2012-01-13,52,70.34
2012-01-20,53,71.2
2012-01-27,52,69.4
2012-02-03,52,70.46
2012-02-10,48,72.25
2012-02-17,46,73.36
2012-02-24,51,75.95
2012-03-02,48,77.65
2012-03-09,49,77.16
2012-03-16,48,77.18
2012-03-23,48,76.51
2012-03-30,47,76.01
2012-04-13,49,73.63
2012-04-20,48,72.88
2012-04-27,48,71.98
2012-05-04,48,53.17
2012-05-11,45,53.5
2012-05-18,47,50.82
2012-05-25,47,52.11
2012-06-01,50,51.19
2012-06-08,47,53.97
2012-06-15,47,55.46
2012-06-22,46,53.41
2012-06-29,52,55.88
2012-07-06,49,54.75
2012-07-13,52,54.98
2012-07-20,49,55.99
2012-07-27,52,54.97
2012-08-03,53,55.71
2012-08-10,54,57.28
2012-08-17,54,57.39
2012-08-24,54,56.36
2012-08-31,58,56.79
2012-09-07,61,56.64
2012-09-14,58,58.21
2012-09-21,69,57.36
2012-09-28,69,57.18
2012-10-05,63,57.58
2012-10-12,57,56.17
2012-10-19,59,57.45
2012-10-26,68,57.31
2012-11-02,51,57.65
2012-11-09,48,55.67
2012-11-16,48,55.03
2012-11-23,49,56.67
2012-11-30,56,56.94
2012-12-07,51,57.94
2012-12-14,49,57.69
2012-12-21,51,58.61
2012-12-28,51,57.07
2013-01-04,57,59.83
2013-01-11,53,58.27
2013-01-18,50,59.27
2013-01-25,51,61.06
2013-02-01,51,58.82
2013-02-08,82,57.87
2013-02-15,100,57.02
2013-02-22,52,58.2
2013-03-01,57,58.28
2013-03-08,53,58.39
2013-03-15,54,59.07
2013-03-22,50,60.91
2013-04-05,50,58.54
2013-04-12,48,59.36
2013-04-19,49,57.49
2013-04-26,49,58.91
2013-05-03,47,61.92
2013-05-10,49,62.23
2013-05-17,47,63.31
2013-05-24,51,62.53
2013-05-31,49,61.34
2013-06-07,48,62.32
2013-06-14,51,61.03
2013-06-21,48,60.36
2013-06-28,50,60.5
2013-07-05,72,62.31
2013-07-12,57,64.84
2013-07-19,58,66
2013-07-26,57,65.72
2013-08-02,56,67.23
2013-08-09,53,66.83
2013-08-16,52,67.38
2013-08-23,52,66.55
2013-08-30,50,66.3
2013-09-06,52,68.2
2013-09-13,51,69.19
2013-09-20,52,71
2013-09-27,51,70.31
2013-10-04,50,70.97
2013-10-11,51,71.71
2013-10-18,56,73.43
2013-10-25,53,74.06
2013-11-01,55,73.09
2013-11-08,54,73.69
2013-11-15,56,73.3
2013-11-22,58,74.02
2013-11-29,52,72.8
2013-12-06,53,70.77
2013-12-13,54,69.43
2013-12-20,54,69.88
2013-12-27,51,70.39
2014-01-03,53,69.96
2014-01-10,54,68.87
2014-01-17,57,67.51
2014-01-24,55,66.57
2014-01-31,60,64.95
2014-02-07,61,64.97
2014-02-14,61,65.53
2014-02-21,60,64.68
2014-02-28,62,66.5
2014-03-07,63,66.51
2014-03-14,58,66.6
2014-03-21,57,67.48
2014-03-28,59,70.35
2014-04-04,57,70.22
2014-04-11,57,70.87
2014-04-25,57,74.4
