"Date","PG","Price"
2007-03-23,55,63.8
2007-03-30,60,63.16
2007-04-13,55,63.38
2007-04-20,51,63.8
2007-04-27,55,62.98
2007-05-04,53,62.41
2007-05-11,55,61.65
2007-05-18,57,63.48
2007-05-25,58,62.96
2007-06-01,57,63.48
2007-06-08,56,63.07
2007-06-15,58,62.57
2007-06-22,58,61.03
2007-06-29,61,61.19
2007-07-06,58,61.48
2007-07-13,55,62.66
2007-07-20,56,62.15
2007-07-27,52,62.82
2007-08-03,58,62.88
2007-08-10,55,65.39
2007-08-17,52,65.35
2007-08-24,50,65.93
2007-08-31,53,65.31
2007-09-07,56,65.47
2007-09-14,56,67.81
2007-09-21,55,69.39
2007-09-28,56,70.34
2007-10-05,54,70.83
2007-10-12,55,71.7
2007-10-19,55,70.8
2007-10-26,55,71.75
2007-11-02,56,69.55
2007-11-09,56,70.42
2007-11-16,52,73.19
2007-11-23,59,72.86
2007-11-30,61,74
2007-12-07,63,74.12
2007-12-14,53,73.9
2007-12-21,54,74.08
2007-12-28,48,74.25
2008-01-04,58,72.02
2008-01-11,58,70.18
2008-01-18,58,67.15
2008-01-25,60,65.31
2008-02-01,60,66.05
2008-02-08,59,65.02
2008-02-15,66,66.3
2008-02-22,62,66.21
2008-02-29,64,66.18
2008-03-07,61,65.8
2008-03-14,60,66.74
2008-03-28,59,69.44
2008-04-04,61,70.6
2008-04-11,60,70
2008-04-18,62,67.17
2008-04-25,61,66.55
2008-05-02,60,66.8
2008-05-09,60,65.21
2008-05-16,60,66.75
2008-05-23,64,65.27
2008-05-30,61,66.05
2008-06-06,64,65.37
2008-06-13,66,66.45
2008-06-20,66,63.16
2008-06-27,65,60.49
2008-07-11,64,63.45
2008-07-18,69,63.67
2008-07-25,66,64.46
2008-08-01,59,64.95
2008-08-08,62,69.63
2008-08-15,57,71.6
2008-08-22,64,71.61
2008-08-29,64,69.77
2008-09-05,64,70.78
2008-09-12,62,73.15
2008-09-19,65,70.36
2008-09-26,63,68.84
2008-10-03,67,71.02
2008-10-10,75,59.56
2008-10-17,69,61.74
2008-10-24,65,58.87
2008-10-31,65,64.54
2008-11-07,66,64.49
2008-11-14,65,63.11
2008-11-21,62,63.09
2008-11-28,60,64.35
2008-12-05,64,62.63
2008-12-12,62,58.94
2008-12-19,61,60.18
2008-12-26,56,60.53
2009-01-02,57,62.8
2009-01-09,65,59.86
2009-01-16,66,57.73
2009-01-23,61,56
2009-01-30,73,54.5
2009-02-06,69,54
2009-02-13,67,51.09
2009-02-20,71,50.25
2009-02-27,69,48.17
2009-03-06,70,45.71
2009-03-13,66,46.95
2009-03-20,72,45.59
2009-03-27,76,48.57
2009-04-03,70,49.63
2009-04-17,68,51.66
2009-04-24,67,49.51
2009-05-01,70,49.5
2009-05-08,70,51.57
2009-05-15,68,50.67
2009-05-22,69,53.03
2009-05-29,71,51.94
2009-06-05,69,53.18
2009-06-12,70,52.55
2009-06-19,76,50.64
2009-06-26,70,51.75
2009-07-10,71,52.22
2009-07-17,72,55.92
2009-07-24,69,55.84
2009-07-31,67,55.51
2009-08-07,67,52.03
2009-08-14,65,52.37
2009-08-21,69,53.58
2009-08-28,67,53.19
2009-09-04,71,52.86
2009-09-11,70,55.64
2009-09-18,68,57.32
2009-09-25,68,58.01
2009-10-02,67,56.75
2009-10-09,70,57.56
2009-10-16,66,57.44
2009-10-23,66,57.64
2009-10-30,68,58
2009-11-06,64,61.04
2009-11-13,67,61.61
2009-11-20,66,61.8
2009-11-27,64,62.48
2009-12-04,66,62.6
2009-12-11,65,62.34
2009-12-18,63,61.55
2010-01-08,64,60.44
2010-01-15,65,60.82
2010-01-22,68,60.31
2010-01-29,68,61.55
2010-02-05,68,61.3
2010-02-12,69,61.76
2010-02-19,73,63.45
2010-02-26,66,63.28
2010-03-05,67,63.69
2010-03-12,70,63.32
2010-03-19,68,63.84
2010-03-26,70,63.69
2010-04-09,71,62.73
2010-04-16,70,62.85
2010-04-23,67,63.54
2010-04-30,67,62.16
2010-05-07,71,60.31
2010-05-14,69,62.54
2010-05-21,70,61.85
2010-05-28,73,61.09
2010-06-04,74,60.8
2010-06-11,71,61.01
2010-06-18,73,61.3
2010-06-25,75,59.79
2010-07-02,81,59.38
2010-07-09,73,61.75
2010-07-16,74,61.99
2010-07-23,71,61.91
2010-07-30,71,61.16
2010-08-06,70,60.02
2010-08-13,68,59.82
2010-08-20,72,59.98
2010-08-27,71,59.8
2010-09-03,71,60.29
2010-09-10,75,60.4
2010-09-17,72,60.97
2010-09-24,70,61.64
2010-10-01,72,60.16
2010-10-08,68,61.86
2010-10-15,68,62.76
2010-10-22,68,63.4
2010-10-29,68,63.57
2010-11-05,66,65
2010-11-12,70,64.33
2010-11-19,71,64.05
2010-11-26,67,62.13
2010-12-03,71,62.33
2010-12-10,68,63.2
2010-12-17,68,64.81
2010-12-31,61,64.33
2011-01-07,68,64.5
2011-01-14,72,65.53
2011-01-21,75,65.91
2011-01-28,72,64.2
2011-02-04,66,63.61
2011-02-11,69,64.73
2011-02-18,73,64.3
2011-02-25,71,62.84
2011-03-04,70,62.03
2011-03-11,67,61.49
2011-03-18,69,60.6
2011-03-25,71,60.88
2011-04-01,70,62.08
2011-04-08,72,61.9
2011-04-15,71,64.18
2011-04-29,71,64.9
2011-05-06,71,65.27
2011-05-13,73,66.86
2011-05-20,75,67.36
2011-05-27,76,66.2
2011-06-03,76,65.43
2011-06-10,75,64.7
2011-06-17,77,64.69
2011-06-24,77,62.59
2011-07-01,82,64.27
2011-07-08,80,64.93
2011-07-15,79,64.83
2011-07-22,72,64.25
2011-07-29,74,61.49
2011-08-05,73,60.59
2011-08-12,72,61.14
2011-08-19,70,60.96
2011-08-26,74,62.57
2011-09-02,74,62.55
2011-09-09,72,61.84
2011-09-16,72,64.33
2011-09-23,71,61.25
2011-09-30,74,63.18
2011-10-07,68,63.91
2011-10-14,67,64.89
2011-10-21,70,66.26
2011-10-28,71,64.73
2011-11-04,69,63.03
2011-11-11,70,63.89
2011-11-18,72,63.24
2011-11-25,68,61
2011-12-02,74,64.66
2011-12-09,69,64.97
2011-12-16,69,65.14
2011-12-23,66,66.67
2011-12-30,61,66.71
2012-01-06,67,66.36
2012-01-13,70,65.81
2012-01-20,70,66.23
2012-01-27,69,64.3
2012-02-03,73,62.77
2012-02-10,74,63.88
2012-02-17,72,64.91
2012-02-24,73,66.71
2012-03-02,74,66.67
2012-03-09,74,66.93
2012-03-16,73,67.25
2012-03-23,75,67.43
2012-03-30,73,67.21
2012-04-13,73,65.81
2012-04-20,72,67.51
2012-04-27,72,64.44
2012-05-04,71,64.28
2012-05-11,73,63.68
2012-05-18,74,63.52
2012-05-25,78,62.49
2012-06-01,81,61.55
2012-06-08,78,62.75
2012-06-15,76,62.88
2012-06-22,80,59.83
2012-06-29,80,61.25
2012-07-06,77,61.28
2012-07-13,77,65.09
2012-07-20,76,64.73
2012-07-27,78,65.09
2012-08-03,70,65.5
2012-08-10,72,66.77
2012-08-17,70,67
2012-08-24,78,67.02
2012-08-31,77,67.19
2012-09-07,76,68.52
2012-09-14,75,69.16
2012-09-21,77,69.42
2012-09-28,82,69.36
2012-10-05,82,69.63
2012-10-12,75,67.94
2012-10-19,74,68.57
2012-10-26,75,69.44
2012-11-02,73,69.19
2012-11-09,74,67.01
2012-11-16,69,66.82
2012-11-23,72,69.59
2012-11-30,73,69.83
2012-12-07,73,70.29
2012-12-14,73,69.93
2012-12-21,68,68.72
2012-12-28,63,67.15
2013-01-04,68,69.09
2013-01-11,70,69.22
2013-01-18,73,69.94
2013-01-25,73,73.25
2013-02-01,76,75.92
2013-02-08,75,75.75
2013-02-15,74,76.54
2013-02-22,76,76.99
2013-03-01,78,76.49
2013-03-08,77,77.18
2013-03-15,75,76.34
2013-03-22,73,77.27
2013-04-05,79,78.23
2013-04-12,81,80.08
2013-04-19,79,81.43
2013-04-26,80,77.1
2013-05-03,74,78.19
2013-05-10,81,78.76
2013-05-17,100,80.02
2013-05-24,88,81.88
2013-05-31,84,76.76
2013-06-07,88,77.75
2013-06-14,84,78.03
2013-06-21,85,77.43
2013-06-28,87,76.99
2013-07-05,89,78.34
2013-07-12,85,81.55
2013-07-19,89,81.37
2013-07-26,82,80.39
2013-08-02,82,81.29
2013-08-09,74,81.64
2013-08-16,78,79.9
2013-08-23,76,80.01
2013-08-30,77,77.89
2013-09-06,77,77.15
2013-09-13,75,79.05
2013-09-20,75,79.39
2013-09-27,80,77.21
2013-10-04,81,76.02
2013-10-11,78,78.48
2013-10-18,78,79.41
2013-10-25,80,80
2013-11-01,77,81.15
2013-11-08,77,82.51
2013-11-15,78,84.84
2013-11-22,79,84.95
2013-11-29,79,84.22
2013-12-06,77,84.52
2013-12-13,81,82.37
2013-12-20,78,81.84
2013-12-27,66,82.01
2014-01-03,70,80.45
2014-01-10,79,80.3
2014-01-17,77,79.88
2014-01-24,80,79.18
2014-01-31,79,76.62
2014-02-07,76,77.31
2014-02-14,77,79.4
2014-02-21,77,77.97
2014-02-28,79,78.66
2014-03-07,78,78.38
2014-03-14,79,78.98
2014-03-21,79,77.88
2014-03-28,81,79.76
2014-04-04,79,79.77
2014-04-11,77,80.76
2014-04-25,78,81.41
