"Date","MCO","Price"
2006-12-15,64,69.82
2006-12-22,61,70.08
2006-12-29,62,69.06
2007-01-05,65,68.78
2007-01-12,62,69.37
2007-01-19,66,71.34
2007-01-26,79,70.75
2007-02-02,70,72.47
2007-02-09,66,73.71
2007-02-16,72,72.68
2007-02-23,64,67.43
2007-03-02,77,66.1
2007-03-09,59,64.83
2007-03-16,73,63.2
2007-03-23,72,65.57
2007-03-30,65,62.06
2007-04-13,66,62.8
2007-04-20,64,68.08
2007-04-27,59,67.11
2007-05-04,59,66.94
2007-05-11,62,68.1
2007-05-18,67,67.67
2007-05-25,60,69.83
2007-06-01,59,69.12
2007-06-08,72,68.68
2007-06-15,66,67.67
2007-06-22,56,63.37
2007-06-29,67,62.2
2007-07-06,55,62.29
2007-07-13,68,62.61
2007-07-20,64,58.72
2007-07-27,64,55.01
2007-08-03,66,53.26
2007-08-10,71,54.7
2007-08-17,60,49.98
2007-08-24,63,46.45
2007-08-31,60,45.85
2007-09-07,56,44.28
2007-09-14,56,44.38
2007-09-21,66,48.34
2007-09-28,58,50.4
2007-10-05,59,52.8
2007-10-12,56,49.4
2007-10-19,64,46.36
2007-10-26,59,43.39
2007-11-02,64,41.05
2007-11-09,57,38.65
2007-11-16,59,38.11
2007-11-23,66,37.24
2007-11-30,70,37.66
2007-12-07,70,39.93
2007-12-14,66,38.48
2007-12-21,64,37.15
2007-12-28,58,35.86
2008-01-04,65,33.24
2008-01-11,75,35.01
2008-01-18,61,33.63
2008-01-25,63,36.01
2008-02-01,61,35.98
2008-02-08,65,36.04
2008-02-15,68,38.79
2008-02-22,67,38.3
2008-02-29,66,37.98
2008-03-07,66,35.97
2008-03-14,68,32.83
2008-03-28,63,35.03
2008-04-04,69,37.95
2008-04-11,76,35.68
2008-04-18,64,38.1
2008-04-25,67,37.37
2008-05-02,66,39.38
2008-05-09,66,39.44
2008-05-16,65,45
2008-05-23,63,34.16
2008-05-30,79,37.08
2008-06-06,67,39.13
2008-06-13,67,39.73
2008-06-20,59,37.92
2008-06-27,69,34.73
2008-07-11,67,31
2008-07-18,68,35.14
2008-07-25,71,34.12
2008-08-01,63,35.61
2008-08-08,61,39.36
2008-08-15,68,40.03
2008-08-22,80,39.12
2008-08-29,57,40.66
2008-09-05,50,39.2
2008-09-12,57,38.62
2008-09-19,61,36.14
2008-09-26,60,33.2
2008-10-03,57,30
2008-10-10,60,23.26
2008-10-17,55,24.96
2008-10-24,50,19.29
2008-10-31,66,25.6
2008-11-07,54,23.01
2008-11-14,51,19.33
2008-11-21,50,17.77
2008-11-28,50,21.71
2008-12-05,57,22.13
2008-12-12,54,21.15
2008-12-19,51,23.02
2008-12-26,51,20.56
2009-01-02,59,22.16
2009-01-09,66,23.03
2009-01-16,57,21.39
2009-01-23,54,21.26
2009-01-30,62,21.42
2009-02-06,66,24.85
2009-02-13,58,23.87
2009-02-20,58,19.16
2009-02-27,56,17.95
2009-03-06,64,16.04
2009-03-13,65,18.26
2009-03-20,62,18.78
2009-03-27,61,23.3
2009-04-03,63,23.54
2009-04-17,61,28.65
2009-04-24,56,28.84
2009-05-01,57,29.5
2009-05-08,58,31.23
2009-05-15,59,28.4
2009-05-22,61,27.89
2009-05-29,59,27.39
2009-06-05,64,28.94
2009-06-12,57,28.34
2009-06-19,60,26.04
2009-06-26,57,26.01
2009-07-10,61,26.31
2009-07-17,58,29.03
2009-07-24,65,25.93
2009-07-31,61,23.74
2009-08-07,65,25.51
2009-08-14,52,24.52
2009-08-21,58,26.05
2009-08-28,59,27.56
2009-09-04,60,24.42
2009-09-11,50,25.24
2009-09-18,52,23.59
2009-09-25,59,18.85
2009-10-02,55,19.61
2009-10-09,56,22.35
2009-10-16,52,24.02
2009-10-23,52,25.03
2009-10-30,49,23.68
2009-11-06,58,23.86
2009-11-13,50,23.59
2009-11-20,55,22.95
2009-11-27,45,22.94
2009-12-04,57,25.36
2009-12-11,54,26.69
2009-12-18,56,26.78
2010-01-08,60,26.84
2010-01-15,60,27.42
2010-01-22,51,26.97
2010-01-29,57,27.59
2010-02-05,55,27.34
2010-02-12,57,26.98
2010-02-19,50,27.09
2010-02-26,53,26.62
2010-03-05,56,28.11
2010-03-12,60,28.26
2010-03-19,61,29.66
2010-03-26,56,30.26
2010-04-09,56,28.87
2010-04-16,51,27.41
2010-04-23,54,26.24
2010-04-30,51,24.72
2010-05-07,55,23.36
2010-05-14,59,21.57
2010-05-21,55,22.02
2010-05-28,50,20.5
2010-06-04,52,18.89
2010-06-11,52,19.68
2010-06-18,53,21.1
2010-06-25,49,22.01
2010-07-02,56,20
2010-07-09,45,22.04
2010-07-16,58,21.94
2010-07-23,56,22.62
2010-07-30,53,23.55
2010-08-06,56,23.53
2010-08-13,57,21.9
2010-08-20,50,21.71
2010-08-27,51,21.44
2010-09-03,48,23.15
2010-09-10,52,24.95
2010-09-17,58,25
2010-09-24,53,25.77
2010-10-01,56,25.23
2010-10-08,57,26.9
2010-10-15,56,26.5
2010-10-22,56,26.84
2010-10-29,62,27.06
2010-11-05,56,28.78
2010-11-12,55,27.72
2010-11-19,58,27
2010-11-26,45,26.65
2010-12-03,55,27.04
2010-12-10,51,27.32
2010-12-17,52,26.35
2010-12-31,54,26.54
2011-01-07,61,29.29
2011-01-14,54,28.94
2011-01-21,51,28.99
2011-01-28,57,29.03
2011-02-04,57,29.85
2011-02-11,56,30.46
2011-02-18,53,30.69
2011-02-25,52,31.24
2011-03-04,55,31.73
2011-03-11,55,32.36
2011-03-18,54,32.26
2011-03-25,54,33.03
2011-04-01,57,34.57
2011-04-08,53,35.3
2011-04-15,54,35.86
2011-04-29,52,39.14
2011-05-06,49,37.86
2011-05-13,52,38.14
2011-05-20,51,38.69
2011-05-27,52,38.79
2011-06-03,49,39.43
2011-06-10,55,41.18
2011-06-17,50,36.35
2011-06-24,54,37.05
2011-07-01,52,39.01
2011-07-08,48,39.4
2011-07-15,52,36.45
2011-07-22,51,37.17
2011-07-29,51,35.61
2011-08-05,54,32.88
2011-08-12,45,31.86
2011-08-19,42,27.04
2011-08-26,42,29.77
2011-09-02,44,29.34
2011-09-09,40,28.97
2011-09-16,45,32.88
2011-09-23,45,30.37
2011-09-30,44,30.45
2011-10-07,46,30.83
2011-10-14,40,32.18
2011-10-21,45,31.38
2011-10-28,44,35.89
2011-11-04,44,35.45
2011-11-11,43,35.03
2011-11-18,43,32.8
2011-11-25,41,31.63
2011-12-02,42,34.95
2011-12-09,42,35.42
2011-12-16,43,32.6
2011-12-23,41,34.54
2011-12-30,43,33.68
2012-01-06,47,35.83
2012-01-13,47,35.93
2012-01-20,49,36.47
2012-01-27,45,37.66
2012-02-03,44,38.5
2012-02-10,47,38.44
2012-02-17,46,38.53
2012-02-24,47,38.88
2012-03-02,51,38.94
2012-03-09,50,38.84
2012-03-16,51,42.6
2012-03-23,50,41.61
2012-03-30,45,42.1
2012-04-13,44,41.68
2012-04-20,42,41.61
2012-04-27,43,41.57
2012-05-04,48,39.01
2012-05-11,48,38.36
2012-05-18,49,35.58
2012-05-25,47,37.36
2012-06-01,43,35.37
2012-06-08,46,36.3
2012-06-15,46,35.71
2012-06-22,48,35.03
2012-06-29,45,36.55
2012-07-06,41,36.45
2012-07-13,52,36.67
2012-07-20,50,36.31
2012-07-27,48,40.91
2012-08-03,48,40.65
2012-08-10,48,39.61
2012-08-17,45,39.71
2012-08-24,52,38.59
2012-08-31,47,39.6
2012-09-07,44,41.27
2012-09-14,44,43.82
2012-09-21,49,45.8
2012-09-28,44,44.17
2012-10-05,50,44.92
2012-10-12,45,44.36
2012-10-19,50,45.62
2012-10-26,52,47.89
2012-11-02,46,48.02
2012-11-09,48,45.87
2012-11-16,46,45
2012-11-23,41,47.32
2012-11-30,48,48.58
2012-12-07,46,49.36
2012-12-14,45,48.17
2012-12-21,49,50.25
2012-12-28,45,49.47
2013-01-04,47,52.77
2013-01-11,51,53.28
2013-01-18,49,53.6
2013-01-25,48,54.34
2013-02-01,53,55.35
2013-02-08,54,43.37
2013-02-15,50,46.8
2013-02-22,51,48.27
2013-03-01,51,48.93
2013-03-08,54,50.95
2013-03-15,51,51.61
2013-03-22,53,51.32
2013-04-05,50,52.4
2013-04-12,55,54.4
2013-04-19,50,54.84
2013-04-26,51,55.12
2013-05-03,49,62.75
2013-05-10,50,65.4
2013-05-17,50,67.91
2013-05-24,48,67.25
2013-05-31,48,66.44
2013-06-07,49,65.74
2013-06-14,51,62.2
2013-06-21,49,58.88
2013-06-28,47,60.93
2013-07-05,44,60.74
2013-07-12,48,61.04
2013-07-19,51,61.76
2013-07-26,48,64.37
2013-08-02,48,69.22
2013-08-09,49,69.58
2013-08-16,47,64.44
2013-08-23,47,65.18
2013-08-30,42,63.56
2013-09-06,45,65.78
2013-09-13,49,67.4
2013-09-20,43,70.6
2013-09-27,46,70.35
2013-10-04,44,70.93
2013-10-11,43,71.46
2013-10-18,43,73.21
2013-10-25,46,71.56
2013-11-01,44,71.19
2013-11-08,48,73.07
2013-11-15,43,75.05
2013-11-22,46,75.48
2013-11-29,40,74.63
2013-12-06,46,73.92
2013-12-13,46,71.83
2013-12-20,47,77.3
2013-12-27,40,77.44
2014-01-03,49,77.83
2014-01-10,59,76.75
2014-01-17,51,75.75
2014-01-24,52,72.97
2014-01-31,52,74.58
2014-02-07,50,80.02
2014-02-14,56,79.53
2014-02-21,55,78.8
2014-02-28,56,79
2014-03-07,56,82.78
2014-03-14,55,80.69
2014-03-21,55,81.09
2014-03-28,55,77.57
2014-04-04,52,79.62
2014-04-11,48,74.49
2014-04-25,50,79.13
