"Date","Tractor.Supply.Company","Price"
2006-04-28,68,64.79
2006-05-05,67,64.93
2006-05-12,50,61.43
2006-05-19,61,60.47
2006-05-26,51,57.67
2006-06-02,44,59.24
2006-06-09,50,51.21
2006-06-16,54,48.64
2006-06-23,41,54.47
2006-06-30,47,55.27
2006-07-07,51,53.33
2006-07-14,52,48.06
2006-07-21,44,44.09
2006-07-28,52,45.09
2006-08-04,43,46.45
2006-08-11,38,43.9
2006-08-18,55,47.12
2006-08-25,34,42.77
2006-09-01,39,42.83
2006-09-08,54,41.72
2006-09-15,47,47.06
2006-09-22,48,46.77
2006-09-29,42,48.26
2006-10-06,41,49.75
2006-10-13,59,50.61
2006-10-20,50,52.75
2006-10-27,49,48.59
2006-11-03,48,47.69
2006-11-10,34,48.44
2006-11-17,48,49.75
2006-11-24,63,48.96
2006-12-01,65,46.79
2006-12-08,83,49.12
2006-12-15,78,45.76
2006-12-22,69,44.2
2006-12-29,50,44.71
2007-01-05,40,47.99
2007-01-12,41,49.26
2007-01-19,60,49.4
2007-01-26,41,48.38
2007-02-02,46,48.02
2007-02-09,38,47.54
2007-02-16,45,48.97
2007-02-23,47,50.76
2007-03-02,35,50.99
2007-03-09,53,53.3
2007-03-16,55,50.72
2007-03-23,57,53.74
2007-03-30,64,51.5
2007-04-13,53,55.9
2007-04-20,64,55.21
2007-04-27,64,52.81
2007-05-04,71,51.33
2007-05-11,58,50.92
2007-05-18,60,51.28
2007-05-25,75,51.6
2007-06-01,71,54.54
2007-06-08,66,52.8
2007-06-15,63,53.62
2007-06-22,56,53
2007-06-29,58,52.05
2007-07-06,50,52.15
2007-07-13,50,52.31
2007-07-20,61,49.52
2007-07-27,62,46.23
2007-08-03,43,46.39
2007-08-10,48,48.98
2007-08-17,50,45.82
2007-08-24,47,48.13
2007-08-31,52,48.16
2007-09-07,37,46.06
2007-09-14,54,47.55
2007-09-21,50,48.43
2007-09-28,44,46.09
2007-10-05,46,48.3
2007-10-12,56,48.15
2007-10-19,46,44.65
2007-10-26,48,41.9
2007-11-02,48,40.74
2007-11-09,56,39.04
2007-11-16,62,39.66
2007-11-23,76,39.7
2007-11-30,77,41.02
2007-12-07,80,40.32
2007-12-14,74,36.86
2007-12-21,74,37.61
2007-12-28,62,35.36
2008-01-04,60,31.93
2008-01-11,39,30.54
2008-01-18,43,29.49
2008-01-25,44,33.01
2008-02-01,54,39.79
2008-02-08,46,40.27
2008-02-15,46,39.73
2008-02-22,57,38.56
2008-02-29,59,37.44
2008-03-07,49,36.44
2008-03-14,50,36.72
2008-03-28,52,39.4
2008-04-04,46,38.71
2008-04-11,77,37.12
2008-04-18,89,36.98
2008-04-25,100,35.96
2008-05-02,75,35.83
2008-05-09,74,33.29
2008-05-16,65,33.9
2008-05-23,73,32.47
2008-05-30,52,34.17
2008-06-06,49,33.32
2008-06-13,41,32.35
2008-06-20,38,31.72
2008-06-27,45,29.57
2008-07-11,40,28.58
2008-07-18,35,30.35
2008-07-25,34,38.08
2008-08-01,34,38.75
2008-08-08,31,41.81
2008-08-15,43,42.23
2008-08-22,34,41.75
2008-08-29,39,42.62
2008-09-05,31,43.6
2008-09-12,29,43.64
2008-09-19,34,45.03
2008-09-26,39,45.49
2008-10-03,36,36.86
2008-10-10,31,38.19
2008-10-17,26,34.67
2008-10-24,28,36.17
2008-10-31,23,41.56
2008-11-07,26,40.87
2008-11-14,25,34.48
2008-11-21,25,34.88
2008-11-28,35,38.38
2008-12-05,34,39.59
2008-12-12,41,38.98
2008-12-19,43,36.59
2008-12-26,39,34.52
2009-01-02,32,36.73
2009-01-09,23,32.46
2009-01-16,23,34.11
2009-01-23,22,33.82
2009-01-30,25,33.71
2009-02-06,17,35.3
2009-02-13,18,32.7
2009-02-20,18,32.53
2009-02-27,27,31.24
2009-03-06,34,29.58
2009-03-13,35,32.44
2009-03-20,40,34.96
2009-03-27,43,36.84
2009-04-03,43,39.34
2009-04-17,46,40.91
2009-04-24,45,39.83
2009-05-01,41,39.06
2009-05-08,42,37.34
2009-05-15,36,35.44
2009-05-22,35,36.53
2009-05-29,30,38.38
2009-06-05,29,41.99
2009-06-12,24,39.9
2009-06-19,28,39.86
2009-06-26,27,41.06
2009-07-10,23,44.99
2009-07-17,25,47.56
2009-07-24,24,47.63
2009-07-31,24,47.97
2009-08-07,22,48.78
2009-08-14,22,46.17
2009-08-21,23,47.08
2009-08-28,21,47.53
2009-09-04,21,47.13
2009-09-11,23,46.08
2009-09-18,16,48.1
2009-09-25,21,47.7
2009-10-02,21,46.69
2009-10-09,19,53.33
2009-10-16,23,52.37
2009-10-23,20,46.58
2009-10-30,24,44.7
2009-11-06,20,47.64
2009-11-13,20,47.86
2009-11-20,19,47.71
2009-11-27,27,47.25
2009-12-04,27,51.26
2009-12-11,30,49.88
2009-12-18,26,51.69
2010-01-08,25,53.36
2010-01-15,18,52.45
2010-01-22,14,50.11
2010-01-29,18,50.47
2010-02-05,16,50.6
2010-02-12,13,51.76
2010-02-19,14,53.42
2010-02-26,11,54.72
2010-03-05,13,57.48
2010-03-12,14,58.3
2010-03-19,17,59.29
2010-03-26,18,58.23
2010-04-09,19,66.46
2010-04-16,26,66.92
2010-04-23,20,69.77
2010-04-30,24,67.17
2010-05-07,22,63.08
2010-05-14,17,68.41
2010-05-21,16,65.74
2010-05-28,16,67.76
2010-06-04,16,64.24
2010-06-11,21,66.5
2010-06-18,19,67.19
2010-06-25,19,62.04
2010-07-02,15,61.47
2010-07-09,15,65.74
2010-07-16,17,66.75
2010-07-23,19,69.71
2010-07-30,18,69.51
2010-08-06,19,70.4
2010-08-13,16,68.55
2010-08-20,16,70.8
2010-08-27,20,68.64
2010-09-03,14,36.31
2010-09-10,18,36.82
2010-09-17,17,37.69
2010-09-24,16,38.59
2010-10-01,20,39.2
2010-10-08,17,38.58
2010-10-15,18,39.64
2010-10-22,15,38.32
2010-10-29,15,39.58
2010-11-05,17,41.69
2010-11-12,18,40.68
2010-11-19,19,41.49
2010-11-26,32,42.29
2010-12-03,27,45.98
2010-12-10,25,47.67
2010-12-17,28,48.47
2010-12-31,22,48.49
2011-01-07,15,47.09
2011-01-14,15,46.65
2011-01-21,16,46.35
2011-01-28,15,50.69
2011-02-04,17,52.43
2011-02-11,16,53.69
2011-02-18,16,53.15
2011-02-25,14,51.87
2011-03-04,15,53.95
2011-03-11,18,54.68
2011-03-18,18,53.99
2011-03-25,26,56.73
2011-04-01,20,61.06
2011-04-08,24,62.84
2011-04-15,22,63.77
2011-04-29,21,61.87
2011-05-06,27,59.8
2011-05-13,27,61.89
2011-05-20,18,58.97
2011-05-27,20,62.42
2011-06-03,20,59.77
2011-06-10,19,58.77
2011-06-17,17,60.94
2011-06-24,20,64.91
2011-07-01,18,67.83
2011-07-08,21,71.71
2011-07-15,19,69.17
2011-07-22,19,68
2011-07-29,18,65.92
2011-08-05,17,58.89
2011-08-12,19,58.78
2011-08-19,16,53.44
2011-08-26,22,59.34
2011-09-02,18,59.64
2011-09-09,19,64.71
2011-09-16,15,68.84
2011-09-23,17,66.54
2011-09-30,17,62.53
2011-10-07,13,65.75
2011-10-14,15,67.42
2011-10-21,17,73.46
2011-10-28,18,71.19
2011-11-04,18,72.77
2011-11-11,17,74.5
2011-11-18,20,72.27
2011-11-25,28,67.68
2011-12-02,24,72.2
2011-12-09,21,75.27
2011-12-16,24,72.82
2011-12-23,24,70.96
2011-12-30,17,70.15
2012-01-06,13,69.71
2012-01-13,15,80.56
2012-01-20,14,79.99
2012-01-27,15,80.42
2012-02-03,14,81.21
2012-02-10,16,83.08
2012-02-17,12,82.76
2012-02-24,13,84.33
2012-03-02,14,86.61
2012-03-09,21,87.37
2012-03-16,16,85.81
2012-03-23,19,86.04
2012-03-30,18,90.56
2012-04-13,18,98.38
2012-04-20,19,99.46
2012-04-27,16,99.48
2012-05-04,20,96.48
2012-05-11,15,98.64
2012-05-18,17,91.86
2012-05-25,20,99.62
2012-06-01,19,89.59
2012-06-08,16,87.7
2012-06-15,18,87.91
2012-06-22,18,86.66
2012-06-29,17,83.06
2012-07-06,17,83.94
2012-07-13,17,81.01
2012-07-20,19,77.98
2012-07-27,16,91.94
2012-08-03,17,90.45
2012-08-10,15,90.44
2012-08-17,15,93.75
2012-08-24,16,96.15
2012-08-31,16,95.48
2012-09-07,15,100.61
2012-09-14,17,97
2012-09-21,14,97.36
2012-09-28,14,98.89
2012-10-05,12,102.45
2012-10-12,15,97.18
2012-10-19,13,93.97
2012-10-26,14,92.08
2012-11-02,17,94.57
2012-11-09,16,92.2
2012-11-16,17,87.17
2012-11-23,22,90.73
2012-11-30,17,89.62
2012-12-07,16,85.88
2012-12-14,17,85.07
2012-12-21,17,88.03
2012-12-28,19,87.47
2013-01-04,19,91.64
2013-01-11,13,91.49
2013-01-18,14,94.04
2013-01-25,11,95.86
2013-02-01,15,103.96
2013-02-08,12,104.04
2013-02-15,11,103.77
2013-02-22,12,101.25
2013-03-01,13,103.09
2013-03-08,16,104.7
2013-03-15,16,101.01
2013-03-22,14,102.11
2013-04-05,20,106.03
2013-04-12,19,107.36
2013-04-19,17,108.06
2013-04-26,19,108.5
2013-05-03,22,110.74
2013-05-10,19,113.76
2013-05-17,18,112.6
2013-05-24,18,111.2
2013-05-31,21,111.98
2013-06-07,18,113.52
2013-06-14,20,114.68
2013-06-21,18,110.21
2013-06-28,18,117.55
2013-07-05,18,118.81
2013-07-12,17,123.01
2013-07-19,19,122.49
2013-07-26,19,119.18
2013-08-02,18,123.31
2013-08-09,18,122.37
2013-08-16,20,116.76
2013-08-23,17,121
2013-08-30,18,122.37
2013-09-06,18,123.66
2013-09-13,15,130.5
2013-09-20,16,130.48
2013-09-27,16,66.4
2013-10-04,15,68.53
2013-10-11,16,65.85
2013-10-18,16,67.19
2013-10-25,17,73.22
2013-11-01,17,71.12
2013-11-08,17,71.37
2013-11-15,17,74.09
2013-11-22,18,73.19
2013-11-29,27,73.21
2013-12-06,21,72.76
2013-12-13,22,72.03
2013-12-20,20,74.92
2013-12-27,19,75.54
2014-01-03,17,76.48
2014-01-10,18,76.58
2014-01-17,12,74.17
2014-01-24,16,70.18
2014-01-31,15,66.51
2014-02-07,16,66.52
2014-02-14,15,65.7
2014-02-21,16,66.4
2014-02-28,15,70.56
2014-03-07,17,72.72
2014-03-14,14,71.06
2014-03-21,18,74.37
2014-03-28,16,70.77
2014-04-04,19,69.15
2014-04-11,16,67.09
2014-04-25,22,65.68
