"Date","FedEx.Corporation","Price"
2013-01-04,36,94.91
2013-01-11,46,97.4
2013-01-18,49,99.82
2013-01-25,41,102.57
2013-02-01,51,102.76
2013-02-08,34,106.41
2013-02-15,26,106.42
2013-02-22,35,105.82
2013-03-01,41,105.38
2013-03-08,46,107.8
2013-03-15,26,109.07
2013-03-22,47,98.48
2013-04-05,27,95.5
2013-04-12,33,96.33
2013-04-19,29,92.39
2013-04-26,37,94.18
2013-05-03,25,94.52
2013-05-10,50,100.12
2013-05-17,27,100.05
2013-05-24,37,97.82
2013-05-31,35,96.34
2013-06-07,41,99.78
2013-06-14,48,99.12
2013-06-21,31,96.46
2013-06-28,31,98.58
2013-07-05,36,98.96
2013-07-12,21,102.29
2013-07-19,27,108.03
2013-07-26,34,104.58
2013-08-02,25,109.15
2013-08-09,52,108.22
2013-08-16,44,108.68
2013-08-23,42,110.69
2013-08-30,25,107.36
2013-09-06,46,108.16
2013-09-13,35,107.24
2013-09-20,37,116.83
2013-09-27,51,113.77
2013-10-04,41,114.73
2013-10-11,35,115.87
2013-10-18,32,126.44
2013-10-25,32,132.06
2013-11-01,47,134.65
2013-11-08,46,132.57
2013-11-15,23,138.65
2013-11-22,36,137.07
2013-11-29,27,138.7
2013-12-06,32,139.39
2013-12-13,46,137.9
2013-12-20,39,142.71
2013-12-27,22,143.43
2014-01-03,22,140.05
2014-01-10,22,142.63
2014-01-17,31,140.51
2014-01-24,27,134.58
2014-01-31,43,133.32
2014-02-07,30,131.76
2014-02-14,21,133.92
2014-02-21,42,134.9
2014-02-28,32,133.33
2014-03-07,44,137.43
2014-03-14,25,136.76
2014-03-21,34,136.79
2014-03-28,34,132.01
2014-04-04,39,134.35
2014-04-11,38,131.23
2014-04-25,26,134.21
