"Date","BWA","Price"
2005-08-26,59,59.58
2005-09-02,54,58.23
2005-09-09,66,57.6
2005-09-16,60,56.42
2005-09-23,48,56.18
2005-09-30,71,56.46
2005-10-07,48,56.3
2005-10-14,64,56.59
2005-10-21,51,55
2005-10-28,67,57.02
2005-11-04,57,58.7
2005-11-11,55,59.33
2005-11-18,47,59.75
2005-11-25,46,61.61
2005-12-02,52,59.58
2005-12-09,65,60.18
2005-12-16,51,60.1
2005-12-23,56,59.95
2005-12-30,34,60.63
2006-01-06,51,58.21
2006-01-13,47,56.58
2006-01-20,46,55.6
2006-01-27,45,55.04
2006-02-03,45,54.77
2006-02-10,49,54.35
2006-02-17,50,57.04
2006-02-24,66,56.15
2006-03-03,78,54.98
2006-03-10,65,56.24
2006-03-17,68,58.71
2006-03-24,48,60.29
2006-03-31,61,60.04
2006-04-07,46,59.98
2006-04-21,36,60.46
2006-04-28,49,60.73
2006-05-05,40,64.45
2006-05-12,42,63.31
2006-05-19,56,66.2
2006-05-26,45,66.96
2006-06-02,57,64.99
2006-06-09,39,63.06
2006-06-16,42,62.7
2006-06-23,59,63.85
2006-06-30,38,65.1
2006-07-07,46,63.96
2006-07-14,45,60.39
2006-07-21,43,58.42
2006-07-28,47,60.23
2006-08-04,39,59.65
2006-08-11,64,58.69
2006-08-18,30,58.65
2006-08-25,54,55.63
2006-09-01,47,56.96
2006-09-08,51,54.72
2006-09-15,39,56.3
2006-09-22,50,53.76
2006-09-29,46,57.17
2006-10-06,31,59.44
2006-10-13,46,59.81
2006-10-20,49,59.55
2006-10-27,49,58.25
2006-11-03,46,56.42
2006-11-10,45,58.26
2006-11-17,57,60.13
2006-11-24,51,58.69
2006-12-01,50,57.9
2006-12-08,61,57.76
2006-12-15,59,57.76
2006-12-22,41,57.88
2006-12-29,46,59.02
2007-01-05,45,58.6
2007-01-12,40,64.21
2007-01-19,48,65.42
2007-01-26,47,67.36
2007-02-02,35,69.26
2007-02-09,41,74.94
2007-02-16,36,76.62
2007-02-23,47,78.08
2007-03-02,35,72.97
2007-03-09,48,74.66
2007-03-16,39,73.13
2007-03-23,50,76.52
2007-03-30,42,75.42
2007-04-13,36,74.07
2007-04-20,40,75.06
2007-04-27,39,79.15
2007-05-04,36,80.06
2007-05-11,46,79.96
2007-05-18,38,82.77
2007-05-25,40,82.27
2007-06-01,43,83.65
2007-06-08,39,82.68
2007-06-15,44,83.37
2007-06-22,47,84.75
2007-06-29,50,86.04
2007-07-06,36,88.66
2007-07-13,44,92.46
2007-07-20,43,91.19
2007-07-27,50,84.7
2007-08-03,40,87.74
2007-08-10,40,90.74
2007-08-17,35,77.5
2007-08-24,42,82.84
2007-08-31,48,84.5
2007-09-07,45,82.33
2007-09-14,39,84.85
2007-09-21,41,85.56
2007-09-28,41,91.53
2007-10-05,41,96.84
2007-10-12,41,94.22
2007-10-19,44,94.74
2007-10-26,36,97.96
2007-11-02,34,103.67
2007-11-09,43,98.32
2007-11-16,45,99.15
2007-11-23,44,94.49
2007-11-30,47,96.61
2007-12-07,38,99
2007-12-14,38,97.2
2007-12-21,41,49.77
2007-12-28,31,49.27
2008-01-04,30,43.54
2008-01-11,38,42.25
2008-01-18,40,44.75
2008-01-25,42,48.75
2008-02-01,38,50.93
2008-02-08,39,45.34
2008-02-15,33,46.08
2008-02-22,35,46.6
2008-02-29,38,43.11
2008-03-07,37,41.3
2008-03-14,41,41.67
2008-03-28,37,41.84
2008-04-04,38,45.2
2008-04-11,41,43.44
2008-04-18,48,47.49
2008-04-25,33,48.37
2008-05-02,33,51.48
2008-05-09,39,52.25
2008-05-16,32,55.28
2008-05-23,42,52.21
2008-05-30,48,51.71
2008-06-06,37,48.37
2008-06-13,39,49.47
2008-06-20,42,48.59
2008-06-27,43,44.5
2008-07-11,43,38.65
2008-07-18,45,41.63
2008-07-25,41,41.35
2008-08-01,45,40.18
2008-08-08,40,43.31
2008-08-15,29,42.51
2008-08-22,42,41.61
2008-08-29,46,41.35
2008-09-05,45,39
2008-09-12,38,41.26
2008-09-19,35,38.2
2008-09-26,39,32.46
2008-10-03,39,27.84
2008-10-10,35,23.65
2008-10-17,37,21.94
2008-10-24,34,21.8
2008-10-31,40,22.47
2008-11-07,33,20.79
2008-11-14,35,17.42
2008-11-21,37,18.74
2008-11-28,36,23.66
2008-12-05,37,22.53
2008-12-12,41,21.14
2008-12-19,43,21.79
2008-12-26,30,21.07
2009-01-02,27,22.96
2009-01-09,37,22.87
2009-01-16,45,18.89
2009-01-23,39,17.62
2009-01-30,47,16.88
2009-02-06,38,21.05
2009-02-13,47,21.37
2009-02-20,39,17.77
2009-02-27,40,17.25
2009-03-06,43,15.18
2009-03-13,43,18.3
2009-03-20,33,18.61
2009-03-27,40,21.76
2009-04-03,41,24.63
2009-04-17,43,26.25
2009-04-24,41,28.33
2009-05-01,37,28.7
2009-05-08,43,31.09
2009-05-15,47,27.65
2009-05-22,30,29.24
2009-05-29,41,32.25
2009-06-05,38,35
2009-06-12,38,34.08
2009-06-19,43,32.57
2009-06-26,38,32.55
2009-07-10,43,30.14
2009-07-17,41,33.01
2009-07-24,36,35.85
2009-07-31,40,33.19
2009-08-07,41,32.4
2009-08-14,41,30.26
2009-08-21,39,30.37
2009-08-28,44,29.23
2009-09-04,45,31.6
2009-09-11,44,33.5
2009-09-18,45,30.86
2009-09-25,35,29.96
2009-10-02,41,27.85
2009-10-09,36,30.41
2009-10-16,41,31.55
2009-10-23,38,33.07
2009-10-30,34,30.32
2009-11-06,35,31.84
2009-11-13,39,32.03
2009-11-20,44,30.91
2009-11-27,45,30.42
2009-12-04,35,31
2009-12-11,38,31.25
2009-12-18,28,33.05
2010-01-08,32,36.51
2010-01-15,35,37.35
2010-01-22,41,36.47
2010-01-29,39,35.09
2010-02-05,37,34.71
2010-02-12,36,36.64
2010-02-19,37,37.35
2010-02-26,37,37.46
2010-03-05,41,37.65
2010-03-12,40,37.08
2010-03-19,46,36.54
2010-03-26,38,37.03
2010-04-09,38,38.19
2010-04-16,39,38.35
2010-04-23,36,41.16
2010-04-30,38,43.34
2010-05-07,41,37.09
2010-05-14,37,39.2
2010-05-21,41,36.23
2010-05-28,49,37.26
2010-06-04,51,37.6
2010-06-11,67,37.82
2010-06-18,57,41.31
2010-06-25,36,39.3
2010-07-02,40,37.47
2010-07-09,41,39.93
2010-07-16,44,40.43
2010-07-23,41,42.97
2010-07-30,41,43.86
2010-08-06,40,47.01
2010-08-13,44,45.31
2010-08-20,46,45.51
2010-08-27,44,44.09
2010-09-03,40,48.42
2010-09-10,35,46.38
2010-09-17,44,47.65
2010-09-24,39,49.68
2010-10-01,37,52.18
2010-10-08,36,52.82
2010-10-15,39,54.19
2010-10-22,43,54.06
2010-10-29,33,56.11
2010-11-05,40,59.26
2010-11-12,37,57.63
2010-11-19,35,59.88
2010-11-26,34,60.62
2010-12-03,34,66.43
2010-12-10,41,66.9
2010-12-17,34,71.05
2010-12-31,24,72.36
2011-01-07,39,69.97
2011-01-14,43,70.41
2011-01-21,38,68
2011-01-28,39,67.63
2011-02-04,38,67.03
2011-02-11,41,77.33
2011-02-18,39,80.23
2011-02-25,41,76.95
2011-03-04,38,77.75
2011-03-11,36,74.66
2011-03-18,39,74.45
2011-03-25,34,77.28
2011-04-01,35,81.03
2011-04-08,40,75.37
2011-04-15,34,71.98
2011-04-29,33,77.24
2011-05-06,38,76.27
2011-05-13,42,73.82
2011-05-20,39,70.63
2011-05-27,39,71.89
2011-06-03,37,68.91
2011-06-10,37,67.93
2011-06-17,33,71.52
2011-06-24,37,78.16
2011-07-01,37,80.74
2011-07-08,33,80.19
2011-07-15,35,76.48
2011-07-22,40,76.16
2011-07-29,38,79.62
2011-08-05,36,68.47
2011-08-12,42,69.7
2011-08-19,34,63.44
2011-08-26,36,68.44
2011-09-02,39,68.07
2011-09-09,36,65.82
2011-09-16,40,69.42
2011-09-23,40,59.89
2011-09-30,36,60.53
2011-10-07,42,64.39
2011-10-14,41,70.86
2011-10-21,37,72.24
2011-10-28,38,76.33
2011-11-04,35,75.75
2011-11-11,38,67.96
2011-11-18,35,63.86
2011-11-25,36,61.2
2011-12-02,36,67.11
2011-12-09,39,69.15
2011-12-16,35,62.35
2011-12-23,28,65.58
2011-12-30,23,63.74
2012-01-06,35,65.12
2012-01-13,37,73.7
2012-01-20,37,74.88
2012-01-27,39,74.72
2012-02-03,39,79.51
2012-02-10,40,77.05
2012-02-17,48,81.21
2012-02-24,40,82.43
2012-03-02,39,85.42
2012-03-09,42,83.85
2012-03-16,38,85.74
2012-03-23,34,83.84
2012-03-30,34,84.34
2012-04-13,43,81.8
2012-04-20,38,80.59
2012-04-27,38,79.72
2012-05-04,37,77.98
2012-05-11,38,77.58
2012-05-18,35,73.3
2012-05-25,37,74.33
2012-06-01,35,66.59
2012-06-08,31,68.13
2012-06-15,31,65.19
2012-06-22,37,65.5
2012-06-29,40,65.59
2012-07-06,33,65.26
2012-07-13,36,64.7
2012-07-20,37,63.99
2012-07-27,36,67.32
2012-08-03,34,65.93
2012-08-10,38,71.32
2012-08-17,36,71.25
2012-08-24,41,68.43
2012-08-31,38,68.78
2012-09-07,38,72.38
2012-09-14,40,78.08
2012-09-21,38,72.29
2012-09-28,36,69.11
2012-10-05,35,73.7
2012-10-12,35,66.57
2012-10-19,37,65.79
2012-10-26,38,63.71
2012-11-02,35,66.35
2012-11-09,33,63.23
2012-11-16,33,61.75
2012-11-23,35,65.3
2012-11-30,38,66.3
2012-12-07,34,67.25
2012-12-14,35,66.47
2012-12-21,34,68.64
2012-12-28,22,70.05
2013-01-04,25,73.79
2013-01-11,32,71.7
2013-01-18,35,75.63
2013-01-25,35,77.29
2013-02-01,38,74.51
2013-02-08,35,74.94
2013-02-15,35,76.11
2013-02-22,34,74.45
2013-03-01,35,75.07
2013-03-08,38,79.5
2013-03-15,31,79.76
2013-03-22,38,76.42
2013-04-05,33,73.22
2013-04-12,37,74.81
2013-04-19,36,72.69
2013-04-26,30,77.93
2013-05-03,32,79.34
2013-05-10,33,82.22
2013-05-17,35,85.35
2013-05-24,33,81.96
2013-05-31,32,81.07
2013-06-07,32,82.62
2013-06-14,35,84.54
2013-06-21,35,83.26
2013-06-28,35,86.15
2013-07-05,36,86.29
2013-07-12,36,89.3
2013-07-19,34,91.17
2013-07-26,37,92.53
2013-08-02,39,97.46
2013-08-09,34,95.77
2013-08-16,35,96.17
2013-08-23,36,98.42
2013-08-30,39,96.58
2013-09-06,35,97.77
2013-09-13,36,99.09
2013-09-20,35,100.86
2013-09-27,35,101.51
2013-10-04,31,103.49
2013-10-11,35,102.9
2013-10-18,31,105.66
2013-10-25,35,106.27
2013-11-01,34,102.64
2013-11-08,38,101.25
2013-11-15,40,104.32
2013-11-22,36,106.16
2013-11-29,35,107.17
2013-12-06,38,107.07
2013-12-13,34,107.57
2013-12-20,33,55.02
2013-12-27,23,55.83
2014-01-03,26,54.89
2014-01-10,33,56.75
2014-01-17,33,55.81
2014-01-24,35,53.71
2014-01-31,35,53.7
2014-02-07,38,53.91
2014-02-14,35,57.96
2014-02-21,35,61.16
2014-02-28,37,61.45
2014-03-07,35,61.31
2014-03-14,33,61.13
2014-03-21,35,61.74
2014-03-28,34,60.02
2014-04-04,36,62.1
2014-04-11,37,59.27
2014-04-25,33,61.64
