"Date","APA","Price"
2005-11-25,35,69.5
2005-12-02,45,68.18
2005-12-09,43,69.8
2005-12-16,29,69.5
2005-12-23,14,70.31
2005-12-30,10,68.52
2006-01-06,14,70.13
2006-01-13,18,71.37
2006-01-20,20,74.09
2006-01-27,24,71.36
2006-02-03,27,73.4
2006-02-10,29,69.29
2006-02-17,30,69.95
2006-02-24,32,69.17
2006-03-03,32,70.01
2006-03-10,30,64.15
2006-03-17,29,66.07
2006-03-24,31,65.62
2006-03-31,31,65.51
2006-04-07,32,67.02
2006-04-21,36,75.22
2006-04-28,38,71.04
2006-05-05,34,71.75
2006-05-12,27,68.82
2006-05-19,23,64.58
2006-05-26,21,64.63
2006-06-02,21,65.89
2006-06-09,21,61.23
2006-06-16,21,61.24
2006-06-23,21,62.96
2006-06-30,21,68.25
2006-07-07,18,67.83
2006-07-14,19,67.73
2006-07-21,19,62.81
2006-07-28,20,69.42
2006-08-04,18,69.2
2006-08-11,18,69.11
2006-08-18,16,68.01
2006-08-25,18,67.85
2006-09-01,19,66.43
2006-09-08,23,64.76
2006-09-15,28,62.98
2006-09-22,30,60.67
2006-09-29,33,63.2
2006-10-06,35,63.61
2006-10-13,35,64.61
2006-10-20,35,65.94
2006-10-27,34,66.52
2006-11-03,31,65.65
2006-11-10,36,65.19
2006-11-17,39,65.49
2006-11-24,33,65.17
2006-12-01,44,69.55
2006-12-08,44,69.08
2006-12-15,29,68.84
2006-12-22,16,66.68
2006-12-29,10,66.51
2007-01-05,14,65.25
2007-01-12,18,64.29
2007-01-19,20,67.91
2007-01-26,26,69.82
2007-02-02,28,70.71
2007-02-09,27,70
2007-02-16,29,68.8
2007-02-23,31,70.47
2007-03-02,32,67.21
2007-03-09,32,68.37
2007-03-16,31,67.31
2007-03-23,33,70.03
2007-03-30,33,70.7
2007-04-13,35,75.12
2007-04-20,36,75.08
2007-04-27,37,73.53
2007-05-04,33,75.11
2007-05-11,27,73.93
2007-05-18,23,77.79
2007-05-25,22,78.02
2007-06-01,21,81.45
2007-06-08,22,82.41
2007-06-15,22,87.3
2007-06-22,21,84.94
2007-06-29,20,81.59
2007-07-06,19,84.16
2007-07-13,20,86.19
2007-07-20,22,86.53
2007-07-27,21,80.77
2007-08-03,20,78.1
2007-08-10,17,81.48
2007-08-17,17,76.71
2007-08-24,18,76.32
2007-08-31,21,77.38
2007-09-07,22,78.79
2007-09-14,29,83.19
2007-09-21,31,88.8
2007-09-28,34,90.06
2007-10-05,37,90.1
2007-10-12,35,95
2007-10-19,35,93.34
2007-10-26,34,97.45
2007-11-02,37,103.82
2007-11-09,37,102.82
2007-11-16,41,99.4
2007-11-23,34,101.6
2007-11-30,45,96.79
2007-12-07,45,99.44
2007-12-14,33,104.89
2007-12-21,19,108.14
2007-12-28,10,108.45
2008-01-04,12,107.39
2008-01-11,18,104.92
2008-01-18,23,95.84
2008-01-25,25,92.58
2008-02-01,29,98.47
2008-02-08,31,100.63
2008-02-15,33,106.19
2008-02-22,33,109.71
2008-02-29,35,114.71
2008-03-07,34,116.22
2008-03-14,33,117.46
2008-03-28,34,119.05
2008-04-04,36,126.41
2008-04-11,39,131.93
2008-04-18,38,142.51
2008-04-25,39,137.8
2008-05-02,39,128.81
2008-05-09,33,135.67
2008-05-16,27,143.49
2008-05-23,23,139.41
2008-05-30,23,134.06
2008-06-06,25,133.9
2008-06-13,24,138.46
2008-06-20,23,136.93
2008-06-27,22,137.1
2008-07-11,22,124.59
2008-07-18,23,110.94
2008-07-25,23,109.6
2008-08-01,22,113.74
2008-08-08,21,105.21
2008-08-15,20,106.74
2008-08-22,19,111.57
2008-08-29,22,114.38
2008-09-05,24,111.43
2008-09-12,30,112.39
2008-09-19,32,121.15
2008-09-26,35,109.88
2008-10-03,35,90.48
2008-10-10,38,66.8
2008-10-17,38,73.88
2008-10-24,38,69.7
2008-10-31,39,82.33
2008-11-07,38,76.99
2008-11-14,41,76.04
2008-11-21,46,68.07
2008-11-28,38,77.3
2008-12-05,49,62.61
2008-12-12,41,71.54
2008-12-19,26,74.57
2008-12-26,13,71.32
2009-01-02,12,79.26
2009-01-09,20,80.62
2009-01-16,24,74.49
2009-01-23,27,75.95
2009-01-30,30,75
2009-02-06,32,78.74
2009-02-13,35,73.3
2009-02-20,35,63.84
2009-02-27,40,59.09
2009-03-06,38,53.46
2009-03-13,37,60.94
2009-03-20,36,64.86
2009-03-27,37,65.97
2009-04-03,40,68
2009-04-17,41,69.09
2009-04-24,43,69.08
2009-05-01,43,76.97
2009-05-08,38,84.89
2009-05-15,31,76.61
2009-05-22,29,77.83
2009-05-29,28,84.26
2009-06-05,28,82.26
2009-06-12,27,84.2
2009-06-19,27,75.34
2009-06-26,26,72.22
2009-07-10,24,68.05
2009-07-17,26,75.5
2009-07-24,27,79.75
2009-07-31,28,83.95
2009-08-07,26,87.06
2009-08-14,25,86.91
2009-08-21,23,88.87
2009-08-28,25,87.3
2009-09-04,29,84.03
2009-09-11,34,91.37
2009-09-18,36,94.19
2009-09-25,38,91.98
2009-10-02,42,89.95
2009-10-09,45,99.86
2009-10-16,44,102.75
2009-10-23,44,99.39
2009-10-30,44,94.12
2009-11-06,44,98.87
2009-11-13,47,98.14
2009-11-20,50,96.47
2009-11-27,42,95.75
2009-12-04,53,94.2
2009-12-11,48,94.63
2009-12-18,34,99.86
2010-01-08,23,106.59
2010-01-15,27,107.66
2010-01-22,32,102.03
2010-01-29,34,98.77
2010-02-05,39,98.4
2010-02-12,39,99.58
2010-02-19,39,105.01
2010-02-26,42,103.64
2010-03-05,42,107.41
2010-03-12,42,106.85
2010-03-19,41,101.68
2010-03-26,45,98.31
2010-04-09,46,106.76
2010-04-16,49,105.44
2010-04-23,49,109.87
2010-04-30,50,101.76
2010-05-07,45,93.53
2010-05-14,36,94.28
2010-05-21,35,89.58
2010-05-28,34,89.54
2010-06-04,34,87.57
2010-06-11,32,93.64
2010-06-18,33,97.57
2010-06-25,31,89.92
2010-07-02,30,82.85
2010-07-09,31,87.88
2010-07-16,34,82.75
2010-07-23,37,92.79
2010-07-30,37,95.58
2010-08-06,34,95.95
2010-08-13,32,91.26
2010-08-20,34,90.53
2010-08-27,35,89.97
2010-09-03,36,92.62
2010-09-10,36,93.73
2010-09-17,43,94.48
2010-09-24,48,98.13
2010-10-01,52,98.28
2010-10-08,52,101.53
2010-10-15,54,104.14
2010-10-22,53,101.3
2010-10-29,53,101.02
2010-11-05,52,108.69
2010-11-12,53,109.51
2010-11-19,55,109.11
2010-11-26,50,107.19
2010-12-03,60,115.11
2010-12-10,56,114.92
2010-12-17,43,116.45
2010-12-31,26,119.23
2011-01-07,32,123.17
2011-01-14,37,125.63
2011-01-21,40,125.6
2011-01-28,44,114.84
2011-02-04,45,116.84
2011-02-11,48,119.73
2011-02-18,49,120.01
2011-02-25,49,123.53
2011-03-04,50,122.62
2011-03-11,50,118.82
2011-03-18,49,120.11
2011-03-25,51,125.94
2011-04-01,52,129.98
2011-04-08,54,130.16
2011-04-15,55,122.4
2011-04-29,52,133.37
2011-05-06,50,124.21
2011-05-13,44,124.25
2011-05-20,41,123
2011-05-27,40,123.25
2011-06-03,40,119.44
2011-06-10,41,117.75
2011-06-17,41,117.16
2011-06-24,38,115.98
2011-07-01,37,123.74
2011-07-08,37,125.13
2011-07-15,38,123.52
2011-07-22,40,128.47
2011-07-29,40,123.72
2011-08-05,38,106.7
2011-08-12,38,103.18
2011-08-19,36,97.03
2011-08-26,35,100.29
2011-09-02,33,98.65
2011-09-09,43,95.12
2011-09-16,49,98.2
2011-09-23,53,82.73
2011-09-30,56,80.24
2011-10-07,58,84.84
2011-10-14,57,91.36
2011-10-21,60,94.73
2011-10-28,60,104.99
2011-11-04,57,100.2
2011-11-11,58,104.71
2011-11-18,62,98.56
2011-11-25,55,86.83
2011-12-02,66,96.47
2011-12-09,62,97.48
2011-12-16,52,88.74
2011-12-23,37,91.17
2011-12-30,33,90.58
2012-01-06,37,97.04
2012-01-13,43,92.84
2012-01-20,47,96.8
2012-01-27,48,98
2012-02-03,53,101.15
2012-02-10,53,105.13
2012-02-17,54,109.45
2012-02-24,54,111.57
2012-03-02,57,106.45
2012-03-09,58,107.45
2012-03-16,56,108.98
2012-03-23,57,101.76
2012-03-30,59,100.44
2012-04-13,59,93.65
2012-04-20,62,91.47
2012-04-27,63,94.91
2012-05-04,59,89.06
2012-05-11,53,87.26
2012-05-18,48,80.52
2012-05-25,48,82.38
2012-06-01,49,79.37
2012-06-08,50,82.97
2012-06-15,48,87.8
2012-06-22,45,82.25
2012-06-29,43,87.89
2012-07-06,42,85.53
2012-07-13,43,83.58
2012-07-20,46,85.08
2012-07-27,50,87.57
2012-08-03,51,84.85
2012-08-10,47,87.86
2012-08-17,42,89.06
2012-08-24,40,87.5
2012-08-31,53,85.75
2012-09-07,58,89.9
2012-09-14,64,92.48
2012-09-21,66,88.59
2012-09-28,69,86.47
2012-10-05,71,85.89
2012-10-12,68,85.33
2012-10-19,68,86.87
2012-10-26,64,82.36
2012-11-02,66,81.22
2012-11-09,68,78.56
2012-11-16,73,75.3
2012-11-23,69,77.14
2012-11-30,80,77.09
2012-12-07,75,76.51
2012-12-14,65,77.02
2012-12-21,52,80
2012-12-28,43,77.05
2013-01-04,46,83.2
2013-01-11,52,80.57
2013-01-18,57,81.82
2013-01-25,59,84.15
2013-02-01,62,85.36
2013-02-08,65,84.65
2013-02-15,66,76.85
2013-02-22,66,75.4
2013-03-01,67,73.75
2013-03-08,70,75.65
2013-03-15,68,75.68
2013-03-22,70,74.47
2013-04-05,72,74.2
2013-04-12,74,75.09
2013-04-19,72,68.84
2013-04-26,74,72.27
2013-05-03,72,75.24
2013-05-10,66,83.33
2013-05-17,65,81.3
2013-05-24,62,81.66
2013-05-31,62,82.13
2013-06-07,64,84.73
2013-06-14,64,84.89
2013-06-21,58,85.04
2013-06-28,55,83.83
2013-07-05,54,82.17
2013-07-12,55,82.41
2013-07-19,58,84.98
2013-07-26,59,82.06
2013-08-02,56,82
2013-08-09,43,83.2
2013-08-16,50,78.99
2013-08-23,60,79.8
2013-08-30,66,85.68
2013-09-06,69,86.51
2013-09-13,76,86.81
2013-09-20,80,87.85
2013-09-27,84,86.25
2013-10-04,85,87
2013-10-11,88,87.95
2013-10-18,77,91.26
2013-10-25,84,90.45
2013-11-01,87,89.24
2013-11-08,82,89.8
2013-11-15,89,92.5
2013-11-22,93,94.42
2013-11-29,87,91.49
2013-12-06,97,89.02
2013-12-13,90,86.16
2013-12-20,67,86.41
2013-12-27,55,86.68
2014-01-03,59,85.54
2014-01-10,69,86.2
2014-01-17,74,84.31
2014-01-24,80,82.42
2014-01-31,81,80.26
2014-02-07,82,81.4
2014-02-14,84,83.39
2014-02-21,89,84.56
2014-02-28,90,79.29
2014-03-07,89,80.05
2014-03-14,91,79.23
2014-03-21,91,80.71
2014-03-28,95,83.02
2014-04-04,91,85.47
2014-04-11,91,82.09
2014-04-25,97,87.28
